날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,4830,4860,4795,4835,116202,0.20725388601036268
2024-06-04,4835,4860,4760,4780,113354,-1.1375387797311272
2024-06-05,4775,4850,4690,4755,161625,-0.5230125523012552
2024-06-07,4800,4835,4765,4785,49674,0.6309148264984227
2024-06-10,4785,4820,4765,4790,80645,0.10449320794148381
2024-06-11,4800,4840,4710,4715,127940,-1.5657620041753653
2024-06-12,4700,4785,4700,4740,62998,0.5302226935312832
2024-06-13,4765,4775,4730,4765,67496,0.5274261603375527
2024-06-14,4745,4775,4710,4715,81738,-1.049317943336831
2024-06-17,4720,4765,4620,4635,129868,-1.6967126193001063
2024-06-18,4605,4650,4535,4555,140530,-1.7259978425026967
2024-06-19,4600,4735,4525,4680,149963,2.7442371020856204
2024-06-20,4620,4645,4520,4520,163829,-3.418803418803419
2024-06-21,4485,4575,4400,4465,274209,-1.2168141592920354
2024-06-24,4420,4495,4390,4440,173753,-0.5599104143337066
2024-06-25,4450,4490,4370,4410,82749,-0.6756756756756757
2024-06-26,4455,4455,4370,4410,59298,0.0
2024-06-27,4490,4490,4305,4370,134680,-0.9070294784580499
2024-06-28,4385,4410,4340,4395,42962,0.5720823798627002
2024-07-01,4395,4430,4360,4425,46776,0.6825938566552902
2024-07-02,4430,4455,4365,4405,104120,-0.4519774011299435
2024-07-03,4380,4490,4290,4325,172857,-1.8161180476730987
2024-07-04,4300,4370,4285,4355,88181,0.6936416184971098
2024-07-05,4375,4450,4360,4375,109637,0.4592422502870264
2024-07-08,4365,4495,4330,4465,104014,2.057142857142857
2024-07-09,4450,4475,4415,4440,78035,-0.5599104143337066
2024-07-10,4495,4520,4410,4510,80358,1.5765765765765765
2024-07-11,4525,4560,4475,4540,95502,0.6651884700665188
2024-07-12,4550,4655,4525,4550,212955,0.22026431718061676
2024-07-15,4550,4650,4500,4550,80868,0.0
2024-07-16,4550,4590,4465,4535,96306,-0.32967032967032966
2024-07-17,4530,4535,4380,4460,128190,-1.6538037486218304
2024-07-18,4415,4430,4355,4365,198888,-2.130044843049327
2024-07-19,4380,4460,4340,4455,64151,2.0618556701030926
2024-07-22,4455,4460,4295,4365,155567,-2.0202020202020203
2024-07-23,4365,4460,4360,4405,85370,0.9163802978235969
2024-07-24,4405,4450,4390,4440,57747,0.7945516458569807
2024-07-25,4390,4450,4305,4425,74175,-0.33783783783783783
2024-07-26,4435,4570,4390,4570,136615,3.2768361581920904
2024-07-29,4570,4570,4440,4445,116649,-2.735229759299781
2024-07-30,4445,4470,4390,4440,47090,-0.11248593925759282
2024-07-31,4435,4495,4415,4490,58509,1.1261261261261262
2024-08-01,4475,4520,4475,4480,45846,-0.22271714922048996
2024-08-02,4465,4465,4365,4400,109051,-1.7857142857142856
2024-08-05,4280,4470,3980,4185,429012,-4.886363636363637
2024-08-06,4140,4355,4120,4320,234823,3.225806451612903
2024-08-07,4315,4370,4260,4315,74775,-0.11574074074074073
2024-08-08,4265,4315,4210,4275,52107,-0.9269988412514484
2024-08-09,4285,4365,4285,4320,57787,1.0526315789473684
