날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,8480,8510,8400,8430,327126,-0.2366863905325444
2024-06-04,8300,8450,8180,8250,674797,-2.135231316725979
2024-06-05,8250,8320,8110,8150,548001,-1.2121212121212122
2024-06-07,8150,8310,8150,8240,346164,1.1042944785276074
2024-06-10,8140,8240,8120,8170,430367,-0.8495145631067961
2024-06-11,8200,8240,8060,8080,575058,-1.101591187270502
2024-06-12,8010,8120,8000,8120,508268,0.49504950495049505
2024-06-13,8040,8380,8040,8050,1151758,-0.8620689655172413
2024-06-14,8020,8150,8000,8030,737597,-0.2484472049689441
2024-06-17,8030,8080,7980,8040,495779,0.12453300124533001
2024-06-18,8080,8090,7940,7950,432229,-1.1194029850746268
2024-06-19,8020,8070,7950,8030,423729,1.0062893081761006
2024-06-20,8030,8180,8000,8170,438374,1.7434620174346203
2024-06-21,8170,8220,8080,8200,636298,0.36719706242350064
2024-06-24,8190,8260,8120,8230,443236,0.3658536585365854
2024-06-25,8320,8380,8250,8350,666657,1.4580801944106925
2024-06-26,8270,8330,8230,8320,536354,-0.3592814371257485
2024-06-27,8220,8310,8130,8290,451434,-0.3605769230769231
2024-06-28,8300,8480,8240,8470,736031,2.1712907117008444
2024-07-01,8420,8460,8350,8390,331518,-0.9445100354191263
2024-07-02,8310,8580,8290,8530,775760,1.66865315852205
2024-07-03,8600,8770,8510,8630,1115315,1.1723329425556859
2024-07-04,8680,8790,8600,8790,1159945,1.8539976825028968
2024-07-05,8800,9000,8760,8800,1337899,0.11376564277588168
2024-07-08,8720,8720,8530,8650,697748,-1.7045454545454544
2024-07-09,8700,8710,8390,8600,724938,-0.5780346820809248
2024-07-10,8460,8600,8460,8460,422461,-1.627906976744186
2024-07-11,8550,8640,8500,8570,662528,1.3002364066193852
2024-07-12,8640,8730,8560,8630,475814,0.7001166861143524
2024-07-15,8640,8670,8490,8550,541369,-0.9269988412514484
2024-07-16,8610,8660,8510,8580,535830,0.3508771929824561
2024-07-17,8600,8620,8490,8540,531188,-0.4662004662004662
2024-07-18,8620,8640,8450,8640,1429849,1.1709601873536302
2024-07-19,8570,8640,8520,8640,333302,0.0
2024-07-22,8640,8680,8560,8610,421209,-0.3472222222222222
2024-07-23,8620,8800,8610,8620,656324,0.11614401858304298
2024-07-24,8630,8740,8550,8570,342794,-0.580046403712297
2024-07-25,8600,8600,8490,8500,404085,-0.8168028004667445
2024-07-26,8470,8960,8470,8910,2228624,4.823529411764706
2024-07-29,8990,9540,8970,9430,3291275,5.836139169472503
2024-07-30,9350,9660,9240,9510,2324292,0.8483563096500532
2024-07-31,9460,9660,9410,9520,1660791,0.10515247108307045
2024-08-01,9430,9750,9420,9630,1364014,1.1554621848739497
2024-08-02,9540,9620,9350,9440,1115066,-1.9730010384215992
2024-08-05,9170,9400,8600,8720,1983030,-7.627118644067797
