날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,36050,36500,35550,35550,3272,-1.3869625520110958
2024-06-04,35850,36350,35850,36000,1779,1.2658227848101267
2024-06-05,37000,37000,36000,36450,1068,1.25
2024-06-07,36450,36550,35600,35900,1749,-1.5089163237311385
2024-06-10,36150,36450,35700,35850,1241,-0.1392757660167131
2024-06-11,35850,36150,35850,35950,315,0.2789400278940028
2024-06-12,35950,36500,35950,36450,674,1.3908205841446455
2024-06-13,36850,36850,36350,36500,714,0.1371742112482853
2024-06-14,37600,37600,34750,35250,2155,-3.4246575342465753
2024-06-17,35000,35650,35000,35350,1107,0.28368794326241137
2024-06-18,35050,36050,35050,36050,1171,1.9801980198019802
2024-06-19,36100,36100,35250,35500,479,-1.5256588072122053
2024-06-20,36000,36300,35450,35700,1378,0.5633802816901409
2024-06-21,37100,37100,35550,35600,223,-0.2801120448179272
2024-06-24,36100,36100,35450,35850,322,0.7022471910112359
2024-06-25,35900,36650,35700,35850,1127,0.0
2024-06-26,36950,36950,35350,35550,1519,-0.8368200836820083
2024-06-27,35550,35700,35200,35300,667,-0.7032348804500703
2024-06-28,36400,36400,35000,35700,1090,1.13314447592068
2024-07-01,35650,36500,34100,35500,8962,-0.5602240896358543
2024-07-02,35500,35500,34500,35400,1583,-0.28169014084507044
2024-07-03,34900,35100,34650,34800,1682,-1.694915254237288
2024-07-04,34800,34800,34300,34550,872,-0.7183908045977011
2024-07-05,34550,34900,34050,34850,1019,0.8683068017366137
2024-07-08,34550,34700,34400,34650,194,-0.5738880918220948
2024-07-09,34900,34900,34350,34600,273,-0.1443001443001443
2024-07-10,34900,34900,34350,34400,177,-0.5780346820809248
2024-07-11,34300,36000,34300,34750,915,1.0174418604651163
2024-07-12,35900,35900,34000,34850,371,0.28776978417266186
2024-07-15,34850,35400,34850,35300,488,1.291248206599713
2024-07-16,35000,35300,34950,35000,730,-0.84985835694051
2024-07-17,35400,35400,34850,35100,469,0.2857142857142857
2024-07-18,34950,35100,34800,34900,1365,-0.5698005698005698
2024-07-19,34900,35050,34550,34550,614,-1.002865329512894
2024-07-22,34550,34900,33500,33550,1612,-2.894356005788712
2024-07-23,32850,34150,32850,33350,2720,-0.5961251862891207
2024-07-24,33400,33750,33100,33100,1012,-0.7496251874062968
2024-07-25,32800,33200,32550,32550,1030,-1.6616314199395772
2024-07-26,32550,32800,32150,32700,1608,0.4608294930875576
2024-07-29,32500,32900,32400,32750,684,0.1529051987767584
2024-07-30,32850,33550,32200,32350,1120,-1.2213740458015268
2024-07-31,32350,33550,32250,33550,629,3.7094281298299845
2024-08-01,33550,34000,33000,33200,404,-1.0432190760059614
2024-08-02,33750,33750,32050,32150,521,-3.1626506024096384
2024-08-05,32150,32150,30250,30950,2190,-3.7325038880248838
2024-08-06,30600,32800,30500,32750,5068,5.815831987075929
2024-08-07,32750,33650,31800,33500,7865,2.2900763358778624
2024-08-08,33500,33500,32050,32250,823,-3.731343283582089
2024-08-09,32300,33450,32000,32400,503,0.46511627906976744
2024-08-12,32300,33450,32300,32950,3086,1.6975308641975309
2024-08-13,33800,33800,32600,33350,1123,1.2139605462822458
2024-08-14,34000,34000,33300,33600,832,0.7496251874062968
2024-08-16,33400,34350,33400,33750,586,0.4464285714285714
2024-08-19,33650,33850,33100,33100,307,-1.925925925925926
2024-08-20,32900,33300,32850,33300,569,0.6042296072507553
2024-08-21,33300,34000,32900,33300,114,0.0
2024-08-22,33950,33950,32100,32300,1545,-3.003003003003003
2024-08-23,32500,32800,31400,32300,927,0.0
2024-08-26,32100,35550,32100,33150,5460,2.631578947368421
2024-08-27,32900,35000,32900,33000,930,-0.4524886877828055
2024-08-28,33000,33700,33000,33150,1034,0.45454545454545453
2024-08-29,33100,34050,33100,34050,2112,2.7149321266968327
2024-08-30,34300,35050,34000,34300,3005,0.7342143906020557
2024-09-02,34600,34950,34300,34500,1590,0.5830903790087464
2024-09-03,34300,34550,33950,34300,1233,-0.5797101449275363
2024-09-04,32650,33600,32650,33500,1227,-2.3323615160349855
2024-09-05,34050,34050,33200,33800,824,0.8955223880597015
2024-09-06,33850,34050,33350,33550,298,-0.7396449704142012
2024-09-09,33350,33350,32800,33350,524,-0.5961251862891207
2024-09-10,33200,33450,33200,33350,317,0.0
2024-09-11,33350,33500,33000,33350,588,0.0
2024-09-12,33350,34500,33000,33150,9218,-0.5997001499250375
2024-09-13,33150,33400,33000,33150,284,0.0
2024-09-19,33200,33200,32700,33150,445,0.0
2024-09-20,33150,33800,32750,33700,639,1.6591251885369533
2024-09-23,33750,33750,32550,32550,1130,-3.4124629080118694
2024-09-24,32900,34000,32100,33750,1317,3.686635944700461
2024-09-25,33600,33950,33050,33600,514,-0.4444444444444444
2024-09-26,33500,34050,33100,33200,969,-1.1904761904761905
2024-09-27,33100,34600,32550,32800,2740,-1.2048192771084338
2024-09-30,33300,33300,32450,32650,1698,-0.45731707317073167
2024-10-02,32400,33150,32050,32900,432,0.7656967840735069
2024-10-04,33050,33100,32400,32800,200,-0.303951367781155
2024-10-07,32200,33250,32200,32800,867,0.0
2024-10-08,33000,33300,32150,33000,1751,0.6097560975609756
2024-10-10,32550,33000,32150,32850,3249,-0.45454545454545453
2024-10-11,33100,33100,32000,33000,1292,0.45662100456621
2024-10-14,32750,32950,32400,32600,410,-1.2121212121212122
2024-10-15,32950,32950,32050,32300,1047,-0.9202453987730062
2024-10-16,32650,33300,32000,33000,1406,2.1671826625387
2024-10-17,32750,33900,32600,32950,232,-0.15151515151515152
2024-10-18,32900,33300,32650,32950,206,0.0
2024-10-21,33400,33400,32200,32400,407,-1.669195751138088
2024-10-22,32400,32600,32000,32350,318,-0.15432098765432098
2024-10-23,32100,32900,31700,32900,852,1.7001545595054095
2024-10-24,32550,33300,32300,32750,510,-0.4559270516717325
2024-10-25,32350,32750,32250,32500,228,-0.7633587786259541
2024-10-28,32500,32500,32050,32200,2095,-0.9230769230769231
2024-10-29,32050,32550,31900,32000,645,-0.6211180124223602
2024-10-30,32450,32450,31550,32150,825,0.46875
2024-10-31,31700,32400,31700,32400,222,0.7776049766718507
2024-11-01,32350,32400,32000,32400,255,0.0
2024-11-04,32200,32350,31750,32050,179,-1.0802469135802468
2024-11-05,32000,32050,31700,31900,480,-0.46801872074883
2024-11-06,31900,32100,31700,32000,165060,0.3134796238244514
2024-11-07,32900,32900,31750,32000,849,0.0
2024-11-08,32000,33000,32000,32150,481,0.46875
2024-11-11,32150,33100,31200,31250,764,-2.7993779160186625
2024-11-12,31650,31650,30850,31200,649,-0.16
2024-11-13,30700,30700,29550,29550,1886,-5.288461538461538
2024-11-14,29650,30000,29550,29850,1489,1.015228426395939
2024-11-15,29850,30000,29250,29550,1327,-1.0050251256281406
2024-11-18,29550,29950,29550,29650,1780,0.338409475465313
2024-11-19,29650,30000,28800,28800,3356,-2.866779089376054
2024-11-20,29300,29500,28700,28700,2194,-0.3472222222222222
2024-11-21,28900,28900,28700,28700,448,0.0
2024-11-22,28850,28900,28650,28650,629,-0.17421602787456447
2024-11-25,28600,29200,28600,28700,869,0.17452006980802792
