날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,15390,15390,15180,15200,1886,-0.6535947712418301
2024-06-04,15200,15200,15160,15160,2594,-0.2631578947368421
2024-06-05,15300,15300,15050,15200,1373,0.2638522427440633
2024-06-07,15200,15300,15190,15300,5221,0.6578947368421052
2024-06-10,15250,15250,15140,15170,1592,-0.8496732026143791
2024-06-11,15220,15220,15150,15150,154,-0.13183915622940012
2024-06-12,15150,15290,15150,15290,1087,0.9240924092409241
2024-06-13,15350,15350,15180,15280,3278,-0.06540222367560497
2024-06-14,15120,15350,15120,15310,2401,0.1963350785340314
2024-06-17,15350,15350,15200,15300,968,-0.06531678641410843
2024-06-18,15300,15370,15300,15330,446,0.19607843137254902
2024-06-19,15330,15380,15300,15300,7220,-0.19569471624266144
2024-06-20,15400,16000,15330,15900,4073,3.9215686274509802
2024-06-21,15900,15900,15710,15800,1526,-0.628930817610063
2024-06-24,15800,15850,15750,15800,4875,0.0
2024-06-25,15880,15890,15730,15800,582,0.0
2024-06-26,15880,15880,15790,15800,974,0.0
2024-06-27,15800,15800,15780,15780,370,-0.12658227848101267
2024-06-28,15450,16000,15450,16000,19426,1.394169835234474
2024-07-01,15380,15380,15150,15310,7230,-4.3125
2024-07-02,15310,15340,15200,15290,652,-0.13063357282821686
2024-07-03,15150,15280,15100,15130,2561,-1.0464355788096795
2024-07-04,15250,15250,14950,15010,2584,-0.7931262392597489
2024-07-05,15130,15130,14950,15000,608,-0.06662225183211193
2024-07-08,15000,15000,14960,15000,119,0.0
2024-07-09,15260,15260,15100,15100,404,0.6666666666666667
2024-07-10,15200,15200,15010,15010,754,-0.5960264900662252
2024-07-11,14900,15150,14900,15020,1249,0.06662225183211193
2024-07-12,15150,15150,15000,15060,174,0.2663115845539281
2024-07-15,15120,15120,15000,15000,1400,-0.398406374501992
2024-07-16,15150,15150,15000,15030,154,0.2
2024-07-17,15190,15190,14980,15030,442,0.0
2024-07-18,15000,15030,14950,15030,614,0.0
2024-07-19,14950,15010,14950,15010,110,-0.1330671989354624
2024-07-22,14980,15000,14950,15000,1301,-0.06662225183211193
2024-07-23,15010,15150,14980,15120,637,0.8
2024-07-24,15110,15110,15090,15090,26,-0.1984126984126984
2024-07-25,15000,15000,14960,15000,167,-0.5964214711729622
2024-07-26,14950,15000,14920,14940,141,-0.4
2024-07-29,14940,14970,14930,14930,1015,-0.06693440428380187
2024-07-30,14940,14950,14910,14940,1742,0.06697923643670461
2024-07-31,14940,14940,14900,14940,7443,0.0
2024-08-01,14720,14990,14490,14570,14497,-2.476572958500669
2024-08-02,14540,14540,14220,14230,3734,-2.3335621139327385
2024-08-05,14360,14620,12490,13300,22145,-6.535488404778636
2024-08-06,13240,13330,12620,13140,17889,-1.2030075187969926
2024-08-07,12940,13350,12800,13180,5140,0.30441400304414
2024-08-08,12950,13180,12950,13090,633,-0.6828528072837633
2024-08-09,12930,13330,12870,13080,7107,-0.07639419404125286
2024-08-12,13230,13230,12920,13150,7590,0.5351681957186544
2024-08-13,13310,13320,12920,13310,6199,1.2167300380228137
2024-08-14,13270,13390,13120,13390,2305,0.6010518407212623
2024-08-16,13450,13450,13150,13290,4363,-0.7468259895444361
2024-08-19,13370,13380,13080,13230,403,-0.4514672686230248
2024-08-20,13230,13370,13120,13370,243,1.0582010582010581
2024-08-21,13240,13360,13170,13190,89823,-1.3462976813762155
2024-08-22,13290,13470,12940,13470,10214,2.122820318423048
2024-08-23,13200,13360,12960,13130,4473,-2.5241276911655532
2024-08-26,13120,13360,12970,13180,3533,0.38080731150038083
2024-08-27,13040,13200,13040,13190,581,0.07587253414264036
2024-08-28,13340,13420,13200,13200,3485,0.0758150113722517
2024-08-29,13240,13410,13150,13290,1366,0.6818181818181818
2024-08-30,13290,13430,13060,13300,2319,0.07524454477050413
2024-09-02,13390,13390,13310,13340,369,0.30075187969924816
2024-09-03,13490,13490,13340,13410,1582,0.5247376311844079
2024-09-04,13350,13350,12950,13290,4567,-0.8948545861297539
2024-09-05,13290,13290,13120,13250,618,-0.3009781790820165
2024-09-06,13250,13410,12950,13400,9304,1.1320754716981132
2024-09-09,13350,13350,13010,13130,2486,-2.014925373134328
2024-09-10,13070,13100,12970,13070,1571,-0.456968773800457
2024-09-11,13070,13110,13050,13110,599,0.306044376434583
2024-09-12,12980,13090,12980,13080,961,-0.2288329519450801
2024-09-13,13080,13360,13000,13280,1632,1.529051987767584
2024-09-19,13080,13250,13000,13020,3070,-1.957831325301205
2024-09-20,13060,13230,13000,13130,2258,0.8448540706605223
2024-09-23,13040,13110,12940,13070,2619,-0.456968773800457
2024-09-24,13020,13100,12940,13080,8208,0.07651109410864575
2024-09-25,13000,13130,12960,13050,3539,-0.22935779816513763
2024-09-26,13000,13040,12930,13040,14965,-0.07662835249042146
2024-09-27,13010,13010,12840,12960,16163,-0.6134969325153374
2024-09-30,12990,12990,12800,12830,7112,-1.0030864197530864
2024-10-02,12840,12930,12770,12910,5454,0.6235385814497272
2024-10-04,12910,12910,12750,12890,14973,-0.1549186676994578
2024-10-07,13070,13070,12720,12830,436,-0.46547711404189296
2024-10-08,12830,12870,12770,12780,1375,-0.3897116134060795
2024-10-10,12790,12860,12760,12810,2479,0.2347417840375587
2024-10-11,12760,13000,12760,12890,3052,0.624512099921936
2024-10-14,12740,12900,12620,12800,8247,-0.6982156710628394
2024-10-15,12790,12920,12660,12870,2372,0.546875
2024-10-16,12920,12930,12830,12890,237,0.1554001554001554
2024-10-17,12910,13000,12870,12990,44628,0.7757951900698216
2024-10-18,12990,13060,12920,13060,667,0.5388760585065435
2024-10-21,13060,13150,12800,13030,4230,-0.22970903522205208
2024-10-22,13000,13230,12980,13070,985,0.3069838833461243
2024-10-23,12960,13140,12700,13120,6663,0.3825554705432288
2024-10-24,13080,13080,12740,13040,1293,-0.6097560975609756
2024-10-25,13030,13040,12970,13030,4214,-0.07668711656441718
2024-10-28,12980,13030,12830,13030,2869,0.0
2024-10-29,13030,13030,12860,13010,133,-0.15349194167306215
2024-10-30,13000,13010,12820,12990,440,-0.15372790161414296
2024-10-31,13060,13060,12790,12950,40334,-0.30792917628945343
2024-11-01,12920,12920,12820,12920,292,-0.23166023166023164
2024-11-04,12920,13300,12920,13200,392,2.1671826625387
2024-11-05,13020,13180,13010,13040,509,-1.2121212121212122
2024-11-06,13040,13110,12870,13000,193,-0.3067484662576687
2024-11-07,12890,13080,12890,13040,1074,0.3076923076923077
2024-11-08,13040,13060,12920,13060,2714,0.15337423312883436
2024-11-11,13050,13050,12810,13020,706,-0.3062787136294028
2024-11-12,12980,13010,12800,12910,598,-0.8448540706605223
2024-11-13,12720,12900,12510,12770,422,-1.0844306738962044
2024-11-14,12770,12960,12770,12850,1202,0.6264682850430697
2024-11-15,12950,12950,12760,12940,1922,0.7003891050583658
2024-11-18,12630,13400,12630,13000,1323,0.46367851622874806
2024-11-19,13140,13140,12800,13010,1896,0.07692307692307693
2024-11-20,13010,13030,12910,13010,1061,0.0
2024-11-21,13000,13070,12760,13070,524,0.4611837048424289
2024-11-22,13020,13020,12910,13000,95,-0.5355776587605203
2024-11-25,12990,13020,12910,13010,848,0.07692307692307693
2024-11-26,12990,12990,12920,12990,33,-0.15372790161414296
2024-11-27,12980,13100,12980,13030,115,0.30792917628945343
2024-11-28,13020,13150,12970,13040,90,0.07674597083653108
2024-11-29,12990,13080,12980,13060,27,0.15337423312883436
2024-12-02,13040,13040,12600,13000,270,-0.45941807044410415
2024-12-03,12780,13090,12710,13060,29,0.46153846153846156
2024-12-04,12980,13050,12840,13020,163,-0.3062787136294028
2024-12-05,13020,13020,12870,12990,222,-0.2304147465437788
2024-12-06,12910,13450,12660,13040,1692,0.3849114703618168
2024-12-09,12980,12990,12410,12910,346,-0.9969325153374233
2024-12-10,12880,13000,12820,12950,1199,0.3098373353989156
2024-12-11,13020,13020,12900,12970,1523,0.15444015444015444
2024-12-12,12970,13110,12940,13070,545,0.7710100231303008
