날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,5650,5700,5590,5640,308385,-0.5291005291005291
2024-06-04,5940,6090,5720,5720,2432242,1.4184397163120568
2024-06-05,5780,5780,5650,5680,412011,-0.6993006993006993
2024-06-07,5680,5730,5650,5650,335349,-0.528169014084507
2024-06-10,5660,5760,5650,5720,315628,1.238938053097345
2024-06-11,5720,5740,5660,5660,291616,-1.048951048951049
2024-06-12,5660,5690,5630,5670,195919,0.17667844522968199
2024-06-13,5660,5700,5650,5690,181358,0.3527336860670194
2024-06-14,5700,5710,5640,5650,259068,-0.7029876977152899
2024-06-17,5650,5670,5620,5620,214614,-0.5309734513274336
2024-06-18,5630,5670,5580,5590,296675,-0.5338078291814947
2024-06-19,5600,5600,5540,5550,367374,-0.7155635062611807
2024-06-20,5540,5650,5540,5590,137264,0.7207207207207207
2024-06-21,5580,5620,5550,5580,293847,-0.17889087656529518
2024-06-24,5590,5610,5510,5550,247744,-0.5376344086021506
2024-06-25,5550,5560,5520,5540,198933,-0.18018018018018017
2024-06-26,5540,5610,5510,5600,263045,1.083032490974729
2024-06-27,5570,5600,5550,5550,135972,-0.8928571428571428
2024-06-28,5560,5640,5560,5620,225572,1.2612612612612613
2024-07-01,5640,5680,5610,5670,302152,0.8896797153024912
2024-07-02,5670,5680,5560,5560,281226,-1.9400352733686066
2024-07-03,5620,5620,5540,5560,179463,0.0
2024-07-04,5600,5600,5540,5540,177209,-0.3597122302158274
2024-07-05,5550,5580,5500,5500,360247,-0.7220216606498195
2024-07-08,5510,5610,5510,5550,169044,0.9090909090909091
2024-07-09,5550,5680,5550,5620,377928,1.2612612612612613
2024-07-10,5620,5650,5570,5610,235742,-0.1779359430604982
2024-07-11,5630,5690,5570,5650,404058,0.7130124777183601
2024-07-12,5660,5740,5640,5660,449188,0.17699115044247787
2024-07-15,5700,5760,5680,5760,466638,1.76678445229682
2024-07-16,5790,5830,5730,5820,516733,1.0416666666666665
2024-07-17,5840,5840,5760,5780,457172,-0.6872852233676976
2024-07-18,5780,5810,5710,5770,307952,-0.17301038062283738
2024-07-19,5770,5790,5700,5720,215759,-0.8665511265164645
2024-07-22,5720,5740,5650,5690,271517,-0.5244755244755245
2024-07-23,5660,5720,5650,5660,182133,-0.5272407732864675
2024-07-24,5650,5700,5570,5600,318874,-1.0600706713780919
2024-07-25,5570,5750,5570,5720,397348,2.142857142857143
2024-07-26,5720,5760,5700,5750,270451,0.5244755244755245
2024-07-29,5750,5830,5750,5830,378181,1.391304347826087
2024-07-30,5840,5860,5750,5780,248203,-0.8576329331046313
2024-07-31,5780,5830,5730,5730,240444,-0.8650519031141869
2024-08-01,5710,5870,5710,5850,553590,2.094240837696335
2024-08-02,5770,5870,5710,5730,426500,-2.051282051282051
2024-08-05,5690,5710,5250,5380,1378933,-6.108202443280978
2024-08-06,5410,5590,5410,5490,559906,2.0446096654275094
2024-08-07,5450,5780,5450,5720,833013,4.189435336976321
2024-08-08,5710,5840,5630,5830,711055,1.9230769230769231
2024-08-09,5860,5900,5590,5650,1036448,-3.0874785591766725
2024-08-12,5640,5800,5620,5740,701367,1.592920353982301
2024-08-13,5750,5800,5720,5750,438027,0.17421602787456447
2024-08-14,5780,5900,5740,5890,989895,2.4347826086956523
2024-08-16,5930,6230,5870,6110,2236989,3.7351443123938877
2024-08-19,6080,6290,6060,6220,1192801,1.800327332242226
2024-08-20,6240,6250,6090,6200,692426,-0.3215434083601286
2024-08-21,6180,6220,6130,6180,426036,-0.3225806451612903
2024-08-22,6210,6560,6210,6550,2361461,5.9870550161812295
2024-08-23,6570,6830,6400,6790,2049770,3.6641221374045805
2024-08-26,6790,7110,6660,7030,2028891,3.5346097201767304
2024-08-27,7040,7240,7000,7200,1561904,2.418207681365576
2024-08-28,7250,7360,7090,7140,1514296,-0.8333333333333334
2024-08-29,7090,7430,7090,7140,1567567,0.0
2024-08-30,7220,7430,7130,7170,1506834,0.42016806722689076
2024-09-02,7210,7290,6900,6950,1477323,-3.0683403068340307
2024-09-03,7000,7150,6940,7060,596407,1.5827338129496402
2024-09-04,6950,6970,6600,6720,1425358,-4.815864022662889
2024-09-05,6700,6810,6630,6710,621958,-0.1488095238095238
2024-09-06,6760,6880,6540,6730,927089,0.29806259314456035
2024-09-09,6660,6820,6560,6810,636986,1.188707280832095
2024-09-10,6870,6870,6480,6490,708544,-4.698972099853157
2024-09-11,6490,6700,6250,6320,890403,-2.6194144838212634
2024-09-12,6330,6450,6250,6380,467034,0.949367088607595
2024-09-13,6380,6440,6220,6260,566751,-1.8808777429467085
2024-09-19,6320,6520,6120,6130,925246,-2.07667731629393
2024-09-20,6150,6210,6090,6140,471856,0.1631321370309951
2024-09-23,6110,6140,5880,5940,994542,-3.257328990228013
2024-09-24,5960,6000,5880,5990,511926,0.8417508417508417
2024-09-25,6020,6080,5930,5940,371914,-0.8347245409015025
2024-09-26,5960,6110,5940,6090,396765,2.525252525252525
2024-09-27,6090,6440,6000,6340,851510,4.105090311986864
2024-09-30,6090,6100,5760,5780,2026352,-8.832807570977918
2024-10-02,5770,5840,5660,5710,573597,-1.2110726643598615
2024-10-04,5690,5770,5660,5710,431659,0.0
2024-10-07,5750,5760,5670,5700,258365,-0.17513134851138354
2024-10-08,5700,5780,5690,5700,294342,0.0
2024-10-10,5700,5790,5700,5760,218156,1.0526315789473684
2024-10-11,5770,5790,5690,5720,256798,-0.6944444444444444
2024-10-14,5720,5720,5590,5700,392606,-0.34965034965034963
2024-10-15,5750,5900,5700,5730,332748,0.5263157894736842
2024-10-16,5710,5710,5630,5640,249965,-1.5706806282722512
2024-10-17,5640,5810,5640,5670,153527,0.5319148936170213
2024-10-18,5670,5680,5580,5600,303015,-1.2345679012345678
2024-10-21,5690,5690,5610,5630,162405,0.5357142857142857
2024-10-22,5610,5660,5560,5580,281909,-0.8880994671403196
2024-10-23,5580,5610,5510,5570,304926,-0.17921146953405018
2024-10-24,5560,5650,5530,5640,149136,1.2567324955116697
2024-10-25,5680,5700,5410,5470,729353,-3.0141843971631204
2024-10-28,5420,5530,5420,5490,178916,0.3656307129798903
2024-10-29,5490,5550,5470,5540,118981,0.9107468123861567
2024-10-30,5530,5600,5520,5580,145979,0.7220216606498195
2024-10-31,5510,5650,5490,5630,309271,0.8960573476702508
2024-11-01,5560,5660,5550,5600,149447,-0.5328596802841918
2024-11-04,5600,5640,5580,5630,155355,0.5357142857142857
2024-11-05,5630,5650,5590,5620,127922,-0.17761989342806395
2024-11-06,5620,5650,5500,5520,278518,-1.7793594306049825
2024-11-07,5540,5590,5480,5490,141160,-0.5434782608695652
2024-11-08,5500,5590,5470,5540,136142,0.9107468123861567
2024-11-11,5550,5590,5410,5410,423992,-2.3465703971119134
2024-11-12,5430,5460,5200,5290,564072,-2.2181146025878005
2024-11-13,5170,5270,5130,5130,422805,-3.0245746691871456
2024-11-14,5100,5190,5050,5070,380946,-1.1695906432748537
2024-11-15,5000,5240,5000,5230,336658,3.155818540433925
2024-11-18,5240,5310,5200,5230,211831,0.0
2024-11-19,5230,5280,5220,5240,97609,0.19120458891013384
2024-11-20,5240,5260,5140,5220,164981,-0.38167938931297707
2024-11-21,5170,5210,5140,5150,203610,-1.3409961685823755
2024-11-22,5210,5240,5170,5170,120668,0.3883495145631068
2024-11-25,5190,5480,5180,5400,376337,4.448742746615087
2024-11-26,5420,5560,5360,5540,266496,2.5925925925925926
2024-11-27,5590,5650,5510,5580,311425,0.7220216606498195
2024-11-28,5580,5620,5510,5520,178533,-1.0752688172043012
2024-11-29,5500,5620,5430,5570,313473,0.9057971014492754
2024-12-02,5620,5650,5500,5520,195935,-0.8976660682226212
2024-12-03,5500,5630,5500,5630,224026,1.9927536231884055
2024-12-04,5500,5580,5350,5540,236777,-1.5985790408525755
2024-12-05,5540,5560,5390,5400,273696,-2.527075812274368
2024-12-06,5350,5480,5170,5360,361319,-0.7407407407407408
2024-12-09,5200,5290,4995,4995,531223,-6.809701492537314
2024-12-10,5100,5190,5020,5170,369842,3.5035035035035036
