날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,138100,138100,132100,133900,135065,-2.9006526468455403
2024-06-04,132600,133200,124400,125100,263282,-6.572068707991038
2024-06-05,125000,125400,119500,122900,241467,-1.7585931254996003
2024-06-07,123900,128700,123900,127300,138553,3.580146460537022
2024-06-10,125500,132000,125300,127500,111857,0.15710919088766695
2024-06-11,129400,133200,128100,132000,135014,3.5294117647058822
2024-06-12,132000,132000,129000,130600,86782,-1.0606060606060608
2024-06-13,132500,132500,129200,129200,134506,-1.0719754977029097
2024-06-14,128400,132700,126700,129100,93341,-0.07739938080495357
2024-06-17,130000,132000,127400,128300,124265,-0.6196746707978312
2024-06-18,129000,129200,124500,128400,74268,0.0779423226812159
2024-06-19,128900,129000,122600,124800,122958,-2.803738317757009
2024-06-20,124800,125200,122200,122600,121879,-1.7628205128205128
2024-06-21,122600,125500,121400,125500,124926,2.365415986949429
2024-06-24,126000,126000,116500,117000,175316,-6.772908366533864
2024-06-25,117100,121300,116400,121300,105524,3.6752136752136755
2024-06-26,119300,122000,119300,122000,83346,0.5770816158285244
2024-06-27,120100,121900,118800,121200,61722,-0.6557377049180327
2024-06-28,121300,122600,118300,121500,83142,0.24752475247524752
2024-07-01,120000,122700,119300,119900,44345,-1.316872427983539
2024-07-02,118800,119600,116500,118700,74051,-1.0008340283569641
2024-07-03,119400,119400,114600,117000,100215,-1.4321819713563606
2024-07-04,116400,119400,105700,106400,335362,-9.05982905982906
2024-07-05,107700,115700,107000,111700,306871,4.981203007518797
2024-07-08,112100,115000,110600,113100,84639,1.2533572068039391
2024-07-09,114000,118300,113600,117900,122410,4.244031830238726
2024-07-10,118200,121200,116900,119900,104666,1.6963528413910092
2024-07-11,121100,123600,119000,122300,196597,2.0016680567139282
2024-07-12,123400,124000,119200,120100,68251,-1.7988552739165986
2024-07-15,120000,123000,117000,118200,106868,-1.5820149875104081
2024-07-16,118200,119000,115000,116700,127103,-1.2690355329949239
2024-07-17,116700,119200,115500,116400,101141,-0.2570694087403599
2024-07-18,116400,117100,111500,115700,71164,-0.6013745704467355
2024-07-19,114700,117000,113400,117000,53041,1.1235955056179776
2024-07-22,116500,117000,113800,115200,62729,-1.5384615384615385
2024-07-23,115200,128900,115200,127500,221894,10.677083333333332
2024-07-24,126500,131800,124000,126300,135742,-0.9411764705882352
2024-07-25,126800,129400,122500,123100,105802,-2.5336500395882817
2024-07-26,124000,125600,121200,122800,92206,-0.2437043054427295
2024-07-29,122400,124700,119700,123800,92687,0.8143322475570033
2024-07-30,122900,130700,122100,129200,192320,4.361873990306947
2024-07-31,130700,134300,129300,132300,175342,2.3993808049535605
2024-08-01,130900,135000,128800,134900,101820,1.9652305366591083
2024-08-02,132000,133000,126300,126500,127040,-6.226834692364715
2024-08-05,124500,124800,108600,110400,217226,-12.727272727272727
2024-08-06,113700,118600,112800,115400,117919,4.528985507246377
2024-08-07,114300,121100,111700,117900,95139,2.166377816291161
2024-08-08,115600,121100,115000,121100,54597,2.7141645462256148
2024-08-09,122000,123900,117400,118000,77812,-2.559867877786953
2024-08-12,119000,120300,117000,120300,43295,1.9491525423728815
2024-08-13,118800,120800,115000,115700,72703,-3.8237738985868663
2024-08-14,116900,118200,115600,116800,50556,0.9507346585998271
2024-08-16,123000,134000,123000,129300,471659,10.702054794520548
2024-08-19,130900,132900,126300,127500,121704,-1.3921113689095126
2024-08-20,130100,130100,124200,124700,124337,-2.196078431372549
2024-08-21,125300,127200,123000,123200,112834,-1.202886928628709
2024-08-22,124500,126700,123400,123800,92740,0.487012987012987
2024-08-23,123700,129900,122900,127500,85622,2.988691437802908
2024-08-26,127500,130000,122800,123200,65034,-3.3725490196078427
2024-08-27,124300,124400,119100,120000,73503,-2.5974025974025974
2024-08-28,119200,119800,116500,118300,71052,-1.4166666666666665
2024-08-29,118800,118800,111900,112100,209394,-5.240912933220625
2024-08-30,112900,113700,107000,111900,129870,-0.17841213202497772
2024-09-02,112900,114200,110000,111900,80876,0.0
2024-09-03,113000,117500,112200,116800,117616,4.378909740840036
2024-09-04,115800,116500,111800,114500,98444,-1.9691780821917808
2024-09-05,116000,118600,113900,114600,85855,0.08733624454148471
2024-09-06,114600,117600,112200,117000,93472,2.094240837696335
2024-09-09,115700,125000,114500,122500,107219,4.700854700854701
2024-09-10,123000,124600,121000,121100,77224,-1.1428571428571428
2024-09-11,122900,123500,119000,121400,62163,0.2477291494632535
2024-09-12,121500,123900,118100,123900,104724,2.059308072487644
2024-09-13,124800,125000,119400,121500,47492,-1.937046004842615
2024-09-19,124500,124500,121100,123100,35586,1.316872427983539
2024-09-20,123600,128600,122200,124600,89392,1.2185215272136474
2024-09-23,125800,126400,121800,122700,41682,-1.5248796147672552
2024-09-24,124000,124000,119400,120500,51065,-1.7929910350448246
2024-09-25,121900,122500,116700,116700,110446,-3.1535269709543567
2024-09-26,117800,118600,116300,118000,138319,1.113967437874893
2024-09-27,118000,121900,116700,120900,129210,2.457627118644068
2024-09-30,123700,126600,118400,118900,144426,-1.6542597187758479
2024-10-02,118000,118500,114600,114900,104819,-3.36417157275021
2024-10-04,115100,118000,114100,117400,50131,2.175805047867711
2024-10-07,117000,117000,114200,114600,86245,-2.385008517887564
2024-10-08,114600,114800,109800,109800,172133,-4.18848167539267
2024-10-10,111400,114000,109100,112600,139395,2.5500910746812386
2024-10-11,112600,113200,108500,108900,79251,-3.285968028419183
2024-10-14,108900,112400,108300,111400,71337,2.295684113865932
2024-10-15,112000,112000,110200,111500,48121,0.08976660682226212
2024-10-16,110400,110900,109100,110200,49202,-1.1659192825112108
2024-10-17,110400,112900,109500,111700,77718,1.3611615245009074
2024-10-18,112700,114800,109100,109200,68770,-2.2381378692927485
2024-10-21,109300,110400,107000,107300,56168,-1.73992673992674
2024-10-22,107300,108100,105400,107300,66327,0.0
2024-10-23,108000,108100,103300,105100,91040,-2.050326188257223
2024-10-24,104100,105900,102400,103600,90843,-1.4272121788772598
2024-10-25,103500,104200,102600,103300,70774,-0.28957528957528955
2024-10-28,103300,104300,102800,104300,44078,0.9680542110358179
2024-10-29,104300,105000,101400,105000,67798,0.6711409395973155
2024-10-30,105000,105300,102300,102600,62211,-2.2857142857142856
2024-10-31,102600,103100,99700,102800,81052,0.1949317738791423
2024-11-01,101900,103900,100500,101500,47908,-1.264591439688716
2024-11-04,101700,107900,101400,107900,113204,6.305418719211822
2024-11-05,106200,107000,104200,104200,56232,-3.429101019462465
2024-11-06,104500,105300,103100,103800,45122,-0.3838771593090211
2024-11-07,102700,105500,101600,105300,75275,1.4450867052023122
2024-11-08,106000,106000,102600,102800,57865,-2.3741690408357075
2024-11-11,102100,102300,96500,96700,136771,-5.93385214007782
2024-11-12,96000,98000,95000,96300,77965,-0.4136504653567736
2024-11-13,95200,96800,94000,96300,60723,0.0
2024-11-14,97200,98400,92600,92800,78619,-3.6344755970924196
2024-11-15,92000,94500,89400,90000,138985,-3.0172413793103448
2024-11-18,89500,97500,89500,97400,91446,8.222222222222223
2024-11-19,97000,100900,96800,97500,121005,0.10266940451745381
2024-11-20,96600,99500,96000,97000,62379,-0.5128205128205128
2024-11-21,97400,98500,96600,97600,29009,0.6185567010309279
2024-11-22,98100,98300,96000,96600,35180,-1.0245901639344261
2024-11-25,97800,99500,96300,99200,60220,2.691511387163561
2024-11-26,97600,99200,96600,98200,44539,-1.0080645161290323
2024-11-27,97000,99000,96200,96800,67609,-1.4256619144602851
