날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,21050,23500,21050,23400,4107,12.23021582733813
2024-06-04,23400,23400,21650,22300,2246,-4.700854700854701
2024-06-05,22300,23100,21850,22000,591,-1.345291479820628
2024-06-07,23000,24000,21700,23000,6354,4.545454545454546
2024-06-10,22350,23200,21700,21900,1834,-4.782608695652174
2024-06-11,22050,22100,21650,21950,234,0.228310502283105
2024-06-12,21600,21900,21550,21650,488,-1.366742596810934
2024-06-13,21550,22100,21550,21700,976,0.23094688221709006
2024-06-14,22250,26850,22100,24900,27695,14.746543778801843
2024-06-17,24000,24000,22300,23100,6942,-7.228915662650602
2024-06-18,22850,23400,22400,22900,5004,-0.8658008658008658
2024-06-19,22750,22750,21950,22550,5286,-1.5283842794759825
2024-06-20,22300,22500,22100,22100,2782,-1.9955654101995564
2024-06-21,22100,22200,21800,21950,2401,-0.6787330316742082
2024-06-24,22100,22150,21200,21950,1174,0.0
2024-06-25,21950,21950,21550,21900,587,-0.22779043280182232
2024-06-26,21900,21900,21500,21700,1056,-0.91324200913242
2024-06-27,21500,21500,21200,21450,1202,-1.1520737327188941
2024-06-28,21450,21850,21400,21400,821,-0.2331002331002331
2024-07-01,22200,22200,21400,21450,1197,0.23364485981308408
2024-07-02,21850,22250,21500,22100,2143,3.0303030303030303
2024-07-03,22050,22050,21100,21350,1879,-3.3936651583710407
2024-07-04,21700,21700,21500,21500,618,0.702576112412178
2024-07-05,21350,21750,21350,21550,671,0.23255813953488372
2024-07-08,22250,23300,22000,22200,3676,3.0162412993039442
2024-07-09,21950,22450,21800,22450,757,1.1261261261261262
2024-07-10,22450,22450,21800,21950,144,-2.2271714922048997
2024-07-11,22500,22500,21950,22000,126,0.22779043280182232
2024-07-12,21750,22800,21750,22200,212,0.9090909090909091
2024-07-15,22200,22200,21550,21650,416,-2.4774774774774775
2024-07-16,21650,21800,21650,21800,287,0.6928406466512702
2024-07-17,22050,22050,21050,21050,1273,-3.4403669724770642
2024-07-18,21200,21200,20700,21000,440,-0.23752969121140144
2024-07-19,21000,21000,20700,21000,22,0.0
2024-07-22,21200,21200,20700,20900,84,-0.4761904761904762
2024-07-23,20850,21050,20700,21050,65,0.7177033492822966
2024-07-24,21050,21250,20800,21250,433,0.9501187648456058
2024-07-25,20900,20950,20550,20700,234,-2.588235294117647
2024-07-26,20700,20900,20700,20850,18,0.7246376811594203
2024-07-29,20550,20700,20500,20550,1138,-1.4388489208633095
2024-07-30,20800,20800,20550,20550,58,0.0
2024-07-31,21100,21100,20450,20600,50,0.24330900243309003
2024-08-01,20950,20950,20600,20800,129,0.9708737864077669
2024-08-02,21100,21100,20100,20400,251,-1.9230769230769231
2024-08-05,20400,20400,18980,18980,618,-6.96078431372549
2024-08-06,19350,19400,19000,19400,90,2.212855637513172
2024-08-07,20050,20050,19400,19600,118,1.0309278350515463
2024-08-08,19600,19860,19600,19860,32,1.3265306122448979
2024-08-09,20000,21000,19950,20000,1170,0.7049345417925479
2024-08-12,19900,20400,19900,20400,58,2.0
2024-08-13,19700,19730,19440,19440,670,-4.705882352941177
2024-08-14,19440,19440,19350,19360,36,-0.411522633744856
2024-08-16,19500,19500,19020,19020,260,-1.756198347107438
2024-08-19,19010,19890,18840,18840,575,-0.9463722397476341
2024-08-20,19190,19190,18860,18880,212,0.21231422505307856
2024-08-21,19090,19150,18800,18990,174,0.5826271186440678
2024-08-22,18980,18980,18810,18880,160,-0.5792522380200106
2024-08-23,18880,18940,18770,18940,179,0.31779661016949157
2024-08-26,18940,19030,18800,19030,38,0.4751847940865892
2024-08-27,19070,19250,18900,19080,48,0.2627430373095113
2024-08-28,19070,19190,18980,18980,76,-0.5241090146750524
2024-08-29,18890,18900,18720,18810,148,-0.8956796628029504
2024-08-30,18800,18860,18710,18780,159,-0.1594896331738437
2024-09-02,19400,19400,19200,19200,332,2.2364217252396164
2024-09-03,19000,19450,18330,18330,96,-4.53125
2024-09-04,18340,18800,18340,18620,1282,1.5821058374249863
2024-09-05,20000,20000,18620,18620,338,0.0
2024-09-06,18620,18620,17310,17500,1255,-6.015037593984962
2024-09-09,17500,17500,17000,17010,967,-2.8000000000000003
2024-09-10,17640,17640,16990,17080,715,0.411522633744856
2024-09-11,17080,17180,17000,17180,188,0.5854800936768151
2024-09-12,17180,17420,17180,17420,149,1.3969732246798603
2024-09-13,17420,17420,17410,17410,58,-0.0574052812858783
2024-09-19,17830,18190,17560,18190,259,4.480183802412407
2024-09-20,18180,18700,18170,18470,251,1.5393073117097307
2024-09-23,17910,18450,17910,18450,662,-0.10828370330265295
2024-09-24,18470,18990,17800,17800,377,-3.523035230352303
2024-09-25,18250,18250,17790,17800,313,0.0
2024-09-26,18330,18330,17820,17820,24,0.11235955056179776
