날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,63500,63500,60500,63000,4711,-0.47393364928909953
2024-06-04,63000,63000,60500,60900,4271,-3.3333333333333335
2024-06-05,61800,61800,59800,60700,2835,-0.3284072249589491
2024-06-07,61100,61800,60700,61700,1691,1.6474464579901154
2024-06-10,61700,62800,60900,61900,1517,0.3241491085899514
2024-06-11,62000,62800,61400,61800,1713,-0.16155088852988692
2024-06-12,62200,62200,61100,61500,1052,-0.48543689320388345
2024-06-13,61900,62100,61200,61500,1273,0.0
2024-06-14,61500,64500,60400,62000,6198,0.8130081300813009
2024-06-17,61800,62300,61300,61400,768,-0.967741935483871
2024-06-18,61900,61900,60700,61200,1873,-0.32573289902280134
2024-06-19,61500,61500,59900,60300,2013,-1.4705882352941175
2024-06-20,61000,61000,59900,60000,1648,-0.4975124378109453
2024-06-21,60500,60500,59700,60400,2052,0.6666666666666667
2024-06-24,60700,60700,58400,59500,7006,-1.490066225165563
2024-06-25,60200,60300,59400,59900,1923,0.6722689075630253
2024-06-26,59900,60300,59600,60000,1009,0.1669449081803005
2024-06-27,60400,60500,59700,60000,1215,0.0
2024-06-28,60000,60200,59500,60100,1608,0.16666666666666669
2024-07-01,60500,60500,59700,60000,936,-0.16638935108153077
2024-07-02,60200,61000,59200,59700,2047,-0.5
2024-07-03,59700,60200,58800,58900,3312,-1.340033500837521
2024-07-04,59000,59400,56100,56500,8016,-4.074702886247878
2024-07-05,57600,59300,56600,58300,5219,3.185840707964602
2024-07-08,58000,59300,58000,59300,4125,1.7152658662092626
2024-07-09,59500,60000,59200,60000,3255,1.1804384485666104
2024-07-10,60000,60700,58900,59500,8468,-0.8333333333333334
2024-07-11,59600,60500,59000,60300,4375,1.3445378151260505
2024-07-12,60300,60400,58200,58800,10570,-2.4875621890547266
2024-07-15,59200,59500,58400,58800,3821,0.0
2024-07-16,59200,59200,58400,58700,821,-0.17006802721088435
2024-07-17,59100,59100,58300,58900,2590,0.34071550255536626
2024-07-18,59300,59300,58400,59100,972,0.3395585738539898
2024-07-19,59100,59100,58500,59000,429,-0.1692047377326565
2024-07-22,59100,59100,57500,57900,4652,-1.864406779661017
