날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,353500,356000,348500,351500,33993,0.5722460658082975
2024-06-04,347500,350500,341000,343500,55854,-2.275960170697013
2024-06-05,344500,344500,337500,339000,27821,-1.3100436681222707
2024-06-07,341500,344500,339000,343500,26394,1.3274336283185841
2024-06-10,338500,367000,336500,363000,94217,5.676855895196507
2024-06-11,366500,372000,361000,362500,46997,-0.13774104683195593
2024-06-12,361500,375000,357000,374500,58646,3.310344827586207
2024-06-13,377000,386500,371000,374000,98357,-0.13351134846461948
2024-06-14,372000,391500,369500,382000,77574,2.13903743315508
2024-06-17,385500,394000,379000,389500,68517,1.963350785340314
2024-06-18,393500,399500,388000,396500,68725,1.797175866495507
2024-06-19,396000,399000,385000,396000,69261,-0.12610340479192939
2024-06-20,392500,400000,388000,394000,44119,-0.5050505050505051
2024-06-21,390500,393500,382000,390500,51141,-0.8883248730964468
2024-06-24,391500,398500,385000,393000,41338,0.6402048655569782
2024-06-25,396500,401500,391000,397500,46847,1.1450381679389312
2024-06-26,397500,407500,393000,398000,54498,0.12578616352201258
2024-06-27,394000,394500,373500,376000,76662,-5.527638190954774
2024-06-28,378000,388000,372500,385500,43021,2.5265957446808507
2024-07-01,382000,382000,367000,369000,51954,-4.280155642023346
2024-07-02,365500,371500,363500,370000,36995,0.27100271002710025
2024-07-03,369000,370000,359000,365500,36511,-1.2162162162162162
2024-07-04,368500,375000,361000,365500,43590,0.0
2024-07-05,366500,369000,360000,364000,42592,-0.4103967168262654
2024-07-08,363000,374000,360000,371500,31210,2.0604395604395602
2024-07-09,374000,374000,368000,373500,27832,0.5383580080753702
2024-07-10,370000,374500,364500,366000,29025,-2.0080321285140563
2024-07-11,367500,371000,364500,367500,36412,0.4098360655737705
2024-07-12,372000,372000,364500,370500,20207,0.8163265306122449
2024-07-15,373000,377000,368000,371500,19437,0.2699055330634278
2024-07-16,373000,379000,369500,372500,28338,0.2691790040376851
2024-07-17,372500,379500,372500,379500,33443,1.8791946308724832
2024-07-18,381500,381500,372500,379500,22549,0.0
2024-07-19,375500,375500,365000,371000,20406,-2.2397891963109355
2024-07-22,369500,371000,360500,365500,25727,-1.482479784366577
