날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,6060,6140,6060,6120,5127,0.9900990099009901
2024-06-04,6070,6150,6070,6080,9911,-0.6535947712418301
2024-06-05,6090,6130,6060,6110,13411,0.4934210526315789
2024-06-07,6130,6150,6080,6120,6946,0.16366612111292964
2024-06-10,6090,6280,6070,6080,9493,-0.6535947712418301
2024-06-11,6080,6130,6040,6100,7873,0.3289473684210526
2024-06-12,6140,6140,6040,6090,12224,-0.16393442622950818
2024-06-13,6100,6110,6050,6100,9794,0.16420361247947454
2024-06-14,6100,6100,6060,6060,4365,-0.6557377049180327
2024-06-17,6120,6120,6040,6060,13145,0.0
2024-06-18,6060,6080,6010,6020,13101,-0.6600660066006601
2024-06-19,6020,6060,5970,5980,9270,-0.6644518272425249
2024-06-20,5920,6040,5830,5910,40670,-1.1705685618729096
2024-06-21,5910,5940,5870,5920,7441,0.1692047377326565
2024-06-24,5950,6510,5890,6120,575526,3.3783783783783785
2024-06-25,6130,6130,6040,6110,37600,-0.16339869281045752
2024-06-26,6110,6120,6070,6090,21791,-0.32733224222585927
2024-06-27,6050,6130,6050,6120,11676,0.49261083743842365
2024-06-28,6080,6160,6070,6140,18429,0.32679738562091504
2024-07-01,6180,6230,6140,6170,20015,0.4885993485342019
2024-07-02,6190,6200,6130,6130,18667,-0.6482982171799028
2024-07-03,6120,6220,6120,6170,23311,0.6525285481239804
2024-07-04,6200,6200,6130,6160,10634,-0.1620745542949757
2024-07-05,6180,6230,6160,6220,15870,0.974025974025974
2024-07-08,6160,6190,6090,6110,12311,-1.7684887459807075
2024-07-09,6130,6150,6050,6060,8182,-0.8183306055646482
2024-07-10,6010,6070,5950,6060,27506,0.0
2024-07-11,6060,6070,6000,6050,11404,-0.16501650165016502
2024-07-12,6050,6650,5890,5950,350729,-1.6528925619834711
2024-07-15,5950,6040,5950,6020,17233,1.1764705882352942
2024-07-16,5990,6040,5980,5990,9690,-0.4983388704318937
2024-07-17,6040,6060,5990,6040,8059,0.8347245409015025
2024-07-18,6040,6050,5970,6010,17889,-0.49668874172185434
2024-07-19,6000,6010,5960,6000,20867,-0.16638935108153077
2024-07-22,6050,6050,5940,5990,4885,-0.16666666666666669
2024-07-23,5900,5960,5900,5910,24784,-1.335559265442404
