날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,69900,71300,68600,71000,1284,1.7191977077363898
2024-06-04,70200,72300,69100,69200,1134,-2.535211267605634
2024-06-05,69200,69900,67100,68200,946,-1.4450867052023122
2024-06-07,68300,69200,68200,68900,569,1.0263929618768328
2024-06-10,68900,69500,68700,69500,401,0.8708272859216255
2024-06-11,69400,69800,69400,69600,368,0.14388489208633093
2024-06-12,69600,69900,69200,69700,547,0.14367816091954022
2024-06-13,69600,70000,69600,69700,769,0.0
2024-06-14,69700,70000,69100,69900,621,0.2869440459110474
2024-06-17,69900,70100,69200,69900,693,0.0
2024-06-18,69800,70000,69500,69900,664,0.0
2024-06-19,69900,70100,69500,70000,1248,0.14306151645207438
2024-06-20,69700,70400,69500,69800,770,-0.2857142857142857
2024-06-21,69700,70200,69500,70100,742,0.42979942693409745
2024-06-24,69800,70100,69600,69900,511,-0.28530670470756064
2024-06-25,69600,70200,69600,70100,412,0.28612303290414876
2024-06-26,69800,70200,69700,70000,293,-0.14265335235378032
2024-06-27,70000,70100,69700,69900,313,-0.14285714285714285
2024-06-28,69900,70000,69600,70000,290,0.14306151645207438
2024-07-01,69700,69900,69300,69700,653,-0.4285714285714286
2024-07-02,69900,69900,68400,68400,1808,-1.8651362984218076
2024-07-03,67500,69300,67500,69300,1180,1.3157894736842104
2024-07-04,69300,69900,69300,69800,267,0.7215007215007215
2024-07-05,70000,70000,68600,69700,754,-0.14326647564469913
2024-07-08,69700,70000,69400,69900,259,0.2869440459110474
2024-07-09,69800,70000,69600,70000,287,0.14306151645207438
2024-07-10,70000,70000,69600,70000,323,0.0
2024-07-11,69800,70000,69800,70000,467,0.0
2024-07-12,69800,69900,69700,69900,242,-0.14285714285714285
2024-07-15,69800,69900,69500,69900,346,0.0
2024-07-16,69800,69900,69500,69900,503,0.0
2024-07-17,69700,70000,69600,69900,491,0.0
2024-07-18,69700,69900,68800,69100,2417,-1.144492131616595
2024-07-19,69300,69300,69100,69100,408,0.0
2024-07-22,69100,69200,68200,68500,348,-0.8683068017366137
2024-07-23,69000,69300,68500,69100,318,0.8759124087591241
2024-07-24,69100,69300,68600,69200,338,0.1447178002894356
2024-07-25,69200,69200,68200,68600,708,-0.8670520231213872
