날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,105300,106200,101500,105400,104294,1.8357487922705313
2024-06-04,103400,105300,102800,104700,106528,-0.6641366223908919
2024-06-05,104300,105400,103100,104200,112127,-0.4775549188156638
2024-06-07,105000,107200,104200,105600,144149,1.3435700575815739
2024-06-10,104000,108000,103100,106800,85917,1.1363636363636365
2024-06-11,107100,109300,105000,105100,155352,-1.5917602996254683
2024-06-12,105100,106300,102100,103000,86524,-1.9980970504281639
2024-06-13,102300,107600,102300,103200,210723,0.1941747572815534
2024-06-14,102200,105000,101500,103800,127813,0.5813953488372093
2024-06-17,102800,104300,101800,103100,61281,-0.674373795761079
2024-06-18,104100,104600,101400,103400,81091,0.2909796314258002
2024-06-19,104000,106500,102900,106200,95640,2.7079303675048356
2024-06-20,105800,111300,105000,110700,146747,4.23728813559322
2024-06-21,110200,111300,107900,111100,179176,0.36133694670280037
2024-06-24,111100,111400,105400,107700,149305,-3.0603060306030603
2024-06-25,108700,110100,107300,110100,103216,2.2284122562674096
2024-06-26,108100,111100,107500,110000,107664,-0.09082652134423251
2024-06-27,108200,111000,108200,110300,113971,0.27272727272727276
2024-06-28,110700,115400,110300,114500,175295,3.8077969174977335
2024-07-01,114000,115200,108800,109000,123258,-4.8034934497816595
2024-07-02,108000,120700,108000,114400,285068,4.954128440366973
2024-07-03,113000,115400,111500,111500,150700,-2.534965034965035
2024-07-04,111500,114500,111000,114500,123283,2.690582959641256
2024-07-05,115200,119000,114600,115500,132570,0.8733624454148471
2024-07-08,113500,114900,110500,110700,125478,-4.1558441558441555
2024-07-09,111100,111300,103700,105800,355026,-4.426377597109305
2024-07-10,106400,109300,104800,107200,192725,1.3232514177693762
2024-07-11,108200,111200,107900,108700,112971,1.3992537313432836
2024-07-12,109700,109800,106000,108100,95312,-0.5519779208831647
2024-07-15,107900,109400,105700,105800,113951,-2.127659574468085
2024-07-16,106800,107500,105000,105300,160822,-0.4725897920604915
2024-07-17,106200,106300,103100,104700,113632,-0.5698005698005698
2024-07-18,105700,106400,103500,104800,113552,0.09551098376313276
2024-07-19,103800,105800,103300,105800,130353,0.9541984732824428
2024-07-22,105300,107100,103500,105600,126482,-0.1890359168241966
2024-07-23,106800,110200,106100,106300,116189,0.6628787878787878
2024-07-24,105300,108000,105200,106300,54226,0.0
2024-07-25,107900,107900,103300,104900,120564,-1.317027281279398
2024-07-26,104300,109200,104300,107000,150512,2.001906577693041
2024-07-29,107600,111000,106600,108700,143732,1.588785046728972
2024-07-30,107800,109900,106800,108300,130349,-0.36798528058877644
2024-07-31,109300,111100,108300,110500,192497,2.0313942751615883
2024-08-01,108300,110500,107200,109100,169383,-1.2669683257918551
2024-08-02,108200,109000,103400,104000,174421,-4.674610449129239
2024-08-05,100800,101700,94100,95800,217240,-7.884615384615384
2024-08-06,98600,100900,96500,99000,154857,3.3402922755741122
