날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,4180,4180,4120,4150,33133,0.48426150121065376
2024-06-04,4175,4175,4080,4120,47608,-0.7228915662650602
2024-06-05,4140,4155,4085,4145,23076,0.6067961165048543
2024-06-07,4145,4155,4115,4155,18300,0.24125452352231602
2024-06-10,4155,4240,4000,4140,20236,-0.36101083032490977
2024-06-11,4155,4245,4085,4130,35540,-0.24154589371980675
2024-06-12,4180,4180,4080,4100,54071,-0.7263922518159807
2024-06-13,4130,4140,4085,4100,51497,0.0
2024-06-14,4100,4140,4075,4100,35586,0.0
2024-06-17,4130,4130,4095,4110,13797,0.24390243902439024
2024-06-18,4120,4150,4085,4130,15627,0.48661800486618007
2024-06-19,4130,4155,4115,4135,27027,0.12106537530266344
2024-06-20,4140,4320,4130,4300,124233,3.990326481257558
2024-06-21,4260,4320,4220,4290,62175,-0.23255813953488372
2024-06-24,4335,4335,4230,4280,59788,-0.2331002331002331
2024-06-25,4250,4300,4250,4295,36983,0.35046728971962615
2024-06-26,4290,4330,4275,4320,47281,0.5820721769499418
2024-06-27,4320,4325,4285,4320,21085,0.0
2024-06-28,4320,4370,4275,4345,52835,0.5787037037037037
2024-07-01,4345,4355,4310,4330,22654,-0.34522439585730724
2024-07-02,4350,4395,4300,4330,53927,0.0
2024-07-03,4330,4450,4325,4435,118465,2.424942263279446
2024-07-04,4455,4530,4405,4480,74499,1.0146561443066515
2024-07-05,4520,4530,4455,4490,55835,0.2232142857142857
2024-07-08,4460,4500,4375,4455,84569,-0.779510022271715
2024-07-09,4470,4470,4365,4395,34002,-1.3468013468013467
2024-07-10,4370,4395,4295,4385,51798,-0.22753128555176336
2024-07-11,4400,4465,4390,4460,54545,1.7103762827822122
2024-07-12,4460,4475,4380,4435,44045,-0.5605381165919282
2024-07-15,4430,4490,4430,4480,70044,1.0146561443066515
2024-07-16,4480,4575,4465,4535,55423,1.2276785714285714
2024-07-17,4535,4600,4430,4470,62522,-1.4332965821389196
2024-07-18,4470,4515,4400,4515,55323,1.006711409395973
2024-07-19,4505,4520,4410,4475,27507,-0.8859357696566998
2024-07-22,4470,4485,4330,4460,51627,-0.33519553072625696
2024-07-23,4460,4465,4420,4460,40986,0.0
2024-07-24,4420,4475,4410,4435,33126,-0.5605381165919282
