날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,40600,42150,40600,41650,358205,2.7127003699136867
2024-06-04,41250,43150,41250,42750,361924,2.6410564225690276
2024-06-05,43250,44150,42500,43150,406745,0.9356725146198831
2024-06-07,43450,44000,42900,43450,206394,0.6952491309385863
2024-06-10,42900,43400,42150,42750,209538,-1.611047180667434
2024-06-11,42750,43100,42050,42700,219402,-0.11695906432748539
2024-06-12,42600,43600,42350,42950,251624,0.5854800936768151
2024-06-13,43500,43850,40500,40600,1685959,-5.471478463329453
2024-06-14,40750,40950,40200,40200,366777,-0.9852216748768473
2024-06-17,40550,44750,40550,43650,1422659,8.582089552238806
2024-06-18,44200,46450,43550,45400,1793233,4.009163802978236
2024-06-19,45550,46650,45000,45850,1021852,0.9911894273127754
2024-06-20,48800,58900,47300,57100,15710176,24.53653217011996
2024-06-21,55900,55900,52200,52200,3406348,-8.581436077057793
2024-06-24,52800,53800,51300,53400,1964277,2.2988505747126435
2024-06-25,51700,53000,50200,51400,1339215,-3.7453183520599254
2024-06-26,51800,52300,49900,50200,936375,-2.3346303501945527
2024-06-27,49850,50000,48250,48350,818088,-3.6852589641434266
2024-06-28,48500,49600,47300,48900,862740,1.1375387797311272
2024-07-01,48500,49700,48100,48400,500152,-1.0224948875255624
2024-07-02,48400,48850,46800,47350,591404,-2.169421487603306
2024-07-03,48200,49500,47550,49000,1053287,3.4846884899683213
2024-07-04,50100,52500,49750,52000,1568150,6.122448979591836
2024-07-05,51600,51800,50100,50900,671978,-2.1153846153846154
2024-07-08,50900,51900,50300,50800,327593,-0.19646365422396855
2024-07-09,51100,52300,49500,52000,812905,2.3622047244094486
2024-07-10,51800,51800,50400,50600,408133,-2.6923076923076925
2024-07-11,50800,51300,49950,50700,419064,0.1976284584980237
2024-07-12,49850,50500,48450,50300,457890,-0.7889546351084813
2024-07-15,50100,52500,48950,52200,582363,3.7773359840954273
2024-07-16,51700,53000,51300,52600,521156,0.7662835249042145
2024-07-17,52500,55500,52300,53500,1758849,1.7110266159695817
2024-07-18,52400,53900,51600,53900,585052,0.7476635514018692
2024-07-19,53500,55400,53000,55000,875528,2.0408163265306123
2024-07-22,54400,55700,52500,53700,709808,-2.3636363636363638
2024-07-23,54300,55300,52700,52700,478539,-1.86219739292365
2024-07-24,52200,53100,51200,52400,408235,-0.5692599620493358
2024-07-25,51800,52000,49400,50800,460406,-3.0534351145038165
2024-07-26,50600,53100,50600,52700,350185,3.740157480314961
2024-07-29,52800,53200,51200,51300,364724,-2.6565464895635675
2024-07-30,51000,51400,49150,51300,399821,0.0
2024-07-31,50900,54700,50700,54300,636946,5.847953216374268
2024-08-01,56000,56500,54000,54500,817975,0.3683241252302026
2024-08-02,52500,52900,48700,48700,914988,-10.642201834862385
2024-08-05,47200,47850,40050,42250,996549,-13.244353182751539
2024-08-06,43500,44500,42700,43200,781551,2.2485207100591715
2024-08-07,43050,43500,41150,41300,862917,-4.398148148148148
2024-08-08,41100,41800,40300,40750,601171,-1.331719128329298
2024-08-09,42400,43000,41600,41950,496335,2.9447852760736195
2024-08-12,41750,44400,41750,43800,508714,4.410011918951132
2024-08-13,44000,44100,42550,43150,287730,-1.4840182648401825
2024-08-14,44000,44100,42000,42550,515995,-1.3904982618771726
2024-08-16,43500,43700,42450,43600,543252,2.4676850763807283
2024-08-19,43700,43750,42400,42650,280644,-2.1788990825688073
2024-08-20,43100,43850,42350,42400,479142,-0.5861664712778429
2024-08-21,42350,42850,42000,42500,266358,0.2358490566037736
2024-08-22,42850,42850,41700,41850,236878,-1.5294117647058825
2024-08-23,41350,41550,40750,41100,246417,-1.7921146953405016
2024-08-26,41500,41500,40200,40350,262373,-1.824817518248175
2024-08-27,40050,40850,40050,40450,204926,0.24783147459727387
2024-08-28,40500,41750,40250,41650,329110,2.966625463535229
2024-08-29,40600,41100,40450,40850,219702,-1.9207683073229291
2024-08-30,41300,41350,40600,40750,227334,-0.24479804161566704
2024-09-02,41200,41200,40400,40500,195939,-0.6134969325153374
2024-09-03,40500,40700,40100,40300,179698,-0.49382716049382713
2024-09-04,38650,39150,37850,38050,478282,-5.583126550868486
2024-09-05,38200,38900,37400,37400,253822,-1.7082785808147174
2024-09-06,37350,37900,36500,36500,231226,-2.406417112299465
2024-09-09,35200,36900,35200,36650,116073,0.410958904109589
2024-09-10,36750,37200,36200,36700,147218,0.1364256480218281
2024-09-11,36500,36850,35500,35700,221593,-2.7247956403269753
2024-09-12,36350,37300,36250,36650,343739,2.661064425770308
2024-09-13,36600,37600,36200,37600,182023,2.592087312414734
2024-09-19,37450,37600,36400,37000,194231,-1.5957446808510638
2024-09-20,37700,37700,36150,36150,300953,-2.2972972972972974
2024-09-23,36350,38050,36150,37950,305829,4.979253112033195
2024-09-24,38000,42250,37500,40200,1740189,5.928853754940711
2024-09-25,40500,41250,40150,40200,577871,0.0
2024-09-26,41150,41650,40650,40900,357045,1.7412935323383085
2024-09-27,40350,40950,40350,40600,192292,-0.7334963325183375
2024-09-30,40050,40900,39600,40300,222645,-0.7389162561576355
2024-10-02,39650,41400,39450,40450,227110,0.37220843672456577
2024-10-04,40500,41200,40500,40750,123310,0.7416563658838072
2024-10-07,41150,41650,40700,41350,146210,1.4723926380368098
2024-10-08,41200,41700,40050,40150,204894,-2.902055622732769
2024-10-10,40650,40800,39800,39800,243209,-0.8717310087173101
2024-10-11,39850,40950,39800,40500,292325,1.7587939698492463
2024-10-14,40900,41850,40650,41450,269135,2.345679012345679
2024-10-15,41950,41950,40800,40850,162499,-1.4475271411338964
2024-10-16,40500,41050,40000,40300,177932,-1.346389228886169
2024-10-17,40950,41000,40150,40200,106100,-0.24813895781637718
2024-10-18,40150,40500,38550,38650,204572,-3.8557213930348255
2024-10-21,38550,39000,37700,37850,294927,-2.069857697283312
2024-10-22,37700,38050,36350,36800,314394,-2.7741083223249667
2024-10-23,36500,37150,35800,36900,288303,0.2717391304347826
2024-10-24,36500,37100,36050,36050,200197,-2.303523035230352
2024-10-25,36200,36600,35250,35600,216022,-1.248266296809986
2024-10-28,35500,37100,35500,37050,133134,4.073033707865169
2024-10-29,37000,37550,36450,37550,119825,1.349527665317139
2024-10-30,37500,38250,37100,37250,121893,-0.7989347536617843
2024-10-31,37000,39000,36750,39000,217349,4.697986577181208
2024-11-01,38100,38450,37250,37250,125991,-4.487179487179487
2024-11-04,37350,37850,36900,37350,144791,0.2684563758389262
2024-11-05,37600,38250,37100,37800,132880,1.2048192771084338
2024-11-06,37800,38000,36250,36600,189505,-3.1746031746031744
2024-11-07,36450,36950,35900,36100,183544,-1.366120218579235
2024-11-08,36200,36700,35750,36000,159420,-0.2770083102493075
2024-11-11,36000,36000,33700,34000,402981,-5.555555555555555
2024-11-12,33700,34000,32250,32550,388563,-4.264705882352941
