날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,23925,24165,23830,24165,55441,1.206181681115718
2024-06-04,24069,25169,24021,24404,82638,0.989033726463894
2024-06-05,24404,24739,24212,24739,37553,1.3727257826585806
2024-06-07,24834,24834,24116,24404,57721,-1.3541371922874812
2024-06-10,24642,24642,23925,24260,32371,-0.5900672020980168
2024-06-11,24021,24451,23829,24356,82626,0.39571310799670245
2024-06-12,24355,24451,23685,23877,76504,-1.966661192314009
2024-06-13,23925,23925,23303,23303,77365,-2.4039871005570217
2024-06-14,23064,23877,22920,23830,221460,2.2615113933828264
2024-06-17,23924,24068,23685,23877,80658,0.19723038187159045
2024-06-18,23685,24164,23685,23925,169186,0.201030280185953
2024-06-19,23877,23877,23351,23782,109275,-0.5977011494252874
2024-06-20,23829,24212,23685,24212,199616,1.8080901522159618
2024-06-21,24117,24739,24117,24452,127413,0.9912440112340989
2024-06-24,24547,24643,24212,24452,137199,0.0
2024-06-25,24403,24643,24308,24643,78526,0.7811221985931621
2024-06-26,24642,26413,24642,26174,446577,6.2127176074341595
2024-06-27,26173,27513,26126,26796,341528,2.376404065102774
2024-06-28,27035,27657,26891,27466,247710,2.500373190028362
2024-07-01,27753,27753,26748,27610,148884,0.5242845700138353
2024-07-02,27562,27849,27227,27610,141437,0.0
2024-07-03,27561,27944,26796,27131,125908,-1.7348786671495837
2024-07-04,27178,27465,25695,25839,172195,-4.7620802771737125
2024-07-05,25839,26413,24930,25648,124289,-0.7391926932156817
2024-07-08,25552,26413,25552,26222,85152,2.2379912663755457
2024-07-09,25887,26413,25121,25600,97348,-2.372054000457631
2024-07-10,25743,26078,25169,26031,59380,1.6835937499999998
2024-07-11,26126,26557,26126,26366,105002,1.2869271253505434
2024-07-12,26508,27035,26269,26796,102198,1.6308882651900174
2024-07-15,27083,27179,26700,26892,67239,0.35826242722794444
2024-07-16,26796,26987,26700,26940,46197,0.178491744756805
2024-07-17,26987,26987,26604,26844,63134,-0.35634743875278396
2024-07-18,26605,26844,26413,26701,59351,-0.5327074951572046
2024-07-19,26987,26987,26652,26940,47785,0.8950975618890679
2024-07-22,26891,27131,26748,26844,81321,-0.35634743875278396
2024-07-23,26939,26939,26748,26892,41067,0.17881090746535538
2024-07-24,26796,27849,26796,27658,123882,2.8484307600773464
2024-07-25,27562,27944,26940,27610,103921,-0.1735483404439945
2024-07-26,27609,27849,27322,27849,67748,0.8656283955088736
2024-07-29,27849,28375,27849,28184,86924,1.20291572408345
2024-07-30,28136,28231,28040,28184,65390,0.0
2024-07-31,28136,28231,27801,28184,68122,0.0
2024-08-01,28231,28901,28135,28710,214672,1.8663071246097076
2024-08-02,28567,28806,28136,28567,134089,-0.4980842911877395
2024-08-05,28471,28471,23447,25074,228437,-12.22739524626317
2024-08-06,25456,27083,25456,27083,150026,8.012283640424343
2024-08-07,26844,28279,26844,28136,116208,3.8880478528966513
2024-08-08,28040,28519,27849,28519,122371,1.3612453795848733
2024-08-09,28710,29428,28662,28902,144763,1.3429643395630984
2024-08-12,28949,29188,28853,29093,77702,0.6608539201439347
2024-08-13,29236,29284,28949,29093,56118,0.0
2024-08-14,29045,29284,28901,29189,71622,0.32997628295466264
2024-08-16,29236,29284,28949,29093,49117,-0.3288910205899483
2024-08-19,29093,29093,28040,28854,95123,-0.8215034544392121
2024-08-20,28805,28853,27848,28375,104686,-1.6600817910861578
2024-08-21,28423,28614,27992,28519,29974,0.507488986784141
2024-08-22,28471,28758,28327,28471,32473,-0.16830884673375643
2024-08-23,28471,28519,27561,28519,55965,0.1685926029995434
2024-08-26,28423,28710,28375,28471,45708,-0.16830884673375643
2024-08-27,28471,28949,28471,28902,84392,1.5138210811000667
2024-08-28,28949,29045,28519,28902,47543,0.0
