날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,420,489,417,473,42252436,15.365853658536585
2024-06-04,478,482,434,446,18716527,-5.708245243128964
2024-06-05,448,465,414,422,10553673,-5.381165919282512
2024-06-07,424,426,408,413,3829817,-2.132701421800948
2024-06-10,413,472,412,455,18804755,10.16949152542373
2024-06-11,455,474,445,455,7746512,0.0
2024-06-12,456,580,446,546,58639602,20.0
2024-06-13,556,610,528,600,27475158,9.89010989010989
2024-06-14,599,600,535,536,12506877,-10.666666666666668
2024-06-17,531,593,518,563,12049590,5.037313432835821
2024-06-18,565,628,559,615,19143701,9.236234458259325
2024-06-19,620,633,596,600,10254044,-2.4390243902439024
2024-06-20,610,612,567,579,6513172,-3.5000000000000004
2024-06-21,580,605,561,562,4210572,-2.936096718480138
2024-06-24,560,592,548,571,4283501,1.601423487544484
2024-06-25,568,600,561,579,3933460,1.4010507880910683
2024-06-26,586,602,581,584,2378698,0.8635578583765112
2024-06-27,585,588,574,580,1440055,-0.684931506849315
2024-06-28,583,598,575,584,2771191,0.6896551724137931
2024-07-01,586,587,569,570,2826929,-2.3972602739726026
2024-07-02,572,585,560,571,1756781,0.17543859649122806
2024-07-03,565,586,565,586,2219662,2.626970227670753
2024-07-04,586,613,575,606,3762380,3.4129692832764507
2024-07-05,605,606,590,600,1830580,-0.9900990099009901
2024-07-08,600,675,598,658,11112522,9.666666666666666
2024-07-09,661,673,635,645,4261138,-1.9756838905775076
2024-07-10,635,663,631,654,2550987,1.3953488372093024
2024-07-11,654,662,647,650,941900,-0.6116207951070336
2024-07-12,650,654,617,620,2358507,-4.615384615384616
2024-07-15,620,627,587,605,2964468,-2.4193548387096775
2024-07-16,607,627,591,615,1556021,1.6528925619834711
2024-07-17,615,618,585,589,1849790,-4.227642276422764
2024-07-18,588,588,561,570,2786902,-3.225806451612903
2024-07-19,566,610,545,592,3656042,3.8596491228070176
2024-07-22,590,622,588,596,3014310,0.6756756756756757
2024-07-23,599,611,588,600,1941607,0.6711409395973155
2024-07-24,591,636,591,620,2413882,3.3333333333333335
2024-07-25,618,625,583,583,2751743,-5.967741935483871
2024-07-26,583,591,580,585,1137145,0.34305317324185247
2024-07-29,586,595,579,593,819247,1.3675213675213675
2024-07-30,597,597,575,583,1103350,-1.6863406408094435
2024-07-31,583,584,569,580,1088964,-0.5145797598627788
2024-08-01,580,588,574,581,593340,0.1724137931034483
2024-08-02,578,578,557,566,1431331,-2.5817555938037864
2024-08-05,580,580,490,510,3488414,-9.89399293286219
2024-08-06,510,541,509,529,1288958,3.7254901960784315
2024-08-07,529,535,526,530,905880,0.1890359168241966
2024-08-08,526,532,516,526,1060373,-0.7547169811320755
2024-08-09,532,550,528,541,696242,2.8517110266159698
2024-08-12,544,552,538,547,748477,1.1090573012939002
2024-08-13,547,554,533,540,998211,-1.2797074954296161
2024-08-14,544,548,539,539,463006,-0.1851851851851852
2024-08-16,517,532,487,500,4407084,-7.235621521335807
2024-08-19,510,510,498,500,758905,0.0
2024-08-20,501,509,499,505,800263,1.0
2024-08-21,503,509,499,501,493251,-0.7920792079207921
2024-08-22,501,506,495,501,970051,0.0
2024-08-23,501,502,490,495,828727,-1.1976047904191618
2024-08-26,495,495,478,480,1050370,-3.0303030303030303
2024-08-27,479,486,469,483,516691,0.625
2024-08-28,487,487,462,471,1004435,-2.484472049689441
2024-08-29,456,473,414,448,4492617,-4.8832271762208075
2024-08-30,450,451,438,444,1234634,-0.8928571428571428
2024-09-02,444,459,439,454,1037227,2.2522522522522523
2024-09-03,461,461,440,442,668246,-2.643171806167401
2024-09-04,429,442,427,435,456932,-1.583710407239819
2024-09-05,434,440,423,437,351047,0.45977011494252873
2024-09-06,437,451,425,440,545420,0.6864988558352403
2024-09-09,440,446,427,439,868244,-0.22727272727272727
2024-09-10,439,440,412,415,1028724,-5.466970387243736
2024-09-11,415,423,387,390,4783102,-6.024096385542169
2024-09-12,392,440,390,413,3483180,5.897435897435897
2024-09-13,415,421,406,420,664248,1.694915254237288
2024-09-19,420,423,408,410,818805,-2.380952380952381
2024-09-20,411,422,403,411,620134,0.24390243902439024
2024-09-23,415,434,409,427,767908,3.8929440389294405
2024-09-24,427,449,420,446,934802,4.449648711943794
2024-09-25,446,452,435,441,467424,-1.1210762331838564
2024-09-26,441,445,420,428,734729,-2.947845804988662
2024-09-27,428,436,425,432,346183,0.9345794392523363
2024-09-30,427,439,413,420,722922,-2.7777777777777777
2024-10-02,420,420,396,398,2512003,-5.238095238095238
2024-10-04,399,401,389,391,947254,-1.7587939698492463
2024-10-07,397,400,389,398,518690,1.7902813299232736
2024-10-08,394,408,383,395,944184,-0.7537688442211055
2024-10-10,392,398,386,388,452866,-1.7721518987341773
2024-10-11,394,397,390,390,392543,0.5154639175257731
2024-10-14,390,394,378,389,660922,-0.2564102564102564
2024-10-15,389,396,388,391,474870,0.5141388174807198
2024-10-16,391,395,387,389,519635,-0.5115089514066496
2024-10-17,389,394,385,391,485734,0.5141388174807198
2024-10-18,390,390,380,384,574759,-1.7902813299232736
2024-10-21,384,387,377,379,419604,-1.3020833333333335
2024-10-22,380,394,375,385,686339,1.58311345646438
2024-10-23,385,406,385,399,788610,3.6363636363636362
2024-10-24,400,430,398,415,1730552,4.010025062656641
2024-10-25,414,418,398,405,717440,-2.4096385542168677
2024-10-28,400,420,397,408,662748,0.7407407407407408
2024-10-29,403,415,398,400,570518,-1.9607843137254901
2024-10-30,400,410,400,403,448806,0.75
2024-10-31,409,410,402,406,310931,0.7444168734491315
2024-11-01,401,415,401,407,507815,0.24630541871921183
2024-11-04,402,410,396,399,1059472,-1.9656019656019657
2024-11-05,400,409,399,406,788034,1.7543859649122806
2024-11-06,410,438,408,432,2512029,6.403940886699508
2024-11-07,433,449,428,438,12901154,1.3888888888888888
2024-11-08,442,514,442,490,7729326,11.87214611872146
2024-11-11,498,510,483,509,2924820,3.877551020408163
2024-11-12,509,548,498,520,3673169,2.161100196463654
2024-11-13,520,530,505,517,1202672,-0.576923076923077
2024-11-14,500,520,500,519,871408,0.3868471953578337
2024-11-15,519,548,518,542,3217094,4.431599229287091
2024-11-18,560,569,516,535,9222928,-1.2915129151291513
2024-11-19,538,550,533,536,575452,0.1869158878504673
2024-11-20,536,545,483,511,1837327,-4.664179104477612
2024-11-21,505,520,505,519,646976,1.5655577299412915
2024-11-22,518,535,490,525,1027187,1.1560693641618496
2024-11-25,532,532,491,491,1287624,-6.476190476190475
2024-11-26,492,522,488,515,1508686,4.887983706720977
2024-11-27,0,0,0,515,0,0.0
2024-11-28,0,0,0,515,0,0.0
2024-11-29,0,0,0,515,0,0.0
2024-12-02,0,0,0,515,0,0.0
2024-12-03,0,0,0,515,0,0.0
