날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,23700,23950,23350,23900,2909,0.8438818565400843
2024-06-04,23500,24250,23500,23850,7028,-0.20920502092050208
2024-06-05,23450,24100,23450,23950,2392,0.41928721174004197
2024-06-07,23950,23950,23650,23700,586,-1.0438413361169103
2024-06-10,23750,23750,23450,23600,1315,-0.42194092827004215
2024-06-11,23600,24050,23500,23550,1368,-0.211864406779661
2024-06-12,23950,23950,23600,23800,398,1.0615711252653928
2024-06-13,24000,29500,23850,24800,199996,4.201680672268908
2024-06-14,24100,24400,23500,23800,23220,-4.032258064516129
2024-06-17,24350,24350,23550,23800,4228,0.0
2024-06-18,23600,24000,23400,23600,12802,-0.8403361344537815
2024-06-19,23450,23750,23350,23500,3089,-0.423728813559322
2024-06-20,23500,24150,23200,23800,10887,1.276595744680851
2024-06-21,23900,23900,23350,23450,3323,-1.4705882352941175
2024-06-24,23450,23700,23200,23250,2415,-0.8528784648187633
2024-06-25,23250,23600,23000,23500,4370,1.0752688172043012
2024-06-26,23500,23500,23150,23300,2274,-0.851063829787234
2024-06-27,23300,23300,22900,23100,2227,-0.8583690987124464
2024-06-28,22850,23100,22750,23000,11849,-0.4329004329004329
2024-07-01,23000,23300,22900,23100,2927,0.43478260869565216
2024-07-02,23100,23100,22550,22700,2962,-1.7316017316017316
2024-07-03,22900,23100,22300,22400,6276,-1.3215859030837005
2024-07-04,22500,22500,21950,22100,43802,-1.3392857142857142
2024-07-05,22700,22700,22100,22100,1321,0.0
2024-07-08,22500,22500,22000,22100,1190,0.0
2024-07-09,22200,22600,22000,22150,624,0.22624434389140274
2024-07-10,22250,22250,22100,22250,475,0.4514672686230248
2024-07-11,22500,22500,22050,22300,2199,0.22471910112359553
2024-07-12,22300,23300,22250,22550,2281,1.1210762331838564
2024-07-15,22550,23250,22550,23250,2746,3.1042128603104215
2024-07-16,23250,23450,23050,23250,3472,0.0
2024-07-17,23300,23900,23250,23700,2896,1.935483870967742
2024-07-18,23700,23700,23200,23400,600,-1.2658227848101267
2024-07-19,23450,23450,22600,22850,4625,-2.3504273504273505
2024-07-22,23200,23350,22600,22650,797,-0.87527352297593
2024-07-23,23200,23200,22550,22550,468,-0.44150110375275936
2024-07-24,22500,22650,22300,22400,1255,-0.6651884700665188
2024-07-25,22500,22600,22000,22250,5203,-0.6696428571428571
2024-07-26,22800,23050,22000,22950,1260,3.146067415730337
2024-07-29,22950,23500,22700,23500,2594,2.3965141612200433
2024-07-30,23350,23550,23200,23550,1870,0.2127659574468085
2024-07-31,23750,23750,23300,23650,1706,0.42462845010615713
2024-08-01,23950,23950,23450,23650,1689,0.0
2024-08-02,22950,23650,22200,22500,5546,-4.862579281183932
2024-08-05,22500,22500,20350,20350,10391,-9.555555555555555
2024-08-06,20100,21300,20100,20650,3603,1.4742014742014742
2024-08-07,21300,21300,20400,20450,6394,-0.9685230024213075
2024-08-08,20850,21150,20250,20950,5613,2.444987775061125
2024-08-09,21800,21800,20950,21000,1309,0.23866348448687352
2024-08-12,21000,21400,20900,21400,802,1.9047619047619049
2024-08-13,21400,21950,21050,21200,533,-0.9345794392523363
2024-08-14,21900,21900,21050,21400,584,0.9433962264150944
2024-08-16,21500,21900,21400,21600,2944,0.9345794392523363
2024-08-19,21300,21600,21300,21600,1794,0.0
2024-08-20,21900,22000,21550,21900,1802,1.3888888888888888
2024-08-21,22100,22350,21950,22350,1156,2.054794520547945
2024-08-22,22500,22600,21800,22150,3188,-0.8948545861297539
2024-08-23,22500,22500,21850,22200,3304,0.2257336343115124
2024-08-26,22250,22550,22050,22150,10674,-0.22522522522522523
2024-08-27,22500,22500,21800,22250,7019,0.4514672686230248
2024-08-28,22400,22400,21850,22000,6723,-1.1235955056179776
2024-08-29,22450,22450,21850,22050,612,0.22727272727272727
2024-08-30,22550,22550,22050,22350,296,1.3605442176870748
2024-09-02,22350,22350,22000,22050,246,-1.342281879194631
2024-09-03,22100,22500,22000,22300,1874,1.1337868480725624
2024-09-04,22100,22300,21650,21900,1264,-1.7937219730941705
2024-09-05,22350,22350,21200,21250,10156,-2.968036529680365
2024-09-06,21500,21500,20650,20700,2604,-2.588235294117647
2024-09-09,20350,21100,20300,21100,2829,1.932367149758454
2024-09-10,20800,21250,20650,20700,1459,-1.8957345971563981
2024-09-11,21000,21000,20400,20650,1512,-0.24154589371980675
2024-09-12,20650,20900,20550,20800,1361,0.7263922518159807
2024-09-13,20950,21050,20900,20900,558,0.4807692307692308
2024-09-19,20900,21000,20750,21000,1037,0.4784688995215311
2024-09-20,21100,21500,20800,20800,2495,-0.9523809523809524
2024-09-23,20850,21250,20600,20650,2729,-0.7211538461538461
2024-09-24,20900,21000,20550,20800,749,0.7263922518159807
2024-09-25,20850,21050,20600,20700,2186,-0.4807692307692308
