날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,18000,18000,17650,17870,3933,-0.11179429849077697
2024-06-04,17990,18470,17700,18250,7856,2.1264689423614995
2024-06-05,18380,18870,17950,18370,2988,0.6575342465753425
2024-06-07,18400,18470,18020,18340,734,-0.16330974414806748
2024-06-10,18000,18330,17980,17990,1015,-1.9083969465648856
2024-06-11,18330,18330,17820,17830,2056,-0.8893829905503057
2024-06-12,18100,18190,17660,17660,7501,-0.9534492428491307
2024-06-13,18320,22950,18320,22950,1405488,29.95469988674972
2024-06-14,21050,22450,19410,19810,691428,-13.681917211328976
2024-06-17,19410,19990,18600,18800,136942,-5.098435133770822
2024-06-18,19010,20150,18470,18760,101321,-0.2127659574468085
2024-06-19,18610,18900,18500,18740,43181,-0.10660980810234541
2024-06-20,19150,21600,18240,19280,583377,2.88153681963714
2024-06-21,19010,19040,18260,18260,100917,-5.29045643153527
2024-06-24,18240,18450,17810,17870,57299,-2.135815991237678
2024-06-25,17900,18150,17760,18020,30863,0.8393956351426972
2024-06-26,18000,18090,17750,17750,24554,-1.4983351831298557
2024-06-27,17790,18110,17550,17580,37798,-0.9577464788732395
2024-06-28,17800,17800,17470,17470,19154,-0.6257110352673493
2024-07-01,17480,17770,17400,17480,11510,0.05724098454493417
2024-07-02,17480,17610,17100,17300,29794,-1.0297482837528604
2024-07-03,17400,17400,17030,17250,24590,-0.2890173410404624
2024-07-04,17250,17350,17060,17180,7355,-0.4057971014492754
2024-07-05,17200,17400,17130,17200,5705,0.11641443538998836
2024-07-08,17210,17560,17200,17280,5139,0.46511627906976744
2024-07-09,17400,17500,17150,17300,11210,0.11574074074074073
2024-07-10,17300,17370,17150,17270,4100,-0.17341040462427745
2024-07-11,17300,17750,17080,17440,13447,0.9843659525188188
2024-07-12,17570,17900,17410,17850,15161,2.3509174311926606
2024-07-15,17850,18200,17840,18150,11576,1.680672268907563
2024-07-16,18180,18180,17710,17980,6992,-0.9366391184573003
2024-07-17,17980,18200,17790,17970,40297,-0.05561735261401557
2024-07-18,17970,18190,17710,17880,10859,-0.5008347245409015
2024-07-19,17880,17880,17320,17510,12949,-2.069351230425056
2024-07-22,17590,17590,16850,16990,21089,-2.96973158195317
2024-07-23,17100,17190,17020,17040,3648,0.2942907592701589
2024-07-24,17130,17130,16770,16790,10595,-1.4671361502347418
2024-07-25,16790,16830,16490,16580,8228,-1.2507444907683145
2024-07-26,16580,17500,16510,17440,22763,5.1869722557297955
2024-07-29,18050,18050,17350,17530,5000,0.5160550458715597
2024-07-30,17530,17750,17400,17640,4939,0.6274957216200799
2024-07-31,17640,17930,17510,17690,5228,0.2834467120181406
2024-08-01,17980,17980,17480,17740,5105,0.2826455624646693
2024-08-02,17700,17700,16830,16870,9808,-4.904171364148816
2024-08-05,16850,16850,15230,15650,23611,-7.231772377000594
2024-08-06,15720,16150,15400,15660,13936,0.06389776357827476
2024-08-07,15650,15740,15310,15360,18674,-1.9157088122605364
2024-08-08,15410,15790,15100,15750,16107,2.5390625
2024-08-09,15610,16070,15610,15990,6350,1.5238095238095237
2024-08-12,16060,16250,15990,16250,3750,1.6260162601626018
2024-08-13,16300,16300,15700,16040,2675,-1.2923076923076922
2024-08-14,16350,16350,15950,16100,2803,0.3740648379052369
2024-08-16,16200,16300,15900,15930,5043,-1.0559006211180124
2024-08-19,15930,16040,15880,15960,2677,0.18832391713747645
2024-08-20,16240,16540,15950,16410,8707,2.819548872180451
2024-08-21,16410,17000,16410,16850,7072,2.681291895185862
2024-08-22,16950,16970,16510,16660,4890,-1.1275964391691393
2024-08-23,16980,16980,16500,16630,1340,-0.18007202881152462
2024-08-26,16630,17030,16630,16850,3958,1.32291040288635
2024-08-27,17000,17010,16610,16850,2519,0.0
2024-08-28,16600,17060,16590,16710,1481,-0.830860534124629
2024-08-29,16890,16900,16510,16710,2142,0.0
2024-08-30,16900,16900,16560,16840,5109,0.7779772591262717
2024-09-02,16840,16940,16730,16790,2412,-0.29691211401425177
2024-09-03,17070,17070,16750,16800,1589,0.05955926146515784
2024-09-04,16800,16800,16280,16450,3293,-2.083333333333333
