날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,16003,16143,15862,15983,39771,-0.12497656689370742
2024-06-04,16042,16283,15982,16223,42237,1.501595445160483
2024-06-05,16283,16503,15982,16223,76762,0.0
2024-06-07,16223,16283,15882,16063,40605,-0.9862540837083154
2024-06-10,16163,16163,15862,16123,42198,0.37352922866214283
2024-06-11,16122,16263,15922,16123,51234,0.0
2024-06-12,16043,16163,15943,15943,37804,-1.1164175401600198
2024-06-13,16222,17164,16182,16944,411111,6.278617575111333
2024-06-14,17004,17124,16403,16644,198019,-1.7705382436260624
2024-06-17,16683,16703,16202,16223,65329,-2.529440038452295
2024-06-18,16183,16303,16022,16103,48363,-0.7396905627812365
2024-06-19,16163,16163,15982,16003,48249,-0.6210022977085016
2024-06-20,16103,16103,15922,15963,42752,-0.24995313378741485
2024-06-21,15983,16023,15842,15863,64605,-0.6264486625321055
2024-06-24,15822,16003,15782,15863,54659,0.0
2024-06-25,15863,16003,15842,15863,28423,0.0
2024-06-26,15862,16103,15842,15923,51519,0.37823866859988653
2024-06-27,16103,16103,15902,15923,27449,0.0
2024-06-28,15902,16083,15862,15943,24389,0.12560447151918608
2024-07-01,16022,16163,15942,16103,34044,1.0035752367810324
2024-07-02,16103,16163,15863,15863,32047,-1.4904055145004036
2024-07-03,15863,15943,15782,15823,44339,-0.2521591123999244
2024-07-04,15822,16023,15822,15943,16765,0.7583896859002718
2024-07-05,15883,15983,15803,15803,66427,-0.8781283321834035
2024-07-08,15802,15983,15802,15883,22726,0.5062329937353667
2024-07-09,15983,15983,15882,15923,21353,0.25184159163885916
2024-07-10,15922,15983,15782,15943,50470,0.12560447151918608
2024-07-11,16143,17024,16103,16584,421211,4.020573292354011
2024-07-12,16463,16684,16243,16524,84276,-0.361794500723589
2024-07-15,16523,16644,16343,16604,31498,0.4841442749939482
2024-07-16,16523,16664,16443,16564,41389,-0.2409058058299205
2024-07-17,16563,16623,16222,16283,65663,-1.69645013281816
2024-07-18,16423,16764,16022,16764,188897,2.954001105447399
2024-07-19,16803,16803,16302,16343,36401,-2.511333810546409
2024-07-22,16363,16764,16063,16524,61784,1.1075078015052315
2024-07-23,16624,16784,16363,16444,94011,-0.4841442749939482
2024-07-24,16543,16624,16343,16584,47485,0.851374361469229
