날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,5550,5670,5360,5630,67307,1.4414414414414414
2024-06-04,5580,5730,5520,5610,46142,-0.3552397868561279
2024-06-05,5610,5650,5490,5560,53827,-0.8912655971479502
2024-06-07,5630,5630,5550,5550,15040,-0.1798561151079137
2024-06-10,5600,5600,5500,5570,18681,0.36036036036036034
2024-06-11,5520,5580,5470,5490,39637,-1.436265709156194
2024-06-12,5490,5540,5470,5500,30477,0.18214936247723132
2024-06-13,5530,5540,5470,5510,15019,0.18181818181818182
2024-06-14,5540,5540,5420,5430,41122,-1.4519056261343013
2024-06-17,5390,5470,5390,5430,13039,0.0
2024-06-18,5400,5470,5400,5420,12590,-0.1841620626151013
2024-06-19,5420,5470,5400,5450,14271,0.5535055350553505
2024-06-20,5450,5490,5400,5470,11058,0.3669724770642202
2024-06-21,5400,5470,5380,5390,12386,-1.4625228519195612
2024-06-24,5390,5390,5320,5390,17479,0.0
2024-06-25,5320,5390,5310,5320,16212,-1.2987012987012987
2024-06-26,5320,5380,5260,5260,8945,-1.1278195488721803
2024-06-27,5210,5320,5210,5260,9388,0.0
2024-06-28,5200,5320,5140,5160,26159,-1.9011406844106464
2024-07-01,5130,5420,5130,5400,23148,4.651162790697675
2024-07-02,5310,5490,5240,5300,37243,-1.8518518518518516
2024-07-03,5250,5560,5230,5310,56603,0.18867924528301888
2024-07-04,5300,5460,5250,5250,42910,-1.1299435028248588
2024-07-05,5310,5310,5180,5200,21804,-0.9523809523809524
2024-07-08,5200,5490,5150,5280,41014,1.5384615384615385
2024-07-09,5230,5390,5200,5220,10927,-1.1363636363636365
2024-07-10,5220,5250,5170,5180,21742,-0.7662835249042145
2024-07-11,5200,5240,4975,5120,64080,-1.1583011583011582
2024-07-12,5100,5130,4995,5090,38177,-0.5859375
2024-07-15,5040,5760,5030,5370,881975,5.50098231827112
2024-07-16,5310,5530,5290,5400,128526,0.5586592178770949
2024-07-17,5350,5410,5290,5310,43004,-1.6666666666666667
2024-07-18,5260,5260,5140,5210,31746,-1.8832391713747645
2024-07-19,5160,5220,5130,5150,20038,-1.1516314779270633
2024-07-22,5120,5200,5060,5200,34092,0.9708737864077669
2024-07-23,5180,5210,5120,5170,27923,-0.576923076923077
2024-07-24,5100,5160,5070,5120,19120,-0.9671179883945842
2024-07-25,5120,5180,5030,5130,20440,0.1953125
2024-07-26,5090,5350,5090,5240,57853,2.144249512670565
2024-07-29,5180,5250,5160,5190,27761,-0.9541984732824428
2024-07-30,5250,5250,5160,5200,29211,0.1926782273603083
2024-07-31,5130,5240,5110,5170,20212,-0.576923076923077
2024-08-01,5140,5230,5140,5170,11187,0.0
2024-08-02,5150,5170,4985,5050,41628,-2.321083172147002
2024-08-05,5050,5050,4250,4495,80739,-10.990099009900991
