날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,4210,4690,4185,4500,496742,6.761565836298933
2024-06-04,4420,4460,4365,4365,56851,-3.0
2024-06-05,4390,4545,4320,4410,109857,1.0309278350515463
2024-06-07,4385,4495,4385,4400,43108,-0.22675736961451248
2024-06-10,4415,4415,4330,4330,15482,-1.5909090909090908
2024-06-11,4345,4360,4305,4330,14902,0.0
2024-06-12,4300,4345,4260,4275,22876,-1.2702078521939952
2024-06-13,4275,4360,4275,4295,11448,0.46783625730994155
2024-06-14,4295,4340,4285,4325,13362,0.6984866123399301
2024-06-17,4335,4345,4300,4345,17926,0.46242774566473993
2024-06-18,4365,4440,4345,4440,29722,2.186421173762946
2024-06-19,4430,4445,4390,4410,17694,-0.6756756756756757
2024-06-20,4350,4390,4350,4390,8103,-0.45351473922902497
2024-06-21,4380,4380,4310,4315,17138,-1.7084282460136675
2024-06-24,4290,4300,4235,4235,13649,-1.8539976825028968
2024-06-25,4235,4290,4230,4260,7019,0.5903187721369539
2024-06-26,4265,4275,4220,4230,14343,-0.7042253521126761
2024-06-27,4230,4235,4165,4230,19011,0.0
2024-06-28,4235,4300,4210,4300,10374,1.6548463356973995
2024-07-01,4245,4385,4245,4325,21642,0.5813953488372093
2024-07-02,4280,4320,4250,4300,12255,-0.5780346820809248
2024-07-03,4270,4360,4270,4310,20321,0.23255813953488372
2024-07-04,4270,4315,4270,4310,3538,0.0
2024-07-05,4295,4310,4250,4295,8803,-0.34802784222737815
2024-07-08,4300,4305,4260,4265,4921,-0.6984866123399301
2024-07-09,4290,4310,4245,4305,10281,0.9378663540445485
2024-07-10,4300,4305,4260,4280,5994,-0.5807200929152149
2024-07-11,4280,4315,4240,4315,14922,0.8177570093457943
2024-07-12,4310,4520,4310,4415,49198,2.317497103128621
2024-07-15,4415,4470,4260,4430,14995,0.33975084937712347
2024-07-16,4415,4425,4375,4425,12181,-0.1128668171557562
2024-07-17,4390,4405,4340,4360,2541843,-1.4689265536723164
2024-07-18,4370,4405,4345,4370,23836,0.22935779816513763
2024-07-19,4350,4410,4350,4400,22252,0.6864988558352403
2024-07-22,4430,4445,4305,4320,10288,-1.8181818181818181
2024-07-23,4320,4350,4300,4330,3785,0.23148148148148145
2024-07-24,4330,4335,4305,4320,4472,-0.23094688221709006
2024-07-25,4305,4305,4210,4240,14348,-1.8518518518518516
2024-07-26,4255,4255,4185,4230,19361,-0.2358490566037736
2024-07-29,4225,4255,4185,4230,23880,0.0
2024-07-30,4230,4240,4200,4220,7793,-0.2364066193853428
2024-07-31,4205,4270,4200,4265,11980,1.066350710900474
2024-08-01,4275,4280,4220,4255,10215,-0.23446658851113714
2024-08-02,4250,4250,4155,4195,18911,-1.410105757931845
2024-08-05,4100,4140,3650,3745,106919,-10.727056019070321
2024-08-06,3660,3970,3660,3885,54388,3.7383177570093453
2024-08-07,3900,4025,3880,4025,13774,3.6036036036036037
2024-08-08,4020,4030,3980,4020,9801,-0.12422360248447205
2024-08-09,3970,4070,3970,4050,13308,0.7462686567164178
2024-08-12,4015,4080,4015,4075,10744,0.6172839506172839
2024-08-13,4035,4085,4015,4070,7430,-0.1226993865030675
2024-08-14,4055,4100,4050,4100,5064,0.7371007371007371
2024-08-16,4125,4125,4050,4110,13580,0.24390243902439024
2024-08-19,4110,4110,4065,4110,21193,0.0
2024-08-20,4105,4105,4030,4090,16121,-0.48661800486618007
2024-08-21,4090,4090,4045,4055,4231,-0.8557457212713936
2024-08-22,4055,4070,4040,4065,5572,0.2466091245376079
2024-08-23,4030,4065,4005,4020,9117,-1.107011070110701
2024-08-26,4020,4030,3995,4030,43101,0.24875621890547264
2024-08-27,4030,4030,3995,4030,13098,0.0
2024-08-28,4000,4030,3990,4025,8573,-0.12406947890818859
2024-08-29,4025,4025,3985,4010,13405,-0.37267080745341613
2024-08-30,4010,4015,3980,4015,6368,0.12468827930174563
2024-09-02,4030,4055,3980,4010,10367,-0.12453300124533001
2024-09-03,4010,4010,3980,3990,1900,-0.4987531172069825
2024-09-04,3980,3990,3900,3915,22533,-1.8796992481203008
2024-09-05,3915,3945,3900,3925,22883,0.2554278416347382
2024-09-06,3940,3940,3800,3870,16257,-1.4012738853503186
2024-09-09,3870,3875,3805,3875,4962,0.12919896640826875
2024-09-10,3875,3890,3790,3790,6211,-2.193548387096774
2024-09-11,3770,3820,3765,3780,16501,-0.2638522427440633
2024-09-12,3780,3840,3780,3820,2844,1.0582010582010581
2024-09-13,3850,3855,3820,3820,8426,0.0
2024-09-19,3795,3840,3785,3790,6672,-0.7853403141361256
2024-09-20,3810,3890,3790,3890,19702,2.638522427440633
2024-09-23,3880,3880,3825,3845,4919,-1.1568123393316194
2024-09-24,3825,3865,3825,3865,5316,0.5201560468140443
2024-09-25,3840,3865,3835,3840,1970,-0.646830530401035
2024-09-26,3830,3880,3830,3880,4999,1.0416666666666665
2024-09-27,3855,3940,3855,3940,3371,1.5463917525773196
2024-09-30,3935,3935,3895,3915,3688,-0.6345177664974619
2024-10-02,3890,3925,3875,3910,12192,-0.1277139208173691
2024-10-04,3865,3940,3865,3900,17460,-0.2557544757033248
2024-10-07,3880,3900,3850,3870,15776,-0.7692307692307693
2024-10-08,3870,3885,3850,3875,8386,0.12919896640826875
2024-10-10,3850,3905,3845,3890,7735,0.3870967741935484
2024-10-11,3900,3920,3890,3915,2188,0.6426735218508998
2024-10-14,3890,3925,3885,3925,9254,0.2554278416347382
2024-10-15,3855,3940,3855,3940,16455,0.3821656050955414
2024-10-16,3905,4020,3905,4020,13421,2.030456852791878
2024-10-17,4020,4150,3985,4010,51327,-0.24875621890547264
2024-10-18,4000,4010,3940,4000,18573,-0.24937655860349126
2024-10-21,4020,4020,3965,3980,2912,-0.5
2024-10-22,3995,3995,3900,3900,8081,-2.0100502512562812
