날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,31945,32078,31111,31312,140483,-1.9815307559868525
2024-06-04,31278,31711,30744,30845,166462,-1.4914409810935105
2024-06-05,31144,31811,30610,30911,181204,0.21397309126276542
2024-06-07,30911,32979,30911,32679,303728,5.719646727702112
2024-06-10,32678,34278,32211,33412,290401,2.2430306924936505
2024-06-11,33445,34745,33445,34179,248966,2.2955824254758768
2024-06-12,34412,34479,33178,33579,120124,-1.7554638813306416
2024-06-13,33912,34012,33212,33279,77375,-0.893415527561869
2024-06-14,33279,33412,32612,32679,89380,-1.8029387902280716
2024-06-17,32712,33112,32012,32179,98445,-1.5300345787814804
2024-06-18,32245,32345,30978,31145,126514,-3.213275738835887
2024-06-19,30945,31878,30945,31712,95365,1.820516936908011
2024-06-20,31678,37514,31678,34680,1254086,9.359233097880928
2024-06-21,34645,37013,34245,34846,510767,0.47866205305651677
2024-06-24,34846,44850,34779,40949,3224426,17.51420536073007
2024-06-25,41882,44016,40281,42749,1437881,4.395711738992405
2024-06-26,42816,47384,42315,45317,1492262,6.0071580621768925
2024-06-27,45049,46016,43682,45350,583744,0.07282035439239137
2024-06-28,45016,45116,39881,40015,822424,-11.764057331863285
2024-07-01,39481,42282,39248,40782,420871,1.916781207047357
2024-07-02,40548,40982,38248,38248,268713,-6.213525575008582
2024-07-03,38247,39581,36847,38181,645064,-0.17517255804225057
2024-07-04,38014,41948,36880,41182,517551,7.859930331840443
2024-07-05,41181,41748,38614,38614,320563,-6.235734058569277
2024-07-08,38614,39381,37814,38181,178649,-1.1213549489822343
2024-07-09,38681,39915,37014,37281,266821,-2.3571933684293236
2024-07-10,37614,37614,35379,35680,262059,-4.2944127035219015
2024-07-11,36113,36880,35013,35447,194747,-0.6530269058295964
2024-07-12,35179,35846,34979,35413,89941,-0.09591784918328773
2024-07-15,35412,35813,34812,35513,103882,0.28238217603704857
2024-07-16,35646,35646,33745,33979,155354,-4.319544955368457
2024-07-17,33512,34179,33246,33246,123731,-2.157214750286942
2024-07-18,32678,33245,32212,32779,110747,-1.4046802622871926
2024-07-19,32778,33979,32778,33379,108281,1.83044022087312
2024-07-22,33345,33345,31677,31778,126379,-4.796428892417389
2024-07-23,31778,32579,31612,31612,84765,-0.5223739694128012
2024-07-24,31211,31844,30677,30811,139415,-2.533847905858535
2024-07-25,30310,30344,29443,29844,154356,-3.1384895005030673
2024-07-26,30011,30277,28910,29044,147953,-2.6806058169146225
2024-07-29,29111,29711,29044,29478,81649,1.4942845338107698
2024-07-30,29478,30645,29177,29278,143827,-0.678472080873872
2024-07-31,29110,29477,28810,28844,83316,-1.482341690006148
2024-08-01,29043,30177,29043,30011,112075,4.04590209402302
2024-08-02,29544,29544,28244,28611,133010,-4.664956182732998
2024-08-05,28243,28310,22308,23342,485241,-18.4159938485198
2024-08-06,23341,25809,23341,24542,321886,5.140947648016451
2024-08-07,24208,24742,24142,24509,145785,-0.13446336891858854
2024-08-08,24341,24508,23541,23675,149992,-3.4028316128769025
2024-08-09,24109,25743,24109,24776,197662,4.650475184794087
2024-08-12,24709,26110,24709,26010,149351,4.9806264126574105
2024-08-13,26009,26176,24909,25343,101258,-2.564398308342945
2024-08-14,25842,26776,25408,25609,159921,1.0495994949295662
2024-08-16,26009,27743,25642,26743,303248,4.4281307352883745
2024-08-19,26642,26742,25242,25309,654672,-5.362150843211308
2024-08-20,24542,25209,23809,24943,463359,-1.4461258840728595
2024-08-21,24842,25642,24242,25176,259024,0.9341298159804353
2024-08-22,25275,25842,24742,25309,219115,0.5282809024467747
2024-08-23,24942,25309,24442,25009,229021,-1.1853490853056226
2024-08-26,25275,26409,25209,25676,236947,2.6670398656483667
2024-08-27,25409,26176,25275,26076,150898,1.5578750584203147
2024-08-28,26276,26342,25275,25309,162338,-2.941402055529989
2024-08-29,25209,25876,24876,25343,156830,0.13433956300130387
2024-08-30,25509,26143,24576,25043,399061,-1.183758828867932
2024-09-02,25942,29944,25742,27777,2502183,10.917222377510681
2024-09-03,27610,28410,27210,28344,499803,2.041257155200346
