날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,5100,5240,5020,5090,133771,2.3115577889447234
2024-06-04,5090,5210,5090,5170,69300,1.5717092337917484
2024-06-05,5180,5230,5000,5130,38743,-0.7736943907156674
2024-06-07,5140,5160,4980,5080,32037,-0.9746588693957114
2024-06-10,5080,5110,5000,5100,20270,0.39370078740157477
2024-06-11,5100,5380,4995,4995,126945,-2.0588235294117645
2024-06-12,5000,5160,4965,5160,44740,3.303303303303303
2024-06-13,5120,5310,5120,5230,67559,1.3565891472868217
2024-06-14,5220,5300,5190,5230,24571,0.0
2024-06-17,5230,5480,5220,5480,123745,4.780114722753346
2024-06-18,5520,5950,5480,5860,284706,6.934306569343065
2024-06-19,5800,6280,5700,6180,369461,5.460750853242321
2024-06-20,6110,6620,6080,6380,344242,3.2362459546925564
2024-06-21,6400,7120,6400,6950,682549,8.934169278996865
2024-06-24,7000,7000,6110,6740,448721,-3.0215827338129495
2024-06-25,6620,7110,6410,6650,125760,-1.3353115727002967
2024-06-26,6650,6690,6420,6540,80786,-1.6541353383458646
2024-06-27,6650,6750,6500,6750,68571,3.211009174311927
2024-06-28,6860,7060,6450,6760,162118,0.14814814814814814
2024-07-01,6760,7040,6600,6800,54301,0.591715976331361
2024-07-02,6800,7030,6550,6910,99890,1.6176470588235297
2024-07-03,6890,7010,6530,6570,78942,-4.92040520984081
2024-07-04,6570,6720,6460,6680,89962,1.67427701674277
2024-07-05,6700,6830,6450,6670,80970,-0.14970059880239522
2024-07-08,6520,6950,6460,6670,73376,0.0
2024-07-09,6700,6930,6700,6830,74992,2.39880059970015
2024-07-10,6890,6890,6640,6690,64269,-2.049780380673499
2024-07-11,6690,6740,6520,6620,65958,-1.046337817638266
2024-07-12,6620,6950,6520,6750,49710,1.9637462235649545
2024-07-15,6690,6750,6200,6460,125634,-4.296296296296296
2024-07-16,6470,6510,5850,6000,159516,-7.120743034055728
2024-07-17,6000,6110,5840,5950,37256,-0.8333333333333334
2024-07-18,5850,5850,5680,5740,81249,-3.5294117647058822
2024-07-19,5740,5800,5570,5750,67720,0.17421602787456447
2024-07-22,5750,5770,5460,5550,30036,-3.4782608695652173
2024-07-23,5630,5630,5300,5500,46733,-0.9009009009009009
2024-07-24,5450,6570,5280,5970,418240,8.545454545454545
2024-07-25,5910,5960,5680,5950,47326,-0.33500837520938026
2024-07-26,5910,5990,5770,5960,31674,0.16806722689075632
