날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,72500,84600,71600,74300,333186,3.4818941504178276
2024-06-04,74500,76600,71600,71900,82028,-3.2301480484522207
2024-06-05,71500,73100,71000,72100,26746,0.27816411682892905
2024-06-07,71500,71800,69800,70500,34127,-2.219140083217753
2024-06-10,70500,71000,70100,70900,10233,0.5673758865248227
2024-06-11,70900,70900,69800,69800,11015,-1.5514809590973202
2024-06-12,70000,70700,69800,70000,6406,0.28653295128939826
2024-06-13,70000,70800,69900,70700,6533,1.0
2024-06-14,70800,71300,70100,70200,21748,-0.7072135785007072
2024-06-17,71800,72900,71300,72700,21589,3.561253561253561
2024-06-18,72800,76400,72200,75400,43886,3.7138927097661623
2024-06-19,75200,75400,73400,73400,15956,-2.6525198938992043
2024-06-20,74400,76500,73800,76400,20231,4.087193460490464
2024-06-21,76600,77300,75000,77300,25315,1.1780104712041886
2024-06-24,77300,78100,76200,76300,15444,-1.29366106080207
2024-06-25,77200,77700,76300,77500,15710,1.5727391874180863
2024-06-26,77500,77700,76400,77100,11846,-0.5161290322580645
2024-06-27,77000,77000,75000,75900,15016,-1.556420233463035
2024-06-28,76200,77100,75500,77000,11027,1.4492753623188406
2024-07-01,76500,77400,75200,75600,12884,-1.8181818181818181
2024-07-02,76000,76000,73900,74700,10619,-1.1904761904761905
2024-07-03,75500,75500,73700,74800,11631,0.13386880856760375
2024-07-04,74500,74700,73400,74100,12270,-0.9358288770053476
2024-07-05,74200,75300,72900,73500,14296,-0.8097165991902834
2024-07-08,73600,74200,73000,74000,7656,0.6802721088435374
2024-07-09,74000,74000,72000,72300,15513,-2.2972972972972974
2024-07-10,72800,74200,72600,74100,13627,2.4896265560165975
2024-07-11,74100,74600,73700,74000,6622,-0.1349527665317139
2024-07-12,74500,75300,74000,74300,13743,0.40540540540540543
2024-07-15,75000,75000,73300,73400,11097,-1.2113055181695829
2024-07-16,74000,74700,73300,74100,10268,0.9536784741144414
2024-07-17,74100,75200,73700,74700,10597,0.8097165991902834
2024-07-18,74700,76600,73600,76600,17832,2.5435073627844713
2024-07-19,76900,76900,75500,75900,16070,-0.9138381201044387
2024-07-22,76900,76900,74200,74600,11616,-1.7127799736495388
2024-07-23,75300,75600,74100,74700,8641,0.13404825737265416
2024-07-24,75000,75600,74000,74800,9059,0.13386880856760375
2024-07-25,74700,74700,73000,73800,14838,-1.3368983957219251
2024-07-26,73900,74400,73800,74100,5376,0.40650406504065045
2024-07-29,74500,76500,74000,75900,14314,2.42914979757085
2024-07-30,76500,76500,75100,75700,5776,-0.2635046113306983
2024-07-31,76800,76800,75300,76100,6903,0.5284015852047557
2024-08-01,76500,76800,75200,75600,6783,-0.657030223390276
2024-08-02,75000,75000,72900,73400,16024,-2.91005291005291
2024-08-05,72600,72600,66600,67600,66514,-7.901907356948229
2024-08-06,67700,70400,66300,69500,42351,2.8106508875739644
2024-08-07,69500,71300,69500,69900,19200,0.5755395683453237
2024-08-08,70700,70700,69200,70200,9153,0.4291845493562232
2024-08-09,70200,70900,70000,70900,12069,0.9971509971509971
2024-08-12,70900,71800,70300,71800,6573,1.2693935119887165
2024-08-13,71700,74400,71600,74300,16482,3.4818941504178276
2024-08-14,74100,74200,73000,74000,10563,-0.4037685060565276
2024-08-16,73600,74200,73300,73700,12515,-0.40540540540540543
2024-08-19,73000,73600,72300,72500,8365,-1.6282225237449117
2024-08-20,73400,74600,72900,74300,15748,2.4827586206896552
2024-08-21,74400,75600,74100,75100,12631,1.0767160161507403
2024-08-22,74700,75200,73800,73900,7005,-1.5978695073235687
2024-08-23,73300,76100,73300,75500,10690,2.165087956698241
2024-08-26,75800,79000,75600,78600,31199,4.105960264900662
2024-08-27,79200,79600,77600,78700,12846,0.1272264631043257
2024-08-28,78500,78600,75900,77200,16453,-1.9059720457433291
2024-08-29,77300,78100,76100,76400,6313,-1.0362694300518136
2024-08-30,76800,76800,74800,74900,9303,-1.963350785340314
2024-09-02,75100,75800,74400,75400,6353,0.6675567423230975
2024-09-03,75200,76700,75100,76100,9252,0.9283819628647214
2024-09-04,75500,75700,74600,74700,8470,-1.8396846254927726
2024-09-05,75500,75800,74200,74800,6857,0.13386880856760375
2024-09-06,75400,75400,72600,73100,17307,-2.272727272727273
2024-09-09,73600,73600,71300,72200,11243,-1.231190150478796
2024-09-10,72600,74700,72400,73800,9547,2.21606648199446
2024-09-11,74100,74200,71500,72800,21765,-1.3550135501355014
2024-09-12,73700,73700,72200,72900,8465,0.13736263736263737
2024-09-13,72500,74400,72500,72800,23220,-0.1371742112482853
2024-09-19,73900,74800,73300,74700,15362,2.60989010989011
2024-09-20,74800,76700,73600,76700,22101,2.677376171352075
2024-09-23,76500,78700,75700,77900,22884,1.564537157757497
2024-09-24,77900,78500,77300,77900,9768,0.0
2024-09-25,78400,78400,75100,75400,23182,-3.209242618741977
2024-09-26,75400,77200,75300,76700,6933,1.7241379310344827
2024-09-27,77100,77100,75900,76500,8302,-0.2607561929595828
2024-09-30,76500,76800,75400,76000,4925,-0.6535947712418301
2024-10-02,75100,76900,75100,75700,5762,-0.39473684210526316
2024-10-04,76100,76100,74600,75000,5805,-0.9247027741083224
2024-10-07,75600,75800,74900,75300,4807,0.4
2024-10-08,75900,76200,75100,76200,3335,1.1952191235059761
2024-10-10,76200,77400,75800,76600,8029,0.5249343832020997
2024-10-11,76600,76900,75800,75900,4877,-0.9138381201044387
2024-10-14,76600,76600,75200,75600,6108,-0.3952569169960474
2024-10-15,76300,76300,75300,75800,3683,0.26455026455026454
2024-10-16,75700,75700,74600,74900,10446,-1.1873350923482848
2024-10-17,75500,75500,74900,74900,3876,0.0
2024-10-18,75500,75500,73500,74000,12367,-1.2016021361815754
2024-10-21,73900,74300,73500,73900,4944,-0.13513513513513514
2024-10-22,74800,76400,74100,75400,14605,2.029769959404601
2024-10-23,75900,76600,75200,75700,10301,0.3978779840848806
2024-10-24,75900,76000,75000,75500,4521,-0.26420079260237783
2024-10-25,75600,75600,74700,75300,8130,-0.26490066225165565
2024-10-28,75500,75500,74500,75200,4962,-0.13280212483399734
2024-10-29,75600,75600,74600,74800,4111,-0.5319148936170213
2024-10-30,75200,75200,73700,74500,8192,-0.4010695187165776
2024-10-31,75100,75100,73800,74400,3930,-0.1342281879194631
2024-11-01,74400,75400,73700,74700,7116,0.4032258064516129
2024-11-04,75000,75000,72700,73500,16670,-1.6064257028112447
2024-11-05,73500,73500,71900,72000,16157,-2.0408163265306123
2024-11-06,72300,73200,71800,71800,7789,-0.2777777777777778
2024-11-07,71700,74100,71600,73600,10938,2.5069637883008355
2024-11-08,74300,74300,72000,72600,14127,-1.358695652173913
2024-11-11,72900,73400,72400,73400,9265,1.1019283746556474
2024-11-12,73400,74200,71900,71900,13038,-2.043596730245232
2024-11-13,72400,72400,66600,69600,21252,-3.1988873435326846
2024-11-14,70000,70700,69500,70200,7606,0.8620689655172413
2024-11-15,70200,70300,68600,70200,8043,0.0
2024-11-18,70700,71800,70200,71300,11075,1.566951566951567
2024-11-19,71300,72300,71000,71500,4093,0.2805049088359046
2024-11-20,71800,72100,71000,71500,8331,0.0
2024-11-21,71800,72900,71700,72200,9821,0.9790209790209791
2024-11-22,72500,73000,72100,72300,7072,0.13850415512465375
2024-11-25,72800,73600,72000,73600,11680,1.7980636237897647
2024-11-26,73700,74200,73100,73700,9391,0.1358695652173913
2024-11-27,73800,75300,73800,74100,12056,0.5427408412483039
2024-11-28,74300,74300,73700,74000,3742,-0.1349527665317139
2024-11-29,74500,74500,72800,73800,6605,-0.2702702702702703
2024-12-02,74200,74200,72500,73400,4974,-0.5420054200542005
2024-12-03,73600,74100,73200,73800,7778,0.544959128065395
2024-12-04,73200,73400,72000,72700,11513,-1.4905149051490514
2024-12-05,73000,73000,70900,71000,19374,-2.3383768913342506
2024-12-06,71800,72200,69100,70600,10907,-0.5633802816901409
2024-12-09,70000,70000,67900,68300,16884,-3.2577903682719547
2024-12-10,68100,70500,68100,69800,8601,2.1961932650073206
2024-12-11,70500,70900,69000,70200,10707,0.5730659025787965
2024-12-12,70700,70900,70100,70500,7706,0.4273504273504274
2024-12-13,70800,73000,69600,72500,27778,2.8368794326241136
2024-12-16,73000,73200,71000,71400,10355,-1.5172413793103448
2024-12-17,71700,71700,71100,71300,4253,-0.1400560224089636
2024-12-18,71700,71700,70400,70700,11400,-0.8415147265077139
2024-12-19,70600,70600,69800,70500,7273,-0.2828854314002829
2024-12-20,70700,71300,69600,71300,14197,1.1347517730496455
2024-12-23,71300,73800,70900,71900,8435,0.8415147265077139
2024-12-24,72400,73500,71700,72100,28244,0.27816411682892905
2024-12-26,72600,72900,70400,70800,22033,-1.8030513176144243
2024-12-27,70900,70900,67900,68700,27357,-2.9661016949152543
