날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,4803,4822,4723,4803,300879,0.10421008753647354
2024-06-04,4803,4822,4773,4808,193305,0.10410160316468875
2024-06-05,4802,4936,4762,4917,347823,2.267054908485857
2024-06-07,4931,4936,4832,4867,237114,-1.016880211511084
2024-06-10,4871,4911,4847,4862,116866,-0.10273268954181221
2024-06-11,4876,4926,4787,4832,188756,-0.6170300287947347
2024-06-12,4832,4837,4728,4728,220356,-2.152317880794702
2024-06-13,4747,4827,4668,4693,406266,-0.7402707275803723
2024-06-14,4698,4698,4574,4579,450377,-2.42914979757085
2024-06-17,4578,4608,4434,4474,461843,-2.293077091067919
2024-06-18,4518,4518,4419,4489,280818,0.33527045149754137
2024-06-19,4489,4519,4335,4350,530537,-3.096458008465137
2024-06-20,4344,4548,4320,4504,448801,3.5402298850574714
2024-06-21,4519,4717,4489,4539,328022,0.7770870337477798
2024-06-24,4539,4688,4514,4644,136950,2.313284864507601
2024-06-25,4678,4702,4623,4678,169465,0.7321274763135228
2024-06-26,4688,4688,4574,4614,179646,-1.3681060282171869
2024-06-27,4554,4638,4539,4569,121968,-0.975292587776333
2024-06-28,4569,4613,4569,4589,136370,0.4377325454147516
2024-07-01,4578,4613,4549,4574,167187,-0.326868598823273
2024-07-02,4613,4613,4544,4579,161155,0.10931351114997813
2024-07-03,4598,4693,4588,4693,176348,2.4896265560165975
2024-07-04,4772,4772,4673,4728,192027,0.7457916045173663
2024-07-05,4737,4737,4623,4648,174185,-1.6920473773265652
2024-07-08,4648,4678,4569,4579,133054,-1.4845094664371772
2024-07-09,4578,4613,4324,4484,245715,-2.0746887966804977
2024-07-10,4444,4553,4444,4489,167405,0.11150758251561106
2024-07-11,4534,4614,4509,4614,200678,2.784584539986634
2024-07-12,4619,4658,4584,4629,148215,0.3250975292587776
2024-07-15,4653,4722,4643,4708,266388,1.7066321019658672
2024-07-16,4727,4737,4534,4718,308106,0.21240441801189466
2024-07-17,4747,4752,4583,4728,259598,0.21195421788893598
2024-07-18,4728,4822,4708,4803,265519,1.5862944162436547
2024-07-19,4802,4807,4758,4778,166108,-0.5205080158234436
2024-07-22,4813,4857,4773,4813,227094,0.7325240686479699
2024-07-23,4802,4847,4788,4788,152554,-0.5194265530853938
