날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,67600,67700,63700,64800,189345,-3.2835820895522385
2024-06-04,64200,64800,63300,64100,89951,-1.0802469135802468
2024-06-05,64300,68400,64100,67700,216377,5.61622464898596
2024-06-07,68400,71900,68100,69200,261966,2.2156573116691285
2024-06-10,68700,68700,67000,67400,63849,-2.601156069364162
2024-06-11,67400,70500,67200,68300,98692,1.3353115727002967
2024-06-12,68500,70300,68000,69200,96443,1.3177159590043925
2024-06-13,69200,69600,66800,66800,140830,-3.4682080924855487
2024-06-14,66800,67200,65700,66000,135119,-1.1976047904191618
2024-06-17,65900,66700,64900,65900,111560,-0.15151515151515152
2024-06-18,65800,66200,64700,65100,51622,-1.2139605462822458
2024-06-19,65700,65800,64800,65100,65344,0.0
2024-06-20,65500,65800,64300,64400,76215,-1.0752688172043012
2024-06-21,64300,64800,63000,63000,120502,-2.1739130434782608
2024-06-24,63500,63500,62200,62200,66391,-1.2698412698412698
2024-06-25,62800,63000,61300,62200,83597,0.0
2024-06-26,61800,62000,60600,61300,155484,-1.4469453376205788
2024-06-27,60700,61700,60500,61300,76493,0.0
2024-06-28,62000,62400,61300,62400,61998,1.794453507340946
2024-07-01,62200,62600,61500,62600,65128,0.3205128205128205
2024-07-02,62100,62300,61200,61700,63210,-1.4376996805111821
2024-07-03,62300,62300,60000,60300,92371,-2.2690437601296596
2024-07-04,60300,61100,59500,59700,91773,-0.9950248756218906
2024-07-05,59700,61000,59200,60000,67031,0.5025125628140703
2024-07-08,59900,60400,59200,59300,76217,-1.1666666666666667
2024-07-09,59800,60500,58900,59200,57372,-0.16863406408094433
2024-07-10,59000,59500,57700,59300,99287,0.16891891891891891
2024-07-11,59700,60200,58200,59200,129348,-0.16863406408094433
2024-07-12,59700,62500,59700,60500,158961,2.195945945945946
2024-07-15,61100,61100,59900,60400,49444,-0.1652892561983471
2024-07-16,60300,60400,58800,58800,87046,-2.6490066225165565
2024-07-17,59200,76400,58600,74000,3404663,25.850340136054424
2024-07-18,70000,70900,67900,69600,788875,-5.9459459459459465
2024-07-19,66700,67900,62900,64000,778905,-8.045977011494253
2024-07-22,64500,66500,64100,64800,286382,1.25
2024-07-23,64300,65300,62500,62700,229006,-3.2407407407407405
2024-07-24,63000,64300,62300,63500,131925,1.2759170653907497
2024-07-25,62100,63400,61000,62700,157593,-1.2598425196850394
2024-07-26,63100,63100,61000,61000,97725,-2.711323763955343
2024-07-29,60700,61000,57400,59000,374947,-3.278688524590164
2024-07-30,58500,58600,54500,57000,339127,-3.389830508474576
2024-07-31,56000,57900,55900,57600,97744,1.0526315789473684
2024-08-01,57200,58200,57200,57700,63343,0.1736111111111111
2024-08-02,56800,57000,54600,55200,150168,-4.332755632582322
2024-08-05,54300,54300,47150,48000,314956,-13.043478260869565
2024-08-06,48550,51700,48550,49700,156470,3.5416666666666665
2024-08-07,48900,50900,48850,50100,131535,0.8048289738430584
2024-08-08,49500,50500,48100,49550,123634,-1.097804391217565
2024-08-09,50100,51200,49000,49350,158059,-0.4036326942482341
2024-08-12,49800,51800,49600,50500,98866,2.330293819655522
2024-08-13,50100,51000,49650,50500,100635,0.0
2024-08-14,50900,53100,50100,52800,134392,4.554455445544554
2024-08-16,53400,53900,52500,53400,72519,1.1363636363636365
2024-08-19,53400,54700,51900,53700,89395,0.5617977528089888
2024-08-20,53400,54800,53300,54100,73313,0.74487895716946
2024-08-21,54700,56500,54100,56200,172995,3.8817005545286505
2024-08-22,56300,57400,56000,57200,84531,1.7793594306049825
2024-08-23,57100,58600,56600,58000,91407,1.3986013986013985
2024-08-26,58000,58600,57600,58100,64467,0.1724137931034483
2024-08-27,58600,59200,57700,59000,67942,1.549053356282272
2024-08-28,58500,59200,57400,57900,47756,-1.864406779661017
2024-08-29,57600,58900,57300,58000,39852,0.17271157167530224
2024-08-30,58000,58800,57000,58600,46001,1.0344827586206897
2024-09-02,58600,59100,57700,58600,50311,0.0
2024-09-03,58100,62200,58100,59600,136705,1.7064846416382253
2024-09-04,58400,58800,57100,57400,66112,-3.691275167785235
2024-09-05,57300,59900,57200,58600,80125,2.0905923344947737
2024-09-06,59100,59500,55800,56000,67458,-4.436860068259386
2024-09-09,54500,56900,54500,56800,40078,1.4285714285714286
2024-09-10,57200,57200,55200,55400,55708,-2.464788732394366
2024-09-11,55800,56600,53800,56600,117523,2.166064981949458
2024-09-12,56300,57900,55900,57200,96640,1.0600706713780919
2024-09-13,57200,59900,56800,58900,77934,2.972027972027972
2024-09-19,60900,60900,57700,58900,47607,0.0
2024-09-20,58900,59400,57600,58000,98833,-1.5280135823429541
2024-09-23,58700,60000,57400,59300,49862,2.2413793103448274
2024-09-24,59300,61500,59000,61500,94124,3.709949409780776
2024-09-25,62600,67900,61800,64300,380230,4.5528455284552845
2024-09-26,63600,65500,62900,65500,75555,1.8662519440124419
2024-09-27,65700,71900,65700,69200,643146,5.648854961832061
2024-09-30,69700,71800,68500,68500,200942,-1.0115606936416186
2024-10-02,69200,72100,68900,69900,294259,2.0437956204379564
2024-10-04,69900,70800,68300,69800,105750,-0.14306151645207438
2024-10-07,70400,70600,68000,69400,124749,-0.5730659025787965
2024-10-08,70300,70300,66600,66800,208409,-3.7463976945244957
2024-10-10,66600,67000,62700,66800,239256,0.0
2024-10-11,65800,66800,63100,63400,142845,-5.089820359281437
2024-10-14,62800,66000,62800,65800,83123,3.7854889589905363
2024-10-15,65800,65800,61800,63500,156198,-3.4954407294832825
2024-10-16,62800,63200,61600,61700,172463,-2.8346456692913384
2024-10-17,61900,62000,60500,60500,102918,-1.9448946515397085
2024-10-18,60400,62300,59800,61500,112120,1.6528925619834711
2024-10-21,61300,62700,60500,60800,75780,-1.1382113821138211
2024-10-22,60400,61900,59500,61800,88339,1.644736842105263
2024-10-23,62300,63200,60700,60700,72072,-1.779935275080906
2024-10-24,61200,61300,59600,60500,65314,-0.3294892915980231
2024-10-25,60600,60700,57000,57200,178480,-5.454545454545454
2024-10-28,56900,58500,56200,57800,67344,1.048951048951049
2024-10-29,57900,58000,56400,56900,53532,-1.5570934256055362
2024-10-30,57000,59500,56400,58800,89250,3.3391915641476277
2024-10-31,58800,62600,57800,62500,171174,6.292517006802721
2024-11-01,61800,62700,61300,61500,53114,-1.6
2024-11-04,61500,64000,61400,63900,127499,3.902439024390244
2024-11-05,63200,64200,62600,63400,43341,-0.7824726134585289
2024-11-06,63100,63700,61000,61700,105738,-2.6813880126182967
2024-11-07,61000,62700,59700,61000,101076,-1.1345218800648298
2024-11-08,61500,62600,58800,58800,89069,-3.606557377049181
2024-11-11,57000,58100,52600,52800,277566,-10.204081632653061
2024-11-12,51900,53300,51500,52300,106231,-0.946969696969697
2024-11-13,51300,52400,51000,51100,91118,-2.294455066921606
2024-11-14,51600,52100,50400,50800,95738,-0.5870841487279843
2024-11-15,50100,52300,50000,51400,72492,1.1811023622047243
2024-11-18,51400,53300,51100,51900,65316,0.9727626459143969
2024-11-19,51400,52100,50600,51200,70712,-1.348747591522158
2024-11-20,51200,51500,50300,50500,60564,-1.3671875
2024-11-21,50300,51300,49300,50400,75670,-0.19801980198019803
2024-11-22,50400,51600,50400,51000,44711,1.1904761904761905
2024-11-25,51700,52000,50700,50900,70453,-0.19607843137254902
2024-11-26,50800,51500,50700,51300,50783,0.7858546168958742
2024-11-27,51300,52800,51300,52300,62934,1.949317738791423
2024-11-28,52700,53100,51200,52700,81929,0.7648183556405354
2024-11-29,52700,53500,51300,53500,109406,1.5180265654648957
2024-12-02,54000,54000,50500,50700,120618,-5.233644859813085
2024-12-03,51300,53400,51300,52500,83339,3.5502958579881656
2024-12-04,51500,52200,50500,51400,79422,-2.0952380952380953
2024-12-05,51400,52200,50600,50800,52363,-1.1673151750972763
2024-12-06,50400,51200,49050,50500,62471,-0.5905511811023622
2024-12-09,50500,50500,47250,47300,111560,-6.336633663366337
2024-12-10,48850,53500,48850,53300,141900,12.684989429175475
2024-12-11,53400,54400,52900,53400,69902,0.18761726078799248
2024-12-12,53400,54200,52500,52700,130356,-1.3108614232209739
2024-12-13,52900,55000,52800,54000,79144,2.4667931688804554
2024-12-16,54300,54800,52200,52600,80131,-2.5925925925925926
2024-12-17,52600,54300,52400,53500,74640,1.7110266159695817
