날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,15600,15920,15510,15570,55067,-0.19230769230769232
2024-06-04,15230,15500,15190,15220,41009,-2.2479126525369297
2024-06-05,15360,15680,15080,15440,21389,1.445466491458607
2024-06-07,15410,16300,15410,15900,59364,2.9792746113989637
2024-06-10,15860,15950,15050,15620,23295,-1.7610062893081762
2024-06-11,15400,15870,15400,15570,11067,-0.3201024327784891
2024-06-12,15580,15770,15490,15550,19557,-0.12845215157353884
2024-06-13,15460,15750,15460,15560,10454,0.06430868167202572
2024-06-14,15550,15560,15280,15330,11324,-1.4781491002570695
2024-06-17,15210,15370,15120,15170,11415,-1.0437051532941943
2024-06-18,15170,15680,15010,15170,9279,0.0
2024-06-19,15170,15290,15050,15130,14295,-0.26367831245880025
2024-06-20,15030,15430,15030,15430,9316,1.982815598149372
2024-06-21,15430,15520,15130,15200,10531,-1.4906027219701878
2024-06-24,15190,15320,14930,15100,11483,-0.6578947368421052
2024-06-25,15080,15220,15000,15010,7769,-0.5960264900662252
2024-06-26,15040,15110,15000,15020,4712,0.06662225183211193
2024-06-27,15020,15080,14910,14910,9134,-0.7323568575233023
2024-06-28,15160,15160,14930,14990,8044,0.5365526492287056
2024-07-01,15010,15100,14940,14980,5005,-0.06671114076050699
2024-07-02,14880,15100,14790,14960,6799,-0.13351134846461948
2024-07-03,14900,15290,14900,15150,11206,1.2700534759358288
2024-07-04,15110,15310,14980,15100,8455,-0.33003300330033003
2024-07-05,15250,15310,15070,15180,10106,0.5298013245033113
2024-07-08,15550,15550,15160,15220,7785,0.2635046113306983
2024-07-09,15140,15290,15140,15200,3006,-0.1314060446780552
2024-07-10,15200,15340,15100,15140,6488,-0.39473684210526316
2024-07-11,15130,15240,15100,15120,5816,-0.13210039630118892
2024-07-12,15040,15450,15040,15200,5966,0.5291005291005291
2024-07-15,15290,15380,15130,15240,5952,0.2631578947368421
2024-07-16,15170,15250,14960,15120,13435,-0.7874015748031495
2024-07-17,15190,19120,14970,16850,3197155,11.441798941798941
2024-07-18,16150,16180,15600,15710,285092,-6.765578635014837
2024-07-19,15280,15400,14940,15000,144377,-4.519414385741566
2024-07-22,14860,15190,14670,14750,60320,-1.6666666666666667
2024-07-23,14860,14860,14610,14610,35009,-0.9491525423728813
2024-07-24,14520,14700,14460,14610,20813,0.0
2024-07-25,14450,14580,14280,14390,36197,-1.5058179329226558
2024-07-26,14330,14550,14310,14500,19918,0.7644197359277276
2024-07-29,14480,14520,14300,14440,40526,-0.41379310344827586
2024-07-30,14450,14470,14170,14180,19990,-1.8005540166204987
2024-07-31,14150,14310,14140,14310,16666,0.9167842031029618
2024-08-01,14320,14620,14320,14590,18676,1.9566736547868624
2024-08-02,14520,14520,14150,14150,19805,-3.015764222069911
2024-08-05,14030,14080,12810,13000,97561,-8.12720848056537
2024-08-06,13000,13550,12900,13060,50356,0.46153846153846156
2024-08-07,12950,13360,12950,13100,17010,0.3062787136294028
2024-08-08,13000,13350,12990,13270,15925,1.297709923664122
2024-08-09,13270,13510,13270,13470,7807,1.5071590052750565
2024-08-12,13430,13800,13430,13650,9643,1.3363028953229399
2024-08-13,13800,13800,13460,13540,8097,-0.805860805860806
2024-08-14,13730,13730,13470,13580,11224,0.29542097488921715
2024-08-16,13650,13710,13540,13670,7117,0.6627393225331369
2024-08-19,13650,13820,13460,13510,10749,-1.1704462326261889
2024-08-20,13610,13670,13490,13510,6462,0.0
2024-08-21,13530,13970,13530,13960,21885,3.3308660251665434
2024-08-22,13920,13990,13720,13790,8067,-1.2177650429799427
2024-08-23,13790,14270,13750,14010,10622,1.5953589557650472
2024-08-26,14000,14000,13780,13840,5447,-1.2134189864382585
2024-08-27,13610,13930,13610,13860,8765,0.1445086705202312
2024-08-28,13930,13930,13780,13880,8804,0.1443001443001443
2024-08-29,13720,13870,13650,13670,19144,-1.5129682997118155
2024-08-30,13690,13770,13600,13740,5627,0.5120702267739575
2024-09-02,13740,13780,13620,13690,4037,-0.363901018922853
2024-09-03,13740,14090,13690,13930,8856,1.7531044558071585
2024-09-04,13650,13800,13330,13400,18105,-3.804737975592247
2024-09-05,13380,13640,13320,13340,12024,-0.44776119402985076
2024-09-06,13340,13540,13120,13200,7232,-1.0494752623688157
2024-09-09,13000,13300,12890,13170,15692,-0.22727272727272727
2024-09-10,13120,13320,13120,13230,7010,0.45558086560364464
2024-09-11,13070,13380,13060,13110,4837,-0.9070294784580499
2024-09-12,13190,13380,13170,13280,7290,1.2967200610221206
2024-09-13,13230,13470,13230,13470,3783,1.430722891566265
2024-09-19,13500,13800,13330,13450,6275,-0.14847809948032664
2024-09-20,13530,13580,13300,13490,4193,0.29739776951672864
2024-09-23,13540,13670,13540,13580,8947,0.6671608598962194
2024-09-24,13580,13740,13560,13710,4020,0.9572901325478645
2024-09-25,13800,14330,13710,13710,27552,0.0
2024-09-26,13670,13980,13650,13810,12230,0.7293946024799417
2024-09-27,13980,14420,13960,14150,30933,2.4619840695148443
2024-09-30,14150,14290,13960,14000,12312,-1.0600706713780919
2024-10-02,13850,14340,13800,14010,12067,0.07142857142857142
2024-10-04,13960,14200,13770,13780,11181,-1.641684511063526
2024-10-07,13990,13990,13680,13880,4776,0.7256894049346879
2024-10-08,13800,13980,13800,13830,10710,-0.36023054755043227
2024-10-10,13830,13970,13610,13900,6940,0.5061460592913956
2024-10-11,13980,13980,13660,13760,4946,-1.0071942446043165
2024-10-14,13760,13880,13600,13830,10533,0.5087209302325582
2024-10-15,13940,13940,13490,13720,6047,-0.7953723788864787
2024-10-16,13710,13820,13570,13720,3774,0.0
2024-10-17,13720,13870,13500,13600,5001,-0.8746355685131195
2024-10-18,13550,13660,13530,13550,4528,-0.3676470588235294
2024-10-21,13480,13810,13480,13580,4269,0.22140221402214022
2024-10-22,13570,13570,13030,13400,7931,-1.3254786450662739
2024-10-23,13400,13400,13100,13100,12534,-2.2388059701492535
2024-10-24,13180,13180,13090,13090,8251,-0.07633587786259542
2024-10-25,13100,13180,13060,13100,3178,0.07639419404125286
2024-10-28,13000,13260,13000,13130,4855,0.22900763358778628
2024-10-29,13140,13330,13140,13320,1585,1.4470677837014472
2024-10-30,13310,13440,13280,13360,3189,0.3003003003003003
2024-10-31,13210,13580,13200,13540,5410,1.347305389221557
2024-11-01,13420,13530,13200,13500,2356,-0.29542097488921715
2024-11-04,13500,13580,13500,13560,2804,0.4444444444444444
2024-11-05,13460,13670,13400,13660,4735,0.7374631268436578
2024-11-06,13660,13700,13390,13610,5861,-0.36603221083455345
2024-11-07,13620,13620,13360,13560,2065,-0.36737692872887584
2024-11-08,13450,13670,13370,13390,3514,-1.2536873156342183
2024-11-11,13400,13800,13200,13380,16184,-0.07468259895444362
2024-11-12,13380,13490,13010,13150,9730,-1.71898355754858
2024-11-13,12610,13330,12500,12640,29378,-3.878326996197719
2024-11-14,12630,12920,12500,12620,6861,-0.15822784810126583
2024-11-15,12470,12740,12410,12670,6304,0.39619651347068147
2024-11-18,12530,12760,12530,12670,4320,0.0
2024-11-19,12670,12780,12570,12640,2738,-0.23677979479084454
2024-11-20,12640,12640,12500,12600,4844,-0.31645569620253167
2024-11-21,12560,12790,12550,12640,4486,0.31746031746031744
2024-11-22,12640,12770,12640,12740,4395,0.7911392405063291
2024-11-25,12740,12840,12600,12740,5342,0.0
2024-11-26,12740,13010,12700,12870,5698,1.0204081632653061
2024-11-27,12860,13070,12830,12940,3396,0.5439005439005439
2024-11-28,12930,13080,12810,13000,1963,0.46367851622874806
2024-11-29,13000,13000,12770,12770,2370,-1.7692307692307692
2024-12-02,12770,12940,12620,12640,2307,-1.0180109631949883
2024-12-03,12760,12760,12610,12660,5445,0.15822784810126583
2024-12-04,12500,12640,12370,12420,15651,-1.8957345971563981
2024-12-05,12420,12430,12330,12360,4107,-0.4830917874396135
2024-12-06,12260,12400,12180,12360,7766,0.0
2024-12-09,12110,12200,11490,11700,19074,-5.339805825242718
2024-12-10,11660,12180,11660,12180,5996,4.102564102564102
2024-12-11,12180,12410,12150,12250,4160,0.5747126436781609
2024-12-12,12440,12440,12000,12250,10395,0.0
2024-12-13,12070,12290,12070,12190,6899,-0.4897959183673469
2024-12-16,12210,12470,12180,12190,10349,0.0
2024-12-17,12220,12250,12170,12210,3359,0.16406890894175555
2024-12-18,12210,12360,12210,12240,5401,0.2457002457002457
2024-12-19,12240,12240,12120,12200,5343,-0.32679738562091504
2024-12-20,12210,12210,12020,12060,4234,-1.1475409836065573
2024-12-23,12060,12150,12050,12140,4684,0.6633499170812603
2024-12-24,12320,12320,12070,12150,5480,0.08237232289950577
2024-12-26,12110,12150,12060,12080,3902,-0.5761316872427984
2024-12-27,12080,12080,11850,12000,10655,-0.6622516556291391
2024-12-30,12190,12190,11980,12060,1331,0.5
2025-01-02,12060,12060,11900,11960,4637,-0.8291873963515755
2025-01-03,11880,12570,11880,12260,8871,2.508361204013378
2025-01-06,12200,12450,12200,12300,4487,0.3262642740619902
2025-01-07,12250,12400,12050,12190,17859,-0.894308943089431
2025-01-08,12270,12270,12160,12210,7598,0.16406890894175555
2025-01-09,12210,12280,12140,12150,4424,-0.4914004914004914
2025-01-10,12220,12220,12070,12070,3187,-0.6584362139917695
2025-01-13,12050,12120,12000,12070,2298,0.0
2025-01-14,12140,12140,12000,12070,2569,0.0
2025-01-15,11940,12060,11940,11990,8372,-0.6628003314001657
2025-01-16,11990,12090,11990,12090,1542,0.8340283569641368
2025-01-17,11970,12090,11970,12080,5653,-0.0827129859387924
2025-01-20,12190,12250,11980,12040,5072,-0.33112582781456956
2025-01-21,11990,12030,11950,12000,2608,-0.33222591362126247
2025-01-22,12090,12090,11970,12010,4447,0.08333333333333334
2025-01-23,12050,12080,11900,11940,4990,-0.5828476269775187
2025-01-24,12040,12040,11840,11880,7012,-0.5025125628140703
2025-01-31,11880,11880,11750,11880,4087,0.0
2025-02-03,11880,11930,11550,11640,8182,-2.0202020202020203
2025-02-04,11630,11860,11600,11660,9002,0.1718213058419244
2025-02-05,11760,11840,11700,11780,5377,1.0291595197255576
2025-02-06,11830,11910,11760,11900,3998,1.0186757215619695
2025-02-07,11770,12010,11760,11910,12355,0.08403361344537816
2025-02-10,11910,12080,11800,12020,10914,0.9235936188077246
2025-02-11,12020,12040,11900,12040,6763,0.16638935108153077
2025-02-12,12040,12070,11820,11980,7590,-0.4983388704318937
2025-02-13,11980,12650,11840,12140,13092,1.335559265442404
2025-02-14,12110,12220,12110,12130,3161,-0.08237232289950577
2025-02-17,12070,12680,12070,12320,17976,1.5663643858202803
2025-02-18,12320,12580,12320,12470,5621,1.2175324675324677
2025-02-19,12380,12580,12310,12530,7581,0.48115477145148355
2025-02-20,12540,12680,12500,12560,9387,0.23942537909018355
2025-02-21,12560,12790,12530,12650,6882,0.7165605095541402
2025-02-24,12730,12730,12460,12520,5172,-1.0276679841897234
2025-02-25,12610,12610,12410,12410,4245,-0.8785942492012779
2025-02-26,12410,12520,12250,12500,7187,0.7252215954875101
2025-02-27,12430,12590,12210,12390,5668,-0.88
2025-02-28,12360,12410,12190,12210,5062,-1.4527845036319613
2025-03-04,12190,12290,12010,12060,3067,-1.2285012285012284
2025-03-05,12020,12440,12000,12430,7754,3.067993366500829
2025-03-06,12430,12700,12430,12620,9588,1.5285599356395816
2025-03-07,12500,13700,12500,13010,68667,3.0903328050713155
2025-03-10,13010,13790,13010,13150,14292,1.0760953112990008
2025-03-11,13010,13120,12720,12910,10269,-1.8250950570342206
2025-03-12,12910,12970,12740,12780,9869,-1.0069713400464757
2025-03-13,12750,12840,12500,12510,12946,-2.112676056338028
2025-03-14,12510,12650,12220,12550,10794,0.31974420463629094
2025-03-17,12550,12880,12390,12570,5453,0.1593625498007968
2025-03-18,12460,12580,12460,12490,3503,-0.6364359586316627
2025-03-19,12490,12560,12350,12490,4762,0.0
2025-03-20,12500,12780,12490,12580,4936,0.7205764611689351
2025-03-21,12600,12600,12460,12500,4415,-0.6359300476947536
2025-03-24,12260,12490,12260,12330,6917,-1.3599999999999999
2025-03-25,12330,12570,12330,12380,4114,0.40551500405515
2025-03-26,12380,12550,12190,12260,20182,-0.9693053311793215
2025-03-27,12320,12340,12240,12240,7563,-0.1631321370309951
2025-03-28,12230,12390,12210,12340,4367,0.8169934640522877
2025-03-31,12070,12370,12050,12050,12887,-2.3500810372771475
2025-04-01,12060,12250,12040,12080,8611,0.24896265560165973
2025-04-02,12100,12170,12000,12100,5297,0.16556291390728478
2025-04-03,12100,12130,11920,12100,2991,0.0
2025-04-04,11670,12260,11670,12050,13891,-0.4132231404958678
2025-04-07,11670,11900,11550,11550,10819,-4.149377593360995
2025-04-08,11590,11730,11490,11550,7270,0.0
2025-04-09,11320,11480,11160,11190,13204,-3.116883116883117
2025-04-10,11500,11620,11310,11610,5102,3.753351206434316
2025-04-11,11700,11710,11490,11610,2330,0.0
2025-04-14,11690,11740,11440,11740,2162,1.119724375538329
2025-04-15,11740,11850,11690,11850,1808,0.9369676320272573
2025-04-16,11940,11940,11610,11660,3524,-1.6033755274261603
2025-04-17,11770,11780,11630,11780,2559,1.0291595197255576
2025-04-18,11770,11990,11600,11810,2600,0.2546689303904924
2025-04-21,11940,11940,11830,11830,1619,0.1693480101608806
2025-04-22,12020,12090,11130,12040,7983,1.7751479289940828
2025-04-23,12140,12190,12000,12030,3982,-0.08305647840531562
2025-04-24,12190,12190,12030,12060,2839,0.24937655860349126
2025-04-25,12160,12200,12010,12140,8087,0.6633499170812603
2025-04-28,12220,12290,12080,12240,4835,0.8237232289950577
2025-04-29,12230,13030,12230,13030,7808,6.454248366013073
2025-04-30,12970,12970,12610,12630,4737,-3.069838833461243
2025-05-02,12630,12630,12530,12540,1888,-0.7125890736342043
2025-05-07,12540,12540,12240,12430,8625,-0.8771929824561403
2025-05-08,12260,12680,12260,12510,12098,0.6436041834271923
2025-05-09,12710,12750,12540,12570,13701,0.4796163069544364
2025-05-12,12650,12980,12580,12770,8423,1.591089896579157
2025-05-13,12960,12960,12730,12730,4852,-0.31323414252153486
2025-05-14,12750,12890,12610,12890,11072,1.2568735271013356
2025-05-15,12950,13040,12840,13040,11920,1.1636927851047323
2025-05-16,13040,13040,12800,12800,5137,-1.8404907975460123
2025-05-19,12800,13110,12750,12950,9389,1.171875
2025-05-20,13150,13210,12220,13190,20183,1.8532818532818531
2025-05-21,13060,13730,13060,13670,31011,3.639120545868082
2025-05-22,13680,14260,13340,14050,41931,2.7798098024871982
2025-05-23,14170,14270,13910,14220,21765,1.2099644128113878
2025-05-26,14220,14220,13970,14060,14319,-1.1251758087201125
2025-05-27,14140,14180,13820,14140,23684,0.5689900426742532
2025-05-28,14150,14800,13990,14420,33354,1.9801980198019802
2025-05-29,14790,15360,14640,15300,71092,6.102635228848821
2025-05-30,15520,15720,15050,15660,65524,2.3529411764705883
2025-06-02,15660,15660,14910,15160,55053,-3.1928480204342273
2025-06-04,15440,16770,15260,16690,110252,10.092348284960421
2025-06-05,17220,17530,16430,16500,48074,-1.1384062312762133
2025-06-09,17930,18790,17210,17420,140434,5.575757575757575
2025-06-10,17740,17740,17030,17250,63569,-0.975889781859931
2025-06-11,17440,17730,17160,17340,41816,0.5217391304347827
2025-06-12,18170,18380,17820,17880,72907,3.1141868512110724
2025-06-13,17970,18360,17030,17300,68691,-3.2438478747203576
2025-06-16,17300,17630,16660,17390,58111,0.5202312138728323
2025-06-17,17990,17990,16970,17050,73157,-1.9551466359976999
2025-06-18,17080,17340,16910,17060,31674,0.05865102639296188
2025-06-19,17110,17460,16320,17420,87839,2.1101992966002343
2025-06-20,17400,17440,17150,17200,21875,-1.2629161882893225
2025-06-23,17100,17140,16700,16930,22173,-1.5697674418604652
2025-06-24,16980,17900,16980,17870,55583,5.552274069698759
