날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,13640,13640,13340,13450,99180,-0.22255192878338279
2024-06-04,13320,13500,13210,13280,139729,-1.2639405204460967
2024-06-05,13240,13350,13230,13290,98083,0.07530120481927711
2024-06-07,13360,13530,13300,13470,150062,1.3544018058690745
2024-06-10,13420,13540,13280,13500,87416,0.22271714922048996
2024-06-11,13500,13600,13390,13480,76152,-0.14814814814814814
2024-06-12,13400,13530,13280,13360,72135,-0.8902077151335311
2024-06-13,13290,13530,13290,13380,180680,0.14970059880239522
2024-06-14,13350,13650,13320,13650,209341,2.0179372197309418
2024-06-17,13700,13700,13300,13440,135340,-1.5384615384615385
2024-06-18,13500,13510,13160,13250,182754,-1.4136904761904763
2024-06-19,13320,13320,12800,12840,351208,-3.094339622641509
2024-06-20,12840,12880,12740,12760,107145,-0.6230529595015576
2024-06-21,12770,13030,12760,13030,109403,2.115987460815047
2024-06-24,13100,13230,12960,13120,170623,0.6907137375287797
2024-06-25,13220,13220,13090,13100,69711,-0.1524390243902439
2024-06-26,13030,13080,12930,12940,101967,-1.2213740458015268
2024-06-27,12860,12960,12680,12680,172543,-2.009273570324575
2024-06-28,12790,12790,12620,12730,61277,0.3943217665615142
2024-07-01,12730,12820,12580,12670,153172,-0.4713275726630008
2024-07-02,12640,12660,12450,12500,171389,-1.3417521704814523
2024-07-03,12550,12550,12160,12260,246876,-1.92
2024-07-04,12230,12450,12120,12210,205764,-0.40783034257748774
2024-07-05,12220,12330,11940,12040,547727,-1.3923013923013923
2024-07-08,12020,12270,12020,12210,192219,1.4119601328903655
2024-07-09,12280,12360,12080,12150,199050,-0.4914004914004914
2024-07-10,12120,12310,12070,12250,171005,0.823045267489712
2024-07-11,12260,12320,12210,12300,220530,0.40816326530612246
2024-07-12,12300,12590,12270,12370,181844,0.5691056910569106
2024-07-15,12390,12490,12280,12390,114654,0.16168148746968472
2024-07-16,12410,12430,12120,12130,222981,-2.0984665052461664
2024-07-17,12180,12180,12010,12050,183448,-0.6595218466611706
2024-07-18,12100,12150,11930,12150,168558,0.8298755186721992
2024-07-19,12080,12140,11920,11930,213375,-1.8106995884773662
2024-07-22,12000,12030,11900,11940,96890,0.08382229673093043
2024-07-23,11910,12030,11810,12000,163905,0.5025125628140703
2024-07-24,11850,12000,11720,11950,248581,-0.4166666666666667
2024-07-25,11910,12190,11820,12070,174056,1.00418410041841
2024-07-26,12100,12100,11900,11930,125762,-1.15990057995029
