날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,43700,45500,43350,44450,258857,1.94954128440367
2024-06-04,44450,44750,43200,43250,197006,-2.699662542182227
2024-06-05,43350,43450,42550,42650,159840,-1.3872832369942196
2024-06-07,42500,43800,42500,42950,120800,0.7033997655334115
2024-06-10,42600,43200,42200,42700,121383,-0.5820721769499418
2024-06-11,42750,43300,42700,43250,78384,1.288056206088993
2024-06-12,43000,43350,42950,43300,57074,0.11560693641618498
2024-06-13,43000,44250,43000,43200,280884,-0.23094688221709006
2024-06-14,42800,43800,42800,43450,138362,0.5787037037037037
2024-06-17,43800,43950,43450,43650,97368,0.46029919447640966
2024-06-18,43900,44050,43450,43550,100853,-0.22909507445589922
2024-06-19,43950,44400,43200,44250,110924,1.6073478760045925
2024-06-20,44250,44850,43800,44600,117244,0.7909604519774011
2024-06-21,44600,57500,44200,53900,4390881,20.85201793721973
2024-06-24,50800,51500,45900,45900,3164521,-14.842300556586272
2024-06-25,46950,48650,45550,45800,1354311,-0.2178649237472767
2024-06-26,46050,46600,44800,45700,575147,-0.21834061135371177
2024-06-27,45000,46400,44900,46250,314460,1.2035010940919038
2024-06-28,46050,47650,46000,46900,441610,1.4054054054054055
2024-07-01,46900,47200,45550,46050,218084,-1.812366737739872
2024-07-02,45700,46100,45050,45100,184236,-2.0629750271444083
2024-07-03,45300,46000,44900,45350,142682,0.5543237250554324
2024-07-04,46000,47700,45950,47700,352311,5.181918412348401
2024-07-05,47700,49600,47250,48300,488118,1.257861635220126
2024-07-08,48300,48650,46950,47250,170015,-2.1739130434782608
2024-07-09,47700,48400,46950,47250,202647,0.0
2024-07-10,47000,48350,46950,47150,194465,-0.21164021164021166
2024-07-11,47600,48400,47000,47100,165596,-0.10604453870625664
2024-07-12,46900,46950,45350,46400,325723,-1.48619957537155
2024-07-15,46800,47500,46500,46500,175935,0.21551724137931033
2024-07-16,46950,49500,46400,48650,494754,4.623655913978494
2024-07-17,48650,48900,47950,48050,184674,-1.2332990750256936
2024-07-18,48500,49600,47650,48750,206640,1.45681581685744
2024-07-19,48150,48450,47350,47900,122836,-1.7435897435897436
2024-07-22,47900,48350,47400,48000,79284,0.20876826722338201
2024-07-23,48150,48850,47350,47350,139393,-1.3541666666666667
2024-07-24,47100,48000,45800,46250,191698,-2.3231256599788805
2024-07-25,46500,47700,46050,46500,167689,0.5405405405405406
2024-07-26,46900,48150,46600,47450,133266,2.043010752688172
2024-07-29,48200,49150,47800,48450,219845,2.107481559536354
2024-07-30,48000,48750,47600,47950,98193,-1.0319917440660475
2024-07-31,48400,49100,47950,48900,113387,1.981230448383733
2024-08-01,48500,48950,48200,48750,104741,-0.3067484662576687
2024-08-02,48300,48700,47250,47500,106606,-2.564102564102564
2024-08-05,46600,46600,43500,44050,249703,-7.2631578947368425
2024-08-06,45150,45700,44100,44300,130584,0.5675368898978433
2024-08-07,44000,45750,43900,44850,121055,1.2415349887133182
2024-08-08,44100,44800,43200,44050,188967,-1.7837235228539576
2024-08-09,44350,44550,43600,43600,145457,-1.0215664018161181
2024-08-12,43750,44400,43600,44400,105548,1.834862385321101
2024-08-13,44250,45700,44250,45200,145215,1.8018018018018018
2024-08-14,45800,45800,44850,45250,93678,0.11061946902654868
2024-08-16,45700,45900,45200,45350,121068,0.22099447513812157
2024-08-19,45650,45800,44800,45000,54291,-0.7717750826901874
2024-08-20,45150,45350,44300,44600,97243,-0.8888888888888888
2024-08-21,44650,45750,44550,45450,88068,1.905829596412556
2024-08-22,45450,46400,45300,45650,79884,0.44004400440044
2024-08-23,45900,46250,45350,45700,89860,0.10952902519167579
2024-08-26,45800,46350,45800,46100,59380,0.87527352297593
2024-08-27,46500,47100,45900,47000,119995,1.9522776572668112
2024-08-28,47000,47000,46050,46200,64125,-1.702127659574468
2024-08-29,46550,46550,45650,46150,77676,-0.10822510822510822
2024-08-30,46600,46600,45150,45150,193747,-2.1668472372697725
2024-09-02,45150,45500,44350,45050,108796,-0.22148394241417496
2024-09-03,45250,47900,44900,47450,207668,5.3274139844617086
2024-09-04,46650,46900,45350,46050,184470,-2.9504741833508956
2024-09-05,46100,48300,46050,47450,209119,3.040173724212812
2024-09-06,48000,48000,46150,46650,70417,-1.685985247629083
2024-09-09,45550,46100,45200,45650,91374,-2.1436227224008575
2024-09-10,45850,46700,45400,45800,77800,0.32858707557502737
2024-09-11,45900,45900,43100,43150,299862,-5.786026200873363
2024-09-12,43500,43600,42700,43550,180017,0.9269988412514484
2024-09-13,43800,44700,43550,44700,131156,2.640642939150402
2024-09-19,45100,45250,44200,44400,138352,-0.6711409395973155
2024-09-20,44750,45550,44450,44800,239995,0.9009009009009009
2024-09-23,45300,45300,43900,44400,179171,-0.8928571428571428
2024-09-24,44250,45150,44150,45050,111549,1.4639639639639639
2024-09-25,45450,45700,42800,42900,343474,-4.772475027746948
2024-09-26,43150,43400,42750,43350,293077,1.048951048951049
2024-09-27,43450,43450,42600,42850,250188,-1.1534025374855825
2024-09-30,43050,43600,42500,42550,169508,-0.7001166861143524
