날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,15040,15190,14950,15140,284239,1.0006671114076051
2024-06-04,15040,15140,14730,14810,342614,-2.179656538969617
2024-06-05,14810,14910,14740,14810,231914,0.0
2024-06-07,14830,14920,14760,14820,186195,0.0675219446320054
2024-06-10,14710,14800,14660,14690,202573,-0.8771929824561403
2024-06-11,14720,14830,14590,14640,205864,-0.3403675970047651
2024-06-12,14640,14780,14630,14710,191021,0.47814207650273227
2024-06-13,14750,15100,14650,14650,539649,-0.4078857919782461
2024-06-14,14650,14690,14490,14560,455998,-0.614334470989761
2024-06-17,14550,14650,14500,14600,198825,0.27472527472527475
2024-06-18,14600,14660,14460,14470,250973,-0.8904109589041096
2024-06-19,14520,15050,14450,14900,494190,2.9716655148583278
2024-06-20,14900,15210,14770,15140,314025,1.6107382550335572
2024-06-21,15140,15580,14850,15090,701572,-0.33025099075297226
2024-06-24,14990,15070,14730,14760,299781,-2.1868787276341948
2024-06-25,14890,15070,14700,15020,259102,1.7615176151761516
2024-06-26,14980,15150,14830,15150,284430,0.8655126498002662
2024-06-27,15010,15020,14800,14800,240493,-2.31023102310231
2024-06-28,14830,15040,14770,15030,221039,1.5540540540540542
2024-07-01,15000,15350,14940,15330,396459,1.996007984031936
2024-07-02,15330,15330,14930,14970,344074,-2.3483365949119372
2024-07-03,15040,15080,14840,14900,200050,-0.46760187040748163
2024-07-04,14900,15080,14900,15070,198297,1.1409395973154361
2024-07-05,15010,15320,15010,15050,366824,-0.13271400132714
2024-07-08,14980,15300,14980,15220,231860,1.1295681063122924
2024-07-09,15290,15670,15250,15330,405670,0.7227332457293035
2024-07-10,15270,15330,15170,15180,170358,-0.9784735812133072
2024-07-11,15320,15580,15250,15460,444546,1.844532279314888
2024-07-12,15780,16640,15730,16050,2333987,3.8163001293661063
2024-07-15,16120,17260,16050,17260,2751558,7.538940809968847
2024-07-16,17260,17950,17070,17550,2222886,1.6801853997682505
2024-07-17,17660,18620,17660,18220,2431903,3.8176638176638176
2024-07-18,18300,18330,17630,17990,1200558,-1.2623490669593853
2024-07-19,17900,18130,17630,17900,665850,-0.500277932184547
2024-07-22,17870,17900,17510,17800,656752,-0.5586592178770949
2024-07-23,17650,18220,17650,17730,714399,-0.39325842696629215
2024-07-24,17730,18000,17620,17760,399069,0.1692047377326565
2024-07-25,17680,17850,17500,17570,451340,-1.0698198198198199
2024-07-26,17610,19300,17610,19210,2331978,9.3340922026181
2024-07-29,19220,20100,19070,19680,1943456,2.4466423737636647
2024-07-30,19660,20150,19200,19820,988043,0.7113821138211381
2024-07-31,19500,20400,19500,19850,1184941,0.15136226034308778
2024-08-01,19800,20250,19430,20250,956158,2.0151133501259446
2024-08-02,19860,19870,18870,19050,1188582,-5.9259259259259265
2024-08-05,18420,18660,16650,17050,1702699,-10.498687664041995
2024-08-06,17200,18120,17130,17300,1116688,1.466275659824047
2024-08-07,17200,17360,16750,16750,1002152,-3.1791907514450863
2024-08-08,16680,18780,16560,18640,1812519,11.283582089552239
2024-08-09,18860,19540,18710,19130,1391506,2.628755364806867
2024-08-12,19130,20100,18870,20050,1032868,4.809200209095661
2024-08-13,19900,20050,19300,19430,670381,-3.092269326683292
2024-08-14,19600,19750,19000,19370,529107,-0.3088008234688626
2024-08-16,19560,19680,19190,19300,456387,-0.3613835828600929
2024-08-19,19310,20000,19120,19940,987454,3.316062176165803
2024-08-20,19800,21250,19770,20700,1767070,3.8114343029087263
2024-08-21,20750,21650,20350,21050,1711663,1.6908212560386473
2024-08-22,21050,21100,19770,19960,1279481,-5.178147268408551
2024-08-23,19940,20700,19810,20450,783190,2.4549098196392785
2024-08-26,21000,21700,20500,21300,1451832,4.156479217603912
2024-08-27,21300,21750,21050,21550,918817,1.1737089201877933
2024-08-28,21400,21450,20450,20650,865350,-4.176334106728538
2024-08-29,20400,21150,20350,20950,699976,1.4527845036319613
2024-08-30,20950,20950,20200,20500,728191,-2.1479713603818613
2024-09-02,20350,20750,20250,20400,400978,-0.4878048780487805
2024-09-03,20400,20450,20000,20250,531047,-0.7352941176470588
2024-09-04,19800,19960,19300,19700,917959,-2.7160493827160495
2024-09-05,19700,19780,18650,18800,1205246,-4.568527918781726
2024-09-06,18910,18980,18080,18250,821503,-2.925531914893617
2024-09-09,18000,18800,17870,18670,532916,2.3013698630136985
2024-09-10,18670,18670,18150,18260,383488,-2.196036422067488
2024-09-11,18270,18690,18110,18350,330211,0.49288061336254113
2024-09-12,18490,18980,18360,18610,572378,1.416893732970027
2024-09-13,18710,19370,18660,19170,503858,3.0091348737238044
2024-09-19,19550,19780,19000,19080,528377,-0.4694835680751174
2024-09-20,19280,19370,18890,19160,506670,0.41928721174004197
2024-09-23,19280,19400,18170,18250,689558,-4.749478079331942
2024-09-24,18250,18910,18240,18910,477134,3.616438356164384
2024-09-25,19090,19100,18230,18230,541618,-3.5959809624537287
2024-09-26,18390,18510,18180,18510,363611,1.5359297860669225
