날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,2365,2600,2365,2530,3007735,7.203389830508475
2024-06-04,2500,2520,2420,2440,741179,-3.557312252964427
2024-06-05,2450,2455,2410,2415,396330,-1.0245901639344261
2024-06-07,2430,2455,2395,2400,376786,-0.6211180124223602
2024-06-10,2395,2455,2395,2435,313096,1.4583333333333333
2024-06-11,2445,2460,2415,2430,268073,-0.20533880903490762
2024-06-12,2440,2455,2415,2440,280528,0.411522633744856
2024-06-13,2440,2460,2435,2455,207920,0.6147540983606558
2024-06-14,2455,2455,2420,2425,197324,-1.2219959266802443
2024-06-17,2435,2485,2430,2430,349214,0.2061855670103093
2024-06-18,2435,2470,2430,2440,273008,0.411522633744856
2024-06-19,2450,2455,2410,2440,245758,0.0
2024-06-20,2435,2525,2435,2470,1035061,1.2295081967213115
2024-06-21,2490,3210,2450,3210,18467285,29.959514170040485
2024-06-24,3360,4150,3315,3850,151841329,19.937694704049843
2024-06-25,4040,4430,3860,3945,78341492,2.4675324675324677
2024-06-26,3950,4020,3885,3945,4500555,0.0
2024-06-27,4000,4170,3970,4170,5349064,5.7034220532319395
2024-06-28,4070,4185,4000,4040,2883555,-3.117505995203837
2024-07-01,4000,4040,3515,3640,10196574,-9.900990099009901
2024-07-02,3670,3685,3390,3530,6466972,-3.021978021978022
2024-07-03,3455,3480,3260,3405,5016269,-3.5410764872521248
2024-07-04,3390,3455,3280,3415,3703140,0.2936857562408223
2024-07-05,3375,3485,3350,3465,3116026,1.4641288433382138
2024-07-08,3440,3490,3325,3475,2940298,0.2886002886002886
2024-07-09,3530,3530,3345,3365,2968689,-3.1654676258992804
2024-07-10,3330,3510,3300,3510,3743861,4.3090638930163445
2024-07-11,3440,3595,3315,3540,4250538,0.8547008547008548
2024-07-12,3460,3570,3210,3215,4686730,-9.180790960451978
2024-07-15,3195,3360,3155,3280,3123662,2.021772939346812
2024-07-16,3320,3355,3050,3095,5783892,-5.640243902439025
2024-07-17,3070,3145,3060,3090,1900551,-0.16155088852988692
2024-07-18,3085,3710,2960,3455,51901837,11.812297734627832
2024-07-19,3475,3750,3465,3665,26907304,6.078147612156296
2024-07-22,3820,3830,3430,3550,12661168,-3.1377899045020468
2024-07-23,3490,3725,3415,3555,13397305,0.14084507042253522
2024-07-24,3495,3750,3435,3650,12512318,2.6722925457102673
2024-07-25,3555,3665,3420,3495,4367834,-4.2465753424657535
2024-07-26,3465,3645,3435,3595,4090905,2.8612303290414878
2024-07-29,3800,3905,3630,3630,14402329,0.9735744089012517
2024-07-30,3680,3690,3310,3320,4984705,-8.539944903581267
2024-07-31,3335,3575,3220,3425,6470729,3.1626506024096384
2024-08-01,3380,3455,3350,3405,1963978,-0.583941605839416
2024-08-02,3345,3470,3265,3335,3051576,-2.0558002936857562
2024-08-05,3235,3235,2800,2995,3728677,-10.194902548725636
2024-08-06,2995,3290,2970,3220,3398411,7.512520868113523
2024-08-07,3300,3545,3300,3325,9569834,3.260869565217391
2024-08-08,3255,3340,3145,3160,1840561,-4.962406015037594
2024-08-09,3210,3730,3200,3590,27036045,13.60759493670886
2024-08-12,3550,3635,3470,3475,5238784,-3.203342618384401
2024-08-13,3470,3605,3365,3400,4553687,-2.158273381294964
2024-08-14,3425,3560,3390,3475,3519446,2.2058823529411766
2024-08-16,3500,3555,3455,3520,2832268,1.2949640287769784
2024-08-19,3540,3560,3420,3495,4013527,-0.7102272727272727
2024-08-20,3745,3745,3435,3470,12202288,-0.7153075822603719
2024-08-21,3440,3735,3375,3530,12326767,1.729106628242075
2024-08-22,3490,4215,3475,3935,73749515,11.473087818696884
2024-08-23,3890,3980,3740,3960,13754321,0.6353240152477764
2024-08-26,3945,4085,3810,4015,14323880,1.3888888888888888
2024-08-27,3945,4155,3915,3995,16947280,-0.49813200498132004
2024-08-28,4000,4065,3810,3820,5655390,-4.380475594493117
2024-08-29,3770,3930,3725,3755,4838583,-1.7015706806282722
2024-08-30,3880,3995,3665,3990,8147527,6.25832223701731
2024-09-02,3950,4060,3915,3990,5929442,0.0
2024-09-03,3985,4060,3790,3930,6477467,-1.5037593984962405
2024-09-04,3770,3880,3710,3730,2985279,-5.089058524173027
2024-09-05,3780,3790,3370,3405,5334744,-8.713136729222521
2024-09-06,3355,3405,3170,3275,3158141,-3.81791483113069
2024-09-09,3290,3400,3245,3310,2788257,1.0687022900763359
2024-09-10,3370,3405,3310,3325,1645105,0.4531722054380665
2024-09-11,3345,3545,3330,3470,3122192,4.360902255639098
2024-09-12,3440,3515,3440,3510,1300470,1.1527377521613833
2024-09-13,3510,4335,3480,4190,70947740,19.37321937321937
2024-09-19,4145,4235,3975,3990,10472200,-4.77326968973747
2024-09-20,4040,4455,3990,4310,48584276,8.020050125313283
2024-09-23,4270,4305,4150,4215,6699660,-2.2041763341067284
2024-09-24,4255,4305,4060,4095,10715467,-2.8469750889679712
2024-09-25,4140,4160,3815,3850,9401599,-5.982905982905983
2024-09-26,3840,3955,3810,3945,4324076,2.4675324675324677
2024-09-27,3925,4175,3845,3930,9817801,-0.38022813688212925
2024-09-30,3930,3975,3845,3875,2411427,-1.3994910941475827
2024-10-02,3825,3895,3710,3710,3190156,-4.258064516129032
2024-10-04,3660,3810,3660,3710,2254472,0.0
2024-10-07,3725,3940,3670,3805,5398500,2.560646900269542
2024-10-08,3760,3865,3725,3805,1901398,0.0
2024-10-10,3845,3860,3735,3745,1552997,-1.5768725361366622
2024-10-11,3740,3800,3660,3685,1762117,-1.602136181575434
2024-10-14,3640,3705,3635,3665,1335631,-0.5427408412483039
2024-10-15,3665,3705,3605,3700,1335080,0.9549795361527967
2024-10-16,3805,3810,3495,3525,3038710,-4.72972972972973
2024-10-17,3520,3550,3435,3475,1244490,-1.4184397163120568
2024-10-18,3475,3500,3400,3425,1219853,-1.4388489208633095
2024-10-21,3495,3565,3440,3465,1806071,1.167883211678832
2024-10-22,3475,3480,3335,3355,1202329,-3.1746031746031744
2024-10-23,3340,3415,3310,3365,1171139,0.29806259314456035
2024-10-24,3315,3365,3295,3320,716392,-1.337295690936107
2024-10-25,3320,3420,3320,3395,1288528,2.2590361445783134
