날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,19029,19585,17789,19457,2285943,14.722877358490566
2024-06-04,19243,19927,18858,19286,816589,-0.8788610782751709
2024-06-05,19158,19586,18645,18688,413138,-3.1006948045214147
2024-06-07,18730,19286,18645,19030,453970,1.8300513698630136
2024-06-10,18730,18944,18431,18474,307589,-2.921702574881766
2024-06-11,18431,18816,18302,18645,176902,0.9256252029879831
2024-06-12,18558,18986,18558,18901,179647,1.3730222579780103
2024-06-13,18687,19072,18687,18944,341205,0.22750119041320566
2024-06-14,18730,18986,18388,18944,234314,0.0
2024-06-17,18772,18986,18558,18730,193111,-1.1296452702702704
2024-06-18,18816,18816,18217,18303,241241,-2.2797650827549387
2024-06-19,18516,18516,18046,18260,136628,-0.23493416379828444
2024-06-20,18259,18601,18174,18388,144616,0.7009857612267251
2024-06-21,18558,19029,18174,18174,607333,-1.1638024798781814
2024-06-24,18089,18516,17961,17961,119471,-1.1720039617035325
2024-06-25,18174,18516,18046,18303,179530,1.9041256054785367
2024-06-26,18217,18388,18174,18217,127356,-0.4698683275965689
2024-06-27,18089,18217,17490,17747,291900,-2.580007685129275
2024-06-28,17960,18045,17703,17832,148614,0.4789541894404688
2024-07-01,17746,17832,17447,17704,148508,-0.7178106774338268
2024-07-02,17490,17575,17276,17362,133647,-1.9317668323542703
2024-07-03,17533,17533,17148,17234,216733,-0.7372422531966363
2024-07-04,17233,17404,17148,17362,131138,0.7427178832540327
2024-07-05,17404,17489,17233,17276,192744,-0.49533463886649004
2024-07-08,17234,17319,17148,17234,85582,-0.24311183144246357
2024-07-09,17233,17660,17233,17447,208525,1.2359289776024138
2024-07-10,17404,17832,17318,17661,206278,1.226571903479108
2024-07-11,17832,17832,17319,17533,263886,-0.724760772323198
2024-07-12,17660,18345,17532,18003,348255,2.680659328124109
2024-07-15,18474,18516,18132,18132,204634,0.7165472421263123
2024-07-16,18088,18259,17874,18003,107553,-0.7114493712772998
2024-07-17,18088,18345,17960,18174,193546,0.9498416930511582
2024-07-18,18174,18473,18046,18431,228877,1.4141080664685814
2024-07-19,18174,18430,18045,18174,117113,-1.394389886604091
2024-07-22,18174,18259,17874,18046,154380,-0.704302850225597
2024-07-23,18089,18174,17918,17961,151866,-0.4710185082566774
2024-07-24,17875,18131,17746,18089,140266,0.7126551973720839
2024-07-25,18260,18473,18003,18260,222560,0.9453258886616176
2024-07-26,18473,18559,18217,18260,193266,0.0
2024-07-29,18260,18260,18046,18132,169999,-0.7009857612267251
2024-07-30,18046,18217,17918,17918,160749,-1.1802338407235826
2024-07-31,17960,18260,17875,18132,160452,1.194329724299587
2024-08-01,17917,18559,17917,18388,206660,1.4118685197440988
2024-08-02,18302,19372,18131,19201,1209344,4.421361757668044
2024-08-05,19371,19842,17789,18260,1249423,-4.900786417374095
2024-08-06,19029,19200,18131,18474,371340,1.171960569550931
2024-08-07,18346,19586,18046,18346,757901,-0.6928656490202446
2024-08-08,18431,18516,17533,17747,425930,-3.2650168974163307
2024-08-09,17746,17874,17147,17319,503129,-2.411675212712008
2024-08-12,17405,17661,17362,17619,194364,1.7322016282695307
2024-08-13,17532,17960,17532,17875,197985,1.4529768999375674
2024-08-14,18003,18003,17618,17918,117420,0.24055944055944056
2024-08-16,18088,18131,17874,18003,126384,0.47438330170777987
2024-08-19,18088,18217,17960,18217,100799,1.1886907737599288
2024-08-20,18132,18132,17619,17619,227994,-3.2826480759729924
2024-08-21,17703,17875,17618,17875,215698,1.4529768999375674
2024-08-22,17917,17917,17703,17875,91396,0.0
2024-08-23,17703,18131,17661,18046,137790,0.9566433566433565
2024-08-26,18046,18088,17832,18046,124441,0.0
2024-08-27,18174,18901,18046,18773,374319,4.028593594148288
2024-08-28,18687,18944,18516,18602,171534,-0.9108826506152454
2024-08-29,18730,18816,18388,18816,154708,1.150413933985593
2024-08-30,18944,18944,18602,18859,220562,0.22852891156462585
2024-09-02,18687,18773,18474,18474,116382,-2.04146561323506
2024-09-03,18601,18943,18473,18901,226746,2.3113565010284725
2024-09-04,18730,18730,18260,18303,149823,-3.1638537643510927
2024-09-05,18302,19457,18302,19286,533165,5.370704256132875
2024-09-06,19457,19457,18986,19286,251611,0.0
2024-09-09,18944,19201,18858,19201,113311,-0.4407342113450171
2024-09-10,19072,19200,18858,18987,55141,-1.114525285141399
2024-09-11,19115,19286,18987,19244,153759,1.353557697371886
2024-09-12,19201,19415,18944,19244,281036,0.0
2024-09-13,19286,19457,19072,19329,125639,0.441696113074205
2024-09-19,19499,19542,18644,18773,190684,-2.8765068032490038
2024-09-20,18772,19029,18601,18901,211129,0.6818302881798327
2024-09-23,19072,19072,18559,18602,127514,-1.5819268821755463
2024-09-24,18730,18986,18516,18944,121110,1.8385119879582839
2024-09-25,19157,19200,18431,18431,248853,-2.707981418918919
2024-09-26,18601,18772,18473,18730,176805,1.6222668330530086
2024-09-27,18773,18858,18516,18602,145694,-0.6833956219967966
2024-09-30,18773,18901,18217,18260,158142,-1.8385119879582839
2024-10-02,18131,18259,17917,18003,176494,-1.407447973713034
2024-10-04,18003,18046,17618,17704,166996,-1.6608343053935455
2024-10-07,17661,18046,17618,17790,91768,0.4857659286037054
2024-10-08,17790,18003,17747,17790,135528,0.0
2024-10-10,18003,18174,17832,17961,158724,0.9612141652613828
2024-10-11,18216,18430,17960,18388,137854,2.3773731974834362
2024-10-14,18388,18516,18131,18431,97670,0.23384816184468132
2024-10-15,18345,18430,18003,18217,117240,-1.1610872985730563
2024-10-16,18046,18303,17875,17961,162835,-1.4052807816874349
2024-10-17,18174,18302,18003,18089,67890,0.7126551973720839
2024-10-18,18174,18259,18003,18217,58548,0.707612361103433
2024-10-21,18217,18302,17875,17875,100589,-1.8773672942855573
2024-10-22,17832,17960,17661,17704,84523,-0.9566433566433565
2024-10-23,17747,18217,17618,17961,93799,1.4516493447808405
2024-10-24,17789,18131,17789,18046,48940,0.4732475920048995
2024-10-25,17960,18088,17148,17362,491631,-3.7903136429125563
2024-10-28,17404,17747,17276,17747,121305,2.2174864646930077
2024-10-29,17747,17790,17490,17790,55480,0.24229447230517837
2024-10-30,17790,17832,17618,17790,101823,0.0
2024-10-31,17875,18474,17704,18474,271784,3.8448566610455313
2024-11-01,18345,18559,18131,18303,230349,-0.9256252029879831
2024-11-04,18345,18772,18302,18559,156717,1.3986778123804842
2024-11-05,18388,18986,18388,18431,253395,-0.6896923325610216
2024-11-06,18645,18730,18388,18474,135661,0.23330258803103465
2024-11-07,18260,18516,18174,18474,184876,0.0
2024-11-08,18474,18474,17447,17790,686441,-3.7025008119519325
2024-11-11,17575,17746,17404,17447,115849,-1.9280494659921303
2024-11-12,17275,17618,17275,17447,179784,0.0
2024-11-13,17319,17533,17276,17362,172820,-0.4871897747463747
2024-11-14,17533,18132,17362,18132,184758,4.434972929386015
2024-11-15,18089,18089,17704,17790,94021,-1.8861681005956321
2024-11-18,17575,17960,17575,17918,68778,0.7195053400786959
2024-11-19,17746,18003,17703,17875,86229,-0.2399821408639357
2024-11-20,17789,18259,17789,18174,146566,1.6727272727272726
2024-11-21,18132,18944,18003,18517,382649,1.8873115439639043
2024-11-22,18730,19371,18559,19329,314195,4.385159583085813
2024-11-25,19457,19671,19329,19586,320166,1.3296083604945936
2024-11-26,19414,20099,19414,19757,464587,0.873072602879608
2024-11-27,19671,20056,19543,19800,728751,0.21764437920736954
2024-11-28,0,0,0,19800,0,0.0
2024-11-29,0,0,0,19800,0,0.0
2024-12-02,0,0,0,19800,0,0.0
2024-12-03,0,0,0,19800,0,0.0
2024-12-04,0,0,0,19800,0,0.0
2024-12-05,0,0,0,19800,0,0.0
2024-12-06,0,0,0,19800,0,0.0
2024-12-09,0,0,0,19800,0,0.0
2024-12-10,0,0,0,19800,0,0.0
2024-12-11,0,0,0,19800,0,0.0
