날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,37500,37550,37150,37250,5607,0.2691790040376851
2024-06-04,37100,37450,36950,36950,5803,-0.8053691275167786
2024-06-05,37050,37200,36850,36900,5127,-0.13531799729364005
2024-06-07,36900,37000,36750,36900,4341,0.0
2024-06-10,36900,37150,36600,37000,2273,0.27100271002710025
2024-06-11,37000,37150,36900,37000,2378,0.0
2024-06-12,37050,37050,36850,36900,1794,-0.2702702702702703
2024-06-13,36950,37200,36850,36950,2172,0.13550135501355012
2024-06-14,37200,37200,37000,37100,1922,0.40595399188092013
2024-06-17,36900,37250,36850,37050,2098,-0.13477088948787064
2024-06-18,37200,37400,36900,37200,1684,0.4048582995951417
2024-06-19,37200,37300,37150,37300,2098,0.2688172043010753
2024-06-20,37300,37400,36950,37350,1740,0.13404825737265416
2024-06-21,37350,48350,37250,41000,990327,9.772423025435073
2024-06-24,39250,42100,38150,38400,604047,-6.341463414634147
2024-06-25,38450,40000,37750,38100,138685,-0.78125
2024-06-26,38600,38600,37800,37950,41763,-0.39370078740157477
2024-06-27,38150,38250,37700,37850,22118,-0.2635046113306983
2024-06-28,37750,38550,37750,38050,24010,0.5284015852047557
2024-07-01,38150,38250,37750,37800,16256,-0.657030223390276
2024-07-02,37850,38100,37700,38050,16017,0.6613756613756614
2024-07-03,38050,38150,37800,38000,12889,-0.1314060446780552
2024-07-04,38000,39200,37950,39050,25480,2.763157894736842
2024-07-05,39100,46700,38800,40350,259346,3.329065300896287
2024-07-08,40350,40400,39400,39500,34871,-2.1065675340768277
2024-07-09,39600,40200,39300,39700,14577,0.5063291139240507
2024-07-10,39950,39950,39150,39350,22596,-0.8816120906801008
2024-07-11,39600,39850,39250,39550,8749,0.5082592121982211
2024-07-12,39550,39600,38950,39000,11687,-1.390644753476612
2024-07-15,39450,39450,38500,38850,32879,-0.38461538461538464
2024-07-16,38700,40350,38650,39850,26039,2.574002574002574
