날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,7910,8090,7900,7970,32140,0.25157232704402516
2024-06-04,7970,8040,7910,7910,36760,-0.7528230865746549
2024-06-05,7920,8050,7870,7960,37686,0.6321112515802781
2024-06-07,7950,8110,7920,7930,31985,-0.37688442211055273
2024-06-10,7930,8020,7870,7890,25308,-0.5044136191677175
2024-06-11,7900,8010,7870,7870,36478,-0.25348542458808615
2024-06-12,7950,7990,7840,7940,37391,0.8894536213468869
2024-06-13,8000,8000,7890,7910,33065,-0.3778337531486146
2024-06-14,7910,8090,7870,7970,53019,0.7585335018963337
2024-06-17,8050,8250,7970,8240,102246,3.3877038895859477
2024-06-18,8240,8260,8160,8200,43584,-0.48543689320388345
2024-06-19,8160,8200,8040,8080,58508,-1.4634146341463417
2024-06-20,8020,8110,7990,8070,31440,-0.12376237623762376
2024-06-21,8070,8380,8010,8380,101825,3.841387856257745
2024-06-24,8240,8290,8120,8210,52715,-2.028639618138425
2024-06-25,8210,8250,8100,8220,26929,0.12180267965895249
2024-06-26,8190,8190,8090,8130,39113,-1.094890510948905
2024-06-27,8210,8210,7970,7990,36013,-1.7220172201722017
2024-06-28,7990,8200,7990,8070,41975,1.0012515644555695
2024-07-01,8140,8300,8080,8260,43900,2.3543990086741013
2024-07-02,8280,8330,8130,8140,54313,-1.4527845036319613
2024-07-03,8200,8270,8110,8140,17992,0.0
2024-07-04,8220,8250,8140,8170,40302,0.36855036855036855
2024-07-05,8250,8260,8110,8160,71810,-0.12239902080783352
2024-07-08,8200,8270,8070,8150,44401,-0.12254901960784313
2024-07-09,8160,8160,8050,8100,41553,-0.6134969325153374
2024-07-10,8100,8120,8060,8070,19215,-0.3703703703703704
2024-07-11,8070,8150,8030,8050,33355,-0.24783147459727387
2024-07-12,8100,8130,8010,8110,46791,0.7453416149068323
2024-07-15,8110,8540,8020,8540,175861,5.30209617755857
2024-07-16,8500,8800,8420,8730,207928,2.224824355971897
2024-07-17,8730,9090,8670,8900,307899,1.9473081328751431
2024-07-18,8890,8970,8650,8800,110524,-1.1235955056179776
2024-07-19,8700,8800,8630,8750,92766,-0.5681818181818182
2024-07-22,8710,8830,8650,8770,98014,0.2285714285714286
2024-07-23,8810,8960,8740,8790,102236,0.22805017103762829
2024-07-24,8770,9060,8770,8970,167575,2.04778156996587
2024-07-25,8800,9000,8750,8870,139041,-1.1148272017837235
2024-07-26,8820,9710,8820,9650,835390,8.793686583990981
2024-07-29,9560,9950,9420,9840,423920,1.9689119170984457
2024-07-30,9770,9900,9670,9770,138427,-0.7113821138211381
2024-07-31,9770,10090,9640,9980,349731,2.1494370522006143
2024-08-01,9960,10100,9930,9980,189632,0.0
2024-08-02,9940,10030,9700,9800,234192,-1.8036072144288577
2024-08-05,9650,9800,8900,9280,621155,-5.3061224489795915
2024-08-06,9280,9750,8870,9130,502763,-1.6163793103448276
2024-08-07,9120,9550,9080,9330,145695,2.190580503833516
2024-08-08,9220,10090,9220,10060,326218,7.82422293676313
2024-08-09,10150,10200,9890,10090,180309,0.2982107355864811
2024-08-12,10160,10160,9980,10110,97939,0.19821605550049554
2024-08-13,10190,10330,10050,10160,164584,0.4945598417408506
2024-08-14,10170,10200,9920,10170,181239,0.09842519685039369
2024-08-16,10120,10320,10050,10210,189487,0.39331366764995085
2024-08-19,10180,10470,10150,10440,203802,2.2526934378060726
2024-08-20,10480,10540,10270,10510,144584,0.6704980842911877
2024-08-21,10360,10960,10360,10830,317409,3.0447193149381544
2024-08-22,10840,10900,10430,10450,168321,-3.508771929824561
2024-08-23,10400,10880,10300,10860,163829,3.923444976076555
2024-08-26,10860,11370,10650,11010,421112,1.3812154696132597
2024-08-27,10920,11210,10600,11170,145118,1.4532243415077202
2024-08-28,11070,11210,10700,10860,192097,-2.775290957923008
2024-08-29,10730,11060,10700,10880,107446,0.1841620626151013
2024-08-30,10900,11040,10760,10950,148446,0.6433823529411764
2024-09-02,11200,11200,10850,11140,95754,1.7351598173515983
2024-09-03,11180,11310,10960,11180,164217,0.3590664272890485
2024-09-04,10720,11190,10720,11020,145032,-1.4311270125223614
2024-09-05,11050,11300,10870,10960,140563,-0.5444646098003629
2024-09-06,10960,11050,10740,10830,140721,-1.1861313868613137
2024-09-09,10660,11200,10540,11170,137169,3.139427516158818
2024-09-10,11070,11170,10790,10840,126722,-2.954341987466428
2024-09-11,10790,10900,10670,10810,117274,-0.27675276752767525
2024-09-12,10710,10960,10710,10820,70732,0.09250693802035154
2024-09-13,10820,11150,10780,11070,109289,2.310536044362292
2024-09-19,11070,11120,10720,10820,126647,-2.2583559168925023
2024-09-20,10790,11400,10790,11370,249529,5.0831792975970425
2024-09-23,11280,11340,10900,11020,202381,-3.0782761653474053
2024-09-24,11160,11260,11020,11220,46064,1.8148820326678767
2024-09-25,11250,11250,10910,10910,122128,-2.7629233511586455
2024-09-26,10910,11270,10910,11170,180591,2.383134738771769
2024-09-27,11180,11200,10950,11030,54185,-1.2533572068039391
2024-09-30,11030,11040,10720,10900,180799,-1.1786038077969174
2024-10-02,10780,10970,10570,10770,82229,-1.1926605504587156
2024-10-04,10770,10880,10660,10820,58619,0.4642525533890436
2024-10-07,10810,11000,10790,10850,62209,0.27726432532347506
2024-10-08,10720,11150,10720,11020,61701,1.566820276497696
2024-10-10,10910,11230,10820,11140,131099,1.0889292196007259
2024-10-11,11200,11200,10900,11010,55465,-1.1669658886894074
2024-10-14,10930,11100,10930,11100,32818,0.8174386920980926
2024-10-15,11100,11100,10910,11070,44128,-0.2702702702702703
2024-10-16,11070,11430,11000,11430,126463,3.2520325203252036
2024-10-17,11430,11460,11240,11300,47345,-1.1373578302712162
2024-10-18,11400,11400,10990,11000,62058,-2.6548672566371683
2024-10-21,11110,11120,10770,11020,84900,0.18181818181818182
2024-10-22,11020,11090,10800,10870,69340,-1.3611615245009074
2024-10-23,10800,10980,10790,10830,54074,-0.36798528058877644
2024-10-24,10830,11110,10820,10950,65842,1.10803324099723
2024-10-25,10990,11030,10890,10900,52335,-0.45662100456621
2024-10-28,11000,11130,10810,10900,54524,0.0
2024-10-29,10900,11150,10900,11000,79092,0.9174311926605505
2024-10-30,11000,11100,10940,11070,59397,0.6363636363636364
2024-10-31,11100,11290,10980,11250,107249,1.6260162601626018
