날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,9250,9340,9130,9190,37827,-0.10869565217391304
2024-06-04,9190,9220,8940,9000,41852,-2.067464635473341
2024-06-05,9030,9050,8750,9050,32687,0.5555555555555556
2024-06-07,9180,9180,8810,8890,42586,-1.7679558011049725
2024-06-10,8800,8930,8780,8860,20225,-0.3374578177727784
2024-06-11,8900,9180,8840,8980,39889,1.3544018058690745
2024-06-12,9090,9100,8870,9070,24751,1.0022271714922049
2024-06-13,9070,9150,8950,9090,21026,0.2205071664829107
2024-06-14,9040,9090,8900,8970,29039,-1.3201320132013201
2024-06-17,8960,9020,8830,8870,18302,-1.1148272017837235
2024-06-18,8930,8970,8800,8800,26779,-0.7891770011273956
2024-06-19,8890,8890,8630,8660,26467,-1.5909090909090908
2024-06-20,8660,8770,8630,8730,15764,0.8083140877598153
2024-06-21,8770,8770,8600,8630,22594,-1.145475372279496
2024-06-24,8710,8710,8500,8620,16401,-0.11587485515643105
2024-06-25,8670,8670,8600,8640,10426,0.23201856148491878
2024-06-26,8640,8650,8240,8590,10523,-0.5787037037037037
2024-06-27,8590,8650,8550,8620,9031,0.3492433061699651
2024-06-28,8620,8740,8590,8740,8361,1.3921113689095126
2024-07-01,8700,8850,8560,8810,32415,0.8009153318077803
2024-07-02,8820,8820,8520,8680,23362,-1.4755959137343928
2024-07-03,8690,8690,8500,8510,14128,-1.9585253456221197
2024-07-04,8510,8600,8440,8440,11124,-0.8225616921269095
2024-07-05,8390,8510,8390,8450,13466,0.11848341232227488
2024-07-08,8450,8500,8350,8500,15663,0.591715976331361
2024-07-09,8500,8560,8450,8560,8875,0.7058823529411765
2024-07-10,8560,8590,8450,8500,10427,-0.7009345794392523
2024-07-11,8510,8510,8330,8420,25759,-0.9411764705882352
2024-07-12,8420,8460,8260,8350,25978,-0.831353919239905
2024-07-15,8420,8530,8270,8500,14484,1.7964071856287425
2024-07-16,8530,8640,8440,8500,13786,0.0
2024-07-17,8530,8690,8390,8630,27374,1.5294117647058825
2024-07-18,8630,8660,8470,8510,24526,-1.3904982618771726
