날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,4175,4245,4165,4215,33584,0.9580838323353293
2024-06-04,4225,4225,4145,4150,16210,-1.542111506524318
2024-06-05,4155,4195,4140,4170,19934,0.48192771084337355
2024-06-07,4155,4240,4155,4220,17600,1.1990407673860912
2024-06-10,4215,4320,4170,4270,35318,1.1848341232227488
2024-06-11,4260,4305,4200,4225,23176,-1.053864168618267
2024-06-12,4225,4275,4200,4225,14803,0.0
2024-06-13,4250,4255,4170,4170,17772,-1.301775147928994
2024-06-14,4175,4210,4155,4200,14211,0.7194244604316548
2024-06-17,4255,4290,4200,4265,41800,1.5476190476190477
2024-06-18,4285,4290,4245,4280,20481,0.3516998827667058
2024-06-19,4280,4280,4215,4220,26411,-1.4018691588785046
2024-06-20,4225,4265,4225,4245,11197,0.5924170616113744
2024-06-21,4265,4270,4190,4210,31021,-0.8244994110718492
2024-06-24,4255,4255,4155,4170,22359,-0.9501187648456058
2024-06-25,4200,4225,4140,4225,26001,1.3189448441247003
2024-06-26,4235,4235,4190,4200,10749,-0.591715976331361
2024-06-27,4230,4230,4160,4225,14378,0.5952380952380952
2024-06-28,4235,4275,4180,4270,20985,1.0650887573964496
2024-07-01,4270,4290,4230,4280,21529,0.234192037470726
2024-07-02,4310,4310,4220,4260,28899,-0.46728971962616817
2024-07-03,4225,4305,4220,4220,13109,-0.9389671361502347
2024-07-04,4205,4260,4205,4230,5617,0.23696682464454977
2024-07-05,4205,4275,4145,4150,18647,-1.8912529550827424
2024-07-08,4145,4185,4135,4175,14859,0.6024096385542169
2024-07-09,4240,4240,4135,4175,11300,0.0
2024-07-10,4190,4200,4090,4100,39530,-1.7964071856287425
2024-07-11,4160,4160,4100,4115,21000,0.3658536585365854
2024-07-12,4160,4160,4085,4095,11474,-0.48602673147023084
2024-07-15,4160,4195,4100,4180,26924,2.0757020757020754
2024-07-16,4200,4200,4145,4165,29044,-0.3588516746411483
2024-07-17,4200,4200,4130,4150,17620,-0.36014405762304924
2024-07-18,4195,4195,4115,4140,4767,-0.24096385542168677
2024-07-19,4140,4180,4090,4100,17855,-0.966183574879227
2024-07-22,4140,4140,4040,4050,12482,-1.2195121951219512
2024-07-23,4105,4105,4050,4070,8914,0.49382716049382713
2024-07-24,4105,4115,4055,4075,10294,0.12285012285012285
2024-07-25,4070,4100,4000,4050,23412,-0.6134969325153374
2024-07-26,4350,4985,4310,4400,6741117,8.641975308641975
2024-07-29,4455,4480,4340,4445,411638,1.0227272727272727
2024-07-30,4430,4445,4330,4355,285102,-2.0247469066366706
2024-07-31,4300,4395,4245,4390,188565,0.8036739380022963
2024-08-01,4390,4555,4365,4530,282890,3.189066059225513
2024-08-02,4465,4515,4420,4485,136934,-0.9933774834437087
2024-08-05,4445,4445,4020,4075,287780,-9.141583054626533
2024-08-06,4110,4295,4110,4225,97542,3.6809815950920246
2024-08-07,4205,4350,4205,4350,150367,2.9585798816568047
2024-08-08,4310,4330,4240,4275,124803,-1.7241379310344827
2024-08-09,4295,4340,4280,4335,98406,1.4035087719298245
