날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,17430,17580,17140,17180,278907,-2.1082621082621085
2024-06-04,17300,17300,16740,16840,184201,-1.979045401629802
2024-06-05,16810,17040,16720,16880,102905,0.23752969121140144
2024-06-07,17030,17470,16960,17430,134592,3.2582938388625595
2024-06-10,17200,17490,17110,17210,102440,-1.262191623637407
2024-06-11,17200,17290,16970,16970,85045,-1.3945380592678676
2024-06-12,17000,17300,16910,17180,132389,1.2374779021803182
2024-06-13,17300,17430,17180,17380,148421,1.1641443538998837
2024-06-14,17400,17400,16950,17110,110217,-1.5535097813578826
2024-06-17,17110,17250,16970,17080,89177,-0.17533606078316774
2024-06-18,17140,17260,17040,17060,75582,-0.117096018735363
2024-06-19,17060,17540,16980,17310,168799,1.4654161781946073
2024-06-20,17310,17490,17160,17260,74574,-0.28885037550548814
2024-06-21,17250,17400,17120,17120,302329,-0.8111239860950173
2024-06-24,17120,17280,17040,17100,50170,-0.11682242990654204
2024-06-25,17200,17400,16940,17350,146410,1.461988304093567
2024-06-26,17360,18700,17300,18590,631901,7.1469740634005765
2024-06-27,18590,18590,17710,18050,264483,-2.9047875201721354
2024-06-28,18000,18200,17910,18200,249066,0.8310249307479225
2024-07-01,18200,18270,17930,17980,115541,-1.208791208791209
2024-07-02,17980,18150,17410,17440,186557,-3.0033370411568407
2024-07-03,17570,18240,17450,18000,318898,3.211009174311927
2024-07-04,17950,17950,17620,17780,133091,-1.2222222222222223
2024-07-05,17810,17900,17610,17680,114023,-0.562429696287964
2024-07-08,17800,17800,17460,17470,105412,-1.1877828054298643
2024-07-09,17600,17680,17170,17320,187706,-0.8586147681740127
2024-07-10,17370,17720,17270,17390,132029,0.40415704387990764
2024-07-11,17500,17640,17400,17480,114517,0.5175388154111558
2024-07-12,17700,18560,17700,18350,818960,4.977116704805492
2024-07-15,18490,19860,18350,19750,909408,7.629427792915531
2024-07-16,19750,21000,19480,20700,1462984,4.810126582278481
2024-07-17,20750,21950,20550,21700,1470860,4.830917874396135
2024-07-18,21550,21900,20800,21200,1186654,-2.3041474654377883
2024-07-19,21150,21150,20050,20750,701041,-2.1226415094339623
2024-07-22,20500,20750,19990,20500,348516,-1.2048192771084338
2024-07-23,20150,21100,19970,20100,563140,-1.951219512195122
2024-07-24,20050,20350,19750,19950,216500,-0.7462686567164178
2024-07-25,20000,20400,19400,20050,377274,0.5012531328320802
2024-07-26,19850,21700,19840,21550,852226,7.4812967581047385
2024-07-29,21550,23050,21450,22800,1111602,5.800464037122969
2024-07-30,22700,23400,22100,22700,612917,-0.43859649122807015
2024-07-31,22500,24600,22250,23000,1266998,1.3215859030837005
2024-08-01,22950,23500,22500,22850,512390,-0.6521739130434783
2024-08-02,22700,22850,21950,22400,485347,-1.9693654266958425
2024-08-05,21800,21850,19500,20150,671559,-10.044642857142858
2024-08-06,20650,20950,19200,19200,972630,-4.714640198511166
2024-08-07,19100,19620,18590,19250,677350,0.26041666666666663
2024-08-08,19100,22500,18900,22100,1348542,14.805194805194805
2024-08-09,22650,22900,21400,21900,784257,-0.904977375565611
2024-08-12,22300,23250,21500,23200,682955,5.93607305936073
2024-08-13,23100,23250,22050,22050,420871,-4.956896551724138
2024-08-14,22450,22500,21100,21800,500379,-1.1337868480725624
2024-08-16,21850,22400,21650,21700,274097,-0.45871559633027525
2024-08-19,22000,22950,21500,22450,428663,3.4562211981566824
2024-08-20,22400,23900,22350,23550,795360,4.8997772828507795
2024-08-21,23350,26450,23300,25050,3619608,6.369426751592357
2024-08-22,25100,25350,24000,24150,1131845,-3.592814371257485
2024-08-23,24150,26800,24150,26000,2135653,7.6604554865424435
2024-08-26,26450,28200,26100,26700,1560991,2.6923076923076925
2024-08-27,26800,27750,26450,26600,994507,-0.37453183520599254
2024-08-28,26250,26450,25250,25550,924508,-3.9473684210526314
2024-08-29,25150,26800,24950,26350,949287,3.131115459882583
2024-08-30,26500,26850,25650,25950,870644,-1.5180265654648957
2024-09-02,25950,27200,25650,26500,633136,2.119460500963391
2024-09-03,26650,27250,26100,26450,496294,-0.18867924528301888
2024-09-04,25700,26200,25100,25700,749342,-2.835538752362949
2024-09-05,25850,26700,24950,25400,949430,-1.1673151750972763
2024-09-06,25300,25500,24100,24750,615386,-2.559055118110236
2024-09-09,24300,26050,24200,25700,546798,3.8383838383838382
2024-09-10,25700,26350,24050,24300,667333,-5.447470817120623
2024-09-11,24200,24350,23450,23900,622749,-1.646090534979424
2024-09-12,23900,25150,23500,24950,479443,4.393305439330543
2024-09-13,25150,25850,24950,25850,414230,3.6072144288577155
2024-09-19,26800,27500,23200,24150,1433665,-6.5764023210831715
2024-09-20,24700,25600,23650,24850,732484,2.898550724637681
2024-09-23,24550,24900,22550,22950,1113319,-7.645875251509055
2024-09-24,22950,24050,22900,23750,604329,3.485838779956427
2024-09-25,23650,23700,22400,22450,613145,-5.473684210526316
2024-09-26,22550,22900,22200,22650,482708,0.8908685968819599
2024-09-27,22650,23100,22300,22400,475573,-1.1037527593818985
2024-09-30,22350,22550,21600,22300,471712,-0.4464285714285714
2024-10-02,21900,22250,21200,21600,407242,-3.1390134529147984
2024-10-04,21400,21500,20500,21000,778182,-2.7777777777777777
2024-10-07,21000,21150,20250,20650,530900,-1.6666666666666667
2024-10-08,20800,21650,20350,21500,704616,4.116222760290557
2024-10-10,21500,22250,21000,22050,543317,2.558139534883721
2024-10-11,22050,23100,22000,22150,622941,0.45351473922902497
2024-10-14,22200,22450,21350,21700,348691,-2.0316027088036117
2024-10-15,21750,21800,20850,21300,686330,-1.8433179723502304
2024-10-16,21300,22200,21100,22050,438266,3.5211267605633805
2024-10-17,22050,22700,21900,22400,379334,1.5873015873015872
2024-10-18,22300,22600,21950,22150,278152,-1.1160714285714286
2024-10-21,22150,22400,21650,21850,212335,-1.3544018058690745
2024-10-22,21850,21850,21000,21250,495179,-2.745995423340961
2024-10-23,21250,21400,20550,20800,435008,-2.1176470588235294
2024-10-24,20600,20950,20550,20600,132510,-0.9615384615384616
2024-10-25,20650,21850,20000,21700,517820,5.339805825242718
2024-10-28,21800,21800,20400,20650,403180,-4.838709677419355
2024-10-29,20750,21550,20500,20900,415556,1.2106537530266344
2024-10-30,20900,21300,20350,20450,367771,-2.15311004784689
2024-10-31,20450,20450,19710,19820,492652,-3.0806845965770173
2024-11-01,19760,20150,19370,19780,192017,-0.20181634712411706
2024-11-04,19640,20450,19640,20050,230642,1.365015166835187
2024-11-05,20200,21450,20050,21200,395067,5.7356608478802995
2024-11-06,21400,21450,20600,21300,224328,0.4716981132075472
2024-11-07,21350,21550,20600,21300,275910,0.0
2024-11-08,21400,21550,21100,21500,206133,0.9389671361502347
2024-11-11,21500,21550,20100,20300,267212,-5.5813953488372094
2024-11-12,20100,20200,19260,19260,443841,-5.123152709359606
2024-11-13,19000,19440,18640,18790,406401,-2.4402907580477673
2024-11-14,18800,19330,18570,18850,309285,0.31931878658861096
2024-11-15,18880,18960,18330,18840,355247,-0.05305039787798408
2024-11-18,18600,19450,18570,19070,216028,1.2208067940552019
2024-11-19,19040,19140,18710,18990,168670,-0.4195070791819612
2024-11-20,19000,19000,18270,18310,463550,-3.580832016850974
2024-11-21,18260,18600,18120,18470,347813,0.8738394320043691
2024-11-22,18420,19470,18370,19380,361521,4.926908500270709
2024-11-25,19600,20850,19520,20450,558321,5.521155830753354
2024-11-26,21000,22000,20700,21050,938515,2.93398533007335
2024-11-27,20600,20800,20000,20350,579445,-3.32541567695962
2024-11-28,20350,21200,19750,20650,614692,1.4742014742014742
2024-11-29,20650,20900,19970,20650,351551,0.0
2024-12-02,20400,20900,19870,20200,268209,-2.1791767554479415
2024-12-03,20200,21000,20050,20650,303510,2.2277227722772275
2024-12-04,20100,20500,19400,19650,550931,-4.842615012106537
2024-12-05,19650,19710,18870,18960,292503,-3.5114503816793894
2024-12-06,18900,19150,18340,18760,340518,-1.0548523206751055
2024-12-09,18400,18460,17200,17250,603590,-8.049040511727078
2024-12-10,17350,18270,17350,18260,279254,5.855072463768115
2024-12-11,18060,18740,18060,18600,205855,1.8619934282584885
2024-12-12,18500,18660,18140,18450,280714,-0.8064516129032258
2024-12-13,18400,19650,18400,19520,434714,5.799457994579946
2024-12-16,19600,19860,19050,19100,247313,-2.151639344262295
2024-12-17,19250,19810,19230,19340,335672,1.256544502617801
2024-12-18,19340,19470,19110,19330,128342,-0.0517063081695967
2024-12-19,19000,19320,18800,18890,240880,-2.2762545266425245
2024-12-20,18930,19140,18450,18450,250119,-2.3292747485442034
2024-12-23,18450,19150,18290,19030,224907,3.1436314363143634
2024-12-24,19030,19200,18260,18430,335552,-3.1529164477141354
2024-12-26,18540,18550,17890,18160,231362,-1.465002712967987
2024-12-27,18120,18120,17790,17980,147573,-0.9911894273127754
2024-12-30,17850,18060,17610,18050,168720,0.389321468298109
2025-01-02,18050,18170,17560,17650,173467,-2.21606648199446
2025-01-03,17530,18180,17530,17790,272332,0.7932011331444759
2025-01-06,17810,17990,17480,17780,301376,-0.056211354693648116
2025-01-07,17690,18350,17610,18200,273191,2.3622047244094486
2025-01-08,18020,18150,17510,17590,542346,-3.3516483516483517
2025-01-09,17590,17600,16570,16590,796937,-5.6850483229107445
2025-01-10,16660,17390,16660,17390,512816,4.822182037371911
2025-01-13,17210,17370,16960,17200,251113,-1.0925819436457735
2025-01-14,17180,17200,16530,16820,439668,-2.2093023255813953
2025-01-15,16810,16820,16320,16380,409605,-2.6159334126040426
2025-01-16,16690,16850,16480,16800,378392,2.564102564102564
2025-01-17,16570,16770,16190,16260,484059,-3.214285714285714
2025-01-20,16260,16540,16210,16270,169298,0.06150061500615006
2025-01-21,16300,16650,16270,16440,257759,1.0448678549477566
2025-01-22,16450,17080,16010,16860,664447,2.5547445255474455
2025-01-23,16900,17400,16810,16990,392328,0.771055753262159
2025-01-24,16950,17220,16740,17160,262180,1.0005885815185402
2025-01-31,17160,17160,16470,16600,325939,-3.263403263403263
2025-02-03,16550,16550,15870,16100,325270,-3.0120481927710845
2025-02-04,16250,16900,16200,16640,224453,3.354037267080745
2025-02-05,16640,18160,16430,17650,796764,6.069711538461538
2025-02-06,17600,18070,17550,17700,381025,0.28328611898017
2025-02-07,17680,18280,17640,18100,491587,2.2598870056497176
2025-02-10,18100,18400,17690,18110,396296,0.05524861878453039
2025-02-11,18110,18940,18060,18310,609365,1.1043622308117063
2025-02-12,18300,18370,17760,17850,303152,-2.5122883670125615
2025-02-13,18000,19730,18000,19220,912779,7.675070028011205
2025-02-14,19390,19680,18930,19050,409493,-0.8844953173777315
2025-02-17,19050,19050,18300,18500,265234,-2.8871391076115485
2025-02-18,18530,19590,18210,19350,713428,4.594594594594595
2025-02-19,19350,19380,18900,18950,330857,-2.0671834625323
2025-02-20,18940,19030,18410,18410,292522,-2.849604221635884
2025-02-21,18500,19070,18490,18840,276018,2.3356871265616514
2025-02-24,18770,18920,18370,18770,221378,-0.3715498938428875
2025-02-25,18750,19530,18590,19370,469311,3.1965903036760785
2025-02-26,19250,19740,19190,19640,342208,1.3939081053175013
2025-02-27,19650,19800,19330,19450,150221,-0.9674134419551934
2025-02-28,19220,19270,18300,18300,326393,-5.912596401028278
2025-03-04,18300,18790,18060,18080,206250,-1.2021857923497268
2025-03-05,18090,19740,18080,19650,405958,8.68362831858407
2025-03-06,20300,20350,19610,19680,317183,0.15267175572519084
2025-03-07,19550,21150,19460,20650,699405,4.928861788617886
2025-03-10,20550,21600,20500,21300,579811,3.14769975786925
2025-03-11,20900,21450,20650,20950,539232,-1.643192488262911
2025-03-12,20900,21750,20500,20650,456391,-1.431980906921241
2025-03-13,20800,21200,20600,20650,217033,0.0
2025-03-14,20650,21000,20300,20450,144999,-0.9685230024213075
2025-03-17,20650,21050,20450,20700,149871,1.2224938875305624
2025-03-18,20700,20950,20350,20600,160989,-0.4830917874396135
2025-03-19,20600,21150,20200,20200,176811,-1.9417475728155338
2025-03-20,20300,20400,19110,19200,487382,-4.9504950495049505
2025-03-21,19290,19560,19100,19380,322512,0.9375
2025-03-24,19380,19880,19330,19780,162717,2.063983488132095
2025-03-25,19580,19940,19500,19660,148490,-0.6066734074823054
2025-03-26,19660,20150,19660,19770,149338,0.5595116988809765
2025-03-27,19930,21700,19930,21050,800990,6.474456246838645
2025-03-28,21250,21300,20250,20800,240360,-1.187648456057007
2025-03-31,20400,20900,20000,20000,190790,-3.8461538461538463
2025-04-01,20150,21050,20000,21000,192831,5.0
2025-04-02,21150,21900,20600,21750,352407,3.571428571428571
2025-04-03,21200,21800,21000,21600,238075,-0.6896551724137931
2025-04-04,21350,22750,21350,22650,429367,4.861111111111112
2025-04-07,21900,22850,21450,21600,330830,-4.635761589403973
2025-04-08,22000,22800,20600,21600,410870,0.0
2025-04-09,21600,21700,20300,20850,300517,-3.4722222222222223
2025-04-10,21600,22000,21200,21450,335528,2.877697841726619
2025-04-11,21000,21650,20600,21500,236933,0.2331002331002331
2025-04-14,21550,21700,20850,21500,280130,0.0
2025-04-15,21500,22750,21450,22350,304946,3.953488372093023
2025-04-16,22500,22700,22000,22100,180201,-1.1185682326621924
2025-04-17,22050,22450,21950,22400,81540,1.3574660633484164
2025-04-18,22550,23000,22100,22450,152900,0.2232142857142857
2025-04-21,22550,22700,22050,22100,74086,-1.55902004454343
2025-04-22,21750,22550,21750,22300,92658,0.904977375565611
2025-04-23,22550,22700,22100,22250,116488,-0.2242152466367713
2025-04-24,22650,23800,22550,23650,442596,6.292134831460674
2025-04-25,23750,23950,23500,23600,172139,-0.21141649048625794
2025-04-28,23900,25100,23800,24500,330709,3.8135593220338984
2025-04-29,24400,24900,24000,24800,119085,1.2244897959183674
2025-04-30,25000,25700,24650,24950,299993,0.6048387096774194
2025-05-02,25150,25500,24450,25400,195511,1.8036072144288577
2025-05-07,25150,25800,24850,25600,144533,0.7874015748031495
2025-05-08,25550,25700,24500,25500,145623,-0.390625
2025-05-09,25350,25350,24600,24800,159802,-2.7450980392156863
2025-05-12,24750,26050,24700,25100,343392,1.2096774193548387
