날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,131200,134800,129600,132800,184229,1.8404907975460123
2024-06-04,132000,133900,129900,130700,156839,-1.5813253012048192
2024-06-05,130000,132400,129600,130800,109970,0.07651109410864575
2024-06-07,131900,135500,131800,135000,294666,3.211009174311927
2024-06-10,134900,136000,133500,134700,136834,-0.2222222222222222
2024-06-11,136400,137800,133300,133700,186538,-0.7423904974016332
2024-06-12,133300,134600,131400,133400,156537,-0.22438294689603588
2024-06-13,133000,134900,132900,133000,213658,-0.29985007496251875
2024-06-14,132200,139300,132200,138900,428546,4.43609022556391
2024-06-17,139000,139500,136500,137700,210212,-0.8639308855291578
2024-06-18,138900,140300,136700,138600,278955,0.6535947712418301
2024-06-19,140000,146600,139000,145700,571372,5.1226551226551225
2024-06-20,147200,150000,145700,149900,477826,2.8826355525051475
2024-06-21,151500,155600,149700,151600,565193,1.134089392928619
2024-06-24,152000,155700,150700,154300,364763,1.7810026385224276
2024-06-25,155800,157100,150500,151800,400489,-1.6202203499675956
2024-06-26,150600,152700,149000,150500,281380,-0.8563899868247694
2024-06-27,150000,157800,148800,157500,378924,4.651162790697675
2024-06-28,157900,160000,155500,158800,287465,0.8253968253968255
2024-07-01,160000,161500,157100,159900,168638,0.6926952141057935
2024-07-02,159000,159800,155500,157200,220393,-1.6885553470919326
2024-07-03,158000,158500,153600,156700,203904,-0.3180661577608142
2024-07-04,156900,161000,154600,159700,218721,1.9144862795149968
2024-07-05,159700,160000,154900,155700,253603,-2.504696305572949
2024-07-08,155100,161300,154500,160000,256267,2.7617212588310855
2024-07-09,160200,160500,157200,159700,153233,-0.1875
2024-07-10,159700,166500,159100,164100,397291,2.7551659361302443
2024-07-11,165500,169200,163500,167100,248249,1.8281535648994516
2024-07-12,166000,168000,162800,165700,234150,-0.8378216636744463
2024-07-15,167100,171400,165900,168800,296923,1.8708509354254677
2024-07-16,172300,178500,170100,178300,549559,5.627962085308057
2024-07-17,180000,184000,176900,179200,551960,0.5047672462142456
2024-07-18,180000,182100,176400,177100,398119,-1.171875
2024-07-19,177100,179000,171300,174100,446971,-1.693958215697346
2024-07-22,174300,187000,174300,186600,686267,7.179781734635267
2024-07-23,186600,190800,184100,189700,454688,1.6613076098606645
2024-07-24,189700,190500,183600,189000,444894,-0.36900369003690037
2024-07-25,185000,189000,175600,183800,875455,-2.751322751322751
2024-07-26,190500,203000,190300,198800,1098426,8.161044613710555
2024-07-29,200000,206000,195900,203000,447137,2.112676056338028
2024-07-30,201000,204000,196700,201000,365306,-0.9852216748768473
2024-07-31,200500,210500,200000,207000,490877,2.9850746268656714
2024-08-01,204500,213000,200000,213000,333897,2.898550724637681
2024-08-02,209000,212500,200500,203000,408778,-4.694835680751173
2024-08-05,190400,196000,162900,172800,1261095,-14.876847290640393
2024-08-06,183500,195800,183500,190300,1033802,10.127314814814815
2024-08-07,190800,195500,187200,192000,558177,0.8933263268523385
2024-08-08,189100,206500,187100,205500,658256,7.03125
2024-08-09,210000,210500,200500,202000,400985,-1.70316301703163
2024-08-12,202000,204000,196600,199100,312800,-1.4356435643564358
2024-08-13,198000,202000,193200,195700,397115,-1.7076845806127574
2024-08-14,197600,198400,191900,197600,380382,0.9708737864077669
2024-08-16,199800,203500,189000,196700,723287,-0.4554655870445344
2024-08-19,196700,204500,196700,199300,424279,1.3218098627351298
2024-08-20,201500,202500,197200,202500,286133,1.6056196688409432
2024-08-21,202000,202500,195700,199700,335928,-1.3827160493827162
2024-08-22,199300,199600,186600,191800,672934,-3.9559339008512766
2024-08-23,189000,193000,188200,189800,238650,-1.0427528675703857
2024-08-26,190000,190000,182300,185000,354558,-2.528977871443625
2024-08-27,185500,189000,182800,186400,257312,0.7567567567567568
2024-08-28,186400,192600,185600,186700,321714,0.1609442060085837
2024-08-29,186700,189200,184600,185200,183983,-0.8034279592929834
2024-08-30,187000,191400,185200,191400,254607,3.3477321814254863
2024-09-02,191700,192300,179800,180500,387872,-5.694879832810868
2024-09-03,180900,182500,177600,180700,222997,0.110803324099723
2024-09-04,174700,177300,171000,175800,451125,-2.7116768123962367
2024-09-05,175900,178300,162400,168000,600045,-4.436860068259386
2024-09-06,168000,171700,163100,170500,359721,1.488095238095238
2024-09-09,165300,171200,164200,170600,221900,0.05865102639296188
