날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,57700,58900,56100,57000,133337,0.0
2024-06-04,56600,56800,55300,55400,98610,-2.807017543859649
2024-06-05,55700,56100,54800,55800,74222,0.7220216606498195
2024-06-07,56300,56600,55500,56600,63748,1.4336917562724014
2024-06-10,56000,56000,55200,55400,49645,-2.1201413427561837
2024-06-11,55300,55900,54400,54500,85587,-1.6245487364620936
2024-06-12,55000,56700,54800,56500,74705,3.669724770642202
2024-06-13,56800,56900,55800,56300,78626,-0.35398230088495575
2024-06-14,56300,57100,55800,56300,80538,0.0
2024-06-17,56600,57300,56000,56200,68212,-0.17761989342806395
2024-06-18,56500,56800,55900,56600,61169,0.7117437722419928
2024-06-19,56600,57500,55900,56500,101356,-0.17667844522968199
2024-06-20,56300,56900,55900,56200,74293,-0.5309734513274336
2024-06-21,56000,57500,55600,55600,120491,-1.0676156583629894
2024-06-24,56000,56000,54100,54300,81741,-2.338129496402878
2024-06-25,54300,55500,54100,54900,48623,1.1049723756906076
2024-06-26,54900,55300,54300,54600,57750,-0.546448087431694
2024-06-27,54900,55000,53700,54500,106343,-0.18315018315018314
2024-06-28,54800,55300,54100,55000,76681,0.9174311926605505
2024-07-01,55600,59200,55400,58800,387456,6.909090909090909
2024-07-02,58200,59500,57000,58100,169786,-1.1904761904761905
2024-07-03,57300,57700,55100,56700,216302,-2.4096385542168677
2024-07-04,56200,57000,55600,57000,72374,0.5291005291005291
2024-07-05,56800,56800,53700,54100,232546,-5.087719298245614
2024-07-08,54400,54600,53000,53400,156223,-1.2939001848428837
2024-07-09,53500,53800,52100,52300,161593,-2.0599250936329585
2024-07-10,52300,53000,52000,52100,110267,-0.3824091778202677
2024-07-11,52300,52800,52100,52600,78239,0.9596928982725527
2024-07-12,53000,53600,52100,52600,120073,0.0
2024-07-15,53500,58300,53100,57800,634304,9.885931558935361
2024-07-16,58100,66000,57700,64200,1645827,11.072664359861593
2024-07-17,63800,65000,63300,64200,432530,0.0
2024-07-18,63700,64300,60200,60900,520198,-5.14018691588785
2024-07-19,60900,61000,57900,59100,373349,-2.955665024630542
2024-07-22,59400,69200,59100,68500,1579722,15.905245346869712
2024-07-23,65100,71000,64700,67300,1201873,-1.7518248175182483
2024-07-24,65400,66900,61500,63900,895891,-5.052005943536404
2024-07-25,67800,68500,63200,63700,862464,-0.3129890453834116
2024-07-26,64700,67300,64000,64400,483621,1.098901098901099
2024-07-29,64100,65700,61700,65000,294835,0.9316770186335404
2024-07-30,63000,63900,60600,61100,399674,-6.0
2024-07-31,61600,62400,58900,59500,324997,-2.618657937806874
2024-08-01,59700,61700,58500,59800,244587,0.5042016806722689
2024-08-02,59200,59200,57100,57900,208480,-3.177257525083612
2024-08-05,56100,56500,49050,51700,365302,-10.708117443868739
2024-08-06,52100,54100,51700,52700,315136,1.9342359767891684
2024-08-07,53300,55900,53000,53700,262407,1.8975332068311195
2024-08-08,52700,55300,52600,52900,192877,-1.48975791433892
2024-08-09,54400,55200,53800,54800,139852,3.5916824196597354
2024-08-12,54300,55600,54000,54700,122505,-0.18248175182481752
2024-08-13,54700,54900,52800,52800,154312,-3.473491773308958
2024-08-14,53400,55800,53300,55800,149387,5.681818181818182
2024-08-16,56000,56100,54400,54400,188403,-2.5089605734767026
2024-08-19,55000,55300,54300,55000,95297,1.1029411764705883
2024-08-20,55700,55800,54700,54800,139558,-0.36363636363636365
2024-08-21,54500,57700,54300,57100,327595,4.197080291970803
2024-08-22,57400,57400,55700,55800,152632,-2.276707530647986
2024-08-23,55900,56900,54900,56700,163071,1.6129032258064515
2024-08-26,56300,56800,55300,56100,94786,-1.0582010582010581
2024-08-27,55900,56100,54400,55000,151163,-1.9607843137254901
2024-08-28,54900,55800,53300,54000,174943,-1.8181818181818181
2024-08-29,53700,53700,52900,53400,108222,-1.1111111111111112
2024-08-30,53600,53600,52500,52900,151622,-0.9363295880149813
2024-09-02,52900,53800,52000,52100,134815,-1.5122873345935728
2024-09-03,52300,52800,52000,52600,78128,0.9596928982725527
2024-09-04,50100,51500,50000,50600,149544,-3.802281368821293
2024-09-05,50800,51400,48750,48900,168521,-3.3596837944664033
2024-09-06,48900,48900,46450,46850,199008,-4.192229038854806
2024-09-09,45700,48100,45700,47300,145242,0.96051227321238
2024-09-10,47800,47800,46600,46600,60852,-1.4799154334038054
2024-09-11,47000,49150,47000,47400,134691,1.7167381974248928
2024-09-12,47750,48500,47450,48400,96711,2.109704641350211
2024-09-13,48400,48800,48000,48550,56868,0.30991735537190085
2024-09-19,48550,48900,47150,47700,168569,-1.7507723995880538
2024-09-20,48350,48900,48000,48900,174726,2.515723270440252
2024-09-23,48600,48800,47100,47900,202110,-2.044989775051125
2024-09-24,47900,50100,47850,50100,200739,4.592901878914405
2024-09-25,51500,52800,49850,50600,281710,0.998003992015968
2024-09-26,50800,51000,49750,50900,122614,0.592885375494071
2024-09-27,51200,53600,50800,53200,294031,4.518664047151278
2024-09-30,53000,53400,51500,52500,114380,-1.3157894736842104
2024-10-02,51600,52300,51300,51700,69022,-1.5238095238095237
2024-10-04,51300,52100,50600,52100,93350,0.7736943907156674
2024-10-07,52200,53500,51700,53100,112360,1.9193857965451053
2024-10-08,52800,54100,52300,53600,163586,0.9416195856873822
2024-10-10,53600,54500,52400,54500,98276,1.6791044776119404
2024-10-11,54500,55000,53800,54100,102461,-0.7339449541284404
2024-10-14,54500,55200,54000,54600,103559,0.9242144177449169
2024-10-15,54900,56100,52900,55900,171925,2.380952380952381
2024-10-16,55300,55900,54200,55000,101175,-1.6100178890876566
2024-10-17,54700,56200,54300,55100,126803,0.18181818181818182
2024-10-18,55300,55800,54000,55700,85832,1.0889292196007259
2024-10-21,55300,55300,53000,54000,97730,-3.052064631956912
2024-10-22,53500,54300,52900,54100,74763,0.1851851851851852
2024-10-23,54100,55400,52900,53400,114266,-1.2939001848428837
2024-10-24,53100,53200,50800,52100,115640,-2.4344569288389515
2024-10-25,51600,52300,49450,49650,162605,-4.702495201535509
2024-10-28,49650,51100,49650,50400,84884,1.5105740181268883
2024-10-29,50800,51500,49150,49550,143883,-1.6865079365079365
2024-10-30,49700,53300,49400,51600,224113,4.137235116044399
2024-10-31,51300,51900,50400,51500,85162,-0.1937984496124031
2024-11-01,50900,52300,50700,51100,71553,-0.7766990291262136
2024-11-04,50400,51000,45900,50000,159179,-2.152641878669276
2024-11-05,50000,51000,49100,50600,98806,1.2
2024-11-06,50900,59400,50100,59400,932413,17.391304347826086
2024-11-07,56800,57900,55000,55700,464399,-6.228956228956229
2024-11-08,57300,57400,55700,57200,264937,2.6929982046678633
2024-11-11,58500,63600,57900,60600,776114,5.944055944055944
2024-11-12,60200,64800,59200,60200,752339,-0.6600660066006601
2024-11-13,61200,62600,57800,59700,327811,-0.8305647840531563
2024-11-14,59800,62000,58300,60700,378374,1.675041876046901
2024-11-15,61800,66500,60600,64800,814442,6.754530477759473
