날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,15080,15680,14840,15320,179089,0.5909389363099147
2024-06-04,15320,16440,14900,14970,299277,-2.2845953002610964
2024-06-05,14900,15090,14720,14780,131176,-1.2692050768203071
2024-06-07,15000,15010,14670,14760,128162,-0.13531799729364005
2024-06-10,14760,15090,14590,15030,105981,1.8292682926829267
2024-06-11,15090,15620,15010,15070,173029,0.2661343978709248
2024-06-12,15250,15600,14870,15590,147041,3.4505640345056405
2024-06-13,15590,16050,15500,15790,245095,1.2828736369467608
2024-06-14,15970,18000,15800,16360,1598490,3.609879670677644
2024-06-17,16360,16400,15830,16000,190286,-2.2004889975550124
2024-06-18,16080,16220,15940,15980,128374,-0.125
2024-06-19,15900,16950,15900,16660,377431,4.25531914893617
2024-06-20,16820,17900,16820,17380,512516,4.321728691476591
2024-06-21,17200,17650,16900,16970,253865,-2.3590333716916
2024-06-24,17050,18000,17000,17810,543752,4.949911608721273
2024-06-25,18000,19790,17000,17170,1953872,-3.5934868051656377
2024-06-26,17290,17940,16800,16970,308706,-1.1648223645894
2024-06-27,16980,17820,16710,17640,306333,3.948143783146729
2024-06-28,18200,19150,17880,18510,713061,4.931972789115646
2024-07-01,18600,19740,18600,19270,683056,4.1058887088060505
2024-07-02,19600,19620,18560,19050,437428,-1.1416709911779968
2024-07-03,19100,19120,17670,18270,722738,-4.094488188976378
2024-07-04,18270,19180,18000,18860,406641,3.2293377120963327
2024-07-05,19000,19000,16720,17400,995492,-7.741251325556734
2024-07-08,17400,17900,17160,17780,310183,2.1839080459770113
2024-07-09,17840,17970,17200,17330,195472,-2.530933633295838
2024-07-10,17190,18440,17170,17980,439355,3.750721292556261
2024-07-11,17990,18400,17750,18380,194110,2.2246941045606228
2024-07-12,18450,19290,17920,18830,404299,2.4483133841131663
2024-07-15,18920,19980,17060,17480,1671261,-7.169410515135423
2024-07-16,17730,21400,17580,19100,4903961,9.267734553775744
2024-07-17,19270,22900,19250,21500,8464086,12.56544502617801
2024-07-18,21200,21450,19860,20700,1390598,-3.7209302325581395
2024-07-19,20450,20600,18990,19470,1111624,-5.942028985507246
2024-07-22,19100,21750,19100,21200,2304028,8.885464817668208
2024-07-23,21000,22600,20950,22400,1943945,5.660377358490567
2024-07-24,21950,22600,21550,22450,831054,0.2232142857142857
2024-07-25,21650,22150,20100,20350,980766,-9.35412026726058
2024-07-26,21100,23600,20850,22800,3678849,12.039312039312039
2024-07-29,23350,24650,22750,23300,1453214,2.1929824561403506
2024-07-30,23350,23800,22400,23650,802112,1.502145922746781
2024-07-31,23700,24850,22700,23050,1281933,-2.536997885835095
2024-08-01,22950,24750,22900,24600,1057806,6.724511930585683
2024-08-02,23600,24250,22900,23550,917741,-4.2682926829268295
2024-08-05,22400,22550,17910,20100,2062846,-14.64968152866242
2024-08-06,21500,22100,20700,21750,1127023,8.208955223880597
2024-08-07,22100,22500,21150,21750,876837,0.0
2024-08-08,21050,23600,20400,23400,1377474,7.586206896551724
2024-08-09,23600,24500,22900,23550,530992,0.641025641025641
2024-08-12,23200,23650,22600,23100,460422,-1.910828025477707
2024-08-13,23100,23500,21800,22100,608733,-4.329004329004329
2024-08-14,22500,24000,21100,23550,1142109,6.561085972850679
2024-08-16,23600,24200,22850,23800,817457,1.0615711252653928
2024-08-19,23600,24150,22900,23250,489237,-2.3109243697478994
2024-08-20,23200,23200,21300,21750,2914939,-6.451612903225806
2024-08-21,21650,22150,20500,20950,715168,-3.67816091954023
2024-08-22,20800,20850,19430,20000,1090482,-4.534606205250596
2024-08-23,19700,21000,19620,20300,541100,1.5
2024-08-26,20900,20900,19860,20050,358800,-1.2315270935960592
2024-08-27,20150,20850,20100,20450,265900,1.99501246882793
2024-08-28,20300,20650,19960,20050,251182,-1.9559902200488997
2024-08-29,19850,20050,19100,19170,525442,-4.389027431421447
2024-08-30,19320,19840,19200,19380,344029,1.0954616588419406
2024-09-02,19380,19400,18380,18450,677779,-4.798761609907121
2024-09-03,18450,18450,17900,17950,500961,-2.710027100271003
2024-09-04,17010,17750,16940,17270,681107,-3.788300835654596
2024-09-05,17330,17540,16140,16470,680968,-4.632310364794441
2024-09-06,16320,16360,15660,16260,472699,-1.2750455373406193
2024-09-09,15700,18280,15700,17250,560888,6.088560885608856
2024-09-10,17490,17980,17050,17050,288068,-1.1594202898550725
2024-09-11,17600,17620,16760,17000,227760,-0.2932551319648094
2024-09-12,17250,17310,16590,16990,307959,-0.0588235294117647
2024-09-13,17110,18620,17110,18310,940511,7.769276044732195
2024-09-19,18370,18950,18150,18200,429996,-0.6007646095030038
2024-09-20,18500,19340,18330,18700,540633,2.7472527472527473
2024-09-23,18800,19360,18790,19220,405183,2.7807486631016043
2024-09-24,19400,19400,18910,19070,379795,-0.7804370447450572
2024-09-25,19250,19510,18500,18740,311169,-1.73046670162559
2024-09-26,18800,19730,18550,19320,559242,3.0949839914621133
2024-09-27,19320,19320,18410,18410,463905,-4.710144927536232
2024-09-30,18430,19320,18430,19070,517411,3.5850081477457905
2024-10-02,18980,19610,18550,19310,354054,1.2585212375458836
2024-10-04,19150,19910,19140,19770,299952,2.3821853961677886
2024-10-07,19950,20000,19280,19880,342494,0.556398583712696
2024-10-08,19870,20800,19760,20550,404806,3.3702213279678066
2024-10-10,20550,21150,20400,20700,1997243,0.7299270072992701
2024-10-11,20500,20550,19320,19810,593877,-4.299516908212561
2024-10-14,19750,20100,19610,19870,168693,0.3028773346794548
2024-10-15,19880,20900,19820,20500,433016,3.170608958228485
2024-10-16,20450,21200,20050,20550,272129,0.24390243902439024
2024-10-17,20550,21250,19990,21100,367424,2.67639902676399
2024-10-18,20950,21550,20500,21200,422329,0.47393364928909953
2024-10-21,21500,21750,20950,21350,378318,0.7075471698113208
2024-10-22,21350,21800,21250,21600,430925,1.1709601873536302
2024-10-23,21500,22500,20550,20750,824618,-3.935185185185185
2024-10-24,20550,21400,20550,21000,248391,1.2048192771084338
2024-10-25,21150,21450,20250,20700,288554,-1.4285714285714286
2024-10-28,20500,20500,19520,20050,320998,-3.140096618357488
2024-10-29,19640,20400,19630,19940,339849,-0.5486284289276808
2024-10-30,19750,19900,18930,19200,444001,-3.711133400200602
2024-10-31,19010,19460,18300,19130,386593,-0.3645833333333333
2024-11-01,19110,19110,18000,18570,412436,-2.9273392577104027
2024-11-04,18500,18880,17890,18550,375636,-0.10770059235325795
2024-11-05,18510,19150,18310,18980,242626,2.3180592991913747
2024-11-06,19120,19400,18510,19390,304322,2.1601685985247627
2024-11-07,19550,20900,19360,20550,963725,5.9824651882413615
