날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,72200,73500,71600,72500,173580,0.41551246537396125
2024-06-04,71800,71900,70100,70400,207324,-2.896551724137931
2024-06-05,70100,71300,69600,69900,118294,-0.7102272727272727
2024-06-07,69900,71000,69100,70000,138867,0.14306151645207438
2024-06-10,69400,70400,68600,69600,162126,-0.5714285714285714
2024-06-11,71500,73200,70500,72400,298020,4.022988505747127
2024-06-12,71900,75500,71300,74300,264670,2.6243093922651934
2024-06-13,73600,74900,73100,73300,216303,-1.3458950201884252
2024-06-14,73300,77300,73000,76100,376511,3.819918144611187
2024-06-17,77000,77300,75600,76000,176411,-0.1314060446780552
2024-06-18,76700,77900,75900,77200,209680,1.5789473684210527
2024-06-19,78200,81300,77500,79500,421626,2.9792746113989637
2024-06-20,80400,82000,79800,80100,375789,0.7547169811320755
2024-06-21,80000,83100,78900,80500,370361,0.4993757802746567
2024-06-24,80500,87800,79900,86900,850264,7.950310559006211
2024-06-25,87800,91700,87300,88900,743182,2.3014959723820483
2024-06-26,88400,91800,87900,90100,457562,1.3498312710911136
2024-06-27,89200,93300,88100,93100,410985,3.3296337402885685
2024-06-28,92600,94300,91600,93000,280933,-0.10741138560687433
2024-07-01,93400,95100,90900,94000,319279,1.0752688172043012
2024-07-02,95000,95000,90600,93500,328915,-0.5319148936170213
2024-07-03,93500,94300,90600,91800,286755,-1.8181818181818181
2024-07-04,91100,96300,90000,95700,470242,4.248366013071895
2024-07-05,95600,95600,92100,93200,239408,-2.612330198537095
2024-07-08,92300,97300,92100,96900,294900,3.969957081545064
2024-07-09,96600,97300,95600,95800,142948,-1.1351909184726523
2024-07-10,96200,102700,95900,100100,611954,4.4885177453027145
2024-07-11,100400,104000,99300,100300,349229,0.1998001998001998
2024-07-12,100400,101800,97400,100000,270883,-0.29910269192422734
2024-07-15,100200,101500,98000,99100,296706,-0.8999999999999999
2024-07-16,100500,103300,99000,102700,403600,3.632694248234107
2024-07-17,102800,104600,100200,101200,374766,-1.4605647517039921
2024-07-18,101000,102600,99500,100400,227084,-0.7905138339920948
2024-07-19,99800,99900,96200,97000,338404,-3.386454183266932
2024-07-22,96300,100900,96300,99600,299154,2.6804123711340204
2024-07-23,100900,104600,100200,104200,417591,4.618473895582329
2024-07-24,103600,105300,101300,103700,285518,-0.47984644913627633
2024-07-25,102300,106500,98400,102600,571622,-1.0607521697203472
2024-07-26,106400,114900,105800,113200,1155023,10.33138401559454
2024-07-29,113300,117900,111800,116800,502974,3.180212014134275
2024-07-30,116400,118800,113700,116300,321183,-0.4280821917808219
2024-07-31,116500,122800,115600,117500,531992,1.0318142734307825
2024-08-01,115800,121900,113600,120000,332482,2.127659574468085
2024-08-02,117800,120000,113700,115300,397887,-3.916666666666667
2024-08-05,109500,111400,92700,101000,988849,-12.402428447528187
2024-08-06,108000,109300,102500,106200,752050,5.148514851485149
2024-08-07,106400,108300,102200,106600,452085,0.3766478342749529
2024-08-08,104100,113000,102800,111300,448516,4.409005628517824
2024-08-09,112800,114400,108400,110700,269525,-0.5390835579514826
2024-08-12,112000,113000,106600,109900,247203,-0.7226738934056007
2024-08-13,108800,111700,108000,108600,181989,-1.1828935395814377
2024-08-14,110200,110600,105600,110000,224110,1.289134438305709
2024-08-16,111000,113400,106800,109100,301001,-0.8181818181818182
2024-08-19,110500,115300,110200,112000,260746,2.6581118240146653
2024-08-20,114000,114500,111000,114200,213051,1.9642857142857142
2024-08-21,115000,115200,112000,113500,187190,-0.6129597197898424
2024-08-22,113400,113700,105200,107100,542419,-5.638766519823789
2024-08-23,105700,108900,103500,106600,388415,-0.4668534080298786
2024-08-26,105500,105600,99100,100500,770633,-5.72232645403377
2024-08-27,101000,103900,99800,101900,239828,1.3930348258706469
2024-08-28,101900,104800,101100,102300,223361,0.39254170755642787
2024-08-29,103000,103800,100600,101200,120262,-1.0752688172043012
2024-08-30,101800,104200,100600,103100,194125,1.8774703557312251
2024-09-02,103100,103900,100000,100700,209647,-2.3278370514064015
2024-09-03,100900,104100,99700,103400,229773,2.6812313803376364
2024-09-04,100100,102400,98400,100200,266191,-3.0947775628626695
2024-09-05,101100,102200,94500,96400,336544,-3.792415169660679
2024-09-06,96400,97400,93200,94600,219654,-1.8672199170124482
2024-09-09,92200,97700,92000,97300,202615,2.854122621564482
2024-09-10,99000,99600,96100,97300,194331,0.0
2024-09-11,98900,100600,95500,97400,208439,0.10277492291880781
2024-09-12,98000,98400,93500,95300,409667,-2.1560574948665296
2024-09-13,95900,103100,95900,102100,458020,7.135362014690451
2024-09-19,104400,106200,102700,103400,232891,1.2732615083251715
2024-09-20,104500,109000,104500,105900,252912,2.4177949709864603
2024-09-23,106900,108300,105000,105900,164191,0.0
2024-09-24,106600,108100,105300,107600,173976,1.6052880075542966
2024-09-25,109000,111600,106000,106200,252337,-1.3011152416356877
2024-09-26,106600,107900,103700,105200,186022,-0.9416195856873822
2024-09-27,105200,105500,97200,98900,415017,-5.988593155893536
2024-09-30,99000,100200,97600,99700,180342,0.8088978766430739
2024-10-02,97900,101600,96300,100000,203179,0.3009027081243731
2024-10-04,100900,101900,99500,100900,122032,0.8999999999999999
2024-10-07,100000,100000,94600,97700,292548,-3.1714568880079286
2024-10-08,98000,101800,97500,100000,228512,2.3541453428863868
2024-10-10,100100,104800,99800,102400,282392,2.4
2024-10-11,103000,103400,98500,98500,136946,-3.80859375
2024-10-14,98500,101500,97500,100600,132527,2.131979695431472
2024-10-15,101000,106000,101000,102900,218301,2.286282306163022
2024-10-16,102700,105000,100500,102400,120731,-0.4859086491739553
2024-10-17,102800,110100,101300,109700,384321,7.12890625
2024-10-18,109800,110500,104500,105700,203990,-3.646308113035551
2024-10-21,106100,106900,103500,105300,113815,-0.3784295175023652
2024-10-22,104500,110000,103800,107600,381795,2.184235517568851
2024-10-23,107600,113000,107100,109100,364114,1.3940520446096654
2024-10-24,108900,111900,106600,108800,263526,-0.27497708524289644
2024-10-25,109400,113500,108100,110500,263182,1.5625
2024-10-28,111400,111400,103600,104900,268038,-5.067873303167421
2024-10-29,104000,108700,103800,106800,212564,1.811248808388942
2024-10-30,106800,109600,104600,108100,218885,1.2172284644194757
2024-10-31,108100,112000,103500,109800,513702,1.572617946345976
2024-11-01,109000,110700,101000,104500,446740,-4.82695810564663
2024-11-04,104400,104800,101100,103900,215454,-0.5741626794258373
2024-11-05,103100,108400,102500,103800,217913,-0.0962463907603465
