날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,35900,36200,32900,33550,632879,-5.890603085553997
2024-06-04,33050,33350,31650,32000,576488,-4.619970193740686
2024-06-05,31550,31900,30400,30700,403647,-4.0625
2024-06-07,30700,30700,28750,29050,596878,-5.374592833876222
2024-06-10,28750,29250,28200,29200,383336,0.5163511187607573
2024-06-11,29800,30800,29100,30200,759960,3.4246575342465753
2024-06-12,30500,31150,29300,29800,523032,-1.3245033112582782
2024-06-13,29850,30050,29050,29100,252907,-2.348993288590604
2024-06-14,29000,29000,27900,28050,242670,-3.608247422680412
2024-06-17,28050,28450,27350,27400,143994,-2.3172905525846703
2024-06-18,27150,27700,26800,27650,188448,0.9124087591240875
2024-06-19,27650,27950,27400,27800,135043,0.5424954792043399
2024-06-20,27800,28450,27250,27600,183352,-0.7194244604316548
2024-06-21,27950,28950,27400,28550,335366,3.4420289855072466
2024-06-24,28450,29150,27750,27900,194160,-2.276707530647986
2024-06-25,27700,28200,27100,27850,141230,-0.17921146953405018
2024-06-26,27650,27850,26450,26500,177277,-4.847396768402154
2024-06-27,26600,27200,26300,27000,90464,1.8867924528301887
2024-06-28,27300,27300,26450,26550,86921,-1.6666666666666667
2024-07-01,26050,26300,25450,25750,157601,-3.0131826741996233
2024-07-02,25600,26300,24900,25900,200314,0.5825242718446602
2024-07-03,25550,28100,24850,26650,534641,2.8957528957528957
2024-07-04,26750,27500,26150,26150,171756,-1.876172607879925
2024-07-05,26500,26700,25550,25700,84700,-1.7208413001912046
2024-07-08,25500,26150,25400,25750,80988,0.19455252918287938
2024-07-09,26000,26600,26000,26400,78013,2.524271844660194
2024-07-10,26500,26550,26050,26350,63909,-0.1893939393939394
2024-07-11,26550,26700,26200,26250,61734,-0.3795066413662239
2024-07-12,27550,27900,26300,26650,188281,1.5238095238095237
2024-07-15,26100,26550,25800,26550,75643,-0.37523452157598497
2024-07-16,26350,26350,24750,25000,176911,-5.83804143126177
2024-07-17,25200,25650,25000,25000,63580,0.0
2024-07-18,24700,24850,24000,24650,89958,-1.4000000000000001
2024-07-19,24500,25650,24450,25550,73522,3.6511156186612577
2024-07-22,25900,26000,24150,24150,94582,-5.47945205479452
2024-07-23,24200,24700,23900,24450,67146,1.2422360248447204
2024-07-24,24700,26300,24700,25100,228076,2.658486707566462
2024-07-25,26000,26450,24350,24850,215053,-0.9960159362549801
2024-07-26,24700,24850,24100,24250,90070,-2.414486921529175
2024-07-29,24300,24700,24050,24500,63497,1.0309278350515463
2024-07-30,24150,24450,23900,24050,64351,-1.8367346938775513
2024-07-31,23950,24150,23200,23950,111892,-0.4158004158004158
2024-08-01,24200,25750,24100,25450,169126,6.263048016701461
2024-08-02,24900,25600,24200,24350,115745,-4.322200392927308
2024-08-05,23800,23850,19600,20450,289541,-16.01642710472279
2024-08-06,20450,21900,20450,21200,123723,3.6674816625916873
2024-08-07,21200,22450,21200,22100,74254,4.245283018867925
2024-08-08,22100,22500,21700,22250,56761,0.6787330316742082
2024-08-09,22700,23450,22600,23150,80110,4.044943820224719
2024-08-12,23200,25650,23200,25200,311964,8.855291576673865
2024-08-13,25200,25400,24100,24500,119126,-2.7777777777777777
2024-08-14,25900,31850,25500,31850,4090840,30.0
2024-08-16,32650,32700,30450,30550,1525938,-4.081632653061225
2024-08-19,30300,30750,29400,29500,700944,-3.436988543371522
2024-08-20,30000,30600,28800,30400,929012,3.050847457627119
2024-08-21,29500,29650,27550,28250,703978,-7.072368421052631
2024-08-22,27900,28300,27500,28250,298868,0.0
2024-08-23,27500,27800,26200,27400,405128,-3.0088495575221237
2024-08-26,27900,29600,27400,27550,793007,0.5474452554744526
2024-08-27,27800,28700,27000,28350,283578,2.9038112522686026
2024-08-28,28400,28550,26650,26900,254923,-5.114638447971781
2024-08-29,26500,27550,26200,27400,134135,1.858736059479554
2024-08-30,27350,27850,26600,27000,145232,-1.4598540145985401
2024-09-02,27150,27200,25550,26050,187184,-3.5185185185185186
2024-09-03,26050,26550,25350,25600,164986,-1.727447216890595
2024-09-04,24000,24600,23500,24250,261108,-5.2734375
2024-09-05,24300,24750,23500,23700,114341,-2.268041237113402
2024-09-06,23600,23950,22900,23050,120794,-2.7426160337552745
2024-09-09,22300,23250,22300,23100,88476,0.21691973969631237
2024-09-10,23100,23450,22950,23300,70400,0.8658008658008658
2024-09-11,23700,26850,23350,26500,1300404,13.733905579399142
2024-09-12,28050,28500,25700,25700,748065,-3.018867924528302
2024-09-13,25700,26850,25450,26450,392494,2.9182879377431905
2024-09-19,27100,28150,26600,26750,413828,1.1342155009451798
2024-09-20,26400,26650,26100,26200,187748,-2.0560747663551404
2024-09-23,26100,26300,25600,25900,125940,-1.1450381679389312
2024-09-24,26150,27300,26050,27050,290578,4.440154440154441
2024-09-25,26800,26850,25850,25950,166713,-4.066543438077634
2024-09-26,26050,26550,25700,26500,112977,2.119460500963391
2024-09-27,26950,27300,26050,26350,163486,-0.5660377358490566
