날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,8370,8480,8300,8390,1097715,0.9626955475330927
2024-06-04,8330,8380,8020,8040,2665185,-4.171632896305125
2024-06-05,8050,8090,7940,8000,1727578,-0.4975124378109453
2024-06-07,8040,8120,7940,8000,1348434,0.0
2024-06-10,7930,8000,7820,7860,1308224,-1.7500000000000002
2024-06-11,7860,7920,7680,7750,2005575,-1.3994910941475827
2024-06-12,7750,7910,7750,7900,1340689,1.935483870967742
2024-06-13,7970,8040,7930,7940,1650998,0.5063291139240507
2024-06-14,7950,8020,7840,7950,1214041,0.12594458438287154
2024-06-17,7930,7990,7890,7930,865914,-0.25157232704402516
2024-06-18,7940,8060,7910,8020,957951,1.1349306431273645
2024-06-19,8080,8080,7900,7990,1204211,-0.3740648379052369
2024-06-20,8050,8160,8030,8070,1133644,1.0012515644555695
2024-06-21,8100,8180,7940,8000,1293115,-0.8674101610904585
2024-06-24,8040,8040,7800,7820,1233080,-2.25
2024-06-25,7860,7880,7800,7850,696179,0.3836317135549872
2024-06-26,7810,7820,7680,7730,1482976,-1.5286624203821657
2024-06-27,7680,7700,7570,7590,1667118,-1.8111254851228977
2024-06-28,7610,7700,7590,7640,939934,0.6587615283267457
2024-07-01,7670,7930,7660,7910,1615910,3.5340314136125657
2024-07-02,7840,7860,7690,7720,965401,-2.402022756005057
2024-07-03,7730,7820,7730,7760,862282,0.5181347150259068
2024-07-04,7760,7840,7730,7840,715137,1.0309278350515463
2024-07-05,7870,7900,7710,7750,872303,-1.1479591836734695
2024-07-08,7730,7760,7640,7680,1014147,-0.903225806451613
2024-07-09,7680,7710,7300,7350,3540149,-4.296875
2024-07-10,7360,7380,7230,7260,1550048,-1.2244897959183674
2024-07-11,7300,7350,7240,7260,1095726,0.0
2024-07-12,7300,7400,7250,7350,852930,1.2396694214876034
2024-07-15,7430,8100,7390,8080,7107424,9.931972789115646
2024-07-16,8090,8640,8000,8380,10250997,3.7128712871287126
2024-07-17,8390,8610,8310,8440,4410072,0.7159904534606205
2024-07-18,8440,8440,8100,8200,3399042,-2.843601895734597
2024-07-19,8080,8080,7770,7800,3082370,-4.878048780487805
2024-07-22,7840,8370,7820,8340,5889537,6.923076923076923
2024-07-23,8110,9160,8110,8830,16895320,5.875299760191846
2024-07-24,8740,8760,8130,8140,7473522,-7.814269535673839
2024-07-25,8390,8440,7980,8130,6038399,-0.12285012285012285
2024-07-26,8210,8470,8190,8370,2969439,2.952029520295203
2024-07-29,8430,8580,8160,8400,3083769,0.35842293906810035
2024-07-30,8270,8350,8010,8030,2597877,-4.404761904761905
2024-07-31,8100,8140,7870,7970,2320854,-0.7471980074719801
2024-08-01,7920,8020,7850,7880,1939682,-1.1292346298619824
2024-08-02,7740,7810,7580,7650,2275102,-2.918781725888325
2024-08-05,7400,7510,6460,6760,4236349,-11.633986928104575
2024-08-06,6760,7210,6760,7010,2477025,3.698224852071006
2024-08-07,6970,7410,6960,7300,1798952,4.136947218259629
2024-08-08,7190,7340,7080,7290,1325422,-0.136986301369863
2024-08-09,7550,7590,7330,7360,962544,0.9602194787379973
2024-08-12,7360,7420,7290,7330,682753,-0.4076086956521739
