날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,294500,302500,285000,291000,555237,-3.322259136212625
2024-06-04,289000,302000,288000,299000,405719,2.7491408934707904
2024-06-05,296000,296000,275000,277000,526864,-7.357859531772576
2024-06-07,277000,278000,257500,260000,794916,-6.137184115523466
2024-06-10,256500,291500,254000,284500,747230,9.423076923076923
2024-06-11,287000,287000,272500,272500,461863,-4.21792618629174
2024-06-12,271000,274500,257500,263500,492922,-3.302752293577982
2024-06-13,266000,276500,262000,275500,587056,4.554079696394687
2024-06-14,275500,296500,274000,290000,790331,5.263157894736842
2024-06-17,290000,291500,277500,286500,386152,-1.206896551724138
2024-06-18,290000,293000,285500,289500,315563,1.0471204188481675
2024-06-19,295500,301000,279500,295000,471533,1.8998272884283247
2024-06-20,291500,296500,287500,290000,204211,-1.694915254237288
2024-06-21,287000,317000,285500,317000,675837,9.310344827586208
2024-06-24,313500,314500,297000,300000,398358,-5.3627760252365935
2024-06-25,298000,308500,293000,296500,308057,-1.1666666666666667
2024-06-26,297500,301500,287500,301500,389266,1.6863406408094435
2024-06-27,295500,323000,294500,319000,477620,5.804311774461028
2024-06-28,317000,323500,303500,310000,326539,-2.8213166144200628
2024-07-01,310000,310000,293500,296500,310279,-4.354838709677419
2024-07-02,295500,329000,294500,317000,836157,6.913996627318718
2024-07-03,314000,321500,302000,318500,372325,0.47318611987381703
2024-07-04,321500,323000,305000,311000,244462,-2.3547880690737837
2024-07-05,310000,316500,307500,312000,158771,0.3215434083601286
2024-07-08,308500,330500,308000,321000,347749,2.8846153846153846
2024-07-09,322500,333000,320000,326500,282605,1.7133956386292832
2024-07-10,329000,344500,327500,342000,393043,4.747320061255743
2024-07-11,348000,363000,336500,336500,573489,-1.608187134502924
2024-07-12,336500,352500,331000,334500,370068,-0.5943536404160475
2024-07-15,343000,350500,338500,343500,230952,2.690582959641256
2024-07-16,345000,347500,328500,334500,334421,-2.6200873362445414
2024-07-17,337500,342500,325500,326000,270454,-2.5411061285500747
2024-07-18,317500,323000,299000,305000,575865,-6.441717791411043
