날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,129000,134700,127400,131800,238181,2.4087024087024087
2024-06-04,131100,132000,129000,129500,122848,-1.7450682852807284
2024-06-05,128800,129800,127600,128300,124102,-0.9266409266409266
2024-06-07,128200,130200,128200,129600,123840,1.0132501948558068
2024-06-10,128400,130100,127500,129400,107375,-0.15432098765432098
2024-06-11,130500,131900,128800,129700,160170,0.23183925811437403
2024-06-12,128800,130100,125900,130000,200350,0.2313030069390902
2024-06-13,129900,132300,128100,130400,341110,0.3076923076923077
2024-06-14,130400,135000,129100,132600,230612,1.687116564417178
2024-06-17,132600,135500,130900,134500,142608,1.4328808446455505
2024-06-18,135000,136400,133000,133600,126175,-0.6691449814126395
2024-06-19,133900,139400,133600,138800,344258,3.8922155688622757
2024-06-20,140500,142900,139000,141900,255055,2.23342939481268
2024-06-21,143000,152600,142700,146300,709700,3.10077519379845
2024-06-24,144900,152000,143300,152000,463511,3.896103896103896
2024-06-25,152000,154900,148300,149900,327393,-1.381578947368421
2024-06-26,149900,152400,148300,152400,209048,1.6677785190126753
2024-06-27,150900,156900,150000,156400,311020,2.6246719160104988
2024-06-28,156600,158500,154000,155700,205119,-0.4475703324808184
2024-07-01,156500,158400,152700,155100,173102,-0.3853564547206166
2024-07-02,154500,155100,150100,153300,192956,-1.160541586073501
2024-07-03,157600,157600,147500,151900,195344,-0.91324200913242
2024-07-04,151900,155200,148600,153400,188610,0.9874917709019092
2024-07-05,153400,154300,148100,148800,234935,-2.9986962190352022
2024-07-08,148200,153500,147400,152000,189788,2.1505376344086025
2024-07-09,153000,154000,151100,152400,89502,0.2631578947368421
2024-07-10,151700,159700,151000,155300,289280,1.9028871391076114
2024-07-11,155800,160500,154200,157300,231112,1.28783000643915
2024-07-12,158200,159100,153200,157600,154926,0.19071837253655435
2024-07-15,158000,163000,157900,160000,227971,1.5228426395939088
2024-07-16,161500,168300,160100,167500,323389,4.6875
2024-07-17,168600,175000,166500,171200,370509,2.208955223880597
2024-07-18,172900,175000,166600,169000,275858,-1.2850467289719625
2024-07-19,168800,169300,162200,164300,244274,-2.7810650887573964
2024-07-22,164000,171800,162500,170400,274862,3.712720632988436
2024-07-23,171700,176000,170400,174900,238862,2.640845070422535
2024-07-24,175800,178200,170000,175500,216272,0.34305317324185247
2024-07-25,173000,185000,170000,177500,499649,1.1396011396011396
2024-07-26,184500,210000,183500,207500,1077171,16.901408450704224
2024-07-29,207000,210000,201000,208000,413038,0.24096385542168677
2024-07-30,206500,209000,201500,204500,221341,-1.6826923076923077
2024-07-31,203500,221000,203000,211000,502707,3.1784841075794623
2024-08-01,205500,220000,202500,214000,266053,1.4218009478672986
2024-08-02,210500,215000,204000,209000,261712,-2.336448598130841
2024-08-05,195000,201500,174700,186000,732384,-11.004784688995215
2024-08-06,198900,210000,192500,205000,564879,10.21505376344086
2024-08-07,206500,213500,202000,205000,302646,0.0
2024-08-08,204000,218000,200500,216000,357955,5.365853658536586
2024-08-09,221000,222500,208000,212000,323259,-1.8518518518518516
2024-08-12,210000,213000,204000,208500,242565,-1.650943396226415
2024-08-13,206500,211000,201500,203000,228270,-2.6378896882494005
2024-08-14,205500,207000,198900,206000,239761,1.477832512315271
2024-08-16,208000,213000,200500,204000,321646,-0.9708737864077669
2024-08-19,205000,215000,204500,211000,324890,3.431372549019608
2024-08-20,214000,214000,205000,211000,180223,0.0
2024-08-21,208500,211000,202000,205000,244422,-2.843601895734597
2024-08-22,205500,206000,193300,198700,474768,-3.073170731707317
2024-08-23,196600,200500,195700,198200,263017,-0.25163563160543534
2024-08-26,196200,197300,189200,191100,310304,-3.5822401614530777
2024-08-27,190900,195500,187200,190900,240490,-0.10465724751439037
2024-08-28,191400,195700,189100,191200,220968,0.1571503404924044
2024-08-29,191200,192400,187900,189000,155691,-1.1506276150627615
2024-08-30,191200,195400,190200,193800,241500,2.5396825396825395
2024-09-02,195000,195000,185500,185500,208448,-4.282765737874096
2024-09-03,186100,189400,183000,188500,182066,1.6172506738544474
2024-09-04,181500,189400,180900,186300,222337,-1.16710875331565
2024-09-05,187500,188900,176400,178900,288576,-3.972088030059045
2024-09-06,179700,179700,172300,175900,197549,-1.6769144773616547
2024-09-09,170600,177900,169900,177900,144314,1.137009664582149
2024-09-10,179300,182600,177000,179000,187199,0.6183249016301293
2024-09-11,181000,182300,177500,180400,113011,0.782122905027933
2024-09-12,181700,182800,174900,177900,254100,-1.385809312638581
2024-09-13,178500,188500,178500,187600,260593,5.452501405283868
2024-09-19,190900,193600,188700,191300,192428,1.9722814498933903
2024-09-20,194400,198400,192700,194600,199430,1.7250392054364874
2024-09-23,197900,197900,191500,193400,116632,-0.6166495375128468
2024-09-24,195000,198000,194100,198000,161632,2.378490175801448
2024-09-25,199900,203500,195800,195800,169451,-1.1111111111111112
2024-09-26,195800,197400,193200,196600,128667,0.40858018386108275
2024-09-27,195900,196000,182200,183500,409942,-6.663275686673449
2024-09-30,183400,185500,181300,184600,153032,0.5994550408719346
2024-10-02,182800,185100,178100,183100,137751,-0.8125677139761647
2024-10-04,183100,187500,182600,185500,112942,1.3107591480065537
2024-10-07,183800,185000,174000,178900,348624,-3.557951482479784
2024-10-08,179400,182400,179100,179700,134944,0.4471771939631079
2024-10-10,181100,188900,179900,188900,199817,5.119643850862548
2024-10-11,189400,189400,181900,182300,125176,-3.4939121228163046
2024-10-14,182400,187700,182400,185700,121781,1.8650575973669776
2024-10-15,187400,194500,186500,192700,229566,3.769520732364028
2024-10-16,191000,196400,188800,194500,140007,0.9340944473274521
2024-10-17,194500,198300,190300,197200,126748,1.3881748071979434
2024-10-18,197800,198000,190200,191600,120585,-2.839756592292089
2024-10-21,191500,193000,188200,192700,62118,0.5741127348643006
2024-10-22,192300,197400,190200,193900,111048,0.6227296315516346
2024-10-23,194900,202000,193500,198100,211121,2.166064981949458
2024-10-24,197000,201500,197000,197700,102985,-0.20191822311963653
2024-10-25,198900,203000,196800,198100,167345,0.20232675771370764
2024-10-28,198500,198500,186800,187200,229103,-5.502271580010095
2024-10-29,186800,190400,184600,187000,97779,-0.10683760683760685
2024-10-30,187000,187800,184000,187400,114321,0.21390374331550802
2024-10-31,187400,188400,181700,182600,203188,-2.5613660618996796
2024-11-01,181700,181700,172600,174200,245025,-4.600219058050383
2024-11-04,175000,175800,170700,175000,173470,0.4592422502870264
2024-11-05,173800,178000,171700,171700,188814,-1.8857142857142857
2024-11-06,172500,181800,168900,181100,310590,5.474665113570181
2024-11-07,183500,212500,183400,208500,1189865,15.129762562120375
2024-11-08,216000,219500,204500,209500,555899,0.4796163069544364
2024-11-11,212000,215500,209000,212000,367876,1.1933174224343674
2024-11-12,215500,218500,205000,205500,286045,-3.0660377358490565
2024-11-13,205500,211500,198700,198800,296735,-3.2603406326034063
2024-11-14,202000,217500,199800,217500,382048,9.406438631790746
2024-11-15,217500,217500,205500,213500,334046,-1.839080459770115
2024-11-18,213000,228500,211000,227500,537458,6.557377049180328
2024-11-19,228000,242000,222000,224500,621210,-1.3186813186813187
2024-11-20,225000,237500,223000,236000,344627,5.122494432071269
2024-11-21,236000,237500,224000,228500,328753,-3.1779661016949152
2024-11-22,231500,240000,220500,237000,372370,3.7199124726477026
2024-11-25,240000,244500,235000,242000,312510,2.109704641350211
2024-11-26,239500,239500,228000,228500,334303,-5.578512396694215
