날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,3285,3570,3280,3460,808135,7.956318252730108
2024-06-04,3460,3495,3260,3310,571750,-4.335260115606936
2024-06-05,3300,3490,3050,3115,988135,-5.8912386706948645
2024-06-07,3175,3185,3030,3095,130471,-0.6420545746388443
2024-06-10,3095,3110,3050,3090,34620,-0.16155088852988692
2024-06-11,3100,3360,3050,3100,214856,0.3236245954692557
2024-06-12,3170,3250,3110,3125,136255,0.8064516129032258
2024-06-13,3130,3245,3115,3175,89915,1.6
2024-06-14,3130,3250,3120,3200,75788,0.7874015748031495
2024-06-17,3300,3450,3170,3185,197910,-0.46875
2024-06-18,3265,3390,3150,3385,154396,6.279434850863422
2024-06-19,3480,3785,3290,3300,589137,-2.511078286558346
2024-06-20,3400,3465,3295,3405,177763,3.1818181818181817
2024-06-21,3530,3530,3385,3415,246114,0.2936857562408223
2024-06-24,3415,3430,3295,3415,142910,0.0
2024-06-25,3415,3455,3330,3375,74385,-1.171303074670571
2024-06-26,3405,3595,3385,3575,583016,5.9259259259259265
2024-06-27,3580,3595,3435,3510,269458,-1.8181818181818181
2024-06-28,3485,3585,3450,3585,157309,2.1367521367521367
2024-07-01,3640,3640,3450,3535,232222,-1.394700139470014
2024-07-02,3535,3570,3455,3540,171168,0.14144271570014144
2024-07-03,3540,3545,3365,3390,173559,-4.23728813559322
2024-07-04,3415,3430,3335,3415,106243,0.7374631268436578
2024-07-05,3415,3430,3305,3310,123698,-3.074670571010249
2024-07-08,3310,3525,3250,3450,137135,4.229607250755287
2024-07-09,3525,3525,3370,3390,34821,-1.7391304347826086
2024-07-10,3360,3430,3360,3380,67072,-0.2949852507374631
2024-07-11,3380,3430,3335,3375,70589,-0.14792899408284024
2024-07-12,3375,3450,3355,3375,53688,0.0
2024-07-15,3390,3440,3380,3405,33280,0.8888888888888888
2024-07-16,3410,3410,3340,3375,52171,-0.881057268722467
2024-07-17,3375,3550,3355,3465,258088,2.666666666666667
2024-07-18,3465,3505,3395,3445,85991,-0.5772005772005772
2024-07-19,3445,3465,3330,3370,76385,-2.1770682148040637
2024-07-22,3405,3550,3350,3545,306542,5.192878338278932
2024-07-23,3590,3775,3500,3540,1125134,-0.14104372355430184
2024-07-24,3585,3585,3450,3485,203139,-1.5536723163841808
2024-07-25,3430,3445,3200,3225,407700,-7.4605451936872305
2024-07-26,3235,3405,3185,3270,235723,1.3953488372093024
2024-07-29,3385,3495,3295,3450,171747,5.5045871559633035
2024-07-30,3470,3470,3325,3360,106874,-2.608695652173913
2024-07-31,3355,3390,3310,3345,106843,-0.4464285714285714
2024-08-01,3330,3385,3315,3330,106931,-0.4484304932735426
2024-08-02,3300,3300,3130,3165,204262,-4.954954954954955
2024-08-05,3010,3100,2700,2790,305881,-11.848341232227488
2024-08-06,2810,3110,2810,3055,178289,9.498207885304659
2024-08-07,3060,3245,3010,3150,81256,3.109656301145663
2024-08-08,3085,3170,3080,3120,50643,-0.9523809523809524
2024-08-09,3150,3210,3110,3130,38689,0.3205128205128205
2024-08-12,3130,3160,3060,3075,83545,-1.7571884984025559
2024-08-13,3090,3110,3030,3055,66487,-0.6504065040650406
2024-08-14,3025,3170,3025,3145,67790,2.9459901800327333
2024-08-16,3145,3175,2995,3005,195974,-4.451510333863275
2024-08-19,3010,3075,2970,2975,98068,-0.9983361064891847
2024-08-20,2975,3010,2975,2990,26738,0.5042016806722689
2024-08-21,3000,3010,2945,2965,40431,-0.8361204013377926
2024-08-22,2970,3000,2885,2915,107959,-1.6863406408094435
2024-08-23,2910,2940,2810,2900,54823,-0.5145797598627788
2024-08-26,2910,3040,2875,2875,33438,-0.8620689655172413
2024-08-27,2880,2980,2880,2885,21333,0.34782608695652173
2024-08-28,2920,2930,2840,2880,39223,-0.17331022530329288
2024-08-29,2880,2950,2870,2920,34170,1.3888888888888888
2024-08-30,2905,2975,2895,2900,34319,-0.684931506849315
2024-09-02,2900,2935,2870,2930,27150,1.0344827586206897
2024-09-03,2930,3000,2915,2965,44354,1.1945392491467577
2024-09-04,2960,2960,2810,2810,110103,-5.227655986509275
2024-09-05,2820,2885,2755,2785,52765,-0.8896797153024912
2024-09-06,2780,2830,2700,2710,85944,-2.6929982046678633
2024-09-09,2670,2920,2585,2705,79771,-0.18450184501845018
2024-09-10,2705,2795,2635,2640,142218,-2.4029574861367835
2024-09-11,2720,2750,2640,2655,84025,0.5681818181818182
2024-09-12,2660,2750,2660,2700,48309,1.694915254237288
2024-09-13,2680,2800,2680,2770,30628,2.5925925925925926
2024-09-19,2785,2825,2755,2780,33389,0.36101083032490977
2024-09-20,2830,2830,2675,2675,372012,-3.776978417266187
2024-09-23,2710,2790,2695,2735,70256,2.2429906542056073
2024-09-24,2775,2775,2680,2715,44762,-0.7312614259597806
2024-09-25,2750,2755,2680,2700,41051,-0.5524861878453038
2024-09-26,2730,2880,2700,2735,95297,1.2962962962962963
2024-09-27,2760,2775,2655,2660,72049,-2.742230347349177
2024-09-30,2695,2700,2610,2655,58639,-0.18796992481203006
2024-10-02,2615,2700,2590,2600,61527,-2.0715630885122414
2024-10-04,2650,2700,2600,2635,23741,1.3461538461538463
2024-10-07,2645,2665,2605,2650,22885,0.5692599620493358
2024-10-08,2675,2675,2620,2640,27059,-0.37735849056603776
2024-10-10,2650,2670,2565,2575,92791,-2.462121212121212
2024-10-11,2585,2620,2485,2500,116041,-2.912621359223301
2024-10-14,2510,2510,2425,2470,108496,-1.2
2024-10-15,2470,2490,2425,2465,38219,-0.20242914979757085
2024-10-16,2465,2520,2430,2505,42659,1.6227180527383367
2024-10-17,2505,2550,2475,2495,26455,-0.39920159680638717
2024-10-18,2535,2535,2465,2500,34158,0.2004008016032064
2024-10-21,2500,2535,2480,2495,12467,-0.2
2024-10-22,2520,2520,2360,2410,89184,-3.406813627254509
2024-10-23,2415,2415,2285,2285,132866,-5.186721991701245
2024-10-24,2335,2375,2230,2245,101157,-1.75054704595186
2024-10-25,2245,2320,2200,2210,127282,-1.55902004454343
2024-10-28,2260,2275,2195,2255,75248,2.0361990950226243
2024-10-29,2275,2275,2185,2220,83110,-1.5521064301552108
2024-10-30,2220,2250,2195,2220,43226,0.0
2024-10-31,2200,2330,2180,2290,88742,3.153153153153153
2024-11-01,2225,2275,2200,2205,77800,-3.711790393013101
2024-11-04,2210,2295,2185,2250,80436,2.0408163265306123
2024-11-05,2315,2370,2215,2370,69255,5.333333333333334
2024-11-06,2380,2450,2340,2390,76380,0.8438818565400843
2024-11-07,2415,2775,2405,2605,720864,8.99581589958159
2024-11-08,2740,3010,2670,2750,1179066,5.566218809980806
2024-11-11,2880,3100,2800,2935,805435,6.7272727272727275
2024-11-12,2960,3095,2695,3000,678436,2.2146507666098807
2024-11-13,3000,3070,2820,2840,306357,-5.333333333333334
2024-11-14,2900,3000,2885,2920,220370,2.8169014084507045
