날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,2010,2025,2010,2025,68223,0.997506234413965
2024-06-04,2025,2390,2015,2105,1688164,3.950617283950617
2024-06-05,2150,2150,2060,2090,125939,-0.7125890736342043
2024-06-07,2080,2115,2060,2110,92012,0.9569377990430622
2024-06-10,2115,2160,2110,2150,92678,1.8957345971563981
2024-06-11,2150,2170,2100,2165,97071,0.6976744186046512
2024-06-12,2165,2380,2145,2325,1001995,7.390300230946882
2024-06-13,2325,2500,2225,2290,995949,-1.5053763440860215
2024-06-14,2385,2460,2290,2350,525251,2.6200873362445414
2024-06-17,2390,2390,2190,2260,190419,-3.829787234042553
2024-06-18,2260,2385,2225,2265,171078,0.22123893805309736
2024-06-19,2250,2310,2250,2265,67165,0.0
2024-06-20,2285,2660,2250,2395,3475236,5.739514348785872
2024-06-21,2360,2380,2275,2280,379283,-4.801670146137787
2024-06-24,2230,2265,2180,2200,248375,-3.508771929824561
2024-06-25,2225,2395,2200,2390,400911,8.636363636363637
2024-06-26,2360,2425,2315,2355,156241,-1.4644351464435146
2024-06-27,2365,2380,2270,2280,120702,-3.1847133757961785
2024-06-28,2285,2310,2265,2295,74942,0.6578947368421052
2024-07-01,2310,2365,2295,2345,186343,2.178649237472767
2024-07-02,2345,2345,2230,2265,152323,-3.411513859275053
2024-07-03,2265,2265,2150,2170,160793,-4.194260485651214
2024-07-04,2155,2205,2145,2200,64690,1.3824884792626728
2024-07-05,2180,2270,2180,2220,48431,0.9090909090909091
2024-07-08,2225,2245,2200,2210,35596,-0.45045045045045046
2024-07-09,2255,2380,2255,2315,255836,4.751131221719457
2024-07-10,2345,2345,2270,2280,89608,-1.511879049676026
2024-07-11,2285,2315,2265,2280,80100,0.0
2024-07-12,2280,2310,2230,2240,110659,-1.7543859649122806
2024-07-15,2240,2285,2230,2285,57270,2.0089285714285716
2024-07-16,2285,2350,2235,2275,106332,-0.437636761487965
2024-07-17,2280,2415,2255,2395,275103,5.274725274725275
2024-07-18,2385,2385,2250,2360,155836,-1.4613778705636742
2024-07-19,2410,2645,2360,2540,905239,7.627118644067797
2024-07-22,2545,2645,2475,2590,466635,1.968503937007874
2024-07-23,2590,2620,2515,2575,184394,-0.5791505791505791
2024-07-24,2575,2575,2405,2435,231962,-5.436893203883495
2024-07-25,2425,2520,2375,2450,108782,0.6160164271047228
2024-07-26,2450,2560,2385,2555,211052,4.285714285714286
2024-07-29,2555,2670,2535,2645,244229,3.522504892367906
2024-07-30,2635,2645,2545,2580,173544,-2.4574669187145557
