날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,4770,4800,4550,4565,278891,-3.8947368421052633
2024-06-04,4565,4600,4400,4530,291389,-0.7667031763417306
2024-06-05,4530,4630,4455,4590,175530,1.3245033112582782
2024-06-07,4615,4645,4540,4625,123001,0.7625272331154684
2024-06-10,4630,4670,4530,4615,141416,-0.21621621621621623
2024-06-11,4615,4695,4545,4590,176287,-0.5417118093174431
2024-06-12,4590,4690,4545,4675,138256,1.8518518518518516
2024-06-13,4745,4970,4675,4700,364633,0.53475935828877
2024-06-14,4690,4720,4400,4585,168955,-2.4468085106382977
2024-06-17,4585,4645,4515,4600,138541,0.3271537622682661
2024-06-18,4555,4650,4510,4525,96339,-1.6304347826086956
2024-06-19,4530,4585,4460,4505,96229,-0.44198895027624313
2024-06-20,4505,4550,4430,4435,117266,-1.553829078801332
2024-06-21,4435,4620,4265,4265,150153,-3.8331454340473505
2024-06-24,4265,4475,4205,4385,185518,2.813599062133646
2024-06-25,4385,4610,4365,4500,380996,2.6225769669327255
2024-06-26,4670,4895,4380,4505,829636,0.1111111111111111
2024-06-27,4420,4600,4340,4370,199488,-2.9966703662597114
2024-06-28,4370,4500,4200,4215,265836,-3.5469107551487413
2024-07-01,4215,4325,4180,4290,113109,1.7793594306049825
2024-07-02,4250,4350,4105,4190,98054,-2.331002331002331
2024-07-03,4705,5440,4250,5210,5436402,24.3436754176611
2024-07-04,5190,5350,4905,4945,2148559,-5.08637236084453
2024-07-05,5050,6420,5010,6250,7174943,26.39029322548028
2024-07-08,6180,6310,5920,6020,2043614,-3.6799999999999997
2024-07-09,6050,6090,5720,5880,2156044,-2.3255813953488373
2024-07-10,6800,7470,6470,6540,9664470,11.224489795918368
2024-07-11,6620,7100,6260,6260,2520712,-4.281345565749235
2024-07-12,6110,6920,6000,6440,3393015,2.8753993610223643
2024-07-15,6440,6700,6250,6310,737232,-2.018633540372671
2024-07-16,6310,6400,6110,6200,490994,-1.7432646592709984
2024-07-17,6200,6270,5870,6050,658465,-2.4193548387096775
2024-07-18,5880,6100,5750,5970,348009,-1.322314049586777
2024-07-19,5970,6020,5840,5840,259782,-2.1775544388609713
2024-07-22,5750,5840,5650,5750,216967,-1.5410958904109588
2024-07-23,5800,6200,5800,5830,370378,1.391304347826087
2024-07-24,5870,5900,5600,5620,283622,-3.6020583190394513
2024-07-25,5620,5680,5480,5580,188520,-0.7117437722419928
2024-07-26,5650,5650,5430,5520,158850,-1.0752688172043012
2024-07-29,5520,5570,5440,5490,140944,-0.5434782608695652
2024-07-30,5530,5650,5420,5450,149759,-0.7285974499089253
2024-07-31,5780,5780,5360,5510,135663,1.1009174311926606
2024-08-01,5890,5890,5540,5600,242263,1.6333938294010888
2024-08-02,5540,5750,5520,5570,167464,-0.5357142857142857
2024-08-05,5550,5550,4710,5180,273013,-7.001795332136446
2024-08-06,5250,5420,5140,5310,176126,2.5096525096525095
2024-08-07,5390,5590,5320,5490,118766,3.389830508474576
2024-08-08,5300,5560,5300,5370,78615,-2.185792349726776
2024-08-09,5370,5630,5370,5580,76696,3.910614525139665
2024-08-12,5590,5690,5550,5570,110689,-0.17921146953405018
2024-08-13,5580,5720,5450,5680,114944,1.9748653500897666
2024-08-14,5750,5860,5360,5620,158059,-1.056338028169014
2024-08-16,5790,5910,5680,5820,259603,3.558718861209965
2024-08-19,5850,5930,5750,5820,248151,0.0
2024-08-20,5890,5960,5790,5870,166457,0.859106529209622
2024-08-21,5870,5910,5400,5500,336649,-6.303236797274275
2024-08-22,5580,5580,5360,5440,101101,-1.090909090909091
2024-08-23,5420,5540,5310,5440,171129,0.0
2024-08-26,5340,5450,5250,5310,174322,-2.389705882352941
2024-08-27,5310,5320,5180,5200,73677,-2.0715630885122414
2024-08-28,5200,5320,5080,5120,129372,-1.5384615384615385
2024-08-29,5030,5250,5030,5130,82085,0.1953125
2024-08-30,5130,5460,5120,5380,270205,4.8732943469785575
2024-09-02,5390,5460,5330,5430,123290,0.929368029739777
2024-09-03,5420,5430,5230,5340,116468,-1.6574585635359116
2024-09-04,5260,5310,5150,5230,106705,-2.0599250936329585
2024-09-05,5330,5330,5080,5120,131210,-2.1032504780114722
2024-09-06,5140,5140,4975,5030,133687,-1.7578125
2024-09-09,5030,5190,4990,5140,116535,2.1868787276341948
2024-09-10,5160,5190,4800,4910,126636,-4.474708171206226
2024-09-11,4850,5000,4700,4910,69412,0.0
2024-09-12,4865,5100,4865,5060,81330,3.054989816700611
2024-09-13,5060,5110,4985,5060,82964,0.0
2024-09-19,5120,5200,4945,4975,172552,-1.6798418972332017
2024-09-20,5130,5320,5020,5320,257052,6.934673366834171
2024-09-23,5450,5690,5310,5320,285534,0.0
2024-09-24,5320,5390,5260,5340,100287,0.37593984962406013
2024-09-25,5340,5380,5170,5170,109717,-3.1835205992509366
2024-09-26,5120,5230,5070,5200,78647,0.5802707930367506
2024-09-27,5200,5290,5100,5120,74976,-1.5384615384615385
2024-09-30,5120,5120,5000,5080,113652,-0.78125
2024-10-02,5030,5050,4960,4970,58314,-2.1653543307086616
2024-10-04,4935,5030,4900,4950,111387,-0.4024144869215292
2024-10-07,5100,5250,4980,4990,76539,0.8080808080808081
2024-10-08,4990,4990,4810,4810,133193,-3.6072144288577155
2024-10-10,4815,4890,4670,4720,201136,-1.8711018711018712
2024-10-11,4300,4530,4300,4395,463879,-6.885593220338983
2024-10-14,4400,4500,4170,4205,285700,-4.323094425483505
2024-10-15,4240,4500,4180,4350,242296,3.4482758620689653
2024-10-16,4285,4330,4180,4260,84225,-2.0689655172413794
2024-10-17,4260,4325,4175,4230,129863,-0.7042253521126761
2024-10-18,4190,4300,4150,4275,99937,1.0638297872340425
2024-10-21,4270,4420,4100,4415,216846,3.274853801169591
2024-10-22,4400,4400,4230,4235,121668,-4.077010192525481
2024-10-23,4235,4270,3860,4115,264582,-2.833530106257379
2024-10-24,4100,4100,3990,3995,134821,-2.916160388821385
2024-10-25,3990,4105,3905,4015,119211,0.5006257822277848
2024-10-28,4015,4190,4015,4115,90657,2.4906600249066
2024-10-29,4120,4130,3970,4060,59958,-1.336573511543135
2024-10-30,4080,4080,3990,3995,62929,-1.600985221674877
2024-10-31,3995,4080,3935,4050,46976,1.376720901126408
2024-11-01,4050,4050,3960,3965,57665,-2.0987654320987654
2024-11-04,4010,4095,3875,4055,70671,2.269861286254729
2024-11-05,4020,4095,3800,3975,82500,-1.972872996300863
2024-11-06,4000,4035,3850,3850,73621,-3.1446540880503147
2024-11-07,3950,3950,3680,3840,82526,-0.2597402597402597
2024-11-08,3850,3960,3605,3805,126233,-0.9114583333333334
2024-11-11,3805,3900,3720,3740,155390,-1.7082785808147174
2024-11-12,3740,4240,3610,3695,196115,-1.2032085561497325
2024-11-13,3660,3720,3625,3630,88937,-1.7591339648173208
2024-11-14,3630,3760,3605,3655,51877,0.6887052341597797
2024-11-15,3740,3800,3570,3660,113647,0.13679890560875513
2024-11-18,3650,4730,3635,4430,3258630,21.03825136612022
2024-11-19,4430,4450,4030,4065,510588,-8.239277652370202
2024-11-20,4070,4105,3850,4030,171303,-0.8610086100861009
2024-11-21,4020,4135,3955,4075,143903,1.1166253101736971
2024-11-22,4180,4320,4070,4105,247656,0.7361963190184049
2024-11-25,4105,4270,4050,4220,185405,2.8014616321559074
2024-11-26,4255,4255,4080,4150,87109,-1.6587677725118484
2024-11-27,4115,4155,3875,4100,92680,-1.2048192771084338
2024-11-28,4110,4135,4045,4050,80868,-1.2195121951219512
2024-11-29,4150,4180,3970,3990,88105,-1.4814814814814816
2024-12-02,3990,4045,3945,3990,107750,0.0
2024-12-03,3990,4095,3990,4020,68088,0.7518796992481203
2024-12-04,3890,4020,3810,3875,195238,-3.6069651741293534
2024-12-05,3900,3930,3825,3875,113131,0.0
2024-12-06,3875,3920,3695,3790,131299,-2.193548387096774
2024-12-09,3785,3790,3500,3700,85183,-2.3746701846965697
2024-12-10,3630,3900,3630,3790,82769,2.4324324324324325
2024-12-11,3790,3980,3790,3910,68222,3.16622691292876
2024-12-12,3885,4190,3835,3915,105315,0.1278772378516624
2024-12-13,3905,4010,3900,3990,45285,1.9157088122605364
2024-12-16,4035,4170,3990,4080,94207,2.2556390977443606
2024-12-17,4080,4135,3980,4000,77095,-1.9607843137254901
2024-12-18,3990,4050,3885,4020,55119,0.5
2024-12-19,3980,3995,3750,3865,85486,-3.8557213930348255
2024-12-20,3865,3915,3805,3805,131497,-1.5523932729624839
2024-12-23,3920,3920,3780,3780,57464,-0.657030223390276
2024-12-24,3855,3885,3780,3800,71599,0.5291005291005291
2024-12-26,3805,3885,3785,3810,98167,0.2631578947368421
2024-12-27,3800,3980,3795,3895,119202,2.2309711286089238
2024-12-30,3990,4095,3880,4080,111933,4.7496790757381255
2025-01-02,4090,4285,4070,4150,147366,1.715686274509804
2025-01-03,4105,4410,4105,4350,281192,4.819277108433735
2025-01-06,4355,4450,4290,4435,169944,1.9540229885057472
2025-01-07,4480,4525,4395,4440,159868,0.11273957158962795
2025-01-08,4445,4500,4350,4435,140679,-0.11261261261261261
2025-01-09,4460,4485,4385,4420,107819,-0.3382187147688839
2025-01-10,4400,4525,4390,4420,115983,0.0
2025-01-13,4410,4555,4275,4300,170903,-2.7149321266968327
2025-01-14,4300,4360,4235,4310,292614,0.23255813953488372
2025-01-15,5040,5380,4250,4345,4147426,0.8120649651972157
2025-01-16,4350,4600,4305,4500,629156,3.567318757192175
2025-01-17,4500,4540,4400,4450,286382,-1.1111111111111112
2025-01-20,4430,4495,4370,4445,141665,-0.11235955056179776
2025-01-21,4445,4585,4400,4540,247900,2.1372328458942635
2025-01-22,4575,4595,4485,4500,162782,-0.881057268722467
2025-01-23,4500,4550,4455,4490,117802,-0.2222222222222222
2025-01-24,4450,4560,4210,4420,170560,-1.55902004454343
2025-01-31,4380,4520,4365,4445,168486,0.5656108597285068
2025-02-03,4440,4450,4200,4320,301476,-2.81214848143982
2025-02-04,4325,4390,4265,4325,224970,0.11574074074074073
2025-02-05,4320,4345,4250,4250,97740,-1.7341040462427744
2025-02-06,4250,4300,4025,4125,166577,-2.941176470588235
2025-02-07,4110,4250,4085,4180,85893,1.3333333333333335
2025-02-10,4250,4250,4095,4145,83888,-0.8373205741626795
2025-02-11,4145,4230,4090,4180,101983,0.8443908323281062
2025-02-12,4170,4210,4125,4200,70979,0.4784688995215311
2025-02-13,4170,4200,4130,4165,75955,-0.8333333333333334
2025-02-14,4165,4475,4130,4320,592345,3.721488595438175
2025-02-17,4350,4495,4310,4445,377601,2.8935185185185186
2025-02-18,4510,4555,4430,4525,262799,1.799775028121485
2025-02-19,4530,4550,4445,4530,186572,0.11049723756906078
2025-02-20,4565,4580,4370,4400,198537,-2.869757174392936
2025-02-21,4400,4480,4320,4320,120519,-1.8181818181818181
2025-02-24,4250,4515,4220,4500,200473,4.166666666666666
2025-02-25,4465,4490,4360,4380,131561,-2.666666666666667
2025-02-26,4360,4415,4260,4260,133975,-2.73972602739726
2025-02-27,4270,4685,4270,4525,826974,6.220657276995305
2025-02-28,4500,4510,4365,4375,173532,-3.314917127071823
2025-03-04,4385,4395,3960,4285,159084,-2.057142857142857
2025-03-05,4345,4380,4190,4255,105091,-0.7001166861143524
2025-03-06,4215,4300,4070,4100,164919,-3.6427732079905994
2025-03-07,4100,4190,4045,4130,82378,0.7317073170731708
2025-03-10,4165,4165,3400,3960,302923,-4.116222760290557
2025-03-11,3960,4095,3875,3925,159477,-0.8838383838383838
2025-03-12,3930,4065,3910,4015,83778,2.2929936305732483
2025-03-13,4080,4080,3780,3830,210400,-4.60772104607721
2025-03-14,4165,4165,3830,3885,135458,1.4360313315926894
2025-03-17,3885,4210,3885,4005,132181,3.088803088803089
2025-03-18,4030,4125,3960,4005,97249,0.0
2025-03-19,4000,4000,3780,3830,312159,-4.369538077403246
2025-03-20,3825,3985,3615,3620,283859,-5.483028720626632
2025-03-21,2535,3040,2535,2965,2360004,-18.093922651933703
2025-03-24,3010,3440,3000,3415,1259530,15.177065767284992
2025-03-25,3455,3575,3355,3375,495588,-1.171303074670571
2025-03-26,3375,3410,3305,3385,124364,0.2962962962962963
2025-03-27,3385,3530,3300,3425,188579,1.1816838995568686
2025-03-28,3430,3460,3295,3320,129297,-3.065693430656934
2025-03-31,3285,3285,3110,3140,85031,-5.421686746987952
2025-04-01,3250,3320,3160,3230,52383,2.8662420382165608
2025-04-02,3260,3290,3080,3110,81993,-3.7151702786377707
2025-04-03,3090,3125,3000,3015,75358,-3.054662379421222
2025-04-04,2895,3085,2895,3050,79704,1.1608623548922055
2025-04-07,3020,3020,2950,2990,77174,-1.9672131147540985
2025-04-08,3015,3235,2990,3035,58802,1.5050167224080269
2025-04-09,2925,3025,2805,2880,114357,-5.107084019769357
2025-04-10,3030,3030,2905,3010,48991,4.513888888888888
2025-04-11,3005,3075,2950,3005,33656,-0.16611295681063123
2025-04-14,2915,3115,2915,3010,47308,0.16638935108153077
2025-04-15,3035,3100,2980,3045,37697,1.1627906976744187
2025-04-16,3050,3050,2990,3000,62718,-1.477832512315271
2025-04-17,3025,3110,3025,3055,51378,1.8333333333333333
2025-04-18,3060,3060,2985,3015,40850,-1.309328968903437
2025-04-21,3025,3025,2970,2985,33420,-0.9950248756218906
2025-04-22,2985,2995,2945,2990,32837,0.16750418760469013
2025-04-23,2995,3070,2995,3040,68008,1.6722408026755853
2025-04-24,3070,3070,2990,3020,18846,-0.6578947368421052
2025-04-25,3000,3055,2975,3055,50238,1.1589403973509933
2025-04-28,3060,3080,3005,3030,28394,-0.8183306055646482
2025-04-29,3080,3080,3015,3070,37183,1.3201320132013201
2025-04-30,3080,3120,3040,3075,36641,0.16286644951140067
2025-05-02,3070,3150,3045,3125,29026,1.6260162601626018
2025-05-07,3125,3150,2970,3135,26571,0.32
2025-05-08,3150,3170,3080,3115,34568,-0.6379585326953748
2025-05-09,3145,3145,3070,3110,64922,-0.16051364365971107
