날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,35200,35700,34900,34950,31180,1.7467248908296942
2024-06-04,35200,35200,34350,34400,16002,-1.5736766809728182
2024-06-05,34850,34850,34250,34800,9734,1.1627906976744187
2024-06-07,34700,35150,34300,34300,16686,-1.4367816091954022
2024-06-10,34200,34750,34150,34400,13660,0.2915451895043732
2024-06-11,34800,34800,34150,34500,10780,0.29069767441860467
2024-06-12,34700,34700,34250,34400,8793,-0.2898550724637681
2024-06-13,34700,34750,34100,34400,18022,0.0
2024-06-14,34550,34950,34150,34750,22338,1.0174418604651163
2024-06-17,35000,35100,34650,34750,13786,0.0
2024-06-18,34750,35000,34500,34500,12564,-0.7194244604316548
2024-06-19,34600,34850,33950,33950,21489,-1.5942028985507246
2024-06-20,34000,34150,33800,33950,13268,0.0
2024-06-21,34050,34050,33600,33850,9134,-0.29455081001472755
2024-06-24,33700,34050,33600,33800,5696,-0.14771048744460857
2024-06-25,33850,34300,33600,34000,7804,0.591715976331361
2024-06-26,34450,34450,33800,34050,14829,0.14705882352941177
2024-06-27,34300,34300,33800,34000,7688,-0.14684287812041116
2024-06-28,34050,34400,33850,34000,14104,0.0
2024-07-01,34300,34600,33850,33900,11495,-0.29411764705882354
2024-07-02,33800,34200,33550,33900,12250,0.0
2024-07-03,33900,34100,33700,33900,9501,0.0
2024-07-04,33900,34000,33800,34000,6237,0.2949852507374631
2024-07-05,33900,34200,33900,33950,13360,-0.14705882352941177
2024-07-08,33800,34050,33800,33900,4747,-0.14727540500736377
2024-07-09,33900,34050,33700,33850,9811,-0.14749262536873156
2024-07-10,33950,34000,33800,33850,19606,0.0
2024-07-11,34100,34100,33750,33800,7055,-0.14771048744460857
2024-07-12,34000,34000,33750,33750,4277,-0.14792899408284024
2024-07-15,33950,34100,33800,33900,9709,0.4444444444444444
2024-07-16,34100,34200,33900,34200,4274,0.8849557522123894
2024-07-17,34100,34300,33700,33900,14017,-0.8771929824561403
2024-07-18,33800,33800,33350,33700,14311,-0.5899705014749262
2024-07-19,33800,33800,33400,33550,8145,-0.44510385756676557
2024-07-22,33500,33900,33200,33450,13587,-0.29806259314456035
2024-07-23,33550,33800,33250,33350,7672,-0.29895366218236175
2024-07-24,33200,33550,33200,33450,5753,0.29985007496251875
2024-07-25,33350,33400,33050,33400,7345,-0.14947683109118087
2024-07-26,33350,33700,33350,33600,6546,0.5988023952095809
2024-07-29,33800,33800,33450,33750,12611,0.4464285714285714
2024-07-30,33750,33750,33300,33350,9831,-1.1851851851851851
2024-07-31,33750,33750,33400,33400,7392,0.14992503748125938
2024-08-01,33400,34000,33350,33800,7778,1.1976047904191618
2024-08-02,33600,33600,32800,33050,31692,-2.2189349112426036
2024-08-05,32800,32800,31350,31500,55988,-4.689863842662632
2024-08-06,31800,32600,31800,32350,15815,2.6984126984126986
2024-08-07,32300,32700,32050,32550,6599,0.6182380216383307
2024-08-08,32400,33150,32250,33150,11672,1.8433179723502304
2024-08-09,33150,33400,32900,33200,5881,0.1508295625942685
2024-08-12,33400,33400,32900,33050,5741,-0.4518072289156626
2024-08-13,33050,33200,32750,32850,5193,-0.6051437216338881
2024-08-14,32850,33400,32600,32800,7115,-0.15220700152207
2024-08-16,32850,33050,32600,32650,10793,-0.45731707317073167
2024-08-19,32700,34000,32500,33550,33399,2.756508422664625
2024-08-20,33550,34500,33300,34400,36365,2.533532041728763
2024-08-21,34050,34650,34050,34400,13132,0.0
2024-08-22,34550,34550,34000,34250,8367,-0.436046511627907
2024-08-23,34200,34750,34000,34650,14646,1.167883211678832
2024-08-26,34650,34800,34250,34600,16589,-0.1443001443001443
2024-08-27,34600,34850,34200,34300,3613,-0.8670520231213872
2024-08-28,34900,34900,34000,34750,14473,1.3119533527696794
2024-08-29,34650,35100,34250,34900,15115,0.4316546762589928
2024-08-30,35100,35150,34350,34800,12172,-0.28653295128939826
2024-09-02,34800,35000,34150,34500,7627,-0.8620689655172413
2024-09-03,34750,34900,34400,34850,8095,1.0144927536231882
2024-09-04,34400,34750,34150,34400,14492,-1.291248206599713
2024-09-05,34400,34850,34300,34700,5472,0.872093023255814
2024-09-06,34750,34850,34350,34600,12146,-0.2881844380403458
2024-09-09,34600,34850,34000,34750,17803,0.4335260115606936
2024-09-10,34700,35150,34650,34900,15005,0.4316546762589928
2024-09-11,34900,34900,34400,34450,10044,-1.2893982808022924
2024-09-12,34450,35050,34400,35000,7384,1.5965166908563133
2024-09-13,35050,35400,35000,35300,12230,0.8571428571428572
2024-09-19,35300,35400,35000,35200,12162,-0.28328611898017
2024-09-20,35200,35900,35200,35800,27709,1.7045454545454544
2024-09-23,35800,36100,35750,36000,14760,0.5586592178770949
2024-09-24,36000,36000,35150,35600,8807,-1.1111111111111112
2024-09-25,35500,35500,34900,35000,15755,-1.6853932584269662
2024-09-26,35500,35500,34800,35150,6002,0.4285714285714286
2024-09-27,35000,35850,35000,35800,12069,1.849217638691323
2024-09-30,35950,35950,35350,35400,6258,-1.1173184357541899
2024-10-02,35400,35400,35000,35400,6152,0.0
2024-10-04,35400,35800,35250,35400,6267,0.0
2024-10-07,35750,35750,35000,35150,3192,-0.7062146892655368
2024-10-08,35500,35500,34700,35100,10254,-0.1422475106685633
2024-10-10,35150,35200,34450,34850,16520,-0.7122507122507122
2024-10-11,34500,35400,34500,35150,11229,0.860832137733142
2024-10-14,35500,35550,35100,35500,7560,0.995732574679943
2024-10-15,35500,35750,35350,35600,10146,0.28169014084507044
2024-10-16,35400,35800,35400,35400,10817,-0.5617977528089888
2024-10-17,35400,35750,35300,35550,10678,0.423728813559322
2024-10-18,35250,35700,35250,35600,8475,0.14064697609001406
2024-10-21,35600,35900,35600,35850,10166,0.7022471910112359
2024-10-22,35850,36000,35600,35950,15184,0.2789400278940028
2024-10-23,35950,35950,35700,35700,6762,-0.6954102920723227
2024-10-24,35600,35800,35300,35750,9299,0.1400560224089636
2024-10-25,35800,36000,35250,35350,6970,-1.118881118881119
2024-10-28,35150,35500,34800,35200,6396,-0.4243281471004243
2024-10-29,34850,35400,34800,34850,4976,-0.9943181818181818
2024-10-30,35200,35400,34800,34850,6608,0.0
2024-10-31,34850,35400,34700,34950,7156,0.2869440459110474
2024-11-01,35100,35600,34950,35150,12368,0.5722460658082975
2024-11-04,35150,35500,35100,35100,3506,-0.1422475106685633
2024-11-05,35150,35500,34800,35250,8419,0.4273504273504274
2024-11-06,35200,35200,34650,34650,10934,-1.702127659574468
2024-11-07,35050,35100,34650,34850,4980,0.5772005772005772
2024-11-08,34850,35400,34750,34750,3299,-0.2869440459110474
2024-11-11,35100,35200,34400,35100,8942,1.0071942446043165
2024-11-12,35100,35800,34700,34700,29817,-1.1396011396011396
2024-11-13,34750,35950,34150,34500,13831,-0.5763688760806917
2024-11-14,34500,34600,33600,33900,9219,-1.7391304347826086
2024-11-15,34000,34000,33350,33850,11670,-0.14749262536873156
2024-11-18,33450,34350,33450,33850,11832,0.0
2024-11-19,33950,35000,33900,33950,10514,0.29542097488921715
2024-11-20,33950,34650,33950,34400,9056,1.3254786450662739
2024-11-21,34550,34850,34100,34400,11642,0.0
2024-11-22,34900,34900,34000,34150,11866,-0.7267441860465116
2024-11-25,34600,34600,33900,34000,8675,-0.43923865300146414
2024-11-26,34200,34200,33700,34000,13040,0.0
2024-11-27,34300,35000,34100,34500,13749,1.4705882352941175
2024-11-28,34200,35150,34200,34600,8551,0.2898550724637681
2024-11-29,34600,35000,34050,34500,7638,-0.2890173410404624
2024-12-02,34500,34700,34250,34600,6537,0.2898550724637681
2024-12-03,34600,34950,34450,34550,5422,-0.1445086705202312
2024-12-04,33900,34750,33900,34700,14504,0.43415340086830684
2024-12-05,34700,35100,34400,35000,9973,0.8645533141210375
2024-12-06,35300,35500,34700,35400,18479,1.1428571428571428
2024-12-09,35250,35250,34550,34550,29162,-2.401129943502825
2024-12-10,34200,35450,34200,35300,27107,2.170767004341534
2024-12-11,35150,36250,35100,36050,24355,2.1246458923512748
2024-12-12,36250,36500,35350,36000,23043,-0.13869625520110956
2024-12-13,36000,36000,35450,35800,32825,-0.5555555555555556
2024-12-16,36200,36700,35500,35850,34571,0.13966480446927373
2024-12-17,35900,36800,35750,36200,34661,0.9762900976290098
2024-12-18,36200,36450,35700,36000,12490,-0.5524861878453038
2024-12-19,35450,36350,35250,36000,13698,0.0
2024-12-20,35600,36500,34750,34750,28726,-3.4722222222222223
2024-12-23,35400,36350,35000,35950,22830,3.4532374100719423
2024-12-24,35950,36300,35150,35200,17387,-2.086230876216968
2024-12-26,35200,35600,34750,35000,20090,-0.5681818181818182
2024-12-27,35000,35000,34500,34500,15333,-1.4285714285714286
2024-12-30,34500,34850,34200,34250,14688,-0.7246376811594203
2025-01-02,34250,34600,33650,34000,33790,-0.7299270072992701
2025-01-03,34050,34800,33950,34100,20221,0.29411764705882354
2025-01-06,34000,34500,33500,33700,35657,-1.1730205278592376
2025-01-07,33800,34350,33700,34250,15396,1.6320474777448073
2025-01-08,34450,34450,33900,34250,8708,0.0
2025-01-09,34250,34400,34000,34300,6547,0.145985401459854
2025-01-10,34000,34400,33950,34150,9338,-0.43731778425655976
2025-01-13,34200,34200,34000,34200,3521,0.14641288433382138
2025-01-14,34200,35250,34050,34900,20844,2.046783625730994
2025-01-15,34800,35100,34400,34700,8920,-0.5730659025787965
