날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,18980,19440,18690,19130,8479182,6.277777777777778
2024-06-04,18940,19310,18510,19000,2966892,-0.6795608991113434
2024-06-05,19230,19500,18950,19090,2942135,0.4736842105263158
2024-06-07,19150,19720,19010,19500,3978760,2.1477213200628604
2024-06-10,19330,19500,18160,18410,3807339,-5.589743589743589
2024-06-11,18490,18790,17390,17500,4220525,-4.942965779467681
2024-06-12,17490,17630,17020,17100,2488083,-2.2857142857142856
2024-06-13,17120,17430,17030,17030,2710262,-0.40935672514619886
2024-06-14,17100,18100,17100,18050,4096729,5.989430416911333
2024-06-17,18410,18410,17410,17540,2627826,-2.8254847645429364
2024-06-18,17680,18440,17650,17930,2961650,2.2234891676168758
2024-06-19,18010,18540,17870,18510,2937385,3.2348020078081428
2024-06-20,18600,19750,18590,19150,6692038,3.457590491626148
2024-06-21,19300,19550,18820,19140,3286561,-0.05221932114882506
2024-06-24,18710,19280,18640,18980,2436868,-0.8359456635318705
2024-06-25,19490,19960,18970,19180,7331023,1.053740779768177
2024-06-26,19090,19630,18910,19140,2920252,-0.20855057351407716
2024-06-27,19140,19360,19000,19010,1570099,-0.6792058516196446
2024-06-28,19070,19880,19070,19630,6239235,3.2614413466596526
2024-07-01,19980,20450,19610,19690,3958665,0.3056546102903719
2024-07-02,19560,20400,19310,19970,4234398,1.4220416455053326
2024-07-03,20100,20800,19880,19900,5984097,-0.35052578868302453
2024-07-04,20000,20450,19170,19780,3816114,-0.6030150753768844
2024-07-05,19950,20250,19360,19370,3583767,-2.0728008088978767
2024-07-08,19150,19150,18280,18340,4682077,-5.317501290655653
2024-07-09,18240,18390,17950,18050,3562605,-1.5812431842966195
2024-07-10,18140,18420,18060,18120,1772114,0.3878116343490305
2024-07-11,18130,18290,17940,17980,2221235,-0.772626931567329
2024-07-12,17830,18060,17360,17560,3281979,-2.3359288097886544
2024-07-15,17660,17890,17460,17610,1903631,0.2847380410022779
2024-07-16,17740,18270,17700,18100,2743750,2.782509937535491
2024-07-17,18200,18240,17850,17950,1814773,-0.8287292817679558
2024-07-18,17980,18050,17650,18000,1297197,0.2785515320334262
2024-07-19,17850,18040,17180,17250,2077387,-4.166666666666666
2024-07-22,17190,17350,16880,17030,1314697,-1.2753623188405796
2024-07-23,17170,17300,16900,16900,1208833,-0.7633587786259541
2024-07-24,16770,17060,16700,16970,1226039,0.41420118343195267
2024-07-25,16970,17090,16710,16940,1186222,-0.1767825574543312
2024-07-26,16800,17300,16800,17090,1067622,0.885478158205431
2024-07-29,17190,17540,17060,17230,1504136,0.8191925102399065
2024-07-30,17230,17810,17220,17550,2169270,1.8572257690075449
2024-07-31,17600,18200,17360,18200,2087875,3.7037037037037033
2024-08-01,18200,18390,17850,18290,1769832,0.49450549450549447
2024-08-02,18080,18280,17650,18210,1947461,-0.4373974849644614
2024-08-05,18290,18540,15800,16280,3835937,-10.598572213069742
2024-08-06,16440,17680,16440,17230,2634787,5.835380835380835
2024-08-07,17260,17670,17060,17160,1715297,-0.4062681369704005
2024-08-08,17030,17480,16960,17310,1506102,0.8741258741258742
2024-08-09,17370,17590,17260,17370,997880,0.34662045060658575
2024-08-12,17530,17700,17400,17570,1065617,1.1514104778353482
2024-08-13,17570,17980,17190,17500,2294941,-0.398406374501992
2024-08-14,17900,17900,17090,17630,2030911,0.7428571428571429
2024-08-16,17900,18070,17770,17940,1305044,1.7583664208735112
2024-08-19,18070,18280,17820,17920,1470607,-0.11148272017837235
2024-08-20,18120,18330,17680,17800,1655306,-0.6696428571428571
2024-08-21,17780,17920,17650,17820,734098,0.11235955056179776
2024-08-22,17820,17990,17760,17970,892672,0.8417508417508417
2024-08-23,17870,17960,17450,17630,948573,-1.8920422927100722
2024-08-26,17630,17780,17570,17700,753354,0.39705048213272826
2024-08-27,17840,17850,17300,17360,1025978,-1.92090395480226
2024-08-28,17370,17520,17210,17380,848363,0.1152073732718894
2024-08-29,17380,17440,17040,17100,955488,-1.611047180667434
2024-08-30,17200,17300,16970,16970,2827509,-0.7602339181286549
2024-09-02,16970,17030,16660,16710,1273429,-1.5321154979375369
2024-09-03,16710,16930,16710,16900,585079,1.1370436864153202
2024-09-04,16500,16700,16210,16370,1386472,-3.1360946745562135
2024-09-05,16420,16800,16410,16800,895262,2.626756261453879
2024-09-06,16710,16870,16220,16270,761044,-3.1547619047619047
2024-09-09,15990,16270,15880,16270,784291,0.0
2024-09-10,16310,16830,16310,16530,862248,1.5980331899200986
2024-09-11,16860,16980,16330,16490,886287,-0.24198427102238357
2024-09-12,16600,16650,16450,16550,1163090,0.3638568829593693
2024-09-13,16690,17040,16630,16860,978328,1.8731117824773416
2024-09-19,17150,17310,16960,17310,1377146,2.6690391459074734
2024-09-20,17370,17630,17170,17630,1612983,1.848642403235124
2024-09-23,17730,17870,17470,17730,1046019,0.5672149744753261
