날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,6340,6400,6310,6400,16453,0.9463722397476341
2024-06-04,6380,6450,6380,6390,15019,-0.15625
2024-06-05,6410,6410,6350,6350,4011,-0.6259780907668232
2024-06-07,6350,6400,6310,6380,15134,0.47244094488188976
2024-06-10,6350,6430,6320,6380,9642,0.0
2024-06-11,6380,6400,6310,6360,5497,-0.3134796238244514
2024-06-12,6320,6360,6240,6300,27318,-0.9433962264150944
2024-06-13,6320,6350,6250,6300,12215,0.0
2024-06-14,6290,6340,6280,6320,8727,0.31746031746031744
2024-06-17,6350,6350,6300,6350,5288,0.4746835443037975
2024-06-18,6300,6360,6260,6330,15622,-0.31496062992125984
2024-06-19,6320,6350,6280,6330,7263,0.0
2024-06-20,6370,6370,6280,6300,7399,-0.47393364928909953
2024-06-21,6340,6340,6260,6290,5819,-0.15873015873015872
2024-06-24,6260,6350,6250,6290,8890,0.0
2024-06-25,6290,6320,6270,6270,2278,-0.3179650238473768
2024-06-26,6300,6300,6220,6260,11326,-0.1594896331738437
2024-06-27,6260,6260,6230,6250,5693,-0.1597444089456869
2024-06-28,6260,6320,6230,6270,17963,0.32
2024-07-01,6370,6370,6250,6310,6040,0.6379585326953748
2024-07-02,6330,6330,6250,6290,13391,-0.31695721077654515
2024-07-03,6350,6350,6290,6300,7961,0.1589825119236884
2024-07-04,6360,6360,6290,6330,8662,0.4761904761904762
2024-07-05,6370,6370,6320,6340,8613,0.1579778830963665
2024-07-08,6340,6360,6290,6340,15547,0.0
2024-07-09,6360,6360,6330,6350,8003,0.15772870662460567
2024-07-10,6380,6380,6320,6350,7485,0.0
2024-07-11,6350,6370,6320,6330,11042,-0.31496062992125984
2024-07-12,6350,6350,6320,6320,3771,-0.1579778830963665
2024-07-15,6370,6370,6260,6290,19486,-0.4746835443037975
2024-07-16,6310,6340,6260,6290,13134,0.0
2024-07-17,6320,6380,6290,6360,20810,1.1128775834658187
2024-07-18,6400,6400,6310,6320,12923,-0.628930817610063
2024-07-19,6350,6360,6310,6330,10196,0.15822784810126583
2024-07-22,6380,6380,6300,6320,5630,-0.1579778830963665
2024-07-23,6380,6380,6290,6310,16008,-0.15822784810126583
2024-07-24,6210,6300,6210,6290,8073,-0.31695721077654515
2024-07-25,6280,6290,6220,6260,15817,-0.47694753577106513
2024-07-26,6260,6280,6220,6270,11876,0.1597444089456869
2024-07-29,6240,6320,6240,6290,6368,0.3189792663476874
2024-07-30,6320,6320,6280,6290,1914,0.0
2024-07-31,6330,6330,6290,6300,8413,0.1589825119236884
2024-08-01,6340,6340,6190,6240,73263,-0.9523809523809524
2024-08-02,6210,6230,6150,6170,43616,-1.1217948717948718
2024-08-05,6160,6170,5950,6010,59011,-2.593192868719611
2024-08-06,6210,6210,6020,6080,29037,1.1647254575707155
2024-08-07,6080,6180,6070,6160,20010,1.3157894736842104
2024-08-08,6140,6230,6100,6220,8110,0.974025974025974
2024-08-09,6220,6240,6160,6230,7773,0.1607717041800643
2024-08-12,6210,6230,6200,6230,4146,0.0
2024-08-13,6210,6240,6180,6240,12820,0.16051364365971107
2024-08-14,6240,6250,6210,6250,3531,0.16025641025641024
2024-08-16,6250,6280,6240,6270,12152,0.32
2024-08-19,6290,6290,6240,6290,3109,0.3189792663476874
2024-08-20,6240,6340,6240,6330,12307,0.6359300476947536
2024-08-21,6280,6340,6270,6280,21802,-0.7898894154818324
2024-08-22,6300,6320,6270,6290,4840,0.15923566878980894
2024-08-23,6260,6360,6260,6360,20973,1.1128775834658187
2024-08-26,6310,6360,6310,6360,8842,0.0
2024-08-27,6380,6390,6340,6360,7649,0.0
2024-08-28,6420,6420,6320,6380,12635,0.3144654088050315
2024-08-29,6340,6380,6330,6350,3972,-0.4702194357366771
2024-08-30,6340,6370,6330,6350,4393,0.0
