날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,9660,9670,9630,9650,8234,0.1037344398340249
2024-06-04,9620,9650,9600,9650,5438,0.0
2024-06-05,9650,9720,9620,9650,4317,0.0
2024-06-07,9800,9800,9570,9570,2982,-0.8290155440414507
2024-06-10,9580,9620,9560,9570,8213,0.0
2024-06-11,9650,9700,9610,9670,7390,1.044932079414838
2024-06-12,9780,9780,9630,9660,2237,-0.1034126163391934
2024-06-13,9670,9870,9650,9870,18947,2.1739130434782608
2024-06-14,9850,9850,9620,9680,6561,-1.9250253292806485
2024-06-17,9640,9800,9640,9660,6280,-0.2066115702479339
2024-06-18,9630,9670,9390,9540,20045,-1.2422360248447204
2024-06-19,9540,9690,9450,9450,8646,-0.9433962264150944
2024-06-20,9500,9650,9500,9520,2085,0.7407407407407408
2024-06-21,9600,9600,9520,9520,2742,0.0
2024-06-24,9600,9610,9510,9530,738,0.10504201680672269
2024-06-25,9410,9580,9410,9520,2206,-0.1049317943336831
2024-06-26,9520,9570,9460,9550,1499,0.31512605042016806
2024-06-27,9570,9590,9480,9560,1280,0.10471204188481677
2024-06-28,9600,9640,9430,9470,6201,-0.9414225941422595
2024-07-01,9510,9550,9470,9500,1592,0.31678986272439286
2024-07-02,9350,9510,9350,9410,5237,-0.9473684210526316
2024-07-03,9430,9430,9380,9430,2824,0.21253985122210414
2024-07-04,9430,9430,9350,9370,7045,-0.6362672322375398
2024-07-05,9350,9390,9350,9350,7299,-0.21344717182497333
2024-07-08,9420,9420,9250,9280,12701,-0.7486631016042781
2024-07-09,9230,9300,9230,9270,4609,-0.10775862068965517
2024-07-10,9240,9340,9220,9230,10641,-0.4314994606256742
2024-07-11,9230,9300,9200,9200,6830,-0.3250270855904659
2024-07-12,9200,9220,9120,9130,7867,-0.7608695652173914
2024-07-15,9130,9130,9100,9110,10724,-0.21905805038335158
2024-07-16,9080,9150,9060,9080,11478,-0.3293084522502744
2024-07-17,9120,9280,9080,9220,7896,1.5418502202643172
2024-07-18,9150,9340,9130,9220,3908,0.0
2024-07-19,9160,9250,9150,9200,2577,-0.21691973969631237
2024-07-22,9300,9300,9150,9200,1562,0.0
2024-07-23,9120,9290,9120,9150,2464,-0.5434782608695652
2024-07-24,9120,9180,9090,9110,3424,-0.4371584699453552
2024-07-25,9110,9140,9030,9140,3917,0.3293084522502744
2024-07-26,9140,9270,9100,9250,2746,1.2035010940919038
2024-07-29,9250,9320,9180,9240,5826,-0.10810810810810811
2024-07-30,9250,9290,9190,9240,1767,0.0
2024-07-31,9190,9280,9170,9280,3470,0.4329004329004329
2024-08-01,9290,9400,9230,9350,5282,0.7543103448275862
2024-08-02,9230,9320,9100,9160,5342,-2.0320855614973263
2024-08-05,9160,9160,8760,8980,14097,-1.9650655021834063
2024-08-06,8950,9120,8800,9100,7926,1.3363028953229399
2024-08-07,9070,9100,9000,9100,6321,0.0
2024-08-08,9090,9100,8940,9100,2828,0.0
2024-08-09,9100,9320,9050,9220,9015,1.3186813186813187
2024-08-12,9220,9270,9120,9130,8343,-0.9761388286334056
2024-08-13,9140,9200,9100,9180,2785,0.547645125958379
2024-08-14,9180,9220,9070,9170,5376,-0.10893246187363835
2024-08-16,9180,9200,9030,9050,8621,-1.3086150490730644
2024-08-19,9050,9100,9000,9010,4849,-0.44198895027624313
2024-08-20,9000,9080,9000,9010,4959,0.0
2024-08-21,9050,9080,9040,9060,1975,0.5549389567147613
2024-08-22,9120,9120,9040,9050,917,-0.11037527593818984
2024-08-23,9100,9190,9040,9180,4002,1.4364640883977902
2024-08-26,9180,9240,9180,9220,2862,0.4357298474945534
2024-08-27,9150,9230,9150,9200,3645,-0.21691973969631237
2024-08-28,9200,9240,9140,9150,1976,-0.5434782608695652
2024-08-29,9160,9250,9110,9130,1184,-0.2185792349726776
2024-08-30,9110,9200,9110,9140,958,0.10952902519167579
2024-09-02,9100,9100,9000,9060,4555,-0.87527352297593
2024-09-03,9010,9070,9010,9070,3272,0.11037527593818984
2024-09-04,9000,9020,8950,9000,5910,-0.7717750826901874
2024-09-05,9000,9160,8860,8910,3019,-1.0
2024-09-06,8880,8910,8800,8830,7092,-0.8978675645342313
2024-09-09,8830,9000,8730,8790,7479,-0.4530011325028313
2024-09-10,8950,8970,8700,8750,7266,-0.4550625711035267
2024-09-11,8780,8780,8710,8730,2215,-0.2285714285714286
2024-09-12,8730,8800,8700,8740,2733,0.11454753722794961
2024-09-13,8950,8950,8680,8730,7696,-0.11441647597254005
2024-09-19,8800,8800,8700,8710,4474,-0.22909507445589922
2024-09-20,8710,8850,8680,8680,6089,-0.3444316877152698
2024-09-23,8940,8940,8580,8630,7380,-0.5760368663594471
2024-09-24,8630,8640,8450,8550,17762,-0.9269988412514484
2024-09-25,8650,8650,8470,8470,12844,-0.9356725146198831
2024-09-26,8540,8600,8450,8510,7739,0.47225501770956313
2024-09-27,8490,8550,8490,8490,5512,-0.23501762632197415
2024-09-30,8560,8560,8470,8490,5456,0.0
2024-10-02,8500,8530,8460,8530,4196,0.47114252061248524
2024-10-04,8520,8610,8460,8600,8534,0.8206330597889802
2024-10-07,8630,8770,8580,8740,29449,1.627906976744186
2024-10-08,8620,9250,8600,9100,67162,4.118993135011442
2024-10-10,9000,9200,8960,9120,9479,0.21978021978021978
2024-10-11,9120,9190,9020,9100,5035,-0.21929824561403508
2024-10-14,9100,9170,8880,8930,10483,-1.8681318681318682
2024-10-15,8860,9070,8860,9070,8988,1.5677491601343785
2024-10-16,8980,9130,8910,8990,6276,-0.8820286659316428
2024-10-17,8990,9190,8970,9130,2026,1.557285873192436
2024-10-18,9120,9180,9010,9010,1625,-1.3143483023001095
2024-10-21,9010,9010,8880,8910,6074,-1.1098779134295227
2024-10-22,8890,9000,8880,8930,2112,0.22446689113355783
2024-10-23,8930,8990,8870,8990,2105,0.6718924972004479
2024-10-24,9000,9000,8830,8950,2776,-0.44493882091212456
2024-10-25,8880,9000,8880,8940,4280,-0.11173184357541899
2024-10-28,8860,9010,8800,8910,3395,-0.33557046979865773
2024-10-29,8850,8950,8850,8930,744,0.22446689113355783
2024-10-30,8860,8950,8850,8870,2854,-0.6718924972004479
2024-10-31,8870,8900,8820,8900,1303,0.3382187147688839
2024-11-01,8900,8900,8820,8840,2003,-0.6741573033707865
2024-11-04,8850,9520,8800,9520,37429,7.6923076923076925
2024-11-05,9500,9500,9260,9330,7878,-1.9957983193277309
2024-11-06,9330,9620,9250,9620,45582,3.1082529474812435
2024-11-07,9540,9660,9420,9520,14437,-1.0395010395010396
2024-11-08,9520,9700,9500,9530,19816,0.10504201680672269
2024-11-11,9650,9700,9410,9470,13668,-0.6295907660020986
2024-11-12,9470,9630,9220,9280,36302,-2.0063357972544877
2024-11-13,9190,9340,9000,9000,3322,-3.0172413793103448
2024-11-14,9000,9290,8990,8990,5015,-0.1111111111111111
2024-11-15,8980,9290,8900,9140,1711,1.668520578420467
2024-11-18,9140,9480,8980,9300,5702,1.75054704595186
2024-11-19,9300,9460,9270,9300,2618,0.0
2024-11-20,9250,9430,9130,9430,1074,1.3978494623655915
2024-11-21,9340,9440,9250,9270,5148,-1.6967126193001063
2024-11-22,9350,9540,9280,9500,8522,2.481121898597627
2024-11-25,9560,9560,9430,9510,2556,0.10526315789473684
2024-11-26,9510,9550,9440,9530,2824,0.2103049421661409
2024-11-27,9510,9570,9270,9400,4954,-1.3641133263378804
2024-11-28,9400,9410,9250,9310,4390,-0.9574468085106382
2024-11-29,9310,9330,9150,9160,8460,-1.611170784103115
2024-12-02,9220,9230,9080,9090,3493,-0.7641921397379913
2024-12-03,9090,9180,9050,9070,5512,-0.22002200220022
2024-12-04,9040,9140,8870,9020,8820,-0.5512679162072767
2024-12-05,9100,9110,8880,9100,9656,0.8869179600886918
2024-12-06,9080,9080,8820,8840,9880,-2.857142857142857
2024-12-09,8840,8900,8320,8510,15414,-3.733031674208145
2024-12-10,8510,8770,8510,8770,3423,3.055229142185664
2024-12-11,8790,8900,8610,8880,1960,1.2542759407069555
2024-12-12,8880,9550,8880,9500,19857,6.981981981981981
2024-12-13,9480,9640,9420,9640,14771,1.4736842105263157
2024-12-16,9640,9750,9610,9670,6717,0.3112033195020747
2024-12-17,9640,9750,9310,9750,25394,0.8273009307135472
2024-12-18,9650,9750,9500,9550,5328,-2.051282051282051
2024-12-19,9210,9980,9210,9860,55723,3.2460732984293195
2024-12-20,9980,10060,9680,10050,17119,1.9269776876267748
2024-12-23,9950,10090,9930,9980,9835,-0.6965174129353234
2024-12-24,9980,10060,9910,9940,15664,-0.4008016032064128
2024-12-26,9970,10020,9780,10010,5924,0.7042253521126761
2024-12-27,9970,10000,9710,9710,12036,-2.997002997002997
2024-12-30,9710,9730,9500,9690,4649,-0.20597322348094746
2025-01-02,9690,9900,9670,9740,5010,0.5159958720330238
2025-01-03,9830,10000,9780,9810,7302,0.7186858316221766
2025-01-06,9810,9990,9800,9850,3810,0.40774719673802245
2025-01-07,9850,9990,9730,9950,7574,1.015228426395939
2025-01-08,9990,9990,9850,9900,4572,-0.5025125628140703
2025-01-09,9800,9830,9540,9550,12464,-3.535353535353535
2025-01-10,9640,9640,9500,9520,2846,-0.31413612565445026
2025-01-13,9800,9800,9470,9570,1442,0.5252100840336135
2025-01-14,9600,9760,9590,9640,1193,0.7314524555903866
2025-01-15,9800,9800,9530,9660,418,0.2074688796680498
2025-01-16,9800,9800,9600,9710,1267,0.5175983436853002
2025-01-17,9700,9780,9690,9780,1835,0.7209062821833162
2025-01-20,9670,10230,9670,9990,26341,2.147239263803681
2025-01-21,9960,10200,9910,9970,14787,-0.20020020020020018
2025-01-22,9970,9970,9850,9870,5111,-1.0030090270812437
2025-01-23,9950,9950,9740,9750,5175,-1.21580547112462
2025-01-24,9800,9840,9600,9610,10577,-1.435897435897436
2025-01-31,9500,10250,9500,9690,5426,0.8324661810613945
2025-02-03,9690,9700,9430,9430,10605,-2.683178534571723
2025-02-04,9430,9650,9250,9450,2300,0.2120890774125133
2025-02-05,9540,9630,9450,9490,6647,0.4232804232804233
2025-02-06,9510,9790,9510,9510,5590,0.21074815595363539
2025-02-07,9580,9660,9440,9440,6427,-0.7360672975814931
2025-02-10,9440,9450,9330,9450,5273,0.1059322033898305
2025-02-11,9480,9500,9400,9490,1925,0.4232804232804233
2025-02-12,9480,9640,9470,9470,5777,-0.21074815595363539
2025-02-13,9400,9510,9380,9440,2255,-0.31678986272439286
2025-02-14,9550,9600,9410,9470,10259,0.31779661016949157
2025-02-17,9400,9560,9400,9490,2969,0.21119324181626187
2025-02-18,9360,9660,9360,9460,26797,-0.31612223393045313
2025-02-19,9460,9640,9390,9400,30676,-0.6342494714587738
2025-02-20,9500,9500,9390,9390,1530,-0.10638297872340426
2025-02-21,9390,9570,9330,9380,27389,-0.10649627263045794
2025-02-24,9360,9470,9360,9370,3023,-0.10660980810234541
2025-02-25,9370,9410,9360,9360,4337,-0.10672358591248667
2025-02-26,9370,9500,9180,9350,11354,-0.10683760683760685
2025-02-27,9350,9490,9250,9330,12861,-0.21390374331550802
2025-02-28,9330,9330,9240,9330,1727,0.0
2025-03-04,9440,9450,8960,9200,4969,-1.3933547695605575
2025-03-05,9180,9310,9030,9300,9036,1.0869565217391304
2025-03-06,9320,9440,9200,9390,8764,0.967741935483871
2025-03-07,9390,9470,9240,9350,6829,-0.42598509052183176
2025-03-10,9350,9450,9340,9390,1773,0.42780748663101603
2025-03-11,9400,9570,9330,9400,9504,0.10649627263045794
2025-03-12,9390,9550,9300,9540,21863,1.4893617021276597
2025-03-13,9520,9810,9460,9590,41606,0.5241090146750524
2025-03-14,9570,9780,9500,9700,21030,1.1470281543274243
2025-03-17,9680,9890,9580,9700,17673,0.0
2025-03-18,9630,9850,9630,9750,12537,0.5154639175257731
2025-03-19,9850,9880,9650,9740,11896,-0.10256410256410256
2025-03-20,9820,9830,9650,9660,19303,-0.8213552361396305
2025-03-21,9690,9800,9340,9540,18854,-1.2422360248447204
2025-03-24,9500,9840,9460,9560,16507,0.20964360587002098
2025-03-25,9560,9770,9520,9600,25058,0.41841004184100417
2025-03-26,9770,9770,9550,9630,19673,0.3125
2025-03-27,9550,9770,9550,9620,18640,-0.10384215991692627
2025-03-28,9660,9700,9510,9540,7479,-0.8316008316008316
2025-03-31,9540,9670,9350,9450,5440,-0.9433962264150944
2025-04-01,9490,9730,9340,9490,23910,0.4232804232804233
2025-04-02,9470,9740,9340,9350,44464,-1.4752370916754478
2025-04-03,9400,9620,9320,9390,10492,0.42780748663101603
2025-04-04,9390,9630,9300,9460,24960,0.7454739084132056
2025-04-07,9140,9550,9140,9360,27453,-1.0570824524312896
2025-04-08,9360,9530,9140,9460,40154,1.0683760683760684
2025-04-09,9460,9500,9210,9280,37976,-1.9027484143763214
2025-04-10,9470,9620,9310,9460,20058,1.9396551724137931
2025-04-11,9460,9590,9330,9450,21790,-0.10570824524312897
2025-04-14,9440,9570,9310,9450,17553,0.0
2025-04-15,9450,9620,9360,9480,33785,0.31746031746031744
2025-04-16,9480,9580,9360,9480,42074,0.0
2025-04-17,9480,9540,9360,9500,15564,0.21097046413502107
2025-04-18,9500,9680,9420,9680,15465,1.8947368421052633
2025-04-21,9680,9890,9580,9810,28640,1.3429752066115703
2025-04-22,9810,9960,9700,9930,50566,1.2232415902140672
2025-04-23,9970,10160,9780,10020,25254,0.906344410876133
2025-04-24,10020,10110,9900,9900,17843,-1.1976047904191618
2025-04-25,9900,10050,9900,10040,9954,1.4141414141414141
2025-04-28,10160,10160,9960,10080,15556,0.398406374501992
2025-04-29,10040,10050,9940,10000,11455,-0.7936507936507936
2025-04-30,10050,10080,9940,9950,13604,-0.5
2025-05-02,10140,10140,9940,9960,5353,0.10050251256281408
2025-05-07,9850,10150,9850,10030,2343,0.7028112449799196
2025-05-08,9920,10150,9920,10030,7320,0.0
2025-05-09,10150,10150,9950,10080,11937,0.4985044865403789
2025-05-12,10080,10090,9960,10000,8865,-0.7936507936507936
2025-05-13,10050,10050,9930,10020,5989,0.2
2025-05-14,10120,10120,9950,10020,10671,0.0
2025-05-15,10030,10170,9990,10120,10208,0.998003992015968
2025-05-16,10120,10150,9980,9980,1507,-1.383399209486166
2025-05-19,9990,10040,9700,9750,20520,-2.3046092184368736
2025-05-20,9930,10040,9640,10040,18428,2.9743589743589745
2025-05-21,10020,10020,9950,10000,2118,-0.398406374501992
2025-05-22,10000,10040,9890,10040,1903,0.4
2025-05-23,9960,10030,9920,9940,4834,-0.9960159362549801
2025-05-26,9940,10180,9910,10170,38824,2.3138832997987926
2025-05-27,10190,10200,10100,10190,9213,0.19665683382497542
2025-05-28,10190,10200,10120,10160,5526,-0.2944062806673209
2025-05-29,10240,10250,10110,10230,6323,0.6889763779527559
2025-05-30,10240,10380,10190,10340,8574,1.0752688172043012
2025-06-02,10260,10540,10240,10530,11206,1.83752417794971
2025-06-04,10530,10650,10410,10640,11694,1.0446343779677114
2025-06-05,10640,10640,10550,10620,3675,-0.18796992481203006
2025-06-09,10620,10930,10580,10910,23453,2.7306967984934087
2025-06-10,10910,10910,10600,10900,20756,-0.09165902841429881
2025-06-11,10900,10910,10750,10890,8094,-0.09174311926605505
2025-06-12,10900,10920,10800,10920,9338,0.27548209366391185
2025-06-13,10930,10950,10540,10810,8690,-1.0073260073260073
2025-06-16,10810,10900,10650,10900,6987,0.8325624421831638
2025-06-17,10980,10980,10700,10830,10290,-0.6422018348623854
2025-06-18,10700,10900,10700,10900,5805,0.6463527239150507
2025-06-19,10900,10900,10800,10860,3889,-0.3669724770642202
2025-06-20,10860,10960,10780,10960,12630,0.9208103130755065
2025-06-23,10950,10950,10690,10860,24428,-0.9124087591240875
2025-06-24,10840,11080,10800,11000,22342,1.289134438305709
