날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,375000,375000,362000,364000,14198,-2.1505376344086025
2024-06-04,361500,362000,350000,354000,25469,-2.7472527472527473
2024-06-05,353500,356500,350000,350000,16727,-1.1299435028248588
2024-06-07,350500,352500,345500,347000,11390,-0.8571428571428572
2024-06-10,344000,350000,341000,345500,11274,-0.43227665706051877
2024-06-11,345500,359000,345000,352500,22105,2.0260492040520983
2024-06-12,358000,358000,348500,351500,10668,-0.28368794326241137
2024-06-13,352000,355000,342000,343500,29308,-2.275960170697013
2024-06-14,342000,343500,333500,333500,34738,-2.911208151382824
2024-06-17,336000,344000,335500,338000,17356,1.3493253373313343
2024-06-18,345000,345500,338500,342000,19563,1.183431952662722
2024-06-19,340000,350000,340000,349500,18292,2.1929824561403506
2024-06-20,349500,358500,345000,354000,25060,1.2875536480686696
2024-06-21,357000,364500,353000,362500,35141,2.401129943502825
2024-06-24,364500,365500,356000,361500,17174,-0.27586206896551724
2024-06-25,364000,370000,361000,367500,20832,1.6597510373443984
2024-06-26,367500,372000,363000,367000,19648,-0.13605442176870747
2024-06-27,363500,373000,361500,361500,17120,-1.4986376021798364
2024-06-28,370000,379000,365000,378000,30188,4.564315352697095
2024-07-01,378000,378000,365000,368000,15243,-2.6455026455026456
2024-07-02,364000,365500,359500,360000,9542,-2.1739130434782608
2024-07-03,363500,363500,349500,350500,15891,-2.638888888888889
2024-07-04,353000,354500,347500,354500,14470,1.1412268188302426
2024-07-05,357000,357000,346500,347500,16304,-1.9746121297602257
2024-07-08,344500,347000,342000,344000,7717,-1.0071942446043165
2024-07-09,346500,348500,344000,346500,11233,0.7267441860465116
2024-07-10,344500,346500,338500,343000,12326,-1.0101010101010102
2024-07-11,345500,359500,343500,357000,24142,4.081632653061225
2024-07-12,356000,362500,352000,361000,10686,1.1204481792717087
2024-07-15,361000,365000,358000,358500,8437,-0.6925207756232686
2024-07-16,356500,357500,345500,346000,13627,-3.486750348675035
2024-07-17,348000,349500,341000,341500,10185,-1.300578034682081
2024-07-18,340000,345000,338000,345000,9106,1.0248901903367496
2024-07-19,340500,343000,334000,343000,14628,-0.5797101449275363
2024-07-22,343500,343500,331500,333000,15220,-2.9154518950437316
2024-07-23,333500,336500,328000,332000,11886,-0.3003003003003003
2024-07-24,328000,335000,328000,328500,8853,-1.0542168674698795
2024-07-25,324500,336000,321500,328500,13627,0.0
2024-07-26,329000,331500,328000,330000,5781,0.45662100456621
2024-07-29,330500,336000,322000,322500,21604,-2.272727272727273
2024-07-30,322000,322500,308500,311500,36854,-3.4108527131782944
2024-07-31,311500,313500,307000,312000,10471,0.16051364365971107
2024-08-01,312000,320000,310500,315000,25110,0.9615384615384616
2024-08-02,309500,311000,301500,306000,21932,-2.857142857142857
2024-08-05,305000,305000,264000,269500,40312,-11.928104575163399
2024-08-06,271000,291000,271000,286000,25666,6.122448979591836
2024-08-07,280500,290000,280500,289000,16718,1.048951048951049
2024-08-08,286500,288000,278500,284000,12395,-1.7301038062283738
2024-08-09,288000,292500,284000,287000,12867,1.056338028169014
2024-08-12,290000,295000,285000,288000,12048,0.34843205574912894
2024-08-13,288500,290000,285500,287500,7156,-0.1736111111111111
2024-08-14,291500,292500,288000,290500,5041,1.0434782608695654
2024-08-16,295000,299000,291000,291000,11264,0.17211703958691912
2024-08-19,291000,294500,286000,286500,10122,-1.5463917525773196
2024-08-20,288000,289000,281000,284000,15439,-0.8726003490401396
2024-08-21,281000,288500,281000,287500,8955,1.232394366197183
2024-08-22,289000,289500,286000,288500,6267,0.34782608695652173
2024-08-23,288500,291000,285500,289000,6706,0.17331022530329288
2024-08-26,289000,290500,284000,284000,9195,-1.7301038062283738
2024-08-27,284000,284000,274000,282500,11840,-0.528169014084507
2024-08-28,280500,283000,274500,275500,14546,-2.47787610619469
2024-08-29,277000,285500,274500,283500,11629,2.9038112522686026
2024-08-30,285500,285500,277500,283000,18626,-0.1763668430335097
2024-09-02,283000,283000,278500,279500,9643,-1.2367491166077738
2024-09-03,279500,285500,279500,281500,7714,0.7155635062611807
2024-09-04,276000,276000,267000,270000,21516,-4.085257548845471
2024-09-05,271000,273000,266000,268000,16133,-0.7407407407407408
2024-09-06,266500,267000,260000,265500,14297,-0.9328358208955223
2024-09-09,256500,260000,252500,257500,20633,-3.0131826741996233
2024-09-10,257500,264000,256000,261500,10452,1.5533980582524272
2024-09-11,263000,266000,258000,265500,12102,1.5296367112810707
2024-09-12,266000,274000,263500,274000,17846,3.2015065913371
2024-09-13,273500,273500,268000,270000,5605,-1.4598540145985401
2024-09-19,279500,279500,265500,274000,10102,1.4814814814814816
2024-09-20,276000,276500,269500,272000,17087,-0.7299270072992701
2024-09-23,271500,271500,259500,264000,22364,-2.941176470588235
2024-09-24,268000,273000,262000,273000,15885,3.4090909090909087
