날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,44500,48000,44200,46450,26795,4.382022471910112
2024-06-04,46450,47500,45500,46300,22218,-0.32292787944025836
2024-06-05,46300,46500,44900,46500,11438,0.4319654427645789
2024-06-07,46050,47300,45650,45850,6896,-1.3978494623655915
2024-06-10,45850,45850,44850,45550,9831,-0.6543075245365322
2024-06-11,45550,45750,44700,44850,7705,-1.5367727771679474
2024-06-12,44500,45000,44500,44700,4708,-0.33444816053511706
2024-06-13,44700,45350,44500,45200,5820,1.1185682326621924
2024-06-14,45200,45450,44850,44950,4465,-0.5530973451327433
2024-06-17,44950,45400,44900,45100,3961,0.33370411568409347
2024-06-18,45100,46400,44900,46300,6127,2.6607538802660753
2024-06-19,46300,46350,45650,45650,5302,-1.4038876889848813
2024-06-20,45650,47400,45600,47000,13076,2.9572836801752467
2024-06-21,46900,46950,46050,46950,6198,-0.10638297872340426
2024-06-24,47000,47300,46150,46450,3889,-1.0649627263045793
2024-06-25,47700,47900,44850,45500,13470,-2.045209903121636
2024-06-26,45900,45950,45100,45500,5186,0.0
2024-06-27,45200,45200,43050,43950,20618,-3.4065934065934065
2024-06-28,43950,44100,43550,44000,57004,0.11376564277588168
2024-07-01,44000,44050,43450,43450,6244,-1.25
2024-07-02,43450,43850,43200,43550,4000,0.23014959723820483
2024-07-03,43550,43550,43000,43000,4379,-1.2629161882893225
2024-07-04,43000,43300,42800,42850,2360,-0.3488372093023256
2024-07-05,42850,43700,42800,43300,3067,1.0501750291715286
2024-07-08,43300,44000,43250,43850,3002,1.2702078521939952
2024-07-09,43950,44000,43550,43550,2852,-0.6841505131128849
2024-07-10,43600,43900,42850,43300,4889,-0.5740528128587831
2024-07-11,43650,43950,43300,43700,2553,0.9237875288683602
2024-07-12,43750,44500,43550,44250,5428,1.2585812356979404
2024-07-15,44550,44550,43700,43850,2572,-0.903954802259887
2024-07-16,44450,44450,43600,43850,2464,0.0
2024-07-17,44100,44100,43700,43850,2829,0.0
2024-07-18,43500,44000,43500,44000,2641,0.34207525655644244
2024-07-19,44000,44000,43700,43900,3116,-0.22727272727272727
2024-07-22,43900,44550,43650,43750,8243,-0.3416856492027335
2024-07-23,43750,44050,43150,43500,4760,-0.5714285714285714
2024-07-24,43700,44050,43400,43850,2974,0.8045977011494253
2024-07-25,44000,44000,43000,43100,6639,-1.7103762827822122
2024-07-26,43150,43600,42750,42950,4342,-0.34802784222737815
2024-07-29,42950,43250,42600,42900,7454,-0.11641443538998836
2024-07-30,43300,43300,42550,42600,5475,-0.6993006993006993
2024-07-31,42650,43050,42650,42950,2692,0.8215962441314555
2024-08-01,43350,43350,42700,43100,3210,0.3492433061699651
2024-08-02,43200,43200,42000,42300,9082,-1.8561484918793503
2024-08-05,42300,42300,40450,40800,14669,-3.546099290780142
2024-08-06,41150,42800,41150,42450,8073,4.044117647058823
2024-08-07,42800,43800,42250,43700,7363,2.944640753828033
2024-08-08,43650,43700,43250,43500,2390,-0.4576659038901602
2024-08-09,43100,44000,43100,43700,5121,0.45977011494252873
2024-08-12,43300,44250,43300,44250,6047,1.2585812356979404
2024-08-13,44250,44800,44200,44600,6945,0.7909604519774011
2024-08-14,44600,44600,44250,44600,2974,0.0
2024-08-16,44650,44650,43600,43750,8668,-1.905829596412556
2024-08-19,44400,44450,43750,44150,3288,0.9142857142857144
2024-08-20,44650,44650,44200,44600,3369,1.0192525481313703
2024-08-21,44600,44700,44300,44450,2515,-0.336322869955157
2024-08-22,44450,44700,44050,44100,2105,-0.7874015748031495
2024-08-23,44050,44400,44000,44350,2094,0.5668934240362812
2024-08-26,44350,45200,43850,45200,4575,1.9165727170236753
2024-08-27,45000,45350,44400,45350,3216,0.33185840707964603
2024-08-28,45350,45350,44650,44800,3526,-1.2127894156560088
2024-08-29,44800,45200,44350,44500,3492,-0.6696428571428571
2024-08-30,44550,44900,44050,44900,2180,0.8988764044943821
2024-09-02,44900,45300,44100,44750,4181,-0.33407572383073497
2024-09-03,45200,45850,44350,45450,7722,1.564245810055866
2024-09-04,45350,45650,44550,45100,6878,-0.77007700770077
2024-09-05,45200,46800,45200,45700,12505,1.3303769401330376
2024-09-06,45250,46100,44500,45550,8862,-0.3282275711159737
2024-09-09,45100,45800,44950,45550,6069,0.0
2024-09-10,45750,48950,45450,46800,13277,2.7442371020856204
2024-09-11,46800,47000,45350,46800,11408,0.0
2024-09-12,47000,47000,46150,46300,4984,-1.0683760683760684
2024-09-13,46300,46750,45350,45800,5752,-1.079913606911447
2024-09-19,45800,45800,45250,45750,5575,-0.10917030567685589
2024-09-20,46050,46200,45500,46200,4514,0.9836065573770493
2024-09-23,46200,46400,45600,45700,6363,-1.0822510822510822
2024-09-24,45700,46250,44550,45400,6191,-0.6564551422319475
2024-09-25,45400,45900,44450,44450,7062,-2.092511013215859
2024-09-26,44500,45200,44500,44950,3093,1.124859392575928
2024-09-27,44950,45200,44550,45050,2702,0.22246941045606228
2024-09-30,45050,46700,44800,45750,11275,1.553829078801332
2024-10-02,45650,45700,45100,45200,2524,-1.2021857923497268
2024-10-04,45250,45950,45200,45400,3030,0.4424778761061947
2024-10-07,45250,45650,45000,45600,3222,0.4405286343612335
2024-10-08,45750,45950,45300,45850,2836,0.5482456140350876
2024-10-10,45900,46550,45800,46400,6449,1.1995637949836424
2024-10-11,46750,46750,45950,45950,4273,-0.9698275862068966
2024-10-14,46400,46650,45850,46550,6492,1.3057671381936888
2024-10-15,46450,47500,46450,47050,8808,1.0741138560687433
2024-10-16,47000,47350,46600,47200,5114,0.3188097768331562
2024-10-17,46700,47500,46700,47300,3459,0.211864406779661
2024-10-18,47300,48250,47300,47950,9494,1.3742071881606766
2024-10-21,47950,48500,47800,48450,5748,1.0427528675703857
2024-10-22,48450,50300,48450,49950,15860,3.0959752321981426
2024-10-23,50200,52000,49750,51400,21501,2.902902902902903
2024-10-24,51400,52000,50000,51000,11840,-0.7782101167315175
2024-10-25,51000,51700,50400,51000,7674,0.0
2024-10-28,51000,52400,51000,52300,8807,2.549019607843137
2024-10-29,52300,53500,51500,52500,11332,0.3824091778202677
2024-10-30,52500,53200,50500,50500,16674,-3.8095238095238098
2024-10-31,50600,51100,48500,51000,13075,0.9900990099009901
2024-11-01,51000,51000,50000,50500,3356,-0.9803921568627451
2024-11-04,50500,50700,49650,49850,5497,-1.2871287128712872
2024-11-05,49850,50700,49600,50500,6808,1.3039117352056169
2024-11-06,50500,51600,50000,51000,4869,0.9900990099009901
2024-11-07,51800,51800,50400,50700,2936,-0.5882352941176471
2024-11-08,50700,51600,50500,51000,5241,0.591715976331361
2024-11-11,50900,51300,50500,51100,5582,0.19607843137254902
2024-11-12,52200,52200,49800,49900,11181,-2.3483365949119372
2024-11-13,49950,50400,49250,49700,8518,-0.4008016032064128
2024-11-14,49650,49900,49050,49300,9605,-0.8048289738430584
2024-11-15,49300,49300,46400,48200,10964,-2.231237322515213
2024-11-18,48200,52000,48000,49900,9641,3.5269709543568464
2024-11-19,50600,50600,49750,50100,7274,0.4008016032064128
2024-11-20,50200,50300,49700,50100,6186,0.0
2024-11-21,50500,50600,49800,50000,5692,-0.19960079840319359
2024-11-22,50200,50300,49350,49550,11091,-0.8999999999999999
2024-11-25,49600,50200,49600,50000,9902,0.9081735620585267
2024-11-26,50200,50300,49600,50200,3018,0.4
2024-11-27,50500,51800,50200,51600,12192,2.788844621513944
2024-11-28,51800,51800,50300,50700,11784,-1.744186046511628
2024-11-29,50700,51300,50000,50600,16326,-0.19723865877712032
2024-12-02,50900,50900,49850,50200,6678,-0.7905138339920948
2024-12-03,50300,50800,50100,50500,6621,0.5976095617529881
2024-12-04,49600,50700,49600,49900,15062,-1.188118811881188
2024-12-05,50500,50500,49700,49850,11965,-0.1002004008016032
2024-12-06,49800,49800,47000,49000,19387,-1.7051153460381143
2024-12-09,48950,48950,47200,47800,14698,-2.4489795918367347
2024-12-10,47950,49200,47500,48900,10220,2.301255230125523
2024-12-11,48850,49300,48750,48750,5726,-0.3067484662576687
2024-12-12,48900,50500,48900,50400,11285,3.3846153846153846
2024-12-13,50300,51500,49400,51000,7844,1.1904761904761905
2024-12-16,51000,51800,51000,51700,9865,1.3725490196078431
2024-12-17,52000,54300,51700,53200,25616,2.9013539651837523
2024-12-18,53200,56100,53200,56100,28316,5.451127819548872
2024-12-19,55300,56000,54500,55000,17192,-1.9607843137254901
2024-12-20,55000,55800,54300,55200,15638,0.36363636363636365
2024-12-23,55000,56400,54400,55500,55713,0.5434782608695652
2024-12-24,55500,55500,53800,54800,23540,-1.2612612612612613
2024-12-26,54800,57800,54000,57200,61859,4.37956204379562
2024-12-27,53800,54000,48000,50500,75715,-11.713286713286713
2024-12-30,51300,52300,50000,50400,37415,-0.19801980198019803
2025-01-02,50400,51000,49250,49400,15709,-1.984126984126984
2025-01-03,48750,50800,48750,49500,14829,0.20242914979757085
