날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,14620,14890,14270,14330,379919,-1.9835841313269493
2024-06-04,14190,14470,14040,14190,433086,-0.9769713886950453
2024-06-05,14200,14240,13850,13980,273237,-1.4799154334038054
2024-06-07,13930,14370,13930,14110,179177,0.9298998569384835
2024-06-10,13830,13970,13610,13720,197498,-2.7639971651311126
2024-06-11,13720,13810,13410,13430,207361,-2.1137026239067054
2024-06-12,13310,13670,13310,13660,141848,1.7125837676842888
2024-06-13,13530,13880,13350,13350,484886,-2.2693997071742316
2024-06-14,13350,13780,13220,13600,465200,1.8726591760299627
2024-06-17,13470,13940,13460,13640,293302,0.29411764705882354
2024-06-18,13930,14000,13480,13540,613089,-0.7331378299120235
2024-06-19,13680,14320,13600,13950,343447,3.0280649926144756
2024-06-20,13950,14300,13920,14230,288533,2.007168458781362
2024-06-21,14220,14370,14130,14370,968161,0.9838369641602248
2024-06-24,14470,14470,14050,14320,267009,-0.3479471120389701
2024-06-25,14490,14860,14290,14550,407009,1.606145251396648
2024-06-26,14400,14410,13850,14290,368390,-1.7869415807560136
2024-06-27,14000,14310,13900,14300,244323,0.06997900629811056
2024-06-28,14430,14700,14310,14640,255782,2.3776223776223775
2024-07-01,14570,14580,14240,14430,267107,-1.4344262295081966
2024-07-02,14220,14570,14170,14540,306119,0.7623007623007623
2024-07-03,14700,15200,14550,14790,516507,1.71939477303989
2024-07-04,14850,15250,14760,15190,604266,2.704530087897228
2024-07-05,15290,16150,15250,15860,777132,4.410796576695194
2024-07-08,15710,15820,15070,15260,630541,-3.783102143757881
2024-07-09,15200,15340,14570,14640,689256,-4.062909567496723
2024-07-10,14540,14700,14500,14500,545215,-0.9562841530054645
2024-07-11,14640,14650,14350,14510,406798,0.06896551724137931
2024-07-12,14600,14750,14410,14470,339072,-0.2756719503790489
2024-07-15,14600,14600,14270,14290,315181,-1.243953006219765
2024-07-16,14290,14690,14200,14470,226306,1.2596221133659902
2024-07-17,14650,14650,14340,14460,210526,-0.0691085003455425
2024-07-18,14600,14820,14260,14810,1140449,2.4204702627939145
2024-07-19,14550,14750,14420,14680,214515,-0.8777852802160702
2024-07-22,14800,15000,14560,14960,356594,1.9073569482288828
2024-07-23,14890,15150,14800,14930,381273,-0.2005347593582888
2024-07-24,14790,15150,14780,14920,182963,-0.06697923643670461
2024-07-25,15060,15080,14140,14320,580033,-4.021447721179625
2024-07-26,14350,14690,13950,14300,697832,-0.13966480446927373
2024-07-29,14300,14760,14210,14410,367357,0.7692307692307693
2024-07-30,14240,14400,13950,14250,314858,-1.1103400416377516
2024-07-31,14380,14520,14210,14440,186564,1.3333333333333335
2024-08-01,14420,14560,14370,14480,242749,0.2770083102493075
2024-08-02,14430,14470,14050,14150,289030,-2.2790055248618786
2024-08-05,14000,14000,12980,13480,706047,-4.734982332155477
2024-08-06,14340,14350,13160,13430,518897,-0.370919881305638
2024-08-07,13160,13900,13100,13680,402812,1.8615040953090096
2024-08-08,13680,14150,13600,14060,342494,2.7777777777777777
2024-08-09,13930,14230,13910,14070,245170,0.07112375533428165
2024-08-12,14220,14250,13960,14090,179930,0.14214641080312723
2024-08-13,13960,14390,13960,14220,280346,0.9226401703335699
2024-08-14,14180,14310,14140,14280,230747,0.42194092827004215
2024-08-16,14500,14600,14280,14370,231694,0.6302521008403361
2024-08-19,14370,14760,14330,14750,314662,2.6443980514961725
2024-08-20,14830,15170,14740,15160,468388,2.7796610169491522
2024-08-21,15200,15500,14700,15400,556613,1.58311345646438
2024-08-22,15400,15600,15280,15500,430712,0.6493506493506493
2024-08-23,15410,15530,15200,15350,318298,-0.967741935483871
2024-08-26,15340,15550,15270,15550,309226,1.3029315960912053
2024-08-27,15550,15550,14910,15100,335633,-2.8938906752411575
2024-08-28,14990,15050,14380,14570,567119,-3.5099337748344372
2024-08-29,14710,14710,14400,14510,220307,-0.41180507892930684
2024-08-30,14660,14660,14150,14160,535584,-2.412129565816678
2024-09-02,14210,14440,14100,14340,235370,1.2711864406779663
2024-09-03,14440,14520,14230,14280,218516,-0.41841004184100417
2024-09-04,14420,14600,14130,14360,439587,0.5602240896358543
2024-09-05,14320,14540,14310,14490,192387,0.9052924791086351
2024-09-06,14610,14610,14130,14410,208769,-0.5521048999309869
2024-09-09,14130,14400,14050,14360,185030,-0.3469812630117973
