날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,12110,12240,12010,12150,18770,0.6628003314001657
2024-06-04,12300,12300,12080,12120,6737,-0.24691358024691357
2024-06-05,12140,12230,12060,12100,10665,-0.16501650165016502
2024-06-07,12060,12200,12050,12090,4719,-0.08264462809917356
2024-06-10,12090,12090,11990,12070,16423,-0.1654259718775848
2024-06-11,12080,12250,12000,12020,17692,-0.4142502071251036
2024-06-12,12190,12190,11980,12060,10464,0.33277870216306155
2024-06-13,12170,12170,12020,12050,12213,-0.08291873963515754
2024-06-14,12050,12230,12010,12050,19537,0.0
2024-06-17,12070,12070,11960,12000,17030,-0.4149377593360996
2024-06-18,11960,12090,11890,11920,27071,-0.6666666666666667
2024-06-19,11920,11920,11830,11900,16971,-0.16778523489932887
2024-06-20,11900,11970,11810,11940,16000,0.33613445378151263
2024-06-21,11980,11980,11800,11930,12639,-0.08375209380234507
2024-06-24,11990,12020,11880,11930,20728,0.0
2024-06-25,11960,11970,11850,11870,15181,-0.5029337803855826
2024-06-26,11900,11950,11840,11880,4933,0.08424599831508003
2024-06-27,11890,11910,11790,11880,25041,0.0
2024-06-28,11880,11940,11790,11930,16068,0.42087542087542085
2024-07-01,11980,11990,11800,11880,25809,-0.4191114836546521
2024-07-02,11850,11880,11800,11850,14788,-0.25252525252525254
2024-07-03,11810,11890,11700,11790,28125,-0.5063291139240507
2024-07-04,11770,11850,11670,11770,11516,-0.16963528413910092
2024-07-05,11780,11860,11710,11810,14833,0.33984706881903143
2024-07-08,11810,11910,11710,11840,12955,0.2540220152413209
2024-07-09,11840,11910,11820,11860,21626,0.16891891891891891
2024-07-10,11850,11890,11810,11870,18377,0.08431703204047217
2024-07-11,11900,11930,11800,11900,18588,0.2527379949452401
2024-07-12,11950,12040,11850,12000,14558,0.8403361344537815
2024-07-15,12000,12050,11860,11960,13128,-0.33333333333333337
2024-07-16,11900,12020,11900,11990,7589,0.2508361204013378
2024-07-17,12000,12100,11990,12050,28734,0.5004170141784821
2024-07-18,12050,12050,11900,11950,19164,-0.8298755186721992
2024-07-19,12000,12020,11860,11950,16765,0.0
2024-07-22,11950,12000,11830,11840,8796,-0.9205020920502093
2024-07-23,11850,11950,11800,11860,7675,0.16891891891891891
2024-07-24,11770,11970,11770,11910,18697,0.42158516020236086
2024-07-25,11900,11900,11790,11810,22626,-0.8396305625524769
2024-07-26,11910,11940,11800,11900,14900,0.7620660457239627
2024-07-29,11900,12000,11860,11990,10223,0.7563025210084033
2024-07-30,11990,12040,11880,11880,8951,-0.9174311926605505
2024-07-31,11900,11910,11800,11900,20110,0.16835016835016833
2024-08-01,11900,11960,11790,11840,47605,-0.5042016806722689
2024-08-02,11760,11830,11490,11530,67133,-2.6182432432432434
2024-08-05,11460,11580,10750,10980,98073,-4.770164787510842
2024-08-06,10970,11430,10960,11390,36401,3.7340619307832426
2024-08-07,11390,11680,11310,11560,32339,1.4925373134328357
2024-08-08,11560,11750,11450,11650,16197,0.7785467128027681
2024-08-09,11650,11760,11630,11660,15327,0.08583690987124463
2024-08-12,11620,11880,11620,11800,18486,1.2006861063464835
2024-08-13,11800,11800,11620,11650,9449,-1.2711864406779663
2024-08-14,11590,11720,11550,11700,14495,0.4291845493562232
2024-08-16,11770,11790,11650,11750,20225,0.4273504273504274
2024-08-19,11870,11880,11650,11710,15872,-0.3404255319148936
2024-08-20,11710,11820,11690,11740,12397,0.25619128949615716
2024-08-21,11740,11770,11670,11750,8794,0.08517887563884156
2024-08-22,11770,11770,11590,11680,19295,-0.5957446808510638
2024-08-23,11760,11760,11560,11600,14142,-0.684931506849315
2024-08-26,11580,11620,11540,11590,13644,-0.08620689655172414
2024-08-27,11600,11670,11530,11570,6902,-0.1725625539257981
2024-08-28,11590,11650,11530,11570,9981,0.0
2024-08-29,11600,11600,11490,11520,14677,-0.432152117545376
2024-08-30,11530,11600,11510,11600,10125,0.6944444444444444
2024-09-02,11640,11640,11450,11460,18982,-1.206896551724138
2024-09-03,11470,11540,11320,11330,21217,-1.1343804537521813
2024-09-04,11250,11250,10930,11050,43976,-2.471315092674316
2024-09-05,11090,11150,11000,11070,14890,0.18099547511312217
2024-09-06,11150,11150,10920,10980,17384,-0.8130081300813009
2024-09-09,10970,11070,10860,11050,16409,0.6375227686703097
2024-09-10,11000,11080,10920,10950,10621,-0.904977375565611
2024-09-11,11000,11080,10860,10910,14676,-0.365296803652968
2024-09-12,11000,11000,10920,10980,10603,0.6416131989000917
2024-09-13,11010,11010,10830,10990,22117,0.09107468123861566
2024-09-19,11000,11020,10940,10960,21414,-0.27297543221110104
2024-09-20,10980,12680,10900,11170,909605,1.916058394160584
2024-09-23,11180,11220,10950,11050,79388,-1.0743061772605194
2024-09-24,11150,11160,10970,11020,33085,-0.27149321266968324
2024-09-25,11020,11120,11010,11050,20568,0.27223230490018147
2024-09-26,11140,11140,10970,11070,26072,0.18099547511312217
2024-09-27,11060,11100,11010,11020,27729,-0.45167118337850043
2024-09-30,11100,11100,10890,10890,41794,-1.17967332123412
2024-10-02,10860,10980,10780,10860,33251,-0.27548209366391185
2024-10-04,10860,10980,10860,10970,11882,1.0128913443830572
2024-10-07,10970,11000,10890,10960,12851,-0.09115770282588878
