날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,29100,30550,28900,29650,183694,3.3101045296167246
2024-06-04,29600,29900,29350,29600,57910,-0.16863406408094433
2024-06-05,29650,29700,29150,29600,76504,0.0
2024-06-07,29600,30250,29500,29650,73020,0.16891891891891891
2024-06-10,29650,29650,29200,29450,74571,-0.6745362563237773
2024-06-11,30450,30500,29100,29300,136128,-0.5093378607809848
2024-06-12,29400,30000,29200,29450,83627,0.5119453924914675
2024-06-13,29450,29700,29200,29350,60714,-0.3395585738539898
2024-06-14,29350,29400,28400,28500,160529,-2.8960817717206133
2024-06-17,28350,28450,27200,27400,211870,-3.8596491228070176
2024-06-18,27400,27900,27050,27900,91067,1.824817518248175
2024-06-19,28200,28600,27900,28450,113074,1.971326164874552
2024-06-20,28750,28800,28100,28350,54253,-0.35149384885764495
2024-06-21,28300,28600,27900,28600,93461,0.8818342151675485
2024-06-24,28550,28550,27600,27800,88339,-2.797202797202797
2024-06-25,28000,28650,27800,28450,120861,2.338129496402878
2024-06-26,28700,28700,28200,28500,36294,0.17574692442882248
2024-06-27,28450,29400,28300,29050,97704,1.9298245614035088
2024-06-28,29050,30350,28700,30250,219240,4.130808950086059
2024-07-01,29800,30550,29600,30050,156452,-0.6611570247933884
2024-07-02,30300,31300,30100,31000,238491,3.1613976705490847
2024-07-03,31200,31250,30200,30300,113851,-2.258064516129032
2024-07-04,30350,31500,30150,30600,137318,0.9900990099009901
2024-07-05,30600,33400,30300,32650,529037,6.699346405228758
2024-07-08,32950,33300,32200,32750,197739,0.3062787136294028
2024-07-09,32800,34550,32750,33350,287677,1.8320610687022902
2024-07-10,33400,34350,33000,34250,153289,2.6986506746626686
2024-07-11,34500,34500,33350,34000,163309,-0.7299270072992701
2024-07-12,33750,34850,33600,34550,176976,1.6176470588235297
2024-07-15,34900,34900,33600,34100,134646,-1.3024602026049203
2024-07-16,34200,34950,33600,34050,140689,-0.1466275659824047
2024-07-17,34000,34200,33200,33500,119887,-1.6152716593245229
2024-07-18,33100,33600,32700,33350,134571,-0.44776119402985076
2024-07-19,33100,34200,32200,32800,201238,-1.6491754122938531
2024-07-22,32500,33150,31550,31950,99303,-2.591463414634146
2024-07-23,32150,32600,31800,32200,84586,0.7824726134585289
2024-07-24,32200,32500,31450,31900,98506,-0.9316770186335404
2024-07-25,31400,32050,31350,31950,95470,0.1567398119122257
2024-07-26,31750,33050,31750,32100,164573,0.4694835680751174
2024-07-29,31900,32750,31650,32500,108027,1.2461059190031152
2024-07-30,32500,33300,32300,32600,144736,0.3076923076923077
2024-07-31,32750,32950,31300,31850,111704,-2.3006134969325154
2024-08-01,32100,32300,31700,31850,54948,0.0
2024-08-02,30550,30600,29200,29650,244035,-6.907378335949764
2024-08-05,29050,29050,24600,25650,278662,-13.490725126475548
2024-08-06,25650,27200,25650,26900,185278,4.8732943469785575
2024-08-07,27250,29050,27050,28600,146895,6.319702602230483
2024-08-08,28300,28750,27950,28350,76553,-0.8741258741258742
