날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,59000,59000,58900,58900,3,0.17006802721088435
2024-06-04,58900,58900,58000,58700,85,-0.3395585738539898
2024-06-05,58000,58000,57700,57700,123,-1.7035775127768313
2024-06-07,57000,58400,57000,58400,185,1.2131715771230502
2024-06-10,58300,58300,58300,58300,600,-0.17123287671232876
2024-06-11,57200,57800,57000,57400,312,-1.5437392795883362
2024-06-12,57000,57200,56700,56900,326,-0.8710801393728222
2024-06-13,56400,56400,56000,56000,110,-1.5817223198594026
2024-06-14,56300,56300,56100,56100,3,0.17857142857142858
2024-06-17,56000,56000,56000,56000,0,-0.17825311942959002
2024-06-18,55400,55900,55400,55900,51,-0.17857142857142858
2024-06-19,56000,56100,56000,56100,7,0.35778175313059035
2024-06-20,55200,55900,55200,55400,6,-1.2477718360071302
2024-06-21,55000,55700,55000,55600,88,0.36101083032490977
2024-06-24,55600,55600,55600,55600,10,0.0
2024-06-25,55600,55600,55600,55600,1,0.0
2024-06-26,55600,55600,55600,55600,6,0.0
2024-06-27,55500,55600,55500,55600,3,0.0
2024-06-28,55600,56000,55600,56000,66,0.7194244604316548
2024-07-01,56300,56300,55300,56200,15,0.35714285714285715
2024-07-02,56400,56400,55500,56300,7,0.1779359430604982
2024-07-03,56400,56400,56000,56400,14,0.17761989342806395
2024-07-04,56300,56300,55500,56000,136,-0.7092198581560284
2024-07-05,55900,55900,55700,55900,21,-0.17857142857142858
2024-07-08,55900,56300,55900,56300,5,0.7155635062611807
2024-07-09,56300,56300,55900,55900,19,-0.7104795737122558
2024-07-10,55500,55500,55400,55400,17,-0.8944543828264758
2024-07-11,56000,56400,55500,56400,104,1.8050541516245486
2024-07-12,56300,56300,56300,56300,1,-0.1773049645390071
2024-07-15,56300,56300,56300,56300,1,0.0
2024-07-16,56500,56500,55500,56500,655,0.3552397868561279
2024-07-17,56500,56500,55000,56200,229,-0.5309734513274336
2024-07-18,57500,57500,57500,57500,75,2.3131672597864767
2024-07-19,57500,57500,57500,57500,4,0.0
2024-07-22,57500,57500,57500,57500,3,0.0
2024-07-23,57500,57500,57500,57500,1,0.0
2024-07-24,57500,57500,57500,57500,1,0.0
2024-07-25,57500,57500,57500,57500,3,0.0
2024-07-26,57500,57500,57500,57500,1,0.0
2024-07-29,57500,57500,57500,57500,1,0.0
2024-07-30,57500,57500,57500,57500,1,0.0
2024-07-31,56300,57400,56300,57400,3,-0.17391304347826086
2024-08-01,57300,57300,56600,57300,16,-0.17421602787456447
2024-08-02,57400,57400,56000,57400,63,0.17452006980802792
2024-08-05,57300,57400,57300,57400,3,0.0
2024-08-06,57400,57400,57400,57400,1,0.0
2024-08-07,57400,57400,57400,57400,4,0.0
2024-08-08,57400,57400,57400,57400,20,0.0
2024-08-09,57300,57300,57300,57300,1,-0.17421602787456447
2024-08-12,57400,57400,57300,57300,7,0.0
2024-08-13,57600,57600,57600,57600,10,0.5235602094240838
2024-08-14,57600,57600,56800,57600,49,0.0
