날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,28650,29750,28650,29750,341,3.6585365853658534
2024-06-04,29750,29750,29250,29600,103,-0.5042016806722689
2024-06-05,29100,29150,28850,28850,109,-2.5337837837837838
2024-06-07,29150,29150,29000,29150,84,1.0398613518197575
2024-06-10,29250,29250,28600,29150,296,0.0
2024-06-11,29400,29400,29150,29250,106,0.34305317324185247
2024-06-12,29250,29250,28950,28950,138,-1.0256410256410255
2024-06-13,29350,29350,28500,28500,587,-1.5544041450777202
2024-06-14,29450,29450,28100,29000,945,1.7543859649122806
2024-06-17,28800,28800,28600,28800,43,-0.6896551724137931
2024-06-18,28500,28500,28350,28500,18,-1.0416666666666665
2024-06-19,28400,29000,28200,29000,169,1.7543859649122806
2024-06-20,28450,29000,28400,29000,226,0.0
2024-06-21,28950,29100,28600,29100,21,0.3448275862068966
2024-06-24,28700,29000,28300,29000,119,-0.3436426116838488
2024-06-25,28950,29000,28550,29000,53,0.0
2024-06-26,29000,29400,29000,29400,68,1.3793103448275863
2024-06-27,29400,29750,28900,29750,171,1.1904761904761905
2024-06-28,29750,30400,29750,30400,170,2.1848739495798317
2024-07-01,30400,30700,29600,30700,468,0.9868421052631579
2024-07-02,31050,31050,30500,30700,46,0.0
2024-07-03,31500,31500,30700,31000,159,0.9771986970684038
2024-07-04,31050,31050,29750,30900,326,-0.3225806451612903
2024-07-05,30950,30950,30300,30800,363,-0.3236245954692557
2024-07-08,30500,30800,30250,30800,123,0.0
2024-07-09,30500,30750,30300,30700,518,-0.3246753246753247
2024-07-10,30900,30950,30700,30950,107,0.8143322475570033
2024-07-11,31050,31050,30850,30900,81,-0.16155088852988692
2024-07-12,30600,31050,30500,31000,335,0.3236245954692557
2024-07-15,31100,31100,30800,31000,97,0.0
2024-07-16,31200,31200,30900,30900,35,-0.3225806451612903
2024-07-17,31150,31150,30600,30850,50,-0.16181229773462785
2024-07-18,30550,30800,30200,30400,376,-1.4586709886547813
2024-07-19,30600,31000,30050,31000,64,1.9736842105263157
2024-07-22,30950,30950,29950,29950,187,-3.387096774193549
2024-07-23,29950,30950,29900,30950,71,3.33889816360601
2024-07-24,30500,30700,30500,30700,51,-0.8077544426494345
2024-07-25,30500,30700,30200,30700,130,0.0
2024-07-26,30750,30750,30700,30750,39,0.16286644951140067
2024-07-29,30800,30800,30550,30700,40,-0.16260162601626016
2024-07-30,30750,30950,30500,30950,147,0.8143322475570033
2024-07-31,30500,30900,30500,30900,68,-0.16155088852988692
2024-08-01,30850,30850,30250,30850,285,-0.16181229773462785
2024-08-02,30750,30750,30200,30700,126,-0.48622366288492713
2024-08-05,30850,30850,29200,30200,128,-1.6286644951140066
2024-08-06,30350,30350,29350,30050,209,-0.49668874172185434
2024-08-07,30050,30400,30000,30250,65,0.6655574043261231
2024-08-08,30300,30650,30300,30550,137,0.9917355371900827
2024-08-09,30850,30850,30200,30450,236,-0.32733224222585927
2024-08-12,30450,30450,30250,30450,227,0.0
2024-08-13,30700,30700,30450,30450,12,0.0
2024-08-14,30850,30850,30700,30700,8,0.8210180623973727
2024-08-16,30850,30850,30200,30650,463,-0.16286644951140067
2024-08-19,30600,30650,30150,30650,209,0.0
2024-08-20,30650,30650,30650,30650,62,0.0
2024-08-21,30750,30750,30250,30500,188,-0.48939641109298526
2024-08-22,30700,30700,30200,30600,70,0.32786885245901637
2024-08-23,30650,30650,30600,30600,84,0.0
2024-08-26,30200,30600,30100,30600,296,0.0
2024-08-27,30600,30600,30250,30500,41,-0.32679738562091504
2024-08-28,30500,31500,30450,31250,629,2.459016393442623
2024-08-29,31800,31800,31350,31350,290,0.32
2024-08-30,31350,31350,31150,31350,136,0.0
2024-09-02,31350,31350,31200,31300,24,-0.1594896331738437
2024-09-03,31500,31500,30950,31250,79,-0.1597444089456869
2024-09-04,30600,31500,30600,31500,1630,0.8
2024-09-05,31450,31450,30550,30850,212,-2.0634920634920633
2024-09-06,30450,31150,30050,31150,450,0.9724473257698543
2024-09-09,31100,31100,31100,31100,1,-0.16051364365971107
2024-09-10,31100,31400,30550,31400,176,0.964630225080386
2024-09-11,31300,31300,31000,31000,61,-1.2738853503184715
2024-09-12,31500,31500,31400,31400,216,1.2903225806451613
2024-09-13,31350,31400,30950,31400,135,0.0
2024-09-19,31300,31300,30900,31200,62,-0.6369426751592357
2024-09-20,31100,31100,30050,30900,2202,-0.9615384615384616
2024-09-23,30100,30100,29950,30000,623,-2.912621359223301
2024-09-24,30350,30350,29700,30150,444,0.5
2024-09-25,30150,30150,30150,30150,2,0.0
2024-09-26,30050,30300,30000,30300,182,0.4975124378109453
2024-09-27,30000,31000,30000,31000,210,2.31023102310231
2024-09-30,30900,30900,30650,30650,39,-1.129032258064516
2024-10-02,30050,30450,30000,30450,265,-0.6525285481239804
2024-10-04,30400,30400,30400,30400,1,-0.16420361247947454
2024-10-07,30050,30050,29800,29800,60,-1.9736842105263157
2024-10-08,29800,29800,29800,29800,54,0.0
2024-10-10,30150,30450,29800,30100,164,1.006711409395973
2024-10-11,30250,30300,29800,30300,119,0.6644518272425249
2024-10-14,30300,31400,30300,31400,226,3.6303630363036308
2024-10-15,31350,31350,30850,31350,161,-0.15923566878980894
2024-10-16,31450,31450,31200,31450,168,0.3189792663476874
2024-10-17,31450,31450,31350,31350,43,-0.3179650238473768
2024-10-18,31300,31300,31250,31250,5,-0.3189792663476874
2024-10-21,30800,31050,30800,31050,46,-0.64
2024-10-22,30600,30900,30550,30900,45,-0.4830917874396135
2024-10-23,30900,31000,30900,30950,18,0.16181229773462785
2024-10-24,31150,31150,30600,30950,217,0.0
2024-10-25,31300,31300,30250,30700,105,-0.8077544426494345
2024-10-28,30700,30700,30300,30600,71,-0.32573289902280134
2024-10-29,30950,30950,30900,30900,31,0.9803921568627451
2024-10-30,30700,30800,30700,30800,92,-0.3236245954692557
2024-10-31,31000,31000,30200,30800,135,0.0
2024-11-01,31400,31400,30500,31200,72,1.2987012987012987
2024-11-04,30600,31000,30450,31000,501,-0.641025641025641
2024-11-05,31450,31450,31000,31000,4,0.0
2024-11-06,30950,30950,30850,30850,29,-0.4838709677419355
2024-11-07,30850,30850,30850,30850,2,0.0
2024-11-08,30750,30850,30550,30800,180,-0.1620745542949757
2024-11-11,31250,31250,30500,30600,84,-0.6493506493506493
2024-11-12,30500,31700,29400,30250,1430,-1.1437908496732025
2024-11-13,30250,30250,30000,30000,10,-0.8264462809917356
2024-11-14,29650,29650,29500,29500,29,-1.6666666666666667
2024-11-15,29200,29200,28900,28900,255,-2.0338983050847457
2024-11-18,29000,29400,29000,29400,23,1.7301038062283738
2024-11-19,29000,29000,27700,27700,304,-5.782312925170068
2024-11-20,27750,27950,26600,26600,386,-3.9711191335740073
2024-11-21,26550,26550,25050,26050,1042,-2.0676691729323307
2024-11-22,26100,29400,26100,29000,699,11.324376199616124
2024-11-25,28900,28900,28150,28150,72,-2.9310344827586206
2024-11-26,28100,29700,28100,29700,198,5.506216696269982
2024-11-27,29650,30250,29050,30250,154,1.8518518518518516
2024-11-28,30100,30100,29450,29800,105,-1.487603305785124
2024-11-29,29800,29800,29500,29500,18,-1.006711409395973
2024-12-02,30000,30000,28500,29000,263,-1.694915254237288
2024-12-03,28700,28950,28200,28950,205,-0.1724137931034483
2024-12-04,28750,28750,28550,28700,33,-0.8635578583765112
2024-12-05,28850,28850,28400,28800,91,0.34843205574912894
2024-12-06,29000,29000,28450,28450,21,-1.215277777777778
2024-12-09,27500,28000,27200,28000,122,-1.5817223198594026
2024-12-10,27950,28000,26300,26300,915,-6.071428571428571
2024-12-11,26500,27450,26350,27450,370,4.3726235741444865
2024-12-12,27400,28350,27400,28350,189,3.278688524590164
2024-12-13,28100,28350,27950,28350,129,0.0
2024-12-16,28350,29300,27800,29300,491,3.3509700176366843
2024-12-17,29300,29450,28650,29400,182,0.3412969283276451
