날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,78900,80000,78500,79300,769784,-0.12594458438287154
2024-06-04,78600,79300,76900,77600,1025937,-2.1437578814627996
2024-06-05,77600,78200,75800,77400,807918,-0.25773195876288657
2024-06-07,78900,80200,77200,79600,1168578,2.842377260981912
2024-06-10,77900,79700,77400,78400,679182,-1.507537688442211
2024-06-11,79200,79900,78400,78400,753820,0.0
2024-06-12,77700,79400,77200,79100,694678,0.8928571428571428
2024-06-13,80300,81900,80100,81000,2214075,2.402022756005057
2024-06-14,80400,81300,79500,80900,1578329,-0.12345679012345678
2024-06-17,79600,80500,78000,78300,955490,-3.2138442521631645
2024-06-18,79000,79300,77300,77400,1034489,-1.1494252873563218
2024-06-19,77800,78900,77500,78900,666484,1.937984496124031
2024-06-20,78800,81100,78600,80800,804224,2.4081115335868186
2024-06-21,80000,80900,78600,78600,2545856,-2.722772277227723
2024-06-24,78900,80500,78800,80000,1039625,1.7811704834605597
2024-06-25,80600,80600,78800,79000,1164822,-1.25
2024-06-26,78300,79500,77200,78900,1037746,-0.12658227848101267
2024-06-27,78200,79000,77300,78500,786044,-0.5069708491761723
2024-06-28,79300,79900,78200,78500,1017673,0.0
2024-07-01,79600,80000,78700,79600,816331,1.4012738853503186
2024-07-02,79900,85000,79300,83200,3164153,4.522613065326634
2024-07-03,84300,88900,83600,84400,2271584,1.4423076923076923
2024-07-04,83700,88300,83000,85900,1718537,1.7772511848341233
2024-07-05,87300,90000,86600,88200,1333089,2.6775320139697323
2024-07-08,88200,88700,86900,86900,777731,-1.473922902494331
2024-07-09,86000,87100,83000,85200,1492712,-1.9562715765247412
2024-07-10,85500,85700,83600,83600,1479668,-1.8779342723004695
2024-07-11,84500,86300,84500,85400,1583831,2.15311004784689
2024-07-12,85700,87800,85400,87000,1301388,1.873536299765808
2024-07-15,87100,87100,84700,85700,991529,-1.4942528735632183
2024-07-16,85300,86200,83900,84100,1271447,-1.8669778296382729
2024-07-17,84300,84900,83500,84100,1098955,0.0
2024-07-18,84000,84600,83300,84400,1037570,0.356718192627824
2024-07-19,83100,85500,82500,84800,850800,0.47393364928909953
2024-07-22,84400,87000,83800,86500,1319996,2.0047169811320753
2024-07-23,87200,89600,86200,88300,1398881,2.0809248554913293
2024-07-24,89400,90500,84400,84600,2808718,-4.190260475651189
2024-07-25,84300,85500,83500,84000,1451918,-0.7092198581560284
2024-07-26,85100,88800,84900,87900,2209948,4.642857142857143
2024-07-29,87900,92400,87600,90800,1806488,3.299203640500569
2024-07-30,89900,90300,89000,89300,781624,-1.6519823788546255
2024-07-31,89000,89800,86800,87900,1370202,-1.5677491601343785
2024-08-01,87900,89700,87500,88300,806043,0.4550625711035267
2024-08-02,85800,86100,82700,83200,2370247,-5.775764439411098
2024-08-05,77400,81000,74000,76800,3229646,-7.6923076923076925
2024-08-06,80700,81500,78300,79500,2202223,3.515625
2024-08-07,78000,82600,77500,81600,1436105,2.6415094339622645
2024-08-08,81100,82900,80300,82200,1242772,0.7352941176470588
2024-08-09,81600,83000,80600,81900,1297096,-0.36496350364963503
2024-08-12,82300,82800,81700,82500,683989,0.7326007326007326
2024-08-13,82500,85400,82100,84600,784938,2.5454545454545454
2024-08-14,84800,85600,84000,84400,595092,-0.2364066193853428
2024-08-16,85700,86100,84000,84000,899404,-0.47393364928909953
2024-08-19,84200,87900,84100,87000,1260645,3.571428571428571
2024-08-20,88300,90000,87500,89900,1093077,3.3333333333333335
2024-08-21,89600,89600,86900,87200,873607,-3.0033370411568407
2024-08-22,86800,87400,85500,86500,998023,-0.8027522935779817
2024-08-23,86200,87400,84600,86800,1160977,0.3468208092485549
2024-08-26,86800,88700,86600,88500,891857,1.9585253456221197
2024-08-27,88900,89100,86700,87800,930644,-0.7909604519774011
2024-08-28,87100,87600,85000,85800,878160,-2.277904328018223
2024-08-29,86600,88200,85600,86900,849901,1.282051282051282
2024-08-30,88000,88000,85800,85900,1403895,-1.1507479861910241
2024-09-02,86200,88300,84800,87700,916239,2.0954598370197903
2024-09-03,87500,88100,86300,87000,755608,-0.798175598631699
2024-09-04,87400,87400,83600,83600,1306948,-3.9080459770114944
