날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,4360,4395,4350,4395,57592,0.6872852233676976
2024-06-04,4420,4420,4385,4395,22707,0.0
2024-06-05,4400,4435,4400,4420,40255,0.5688282138794084
2024-06-07,4420,4495,4420,4480,135190,1.3574660633484164
2024-06-10,4480,4480,4400,4415,106788,-1.4508928571428572
2024-06-11,4445,4445,4400,4440,48935,0.5662514156285391
2024-06-12,4405,4445,4405,4420,39460,-0.45045045045045046
2024-06-13,4440,4455,4420,4455,63574,0.7918552036199095
2024-06-14,4455,4455,4380,4430,111457,-0.5611672278338945
2024-06-17,4430,4450,4320,4385,195914,-1.0158013544018059
2024-06-18,4380,4400,4360,4400,70184,0.34207525655644244
2024-06-19,4400,4400,4320,4340,111035,-1.3636363636363635
2024-06-20,4340,4385,4300,4335,79364,-0.1152073732718894
2024-06-21,4335,4400,4320,4385,31765,1.1534025374855825
2024-06-24,4400,4430,4370,4395,36344,0.22805017103762829
2024-06-25,4405,4430,4380,4405,45181,0.22753128555176336
2024-06-26,4405,4450,4400,4450,59941,1.0215664018161181
2024-06-27,4455,4465,4415,4455,32005,0.11235955056179776
2024-06-28,4450,4460,4310,4455,35723,0.0
2024-07-01,4460,4465,4370,4420,139364,-0.7856341189674524
2024-07-02,4430,4430,4380,4415,49459,-0.11312217194570137
2024-07-03,4430,4455,4400,4435,49075,0.4530011325028313
2024-07-04,4420,4470,4365,4430,130931,-0.11273957158962795
2024-07-05,4445,4450,4390,4425,69913,-0.1128668171557562
2024-07-08,4440,4440,4390,4420,53315,-0.11299435028248588
2024-07-09,4395,4395,4350,4375,154616,-1.0180995475113122
2024-07-10,4375,4430,4360,4430,84062,1.2571428571428571
2024-07-11,4430,4450,4390,4415,86911,-0.33860045146726864
2024-07-12,4435,4455,4400,4430,165347,0.33975084937712347
2024-07-15,4430,4530,4430,4500,175524,1.580135440180587
2024-07-16,4500,4515,4450,4490,173553,-0.2222222222222222
2024-07-17,4490,4570,4485,4565,171603,1.670378619153675
2024-07-18,4565,4570,4495,4565,118238,0.0
2024-07-19,4565,4580,4545,4570,82260,0.10952902519167579
2024-07-22,4555,4575,4550,4565,76791,-0.10940919037199125
2024-07-23,4565,4575,4490,4510,142824,-1.2048192771084338
2024-07-24,4510,4555,4475,4550,60382,0.8869179600886918
2024-07-25,4510,4570,4510,4570,95601,0.43956043956043955
2024-07-26,4575,4580,4540,4565,153015,-0.10940919037199125
2024-07-29,4575,4575,4450,4465,367222,-2.190580503833516
2024-07-30,4310,4425,4310,4425,167595,-0.8958566629339306
2024-07-31,4425,4455,4425,4455,105141,0.6779661016949152
2024-08-01,4415,4480,4410,4445,77553,-0.22446689113355783
2024-08-02,4445,4445,4360,4385,98499,-1.3498312710911136
2024-08-05,4390,4395,4100,4230,196020,-3.534777651083238
2024-08-06,4280,4370,4280,4350,74331,2.8368794326241136
2024-08-07,4390,4400,4365,4390,71446,0.9195402298850575
2024-08-08,4400,4400,4275,4280,135315,-2.5056947608200453
2024-08-09,4280,4370,4280,4300,61571,0.46728971962616817
2024-08-12,4300,4375,4290,4350,42161,1.1627906976744187
2024-08-13,4350,4400,4350,4400,50888,1.1494252873563218
2024-08-14,4400,4420,4365,4395,38305,-0.11363636363636363
2024-08-16,4435,4435,4360,4390,59446,-0.11376564277588168
2024-08-19,4390,4420,4345,4390,50147,0.0
2024-08-20,4415,4415,4310,4330,61549,-1.366742596810934
2024-08-21,4340,4350,4320,4345,55468,0.3464203233256351
2024-08-22,4355,4395,4335,4360,65123,0.34522439585730724
2024-08-23,4360,4380,4345,4365,17676,0.11467889908256881
2024-08-26,4395,4400,4370,4380,57190,0.3436426116838488
2024-08-27,4380,4400,4370,4395,43470,0.3424657534246575
2024-08-28,4400,4400,4355,4380,60467,-0.3412969283276451
2024-08-29,4395,4395,4350,4390,52394,0.228310502283105
2024-08-30,4365,4400,4365,4400,31552,0.22779043280182232
2024-09-02,4400,4410,4380,4405,35926,0.11363636363636363
2024-09-03,4405,4405,4385,4395,33410,-0.22701475595913734
2024-09-04,4390,4390,4355,4365,59129,-0.6825938566552902
2024-09-05,4365,4390,4365,4375,32621,0.22909507445589922
2024-09-06,4375,4405,4335,4405,65628,0.6857142857142857
2024-09-09,4375,4415,4345,4410,73627,0.11350737797956867
2024-09-10,4415,4415,4370,4395,61492,-0.3401360544217687
2024-09-11,4385,4400,4365,4395,79271,0.0
2024-09-12,4400,4405,4360,4380,86788,-0.3412969283276451
2024-09-13,4380,4400,4380,4400,64740,0.45662100456621
2024-09-19,4360,4405,4360,4400,69347,0.0
2024-09-20,4410,4450,4400,4450,126308,1.1363636363636365
2024-09-23,4455,4455,4405,4425,77794,-0.5617977528089888
2024-09-24,4415,4440,4385,4390,104818,-0.7909604519774011
2024-09-25,4395,4425,4375,4385,70801,-0.11389521640091116
2024-09-26,4395,4400,4370,4370,51166,-0.34207525655644244
2024-09-27,4370,4395,4360,4375,84431,0.11441647597254005
2024-09-30,4375,4390,4340,4370,50841,-0.1142857142857143
2024-10-02,4370,4375,4305,4310,116854,-1.3729977116704806
2024-10-04,4310,4345,4295,4300,58981,-0.23201856148491878
2024-10-07,4340,4370,4305,4330,70959,0.6976744186046512
2024-10-08,4365,4365,4305,4335,77986,0.11547344110854503
2024-10-10,4370,4375,4335,4360,37508,0.5767012687427913
2024-10-11,4360,4400,4350,4395,61231,0.8027522935779817
2024-10-14,4375,4395,4315,4335,73628,-1.3651877133105803
2024-10-15,4340,4385,4340,4360,80700,0.5767012687427913
2024-10-16,4375,4375,4320,4330,42716,-0.6880733944954129
2024-10-17,4330,4355,4330,4350,24976,0.4618937644341801
2024-10-18,4360,4375,4320,4350,24150,0.0
2024-10-21,4350,4350,4320,4350,35814,0.0
2024-10-22,4350,4355,4305,4345,36986,-0.11494252873563218
2024-10-23,4340,4345,4330,4340,48101,-0.11507479861910241
2024-10-24,4340,4355,4320,4355,33999,0.3456221198156682
2024-10-25,4355,4355,4300,4335,55732,-0.4592422502870264
2024-10-28,4335,4345,4150,4185,155268,-3.4602076124567476
2024-10-29,4150,4300,4035,4110,122628,-1.7921146953405016
2024-10-30,4110,4150,4055,4110,52512,0.0
2024-10-31,4080,4240,3985,4200,90471,2.18978102189781
2024-11-01,4200,4200,4115,4145,46986,-1.3095238095238095
2024-11-04,4150,4160,4060,4085,41763,-1.4475271411338964
2024-11-05,4090,4100,4055,4090,51676,0.12239902080783352
2024-11-06,4105,4190,4055,4120,59774,0.7334963325183375
2024-11-07,4120,4145,4015,4040,33508,-1.9417475728155338
2024-11-08,4040,4110,4040,4075,44302,0.8663366336633664
2024-11-11,4075,4095,3925,3965,101409,-2.6993865030674846
2024-11-12,4015,4015,3760,3865,123894,-2.5220680958385877
2024-11-13,3865,3970,3860,3970,56598,2.716688227684347
2024-11-14,3985,3985,3845,3855,61384,-2.8967254408060454
2024-11-15,3870,3950,3855,3935,48339,2.075226977950713
2024-11-18,3940,4080,3895,3925,93096,-0.25412960609911056
2024-11-19,3925,3940,3880,3940,94211,0.3821656050955414
2024-11-20,3940,4085,3930,4015,94446,1.903553299492386
2024-11-21,4015,4060,3985,4050,62397,0.8717310087173101
2024-11-22,4095,4120,4030,4120,69142,1.728395061728395
2024-11-25,4120,4120,4045,4085,51078,-0.8495145631067961
2024-11-26,4085,4090,4010,4080,35939,-0.12239902080783352
2024-11-27,4120,4120,4035,4080,50285,0.0
2024-11-28,4090,4150,4070,4125,66199,1.1029411764705883
2024-11-29,4145,4145,4000,4045,64322,-1.9393939393939394
2024-12-02,4090,4100,4035,4095,34466,1.2360939431396787
2024-12-03,4095,4130,4035,4055,54778,-0.9768009768009768
2024-12-04,4040,4080,3995,4050,51158,-0.12330456226880394
2024-12-05,4045,4045,3900,3990,54534,-1.4814814814814816
2024-12-06,4005,4030,3710,3950,93010,-1.0025062656641603
2024-12-09,3950,3950,3840,3905,65289,-1.139240506329114
2024-12-10,3945,3970,3895,3970,48505,1.6645326504481435
2024-12-11,4000,4025,3935,4000,58656,0.7556675062972292
2024-12-12,4000,4060,3940,4060,149289,1.5
2024-12-13,4060,4080,3895,3940,194627,-2.955665024630542
2024-12-16,3910,3940,3800,3845,236384,-2.4111675126903553
2024-12-17,3845,3845,3675,3740,258855,-2.7308192457737324
2024-12-18,3720,3750,3625,3710,325493,-0.8021390374331552
2024-12-19,3690,3700,3600,3670,281131,-1.078167115902965
2024-12-20,3640,3700,3605,3640,100117,-0.8174386920980926
2024-12-23,3640,3730,3640,3695,70139,1.510989010989011
2024-12-24,3730,3820,3695,3810,90329,3.1123139377537212
2024-12-26,3810,3840,3780,3820,94711,0.26246719160104987
2024-12-27,3820,3850,3770,3850,75334,0.7853403141361256
2024-12-30,3850,3915,3840,3890,48320,1.0389610389610389
2025-01-02,3890,3965,3875,3960,93653,1.7994858611825193
2025-01-03,3960,4000,3960,3995,95163,0.8838383838383838
2025-01-06,3995,4005,3970,3990,62552,-0.1251564455569462
2025-01-07,3995,3995,3945,3970,73928,-0.5012531328320802
2025-01-08,3985,3985,3920,3925,47936,-1.1335012594458438
2025-01-09,3930,3985,3800,3835,225049,-2.2929936305732483
2025-01-10,3835,3875,3820,3875,87485,1.0430247718383312
2025-01-13,3875,3875,3780,3825,88878,-1.2903225806451613
2025-01-14,3835,3835,3770,3780,95977,-1.1764705882352942
2025-01-15,3775,3775,3715,3715,83172,-1.7195767195767195
2025-01-16,3725,3825,3695,3710,108406,-0.13458950201884254
2025-01-17,3735,3735,3640,3640,102815,-1.8867924528301887
2025-01-20,3650,3650,3500,3515,190999,-3.4340659340659343
2025-01-21,3625,3625,3500,3525,122967,0.2844950213371266
2025-01-22,3525,3535,3385,3420,224027,-2.9787234042553195
2025-01-23,3440,3460,3405,3435,75542,0.43859649122807015
2025-01-24,3310,3450,3265,3335,168889,-2.911208151382824
2025-01-31,3375,3375,3135,3215,198549,-3.598200899550225
2025-02-03,3220,3245,3145,3220,115150,0.15552099533437014
2025-02-04,3220,3250,3165,3205,56181,-0.4658385093167702
2025-02-05,3180,3275,3180,3190,93579,-0.46801872074883
2025-02-06,3180,3210,3120,3180,121336,-0.3134796238244514
