날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,294500,304500,290500,301000,22171,2.380952380952381
2024-06-04,296500,303500,294500,297000,25630,-1.3289036544850499
2024-06-05,297000,308500,292500,301500,42098,1.5151515151515151
2024-06-07,298000,306500,292000,296000,29634,-1.8242122719734661
2024-06-10,291500,294000,284000,285500,36969,-3.5472972972972974
2024-06-11,288000,289500,280000,280000,34490,-1.926444833625219
2024-06-12,281000,289500,277000,288000,28030,2.857142857142857
2024-06-13,288000,292500,280000,280000,31277,-2.7777777777777777
2024-06-14,280000,285500,277000,279000,17535,-0.35714285714285715
2024-06-17,279500,287000,277500,279500,13586,0.17921146953405018
2024-06-18,281000,281500,277000,277000,11502,-0.8944543828264758
2024-06-19,279000,282500,277500,280000,11365,1.083032490974729
2024-06-20,278000,283500,278000,281500,10583,0.5357142857142857
2024-06-21,282500,286500,278000,283500,23975,0.7104795737122558
2024-06-24,283500,286000,274500,277000,14912,-2.2927689594356258
2024-06-25,284000,312000,282500,307000,85476,10.830324909747292
2024-06-26,307000,309000,301000,301000,25468,-1.9543973941368076
2024-06-27,298000,306000,291000,301500,30854,0.16611295681063123
2024-06-28,301500,320500,301500,308500,46644,2.321724709784411
2024-07-01,309000,311000,303500,305500,13994,-0.9724473257698543
2024-07-02,302500,308000,298500,298500,20707,-2.2913256955810146
2024-07-03,300500,310500,300500,307000,28340,2.8475711892797317
2024-07-04,309000,323500,306000,319500,42548,4.071661237785016
2024-07-05,320500,331000,313500,315000,39947,-1.4084507042253522
2024-07-08,315500,326000,314000,318000,15262,0.9523809523809524
2024-07-09,320500,321000,304000,305500,28880,-3.930817610062893
2024-07-10,304000,310500,299500,308500,19468,0.9819967266775778
2024-07-11,309000,311500,306500,308000,24358,-0.1620745542949757
2024-07-12,314000,327500,305000,314000,41315,1.948051948051948
2024-07-15,326500,342500,325000,335000,81865,6.687898089171974
2024-07-16,336000,338500,324500,325000,35649,-2.9850746268656714
2024-07-17,328000,345000,318500,337500,68502,3.8461538461538463
2024-07-18,337500,338000,325000,330500,41029,-2.074074074074074
2024-07-19,330000,330000,319000,326500,25898,-1.2102874432677762
2024-07-22,327000,327000,310500,316500,24655,-3.0627871362940278
2024-07-23,318500,325500,313500,315500,16461,-0.315955766192733
2024-07-24,312000,334500,307500,331500,42889,5.071315372424722
2024-07-25,325500,339500,321500,328000,34580,-1.0558069381598794
2024-07-26,327000,344500,325500,329500,44955,0.45731707317073167
2024-07-29,334500,343000,325000,326000,39958,-1.062215477996965
2024-07-30,323000,340000,321500,332000,42776,1.8404907975460123
2024-07-31,331000,338000,323500,328500,33642,-1.0542168674698795
2024-08-01,326000,339500,320000,330000,37145,0.45662100456621
2024-08-02,325500,325500,303500,304500,38434,-7.727272727272727
2024-08-05,297000,300500,270500,278000,66915,-8.70279146141215
2024-08-06,289000,302000,277500,297000,58599,6.83453237410072
2024-08-07,291500,300000,284000,285000,52401,-4.040404040404041
2024-08-08,282000,294000,274500,294000,40799,3.1578947368421053
2024-08-09,295500,305000,290500,292500,40411,-0.5102040816326531
2024-08-12,297500,310000,293500,307000,30368,4.957264957264957
2024-08-13,303500,309000,298000,304000,31820,-0.9771986970684038
2024-08-14,305000,306500,294000,297000,31438,-2.302631578947368
2024-08-16,301500,308000,299500,302500,32342,1.8518518518518516
2024-08-19,307500,307500,300000,303500,17421,0.3305785123966942
2024-08-20,306000,311500,301500,305500,25477,0.6589785831960462
2024-08-21,306500,308500,297500,300000,24940,-1.800327332242226
2024-08-22,303500,307500,297500,297500,30818,-0.8333333333333334
2024-08-23,297500,306000,296000,300000,19560,0.8403361344537815
2024-08-26,302000,306000,292500,298000,30205,-0.6666666666666667
2024-08-27,298000,299000,292500,294000,20085,-1.342281879194631
