날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,40500,40750,40200,40650,19013,0.6188118811881188
2024-06-04,40700,40700,40250,40400,11945,-0.6150061500615006
2024-06-05,40400,40700,40300,40400,21064,0.0
2024-06-07,40500,40650,40150,40350,18608,-0.12376237623762376
2024-06-10,40350,40350,40100,40250,7930,-0.24783147459727387
2024-06-11,40400,40400,39900,40050,18920,-0.4968944099378882
2024-06-12,40250,40250,39900,40100,8451,0.12484394506866417
2024-06-13,40000,40800,40000,40650,30600,1.3715710723192018
2024-06-14,40650,40700,40150,40150,15818,-1.2300123001230012
2024-06-17,40150,40350,39900,40200,15397,0.12453300124533001
2024-06-18,40200,40300,40000,40250,15323,0.12437810945273632
2024-06-19,40350,40400,40200,40200,11499,-0.12422360248447205
2024-06-20,40250,40500,40150,40400,9958,0.4975124378109453
2024-06-21,40400,40700,40200,40300,17734,-0.24752475247524752
2024-06-24,40350,40550,40250,40300,11415,0.0
2024-06-25,40400,40600,40250,40600,21157,0.7444168734491315
2024-06-26,40600,40650,40400,40500,14005,-0.24630541871921183
2024-06-27,40300,40300,39850,39900,25312,-1.4814814814814816
2024-06-28,40100,40100,39800,40050,13001,0.37593984962406013
2024-07-01,39950,40200,39800,40050,14019,0.0
2024-07-02,40000,40150,39900,39900,7805,-0.37453183520599254
2024-07-03,40100,40100,39800,39900,15309,0.0
2024-07-04,39900,40100,39850,40000,12763,0.2506265664160401
2024-07-05,40250,40250,39900,39900,21106,-0.25
2024-07-08,39900,40000,39900,39950,7401,0.12531328320802004
2024-07-09,39950,40250,39950,40200,25035,0.6257822277847309
2024-07-10,40250,40300,40050,40100,15173,-0.24875621890547264
2024-07-11,40150,40300,40050,40100,5978,0.0
2024-07-12,40300,40600,40100,40350,22759,0.6234413965087282
2024-07-15,40250,40800,40250,40650,27719,0.7434944237918215
2024-07-16,40650,41200,40650,40650,29468,0.0
2024-07-17,40900,42600,40700,42150,129404,3.6900369003690034
2024-07-18,42200,42950,41800,42950,97472,1.8979833926453145
2024-07-19,42900,42900,42200,42700,34670,-0.5820721769499418
2024-07-22,42550,42900,41950,42400,34447,-0.702576112412178
2024-07-23,42250,42400,41550,41650,22801,-1.7688679245283019
2024-07-24,41750,42100,41200,41200,19577,-1.0804321728691477
2024-07-25,41450,41700,40800,41050,20401,-0.3640776699029126
2024-07-26,41500,42400,41500,42350,38275,3.1668696711327646
2024-07-29,42700,42700,42000,42450,18945,0.23612750885478156
2024-07-30,42450,42750,42050,42350,13622,-0.23557126030624262
2024-07-31,42350,42550,42000,42000,15841,-0.8264462809917356
2024-08-01,42000,42600,41950,42500,26964,1.1904761904761905
2024-08-02,42300,42300,41150,41400,34340,-2.588235294117647
2024-08-05,40800,41250,39000,39200,65338,-5.314009661835748
2024-08-06,39200,40600,39200,40400,32200,3.061224489795918
2024-08-07,40400,40700,40200,40350,12685,-0.12376237623762376
2024-08-08,40150,41600,39800,41300,28212,2.3543990086741013
2024-08-09,41350,41950,40600,40600,18939,-1.694915254237288
2024-08-12,40550,41150,40500,41150,10704,1.354679802955665
2024-08-13,41200,41250,40550,40850,8850,-0.7290400972053462
2024-08-14,40900,41100,40600,41000,8482,0.36719706242350064
2024-08-16,41200,41200,40850,41000,19262,0.0
2024-08-19,41250,41300,40900,41150,6363,0.3658536585365854
2024-08-20,41450,41450,41150,41300,7754,0.3645200486026731
2024-08-21,41300,41750,41000,41750,10287,1.0895883777239708
2024-08-22,41700,41800,41350,41450,12842,-0.718562874251497
2024-08-23,41550,41700,41350,41500,14063,0.12062726176115801
2024-08-26,41500,41800,40950,41150,8380,-0.8433734939759037
2024-08-27,40750,41350,40750,41150,13440,0.0
2024-08-28,41100,41350,40800,41200,12295,0.12150668286755771
2024-08-29,41300,41300,40800,41000,11044,-0.48543689320388345
2024-08-30,40900,41300,40650,41200,27739,0.4878048780487805
2024-09-02,41350,41450,40950,41300,7595,0.24271844660194172
2024-09-03,41300,41400,41050,41050,8864,-0.6053268765133172
2024-09-04,40700,41000,40000,40300,19053,-1.8270401948842874
2024-09-05,40600,40800,40150,40300,11932,0.0
2024-09-06,40250,40300,39700,39750,17600,-1.3647642679900744
2024-09-09,39650,40100,39500,39900,10970,0.37735849056603776
