날짜,Open,High,Low,Close,Volume,Rate
2024-06-03,4400,4840,4370,4675,1335369,6.979405034324943
2024-06-04,4625,4655,4530,4585,163807,-1.9251336898395723
2024-06-05,4595,4715,4580,4660,190058,1.6357688113413305
2024-06-07,4695,4770,4610,4655,131616,-0.1072961373390558
2024-06-10,4595,4645,4490,4515,91303,-3.007518796992481
2024-06-11,4515,4550,4475,4485,63245,-0.6644518272425249
2024-06-12,4445,4585,4445,4560,62342,1.6722408026755853
2024-06-13,4560,4645,4535,4590,84084,0.6578947368421052
2024-06-14,4590,4755,4585,4745,178642,3.376906318082789
2024-06-17,4780,4780,4540,4565,137752,-3.7934668071654376
2024-06-18,4570,4680,4560,4630,87035,1.4238773274917853
2024-06-19,4700,4700,4480,4490,78029,-3.023758099352052
2024-06-20,4565,5280,4500,4660,2581041,3.78619153674833
2024-06-21,4655,4830,4560,4695,236371,0.7510729613733905
2024-06-24,4690,4925,4615,4725,354408,0.6389776357827476
2024-06-25,4910,5450,4750,4815,4217272,1.9047619047619049
2024-06-26,4860,4880,4705,4770,397380,-0.9345794392523363
2024-06-27,4750,4825,4640,4650,191992,-2.515723270440252
2024-06-28,4700,4905,4700,4865,365419,4.623655913978494
2024-07-01,4865,4940,4700,4700,148974,-3.391572456320658
2024-07-02,4700,4750,4510,4515,117190,-3.9361702127659575
2024-07-03,4515,4620,4440,4485,105385,-0.6644518272425249
2024-07-04,4455,4545,4315,4335,88280,-3.3444816053511706
2024-07-05,4315,4365,4255,4310,69591,-0.5767012687427913
2024-07-08,4300,4335,4165,4310,43311,0.0
2024-07-09,4290,4400,4290,4400,44685,2.088167053364269
2024-07-10,4415,4485,4360,4440,32956,0.9090909090909091
2024-07-11,4430,4480,4210,4335,26091,-2.364864864864865
2024-07-12,4310,4360,4275,4290,41683,-1.0380622837370241
2024-07-15,4300,4300,4215,4215,37301,-1.7482517482517483
2024-07-16,4215,4280,4145,4185,42148,-0.7117437722419928
2024-07-17,4150,4250,4145,4175,45528,-0.23894862604540024
2024-07-18,4135,4180,4100,4130,46671,-1.0778443113772456
2024-07-19,4175,4175,4025,4060,51833,-1.694915254237288
2024-07-22,4010,4050,3960,4015,35085,-1.1083743842364533
2024-07-23,4060,4090,3990,4010,23464,-0.12453300124533001
2024-07-24,3955,4310,3955,4310,165515,7.4812967581047385
2024-07-25,4285,4695,4060,4100,864253,-4.872389791183294
2024-07-26,4040,5330,4035,5330,8967413,30.0
2024-07-29,5960,6180,5450,5550,13947754,4.127579737335835
2024-07-30,6000,6950,5860,6130,29116053,10.45045045045045
2024-07-31,6070,6300,5690,5760,4556155,-6.035889070146819
